ATC4;Libellé ATC4
J01EC;SULFAMIDES D'ACTION INTERMEDIAIRE 
J01ED;SULFAMIDES D'ACTION LONGUE 
J01EE;ASSOCIATIONS DE SULFAMIDES ET DE TRIMETHOPRIME, DERIVES INCLUS 
J01FA;MACROLIDES 
J01FF;LINCOSAMIDES 
J01FG;STEPTOGRAMINES (SYNERGISTINES) 
J01GA;STREPTOMYCINES 
J01GB;AUTRES AMINOSIDES 
J01MA;FLUOROQUINOLONES 
J01MB;AUTRES QUINOLONES (G04AB EXCLU) 
J01RA;ASSOCIATIONS D'ANTIBACTERIENS 
J01XA;GLYCOPEPTIDES ANTIBACTERIENS 
J01XB;POLYMYXINES 
J01XC;ANTIBACTERIENS STEROIDIENS 
J01XD;DERIVES IMIDAZOLES 
J01XE;DERIVES DU NITROFURANE 
J01XX;AUTRES ANTIBACTERIENS 
J02AA;ANTIBIOTIQUES 
J02AB;DERIVES IMIDAZOLES 
J02AC;DERIVES TRIAZOLES 
J02AX;AUTRES ANTIMYCOSIQUES A USAGE SYSTEMIQUE 
J04AA;ACIDE AMINOSALICYLIQUE ET DERIVES 
J04AB;ANTIBIOTIQUES 
J04AC;HYDRAZIDES 
J04AD;DERIVES DU THIOCARBAMIDE 
J04AK;AUTRES ANTITUBERCULEUX 
J04AM;ASSOCIATIONS D'ANTITUBERCULEUX 
J04BA;ANTILEPREUX 
J05AA;THIOSEMICARBAZONES 
J05AB;NUCLEOSIDES ET NUCLEOTIDES, INHIBITEURS DE LA TRANSCRIPTASE EXCLUS 
J05AC;AMINES CYCLIQUES 
J05AD;DERIVES DE L'ACIDE PHOSPHONIQUE 
J05AE;INHIBITEURS DE PROTEASE 
J05AF;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDES ET NUCLEOTIDES 
J05AG;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NON NUCLEOSIDES 
J05AH;INHIBITEURS DE LA NEURAMINIDASE 
J05AR;ANTIVIRAUX POUR LE TRAITEMENT DES INFECTIONS HIV EN ASSOCIATION 
J05AX;AUTRES ANTIVIRAUX 
J06AA;IMMUNSERUMS 
J06BA;IMMUNOGLOBULINES HUMAINES POLYVALENTES 
J06BB;IMMUNOGLOBULINES SPECIFIQUES 
J06BC;AUTRES IMMUNOGLOBULINES 
J07AC;VACCINS CONTRE LE CHARBON 
J07AD;VACCINS ANTIBRUCELLIQUES 
J07AE;VACCINS ANTICHOLERIQUES 
J07AF;VACCINS ANTIDIPHTERIQUES 
J07AG;VACCINS ANTIHAEMOPHILUS INFLUENZAE B 
J07AH;VACCINS ANTIMENINGOCOCCIQUES 
J07AJ;VACCINS CONTRE LA COQUELUCHE 
J07AK;VACCINS CONTRE LA PESTE 
J07AL;VACCINS ANTIPNEUMOCOCCIQUES 
J07AM;VACCINS ANTITETANIQUES 
J07AN;VACCINS ANTITUBERCULEUX 
J07AP;VACCINS ANTITYPHOIDIQUES 
J07AR;VACCINS CONTRE LE TYPHUS (EXANTHEMATIQUE) 
J07AX;AUTRES VACCINS BACTERIENS 
J07BA;VACCINS CONTRE LES ENCEPHALITES 
J07BB;VACCINS ANTIGRIPPAUX 
J07BC;VACCINS CONTRE LES HEPATITES 
J07BD;VACCINS CONTRE LA ROUGEOLE 
J07BE;VACCINS CONTRE LES OREILLONS 
J07BF;VACCINS CONTRE LA POLIOMYELITE 
J07BG;VACCINS ANTIRABIQUES 
J07BH;VACCINS CONTRE LES DIARRHEES A ROTAVIRUS 
J07BJ;VACCINS CONTRE LA RUBEOLE 
J07BK;VACCINS CONTRE LA VARICELLE-ZONA 
J07BL;VACCINS CONTRE LA FIEVRE JAUNE 
J07BM;VACCINS CONTRE LE PAPILLOMAVIRUS 
J07BX;AUTRES VACCINS VIRAUX 
J07CA;VACCINS BACTERIENS ET VIRAUX ASSOCIES 
L01AA;MOUTARDES A L'AZOTE 
L01AB;ALKYLSULFONATES 
L01AC;ETHYLENEIMINES 
L01AD;NITROSOUREES 
L01AG;EPOXYDES 
L01AX;AUTRES AGENTS ALKYLANTS 
L01BA;ANALOGUES DE L'ACIDE FOLIQUE 
L01BB;ANALOGUES DE LA PURINE 
L01BC;ANALOGUES DE LA PYRIMIDINE 
L01CA;VINCAALCALOIDES ET ANALOGUES 
L01CB;DERIVES DE LA PODOPHYLLOTOXINE 
L01CC;DERIVES DE LA COLCHICINE 
L01CD;TAXANES 
L01CX;Autres alcaloïdes vEgEtaux et dErivEs naturels 
L01DA;ACTINOMYCINES 
L01DB;ANTHRACYCLINES ET APPARENTES 
L01DC;AUTRES ANTIBIOTIQUES CYTOTOXIQUES 
L01XA;DERIVES DU PLATINE 
L01XB;METHYLHYDRAZINES 
L01XC;ANTICORPS MONOCLONAUX 
L01XD;SENSIBILISATEURS UTILISES DANS LA THERAPIE PHOTODYNAMIQUE/RADIOTHERAPIE
L01XE;INHIBITEURS DE PROTEINE KINASE 
L01XX;AUTRES ANTINEOPLASIQUES 
L01XY;ASSOCIATIONS D'ANTINEOPLASIQUES 
L02AA;ESTROGENES 
L02AB;PROGESTATIFS 
L02AE;ANALOGUES DE L'HORMONE ENTRAINANT LA LIBERATION DE GONADOTROPHINES 
L02AX;AUTRES HORMONES 
L02BA;ANTI-ESTROGENES 
L02BB;ANTIANDROGENES 
L02BG;INHIBITEURS ENZYMATIQUES 
L02BX;AUTRES HORMONES ANTAGONISTES ET AGENTS APPARENTES 
L03AA;FACTEURS DE CROISSANCE 
L03AB;INTERFERONS 
L03AC;INTERLEUKINES 
L03AX;AUTRES IMMUNOSTIMULANTS 
L04AA;IMMUNOSUPPRESSEURS SELECTIFS 
L04AB;INHIBITEURS DU FACTEUR NECROSANT DES TUMEURS ALFA (TNF-a) 
L04AC;INHIBITEURS DE L’INTERLEUKINE 
L04AD;INHIBITEURS DE LA CALCINEURINE 
L04AX;AUTRES IMMUNOSUPPRESSEURS 
M01AA;BUTYLPYRAZOLIDINES 
M01AB;DERIVES DE L'ACIDE ACETIQUE ET APPARENTES 
M01AC;OXICAMS 
M01AE;DERIVES DE L'ACIDE PROPIONIQUE 
M01AG;FENAMATES 
M01AH;COXIBS 
M01AX;AUTRES ANTIINFLAMMATOIRES ANTIRHUMATISMAUX NON STEROIDIENS 
M01BA;ANTIINFLAMMATOIRES ANTIRHUMATISMAUX EN ASSOCIATION AVEC DES CORTICOIDES
M01BX;AUTRES ANTIINFLAMMATOIRES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES 
M01CA;QUINOLEINES 
M01CB;MEDICAMENTS A BASE D'OR 
M01CC;PENICILLAMINE ET ANALOGUES 
M01CX;AUTRES ANTIRHUMATISMAUX SPECIFIQUES 
M02AA;ANTIINFLAMMATOIRES NON STEROIDIENS A USAGE TOPIQUE 
M02AB;PREPARATIONS A BASE DE CAPSICUM ET APPARENTES 
M02AC;PREPARATIONS AVEC DES DERIVES DE L'ACIDE SALICYLIQUE 
M02AX;AUTRES TOPIQUES POUR DOULEURS ARTICULAIRE ET MUSCULAIRE 
M03AA;CURARES 
M03AB;DERIVES DE LA CHOLINE 
M03AC;AUTRES AMMONIUMS QUATERNAIRES 
M03AX;AUTRES MYORELAXANTS A ACTION PERIPHERIQUE 
M03BA;ESTERS DE L'ACIDE CARBAMIQUE 
M03BB;DERIVES OXAZOLES, THIAZINIQUES ET TRIAZINIQUES 
M03BC;ETHERS CHIMIQUEMENT PROCHES DES ANTIHISTAMINIQUES 
M03BX;AUTRES MEDICAMENTS A ACTION CENTRALE 
M03CA;DANTROLENE ET DERIVES 
M04AA;INHIBITEURS DE LA SYNTHESE DE L'ACIDE URIQUE 
M04AB;URICOSURIQUES 
M04AC;MEDICAMENTS SANS EFFET SUR LE METABOLISME DE L'ACIDE URIQUE 
M04AX;AUTRES ANTIGOUTTEUX 
M05BA;DIPHOSPHONATES 
M05BB;DIPHOSPHONATES EN ASSOCIATION 
M05BC;PROTEINES AGISSANT MORPHOGENETIQUEMENT SUR L'OS 
M05BX;AUTRES MEDICAMENTS AGISSANT SUR LA STRUCTURE OSSEUSE ET LA MINERALISATION
M09AA;QUININE ET DERIVES 
M09AB;ENZYMES 
M09AX;AUTRES MEDICAMENTS DES DESORDRES MUSCULO-SQUELETTIQUES 
N01AA;ETHERS 
N01AB;HYDROCARBURES HALOGENES 
N01AF;BARBITURIQUES NON ASSOCIES 
N01AG;BARBITURIQUES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES 
N01AH;ANESTHESIQUES OPIOIDES 
N01AX;AUTRES ANESTHESIQUES GENERAUX 
N01BA;ESTERS DE L'ACIDE AMINOBENZOIQUE 
N01BB;AMIDES 
N01BC;ESTERS DE L'ACIDE BENZOIQUE 
N01BX;AUTRES ANESTHESIQUES LOCAUX 
N02AA;ALCALOIDES NATURELS DE L'OPIUM 
N02AB;DERIVES DE LA PHENYLPIPERIDINE 
N02AC;DERIVES DE LA DIPHENYLPROPYLAMINE 
N02AD;DERIVES DU BENZOMORPHANE 
N02AE;DERIVES DE L'ORIPAVINE 
N02AF;DERIVES DU MORPHINANE 
N02AG;OPIOIDES EN ASSOCIATION AVEC DES ANTISPASMODIQUES 
N02AX;AUTRES OPIOIDES 
N02BA;ACIDE SALICYLIQUE ET DERIVES 
N02BB;PYRAZOLONES 
N02BE;ANILIDES 
N02BG;AUTRES ANALGESIQUES ET ANTIPYRETIQUES 
N02CA;ALCALOIDES DE L'ERGOT 
N02CB;DERIVES DES CORTICOIDES 
N02CC;AGONISTES SELECTIFS DES RECEPTEURS 5HT1 
N02CX;AUTRES ANTIMIGRAINEUX 
N03AA;BARBITURIQUES ET DERIVES 
N03AB;DERIVES DE L'HYDANTOINE 
N03AC;DERIVES DE L'OXAZOLIDINE 
N03AD;DERIVES DU SUCCINIMIDE 
N03AE;DERIVES DE LA BENZODIAZEPINE 
N03AF;DERIVES DU CARBOXAMIDE 
N03AG;DERIVES D'ACIDE GRAS 
N03AX;AUTRES ANTIEPILEPTIQUES 
N04AA;AMINES TERTIAIRES 
N04AB;ETHERS, CHIMIQUEMENT PROCHES DES ANTIHISTAMINIQUES 
N04AC;ETHERS DE LA TROPINE OU DERIVES DE LA TROPINE 
N04BA;DOPA ET DERIVES 
N04BB;DERIVES DE L'ADAMANTANE 
N04BC;AGONISTES DOPAMINERGIQUES 
N04BD;INHIBITEURS DE LA MONOAMINE OXYDASE TYPE B 
N04BX;AUTRES DOPAMINERGIQUES 
N05AA;PHENOTHIAZINES A CHAINE ALIPHATIQUE 
N05AB;PHENOTHIAZINES DE STRUCTURE PIPERAZINIQUE 
N05AC;PHENOTHIAZINES DE STRUCTURE PIPERIDINIQUE 
N05AD;DERIVES DE LA BUTYROPHENONE 
N05AE;DERIVES INDOLIQUES 
N05AF;DERIVES DU THIOXANTHENE 
N05AG;DERIVES DE LA DIPHENYLBUTYLPIPERIDINE 
N05AH;DIAZEPINES, OXAZEPINES ET THIAZEPINES 
N05AK;NEUROLEPTIQUES UTILISES DANS LES DYSKINESIES TARDIVES 
N05AL;BENZAMIDES 
N05AN;LITHIUM 
N05AX;AUTRES ANTIPSYCHOTIQUES 
N05BA;DERIVES DE LA BENZODIAZEPINE 
N05BB;DERIVES DU DIPHENYLMETHANE 
N05BC;CARBAMATES 
N05BD;DERIVES DU DIBENZO-BICYCLO-OCTADIENE 
N05BE;DERIVES DE L'AZASPIRODECANEDIONE 
N05BX;AUTRES ANXIOLYTIQUES 
N05CA;BARBITURIQUES NON ASSOCIES 
N05CB;BARBITURIQUES EN ASSOCIATION 
N05CC;ALDEHYDES ET DERIVES 
N05CD;DERIVES DE LA BENZODIAZEPINE 
N05CE;DERIVES DE LA PIPERIDINEDIONE 
N05CF;SUBSTANCES APPARENTEES AUX BENZODIAZEPINES 
N05CH;AGONISTES DES RECEPTEURS DE LA MELATONINE 
N05CM;AUTRES HYPNOTIQUES ET SEDATIFS 
N05CX;HYPNOTIQUES ET SEDATIFS EN ASSOCIATION, BARBITURIQUES EXCLUS 
N06AA;INHIBITEURS NON SELECTIFS DE LA RECAPTURE DE LA MONOAMINE 
N06AB;INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE 
N06AF;INHIBITEURS DE LA MONOAMINE OXYDASE, NON SELECTIFS 
N06AG;INHIBITEURS DE LA MONAMINE OXYDASE TYPE A 
N06AX;AUTRES ANTIDEPRESSEURS 
N06BA;SYMPATHOMIMETIQUES D'ACTION CENTRALE 
N06BC;DERIVES DE LA XANTHINE 
N06BX;AUTRES PSYCHOSTIMULANTS ET NOOTROPES 
N06CA;ANTIDEPRESSEURS EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES 
N06CB;PSYCHOSTIMULANTS EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES 
N06DA;ANTICHOLINESTERASIQUES 
N06DX;AUTRES MEDICAMENTS DE LA DEMENCE 
N07AA;ANTICHOLINESTERASIQUES 
N07AB;ESTERS DE LA CHOLINE 
N07AX;AUTRES PARASYMPATHOMIMETIQUES 
N07BA;MEDICAMENTS UTILISES DANS LA DEPENDANCE À LA NICOTINE 
N07BB;MEDICAMENTS UTILISES DANS LA DEPENDANCE ALCOOLIQUE 
N07BC;MEDICAMENTS UTILISES DANS LA DEPENDANCE AUX OPIOÏDES 
N07CA;ANTIVERTIGINEUX 
N07XA;GANGLIOSIDES ET DERIVES 
N07XX;AUTRES MEDICAMENTS DU SYSTEME NERVEUX 
P01AA;DERIVES DE L'HYDROXYQUINOLINE 
P01AB;DERIVES DU NITROIMIDAZOLE 
P01AC;DERIVES DU DICHLOROACETAMIDE 
P01AR;MEDICAMENTS À BASE D'ARSENIC 
P01AX;AUTRES MEDICAMENTS CONTRE L'AMIBIASE ET AUTRES PROTOZOOSES 
P01BA;AMINOQUINOLEINES 
P01BB;BIGUANIDES 
P01BC;METHANOLQUINOLEINES 
P01BD;DIAMINOPYRIMIDINES 
P01BE;ARTEMISININE ET DERIVES 
P01BF;ARTEMISININE ET DERVIVES, EN ASSOCIATION
P01BX;AUTRES ANTIPALUDIQUES 
P01CA;DERIVES DU NITROIMIDAZOLE 
P01CB;MEDICAMENTS A BASE D'ANTIMOINE 
P01CC;DERIVES DU NITROFURANE 
P01CD;MEDICAMENTS A BASE D'ARSENIC 
P01CX;AUTRES ANTILEISHMANIENS ET TRYPANOCIDES 
P02BA;DERIVES DE LA QUINOLEINE ET APPARENTES 
P02BB;ORGANOPHOSPHORES 
P02BX;AUTRES ANTITREMATODES 
P02CA;DERIVES DU BENZIMIDAZOLE 
P02CB;PIPERAZINE ET DERIVES 
P02CC;DERIVES DE LA TETRAHYDROPYRIMIDINE 
P02CE;DERIVES DE L'IMIDAZOTHIAZOLE 
P02CF;AVERMECTINES 
P02CX;AUTRES ANTINEMATODES 
P02DA;DERIVES DE L'ACIDE SALICYLIQUE 
P02DX;AUTRES ANTICESTODES 
P03AC;PYRETHRINES, DERIVES DE SYNTHESE INCLUS
P03AX;AUTRES ANTIPARASITAIRES EXTERNES, SCABICIDES INCLUS
R01AA;SYMPATHOMIMETIQUES NON ASSOCIES 
R01AB;SYMPATHOMIMETIQUES EN ASSOCIATION SAUF AUX CORTICOIDES 
R01AC;ANTIALLERGIQUES, CORTICOIDES EXCLUS 
R01AD;CORTICOIDES 
R01AX;AUTRES PREPARATIONS NASALES 
R01BA;SYMPATHOMIMETIQUES 
R02AA;ANTISEPTIQUES 
R02AB;ANTIBIOTIQUES 
R02AD;ANESTHESIQUES LOCAUX 
R03AA;AGONISTES ALPHA ET BETA ADRENERGIQUES 
R03AB;AGONISTES NON SELECTIFS BETA ADRENERGIQUES 
R03AC;AGONISTES SELECTIFS BETA 2 ADRENERGIQUES 
R03AH;ASSOCIATIONS D'ADRENERGIQUES 
R03AK;ADRENERGIQUES ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES
R03AL;ADRENERGIQUES EN ASSOCIATION AVEC ANTICHOLINERGIQUES
R03BA;GLUCOCORTICOIDES 
R03BB;ANTICHOLINERGIQUES 
R03BC;ANTIALLERGIQUES, CORTICOIDES EXCLUS 
R03BX;AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES PAR INHALATION
R03CA;AGONISTES ALPHA ET BETA ADRENERGIQUES 
R03CB;AGONISTES NON SELECTIFS BETA ADRENERGIQUES 
R03CC;AGONISTES SELECTIFS BETA 2 ADRENERGIQUES 
R03CK;ADRENERGIQUES ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES
R03DA;XANTHINES 
R03DB;XANTHINES ET ADRENERGIQUES 
R03DC;ANTAGONISTES DES RECEPTEURS AUX LEUCOTRIÈNES 
R03DX;AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES À USAGE SYSTEMIQUE
R05CA;EXPECTORANTS 
R05CB;MUCOLYTIQUES 
R05DA;ALCALOIDES DE L'OPIUM ET DERIVES 
R05DB;AUTRES ANTITUSSIFS 
R05FA;DERIVES DE L'OPIUM ET EXPECTORANTS 
R05FB;AUTRES ANTITUSSIFS ET EXPECTORANTS 
R06AA;ETHERS AMINOALKYLE 
R06AB;ALKYLAMINES SUBSTITUEES 
R06AC;ETHYLENE DIAMINES SUBSTITUEES 
R06AD;DERIVES DE LA PHENOTHIAZINE 
R06AE;DERIVES DE LA PIPERAZINE 
R06AK;ASSOCIATIONS D'ANTIHISTAMINIQUES 
R06AX;AUTRES ANTIHISTAMINIQUES A USAGE SYSTEMIQUE 
R07AA;SURFACTANTS PULMONAIRES 
R07AB;STIMULANTS RESPIRATOIRES 
R07AX;AUTRES MEDICAMENTS DU SYSTEME RESPIRATOIRE 
S01AA;ANTIBIOTIQUES 
S01AB;SULFAMIDES 
S01AD;ANTIVIRAUX 
S01AE;FLUOROQUINOLONES 
S01AX;AUTRES ANTIINFECTIEUX 
S01BA;CORTICOIDES NON ASSOCIES 
S01BB;CORTICOIDES ET MYDRIATIQUES EN ASSOCIATION 
S01BC;ANTIINFLAMMATOIRES NON STEROIDIENS 
S01CA;CORTICOIDES ET ANTIINFECTIEUX EN ASSOCIATION 
S01CB;CORTICOIDES, ANTIINFECTIEUX ET MYDRIATIQUES EN ASSOCIATION 
S01CC;ANTIINFLAMMATOIRES NON STEROIDIENS ET ANTIINFECTIEUX EN ASSOCIATION 
S01EA;SYMPATHOMIMETIQUES ANTIGLAUCOMATEUX 
S01EB;PARASYMPATHOMIMETIQUES 
S01EC;INHIBITEURS DE L'ANHYDRASE CARBONIQUE 
S01ED;BETABLOQUANTS 
S01EE;Analogues de la prostaglandine 
S01EX;AUTRES ANTIGLAUCOMATEUX 
S01FA;ANTICHOLINERGIQUES 
S01FB;SYMPATHOMIMETIQUES, ANTIGLAUCOMATEUX EXCLUS 
S01GA;SYMPATHOMIMETIQUES UTILISES COMME DECONGESTIONNANTS 
S01GX;AUTRES ANTIALLERGIQUES 
S01HA;ANESTHESIQUES LOCAUX 
S01JA;COLORANTS 
S01JX;AUTRES MEDICAMENTS DE DIAGNOSTIC EN OPHTALMOLOGIE 
S01KA;MEDICAMENTS VISCOELASTIQUES 
S01KX;AUTRES ADJUVANTS EN CHIRURGIE OPHTALMIQUE 
S01LA;MEDICAMENTS CONTRE LA NEOVASCULARISATION 
S01XA;AUTRES MEDICAMENTS OPHTALMOLOGIQUES 
S02AA;ANTIINFECTIEUX 
S02BA;CORTICOIDES 
S02CA;CORTICOIDES ET ANTIINFECTIEUX EN ASSOCIATION 
S02DA;ANALGESIQUES ET ANESTHESIQUES 
S02DC;AUTRES MEDICAMENTS 
V01AA;EXTRAITS D'ALLERGENES 
V03AB;ANTIDOTES 
V03AC;CHELATEURS DU FER 
V03AE;MEDICAMENTS DE L'HYPERKALIEMIE ET DE L'HYPERPHOSPHATEMIE 
V03AF;MEDICAMENTS DETOXIFIANTS DANS UN TRAITEMENT CYTOSTATIQUE 
V03AG;MEDICAMENTS DE L'HYPERCALCEMIE 
V03AH;MEDICAMENTS DE L'HYPOGLYCEMIE 
V03AM;MEDICAMENTS POUR L'EMBOLISATION 
V03AN;GAZ MEDICAUX 
V03AX;AUTRES MEDICAMENTS 
V03AZ;DEPRESSEURS DU SYSTEME NERVEUX 
V04CA;TESTS POUR LE DIABETE 
V04CB;TESTS POUR L'ABSORPTION DES GRAISSES 
V04CC;TESTS POUR LA FONCTION BILIAIRE 
V04CD;TESTS POUR LA FONCTION HYPOPHYSAIRE 
V04CE;TESTS POUR LA FONCTION HEPATIQUE 
V04CF;DIAGNOSTIC DE LA TUBERCULOSE 
V04CG;TESTS POUR LA SECRETION GASTRIQUE 
V04CH;TESTS POUR LA FONCTION RENALE 
V04CJ;TESTS POUR LA FONCTION THYROIDIENNE 
V04CK;TESTS POUR LA FONCTION PANCREATIQUE 
V04CL;TESTS POUR LES AFFECTIONS ALLERGIQUES 
V04CM;TESTS POUR LES TROUBLES DE LA FERTILITE 
V04CX;AUTRES MEDICAMENTS POUR DIAGNOSTIC 
V06AA;REGIMES HYPOCALORIQUES 
V06CA;NUTRIMENTS SANS PHENYLALANINE 
V06DA;ASSOCIATIONS D'HYDRATE DE CARBONE, PROTEINES, MINERAUX, VITAMINES 
V06DB;ASSOCIATIONS DE LIPIDES, HYDRATES DE CARBONE, PROTEINES, VITAMINES 
V06DC;HYDRATES DE CARBONE 
V06DD;ACIDES AMINES, ASSOCIATIONS AVEC DES POLYPEPTIDES INCLUSES 
V06DE;ASSOCIATIONS D'ACIDES AMINES, HYDRATES DE CARBONE, MINERAUX, VITAMINES
V06DF;SUBSTITUTS DU LAIT 
V06DX;AUTRES ASSOCIATIONS DE NUTRIMENTS 
V07AA;PLATRES 
V07AB;SOLVANTS ET DILUANTS, SOLUTIONS D'IRRIGATION INCLUSES 
V07AC;PRODUITS AUXILIAIRES POUR TRANSFUSION SANGUINE 
V07AD;PRODUITS AUXILIAIRES POUR TESTS SANGUINS 
V07AN;EQUIPEMENT POUR INCONTINENCE 
V07AR;TESTS DE SENSIBILITE, DISQUES ET COMPRIMES 
V07AS;MATERIELS POUR STOMIES 
V07AT;COSMETIQUES 
V07AV;DESINFECTANTS TECHNIQUES 
V07AX;AGENTS DE NETTOYAGE ETC... 
V07AY;AUTRES PRODUITS AUXILIAIRES NON THERAPEUTIQUES 
V07AZ;PRODUITS CHIMIQUES ET REACTIFS POUR ANALYSE 
V08AA;PRODUITS DE CONTRASTE DE HAUTE OSMOLARITE, HYDROSOLUBLES, 
V08AB;PRODUITS DE CONTRASTE DE BASSE OSMOLARITE, HYDROSOLUBLES, A TROPISME RENAL
V08AC;PRODUITS DE CONTRASTE HYDROSOLUBLES, A TROPISME HEPATIQUE 
V08AD;PRODUITS DE CONTRASTE NON HYDROSOLUBLES 
V08BA;PRODUITS DE CONTRASTE BARYTES 
V08CA;PRODUITS DE CONTRASTE PARAMAGNETIQUES 
V08CB;PRODUITS DE CONTRASTE SUPERPARAMAGNETIQUES 
V08CX;AUTRES PRODUITS DE CONTRASTE POUR IMAGERIE PAR RESONANCE MAGNETIQUE
V08DA;PRODUITS POUR ECHOGRAPHIE 
WHOM;HOMEOPATHIE
