"CAM_PRS_IDE_COD";"CAM_PRS_IDE_LIB";"CAM_PRS_RGT"
"BCPA002";"Libération de symblépharon, avec autogreffe de conjonctive ou de muqueuse";"ADC"
"BDNP001";"Destruction de lésion superficielle de la cornée par moyen physique";"ATM"
"BDNP002";"Abrasion mécanique de l'épithélium de la cornée sans laser";"ATM"
"BDNP003";"Abrasion mécanique de l'épithélium de la cornée avec laser";"ATM"
"BDCB001";"Microponctions [Micropunctures] mécaniques antérieures de la cornée, à visée thérapeutique";"ATM"
"BDCA003";"Suture d'une plaie linéaire non transfixiante de la cornée";"ADC"
"BDCA004";"Suture d'une plaie linéaire transfixiante de la cornée";"ADC"
"BDCA001";"Suture d'une plaie non linéaire de la cornée";"ADC"
"BDCA002";"Suture de plaies multiples unilatérales ou bilatérales de la cornée";"ADC"
"BDGP002";"Ablation d'un corps étranger superficiel de la cornée";"ATM"
"BDGP003";"Ablation de corps étrangers superficiels multiples unilatéraux ou bilatéraux de la cornée";"ATM"
"BDGA005";"Ablation d'un corps étranger profond [stromal] de la cornée";"ADC"
"BDGA002";"Ablation de corps étrangers profonds [stromaux] multiples unilatéraux ou bilatéraux de la cornée";"ADC"
"BDGA004";"Ablation de corps étrangers superficiels et profonds multiples unilatéraux ou bilatéraux de la cornée";"ADC"
"BDFA002";"Kératectomie lamellaire";"ADC"
"BDFA004";"Excision de fistule du limbe de la cornée";"ADC"
"BDFA003";"Exérèse de tumeur du limbe de la cornée sans greffe de cornée";"ADC"
"BDFA001";"Exérèse de tumeur du limbe de la cornée avec greffe de cornée";"ADC"
"BDFL001";"Exérèse de tumeur du limbe de la cornée avec implantation de source de rayonnement";"ADC"
"BDMA001";"Autokératoplastie par rotation";"ADC"
"BDMA002";"Kératoplastie lamellaire profonde [Transplantation cornéenne lamellaire]";"ADC"
"BCBP001";"Recouvrement conjonctival partiel ou total de la cornée";"ADC"
"BDMA006";"Conjonctivokératoplastie par greffe de membrane amniotique humaine";"ADC"
"BDMA008";"Kératoplastie transfixiante [Transplantation cornéenne transfixiante]";"ADC"
"BDMA003";"Kératoplastie transfixiante [Transplantation cornéenne transfixiante], avec extraction extracapsulaire du cristallin";"ADC"
"BDMA900";"Kératoplastie lamellaire avec conjonctivoplastie [Transplantation cornéoconjonctivale]";"ADC"
"BDLA002";"Pose de kératoprothèse en un temps";"ADC"
"BDLA003";"Pose de kératoprothèse biocolonisable";"NA"
"BDPA001";"Kératotomie relaxante pour correction de l'astigmatisme cornéen induit";"ADC"
"BDFP002";"Photokératectomie avec laser excimère";"ATM"
"BDFP001";"Photokératectomie réfractive [de confort] avec laser excimère";"ATM"
"BDEA002";"Épikératophakie";"ADC"
"BDLA005";"Pose d’anneaux intra cornéens à but thérapeutique";"ADC"
"BDRP027";"Photopolymérisation de la cornée [crosslinking]";"ADC"
"BDFP003";"Kératomileusis in situ avec laser excimère";"ATM"
"BELA002";"Pose d'implant à but réfractif dans la chambre antérieure de l'œil";"ADC"
"BDJP001";"Irrigation continue de la cornée et/ou de la conjonctive";"ATM"
"BENA001";"Destruction de lésion de l'iris ou du corps ciliaire";"ADC"
"BENA002";"Destruction partielle du corps ciliaire";"ADC"
"BEPP001";"Section de synéchies et/ou de brides du segment antérieur de l'œil avec laser";"ATM"
"BEPA001";"Libération de synéchies et/ou de brides du segment antérieur de l'œil, par kératotomie";"ADC"
"BENP001";"Séance de photocoagulation de l'angle iridocornéen avec laser";"ATM"
"BEJB002";"Évacuation de collection de la chambre antérieure de l'œil, par voie transsclérale ou par voie transcornéenne sans irrigation-aspiration automatisée";"ATM"
"BEJB001";"Évacuation de collection de la chambre antérieure de l'œil, par voie transsclérale ou par voie transcornéenne avec irrigation-aspiration automatisée";"ATM"
"BELB001";"Injection de substance inerte ou organique dans la chambre antérieure de l'œil, par voie transcornéenne [Reformation de la chambre antérieure]";"ATM"
"BEPA004";"Iridotomie ou iridectomie périphérique ou sectorielle sans laser";"ADC"
"BEPP002";"Iridotomie avec laser";"ATM"
"BEPB001";"Goniotomie oculaire, par voie transsclérale";"ADC"
"BEPA003";"Trabéculotomie, par sclérotomie";"ADC"
"BEPA002";"Décollement du corps ciliaire [Cyclodialyse]";"ADC"
"BEJB004";"Drainage de l'humeur aqueuse de l'œil";"ADC"
"BEGA002";"Ablation de système mécanique de drainage de l'humeur aqueuse";"ADC"
"BEMA008";"Correction chirurgicale d'une fistule ou d'un drainage de l'humeur aqueuse";"ADC"
"BEGA003";"Ablation de corps étranger intraoculaire du segment antérieur avec réparation de plaie perforante de l'œil intéressant au moins 2 des structures suivantes : cornée, iris, cristallin";"ADC"
"BEGA004";"Ablation secondaire de corps étranger du segment antérieur de l'œil";"ADC"
"BEFA007";"Résection ou réintégration secondaire de hernie de l'iris";"ADC"
"BEFA001";"Exérèse de lésion de l'iris";"ADC"
"BEFA004";"Exérèse de lésion du corps ciliaire";"ADC"
"BEFA009";"Iridocyclectomie pour tumeur du corps ciliaire";"ADC"
"BEFA003";"Exérèse d'une invasion épithéliale de la chambre antérieure de l'œil, sans autogreffe";"ADC"
"BEFA005";"Exérèse d'une invasion épithéliale de la chambre antérieure de l'œil, avec autogreffe cornéenne ou cornéosclérale";"ADC"
"BEFA008";"Trabéculectomie [Sclérectomie transfixiante]";"ADC"
"BGFA014";"Sclérectomie profonde non transfixiante ou sclérokératectomie profonde, sans viscocanaliculoplastie";"ADC"
"BGFA900";"Sclérectomie profonde non transfixiante ou sclérokératectomie profonde, avec viscocanaliculoplastie";"ADC"
"BEEA001";"Corépraxie";"ADC"
"BEMA002";"Plastie de la pupille ou de l'iris, sans laser";"ADC"
"BEMP001";"Plastie de la pupille ou de l'iris, avec laser";"ADC"
"BEEA002";"Réinsertion de la racine de l'iris";"ADC"
"BFGA003";"Extraction extracapsulaire manuelle du cristallin, sans implantation de cristallin artificiel";"ADC"
"BFGA002";"Extraction extracapsulaire manuelle du cristallin, avec implantation de cristallin artificiel dans la chambre postérieure de l'œil";"ADC"
"BFGA008";"Extraction extracapsulaire du cristallin par phakoémulsification, sans implantation de cristallin artificiel";"ADC"
"BFGA427";"Extraction extracapsulaire du cristallin par phakoémulsification, avec implantation de cristallin artificiel dans la chambre postérieure de l'œil, sans implantation de dispositif de drainage trabéculaire";"ADC"
"BFGA368";"Extraction extracapsulaire du cristallin par phakoémulsification, avec implantation de cristallin artificiel dans la chambre postérieure de l'œil, avec implantation de dispositif de drainage trabéculaire ab interno";"ADC"
"BFGA009";"Extraction intracapsulaire du cristallin, sans implantation de cristallin artificiel";"ADC"
"BFGA006";"Extraction intracapsulaire ou extracapsulaire du cristallin, avec implantation de cristallin artificiel dans la chambre antérieure de l'œil en cas d'impossibilité d'implantation dans la chambre postérieure";"ADC"
"BFGA010";"Extraction du cristallin par sclérotomie postérieure [pars plana] [Phakophagie]";"ADC"
"BFGA007";"Extraction de cristallin subluxé ou ectopique";"ADC"
"BFGA001";"Extraction de cristallin luxé";"ADC"
"BFPA002";"Capsulotomie ou exérèse partielle ou totale de reliquats de la capsule du cristallin, par kératotomie";"ADC"
"BFPP001";"Capsulotomie du cristallin pour cataracte secondaire, avec laser";"ADC"
"BFGA005";"Ablation de matériel implanté dans le segment antérieur de l'œil";"ADC"
"BFLA001";"Implantation secondaire d'un cristallin artificiel non suturé";"ADC"
"BFLA003";"Implantation secondaire d'un cristallin artificiel suturé";"ADC"
"BFLA004";"Implantation secondaire de cristallin artificiel sur un œil pseudophake";"ADC"
"BFKA001";"Changement de matériel implanté dans le segment antérieur de l'œil";"ADC"
"BFEA001";"Repositionnement de cristallin artificiel ou de lentille intraoculaire";"ADC"
"BGLB002";"Injection de gaz dans le corps vitré";"ATM"
"BGLB001";"Injection d'agent pharmacologique dans le corps vitré";"ATM"
"BGJB001";"Évacuation de collection de la choroïde, par voie transsclérale";"ATM"
"BGNP006";"Destruction de lésion choriorétinienne par photocoagulation transsclérale";"ATM"
"BGNP004";"Séance de destruction de lésion choriorétinienne par photocoagulation transpupillaire avec laser";"ATM"
"BGNP002";"Séance de destruction de lésion choriorétinienne par cryoapplication transsclérale";"ATM"
"BGNP003";"Séance de destruction de lésion choriorétinienne par photocoagulation avec laser, à l'aide de verre de contact";"ATM"
"BGNP007";"Séance de destruction de lésion choriorétinienne par photocoagulation avec laser, à l'aide d'ophtalmoscope indirect";"ATM"
"BGNP005";"Séance de photocoagulation transpupillaire pour rétinopathie du prématuré";"ATM"
"BGLP001";"Séance de cryoapplication transsclérale pour rétinopathie du prématuré";"ATM"
"BGNP008";"Séance de photocoagulation choriorétinienne du pôle postérieur, avec laser à argon ou diode";"ATM"
"BGNP001";"Séance de photocoagulation choriorétinienne du pôle postérieur, avec laser monochromatique ou laser à colorants";"ATM"
"BGRF001";"Séance de photothérapie dynamique de la région maculaire avec injection de produit photosensibilisant";"ATM"
"BGNA001";"Destruction de lésion choriorétinienne par agent physique, par sclérotomie";"ADC"
"BGJA001";"Évacuation d'hématome prérétinien avec laser";"ADC"
"BGJA002";"Évacuation de collection subrétinienne, par rétinotomie";"ADC"
"BGPA001";"Rétinotomie relaxante et/ou dissection de membrane rétrorétinienne";"ADC"
"BGFA002";"Exérèse de néovaisseaux choroïdiens de topographie maculaire, par rétinotomie";"ADC"
"BGFA004";"Exérèse de tumeur de la choroïde sans iridocyclectomie";"ADC"
"BGFA007";"Exérèse de tumeur de la choroïde avec iridocyclectomie";"ADC"
"BGFA001";"Vitrectomie par sclérotomie postérieure, sans coagulation de la rétine";"ADC"
"BGFA009";"Vitrectomie par sclérotomie postérieure, avec endocoagulation de la rétine avec laser ou par diathermie sans tamponnement";"ADC"
"BGFA006";"Vitrectomie par sclérotomie postérieure, avec coagulation transsclérale de la rétine sans tamponnement";"ADC"
"BGFA010";"Vitrectomie par sclérotomie postérieure, avec coagulation de la rétine et tamponnement interne provisoire";"ADC"
"BGFA011";"Vitrectomie par sclérotomie postérieure, avec extraction du cristallin";"ADC"
"BGFA005";"Vitrectomie par sclérotomie postérieure, avec dissection du cortex vitréen [pelage] et tamponnement interne par gaz";"ADC"
"BGFA003";"Vitrectomie avec dissection des membranes, coagulation et tamponnement intraoculaire ou indentation transsclérale, pour rétinopathie du prématuré";"ADC"
"BGGA003";"Ablation de matériel implanté ou de matériel d'indentation du segment postérieur de l'œil, extériorisé";"ADC"
"BGGA004";"Ablation de matériel implanté ou de matériel d'indentation du segment postérieur de l'œil, non extériorisé";"ADC"
"BGGA005";"Ablation d'huile de silicone intravitréenne";"ADC"
"BGGA002";"Ablation secondaire de corps étranger du segment postérieur de l'œil sans électroaimant";"ADC"
"BGGA001";"Ablation secondaire de corps étranger du segment postérieur de l'œil avec électroaimant";"ADC"
"BGBA001";"Tamponnement interne du segment postérieur de l'œil par fossette colobomateuse ou par trou maculaire, pour décollement de rétine";"ADC"
"BGDA008";"Rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire sans indentation, avec tamponnement interne par gaz";"ADC"
"BGDA004";"Rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation sclérale limitée à un quadrant, sans tamponnement";"ADC"
"BGDA003";"Rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation sclérale limitée à un quadrant, avec tamponnement interne par gaz";"ADC"
"BGDA002";"Rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation sclérale sur plus d'un quadrant, sans tamponnement";"ADC"
"BGDA001";"Rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation sclérale sur plus d'un quadrant, avec tamponnement interne par gaz";"ADC"
"BGDA005";"Rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation sclérale sur 360° [cerclage], sans tamponnement";"ADC"
"BGDA006";"Rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation sclérale sur 360° [cerclage], avec tamponnement interne par gaz";"ADC"
"BGDA007";"Indentation transsclérale par ballonnet";"ADC"
"BGMA003";"Modification d'indentation sclérale pour décollement de rétine persistant";"ADC"
"BGFA012";"Exérèse de lésion de la sclère";"ADC"
"BGCA002";"Suture de plaie de la sclère";"ADC"
"BGSA002";"Fermeture de fistule de la sclère";"ADC"
"BGMA900";"Renforcement scléral postérieur de l'œil par autogreffe tissulaire";"ADC"
"BGMA901";"Renforcement scléral postérieur de l'œil par matériau de synthèse";"ADC"
"BGPA002";"Dissection de la membrane épirétinienne et/ou de la membrane vitrée [hyaloïde]";"ADC"
"BGPA003";"Section ou libération de brides, de membranes et/ou d'adhérences vitréorétiniennes postopératoires";"ADC"
"BGPP002";"Vitréosection avec laser";"ATM"
"BGMA002";"Opération rétinovitréenne associant au moins 4 des actes suivants : coagulation, vitrectomie, endocoagulation avec laser, rétinotomie, tamponnement interne, échange fluide-gaz, dissection de brides, rétinectomie";"ADC"
"BGMA001";"Opération rétinovitréenne associant une indentation et au moins 4 des actes suivants : coagulation, vitrectomie, endocoagulation avec laser, rétinotomie, tamponnement interne, échange fluide-gaz, dissection de brides";"ADC"
"BHMA001";"Réparation de plaie linéaire perforante du bulbe [globe] oculaire, avec suture cornéosclérale";"ADC"
"BHMA002";"Réparation de plaie non linéaire perforante du bulbe [globe] oculaire intéressant au moins 3 des structures suivantes : cornée, sclère, iris, corps ciliaire, cristallin, corps vitré, rétine";"ADC"
"BHGA002";"Éviscération du bulbe [globe] oculaire, sans comblement de la cavité sclérale";"ADC"
"BHGA006";"Éviscération du bulbe [globe] oculaire, avec comblement de la cavité sclérale";"ADC"
"BHGA004";"Énucléation du bulbe [globe] oculaire sans mobilisation [no touch]";"ADC"
"BHGA001";"Énucléation du bulbe [globe] oculaire, sans insertion d'implant ni autogreffe";"ADC"
"BHGA005";"Énucléation du bulbe [globe] oculaire, avec insertion d'un implant nu dans la gaine du bulbe [capsule de Tenon]";"ADC"
"BHGA003";"Énucléation du bulbe [globe] oculaire, avec insertion d'un implant habillé dans la gaine du bulbe [capsule de Tenon]";"ADC"
"BHGA007";"Énucléation du bulbe [globe] oculaire, avec insertion d'un implant biocolonisable dans la gaine du bulbe [capsule de Tenon]";"ADC"
"BKGA007";"Exentération de l'orbite";"ADC"
"BKGA006";"Exentération de l'orbite étendue aux structures musculaires adjacentes et/ou aux parois osseuses, sans comblement";"ADC"
"BKGA004";"Exentération de l'orbite étendue aux structures musculaires adjacentes et/ou aux parois osseuses, avec comblement par autogreffe cutanée et lambeau musculaire temporal";"ADC"
"BDFA006";"Prélèvement unilatéral ou bilatéral de cornée avec collerette sclérale sur un sujet décédé, avec pose de prothèse";"ADC"
"BDFA007";"Prélèvement unilatéral ou bilatéral de cornée avec collerette sclérale au cours d'un prélèvement multiorgane sur un sujet en état de mort encéphalique, avec pose de prothèse";"ADC"
"BHFA001";"Prélèvement unilatéral ou bilatéral du bulbe [globe] oculaire, au cours d'un prélèvement multiorgane sur un sujet en état de mort encéphalique";"ADC"
"BJCA001";"Suture de plaie des muscles oculomoteurs";"ADC"
"BJEA002";"Réinsertion posttraumatique de muscle oculomoteur";"ADC"
"BJMA002";"Renforcement, affaiblissement ou déplacement de l'insertion d'un muscle oculomoteur droit";"ADC"
"BJMA004";"Renforcement, affaiblissement ou déplacement de l'insertion d'un muscle oculomoteur oblique";"ADC"
"BJMA005";"Renforcement, affaiblissement ou déplacement unilatéral de l'insertion de 2 muscles oculomoteurs";"ADC"
"BJMA003";"Renforcement, affaiblissement ou déplacement bilatéral de l'insertion d'un muscle oculomoteur";"ADC"
"BJMA006";"Renforcement, affaiblissement ou déplacement de l'insertion de 2 muscles oculomoteurs d'un côté et d'un muscle oculomoteur de l'autre";"ADC"
"BJMA007";"Renforcement, affaiblissement ou déplacement de l'insertion de 4 muscles oculomoteurs ou plus";"ADC"
"BJMA001";"Renforcement ou affaiblissement unilatéral ou bilatéral de muscle oculomoteur, avec suture ajustable";"ADC"
"BJMA009";"Renforcement, affaiblissement ou déplacement itératif de l'insertion d'un muscle oculomoteur";"ADC"
"BJMA008";"Renforcement, affaiblissement ou déplacement itératif de l'insertion de 2 muscles oculomoteurs";"ADC"
"BJEA001";"Transposition de muscles oculomoteurs pour suppléance";"ADC"
"BJDA002";"Myopexie unilatérale rétroéquatoriale des muscles oculomoteurs";"ADC"
"BJDA001";"Myopexie bilatérale rétroéquatoriale des muscles oculomoteurs";"ADC"
"BKLB001";"Injection thérapeutique intraorbitaire, rétrobulbaire ou latérobulbaire, d'agent pharmacologique";"ATM"
"BJLB901";"Injection unilatérale ou bilatérale de toxine botulique dans les muscles oculomoteurs";"ATM"
"BKJA001";"Évacuation de collection de l'orbite";"ADC"
"BKGA005";"Ablation de corps étranger de l'orbite sans électroaimant, sans orbitotomie osseuse";"ADC"
"BKGA003";"Ablation de corps étranger de l'orbite sans électroaimant, avec orbitotomie osseuse";"ADC"
"BKGA008";"Ablation de corps étranger de l'orbite avec électroaimant, sans orbitotomie osseuse";"ADC"
"BKGA002";"Ablation de corps étranger de l'orbite avec électroaimant, avec orbitotomie osseuse";"ADC"
"BKFA002";"Exérèse de lésion de l'orbite, par abord conjonctivopalpébral";"ADC"
"BKFA001";"Exérèse de lésion de l'orbite, par abord latéral";"ADC"
"BKFA003";"Exérèse de lésion de l'orbite, par abord coronal";"ADC"
"BKMA003";"Reconstruction partielle de la cavité orbitaire par autogreffe";"ADC"
"BKMA001";"Reconstruction totale de la cavité orbitaire par autogreffe";"ADC"
"BKMA002";"Reconstruction orbitopalpébrale par matériau inerte et/ou autogreffe, après exentération de l'orbite";"ADC"
"BKMA004";"Restauration du volume orbitaire par matériau inerte et/ou autogreffe";"ADC"
"BKBA001";"Comblement de cavité d'exentération de l'orbite par autogreffe cutanée et lambeau musculaire temporal";"ADC"
"BKMP001";"Moulage de la cavité de l'orbite pour fabrication de conformateur ou de prothèse d'expansion orbitaire, sous anesthésie générale ou locorégionale";"ATM"
"BKLP001";"Pose ou changement de conformateur ou de prothèse d'expansion orbitaire";"ATM"
"BKLP002";"Pose d'une épithèse orbitopalpébrale";"ATM"
"BKCP001";"Forage secondaire d'un implant intraorbitaire pour fixation d'une prothèse oculaire";"ATM"
"BKLA002";"Insertion secondaire d'un implant intraorbitaire, après énucléation ou éviscération du bulbe [globe] oculaire";"ADC"
"BKGA001";"Ablation d'un implant intraorbitaire, après énucléation ou éviscération du bulbe [globe] oculaire";"ADC"
"BKKP003";"Changement d'un implant intraorbitaire, après énucléation ou éviscération du bulbe [globe] oculaire";"ADC"
"BKFA004";"Résection de graisse orbitaire pour décompression de l'orbite, par voie palpébrale";"ADC"
"BKLA001";"Pose de matériau inerte intraorbitaire pour correction d'énophtalmie";"ADC"
"BKLA003";"Pose d'autogreffe intraorbitaire pour correction d'énophtalmie";"ADC"
"BLRP001";"Séance de stimulation de la vision binoculaire et de l'amblyopie";"ATM"
"BDMP002";"Adaptation unilatérale ou bilatérale de lentille cornéenne thérapeutique ou de lentille-pansement";"ATM"
"BLMP002";"Adaptation unilatérale ou bilatérale de lentille de contact souple";"ATM"
"BLMP005";"Adaptation unilatérale ou bilatérale de lentille de contact rigide";"ATM"
"BLMP003";"Adaptation unilatérale de lentille de contact pour kératocône ou astigmatisme irrégulier";"ATM"
"BLMP001";"Adaptation bilatérale de lentille de contact pour kératocône ou astigmatisme irrégulier";"ATM"
"BLMP007";"Adaptation unilatérale de verre scléral obtenu par moulage";"ATM"
"BLMP006";"Adaptation bilatérale de verre scléral obtenu par moulage";"ATM"
"CDQP010";"Audiométrie tonale ou vocale";"ATM"
"CDQP015";"Audiométrie tonale avec tympanométrie";"ATM"
"CDQP011";"Audiométrie vocale dans le bruit";"ATM"
"CDQP012";"Audiométrie tonale et vocale";"ATM"
"CDQP002";"Audiométrie tonale et vocale avec tympanométrie";"ATM"
"CDQP005";"Audiométrie en hautes fréquences";"ATM"
"CDQP013";"Audiométrie avec tests osmotiques";"ATM"
"CDQP016";"Audiométrie automatique";"ATM"
"CDQP007";"Audiométrie en champ libre et en cabine chez l'enfant [tests conditionnés]";"ATM"
"CDMP001";"Conditionnement d'un enfant pour test audiométrique sans mesure";"ATM"
"CDRP002";"Épreuves de dépistage de surdité avant l'âge de 3 ans";"ATM"
"CBQD001";"Tympanométrie";"ATM"
"CDQD001";"Tubomanométrie auditive [Sonotubomanométrie]";"ATM"
"CDQD002";"Sonomanométrie";"ATM"
"CEQP001";"Électrocochléographie sans anesthésie générale";"ATM"
"CEQP006";"Électrocochléographie sous anesthésie générale";"ATM"
"CDQP009";"Enregistrement des otoémissions";"ATM"
"CDQP004";"Enregistrement des produits de distorsion des otoémissions";"ATM"
"CCRD002";"Électrostimulation transtympanique de l'oreille interne sans anesthésie générale";"ATM"
"CCRD001";"Électrostimulation transtympanique de l'oreille interne sous anesthésie générale, avec enregistrement";"ATM"
"CCRA001";"Électrostimulation de l'oreille interne avec décollement du lambeau tympanoméatal";"ADC"
"GKQP002";"Évaluation phoniatrique de la communication chez l'enfant malentendant";"ATM"
"GKQP005";"Évaluation phoniatrique de la communication chez l'adulte malentendant";"ATM"
"CDRP001";"Électrostimulation des acouphènes";"ATM"
"CERP005";"Épreuve vestibulaire bicalorique calibrée sans enregistrement [clinique]";"ATM"
"CERP001";"Épreuve vestibulaire bicalorique calibrée avec électronystagmographie ou vidéonystagmographie";"ATM"
"CERP004";"Épreuve vestibulaire pendulaire ou rotatoire avec électronystagmographie ou vidéonystagmographie";"ATM"
"CERP003";"Épreuve vestibulaire bicalorique calibrée, pendulaire ou rotatoire avec électronystagmographie ou vidéonystagmographie, et tests oculographiques";"ATM"
"CEQP005";"Analyse de la posture verticale statique et/ou dynamique sur plateforme de force [Posturographie]";"ATM"
"CEQP002";"Statokinésimétrie avec stabilométrie";"ATM"
"CBQE001";"Examen unilatéral ou bilatéral de l'oreille externe et/ou moyenne, sous microscope ou par endoscopie méatale";"ATM"
"CBQE900";"Fibroendoscopie de l'oreille moyenne, par voie tubaire";"ATM"
"CAHA001";"Biopsie unilatérale ou bilatérale de la peau de l'oreille externe";"ADC"
"CAHA002";"Biopsie unilatérale ou bilatérale du cartilage de l'oreille externe";"ADC"
"CBQA001";"Exploration du cavum tympanique [caisse du tympan], avec décollement du lambeau tympanoméatal";"ADC"
"CAJD001";"Soin instrumental unilatéral ou bilatéral d'oreille externe, sous microscope";"ATM"
"CAJA001";"Évacuation de collection de l'auricule";"ADC"
"CAFA006";"Excision de chondrite de l'auricule";"ADC"
"CAPA001";"Incision de collection du méat acoustique externe";"ADC"
"CAGD001";"Ablation unilatérale ou bilatérale de bouchon de cérumen ou de corps étranger du méat acoustique externe";"ATM"
"CAGD002";"Extraction unilatérale ou bilatérale de bouchon épidermique du méat acoustique externe";"ATM"
"CAFA009";"Exérèse de lésion osseuse oblitérante du méat acoustique externe";"ADC"
"CAFA011";"Exérèse partielle du méat acoustique externe";"ADC"
"CAJA002";"Parage et/ou suture de plaie de l'auricule";"ADC"
"CASA001";"Hémostase secondaire à un acte sur l'oreille externe ou l'oreille moyenne";"ADC"
"CAFA002";"Exérèse partielle non transfixiante de l'auricule";"ADC"
"CAFA005";"Exérèse partielle transfixiante de l'auricule";"ADC"
"CAFA003";"Exérèse totale de l'auricule, sans exérèse du cartilage du méat acoustique externe";"ADC"
"CAFA007";"Exérèse totale de l'auricule et du cartilage du méat acoustique externe";"ADC"
"CAFA004";"Exérèse de l'oreille externe élargie à l'oreille moyenne";"ADC"
"CAFA010";"Exérèse de l'oreille externe élargie à la glande parotide et à la fosse infratemporale";"ADC"
"CAFA001";"Exérèse de l'oreille externe élargie au rocher";"ADC"
"CAFA008";"Exérèse de l'oreille externe élargie au rocher, à la glande parotide et à la fosse infratemporale";"ADC"
"CAEA002";"Repositionnement de tout ou partie de l'auricule, sans anastomose vasculaire";"ADC"
"CAEA003";"Réimplantation de tout ou partie de l'auricule avec anastomoses vasculaires";"ADC"
"CAMA019";"Réparation de perte de substance partielle de l'auricule par puits de bourgeonnement chondrocutané";"ADC"
"CAMA021";"Réparation de perte de substance partielle de l'auricule par autogreffe chondrocutanée";"ADC"
"CAMA017";"Réparation de perte de substance partielle de l'auricule par autogreffe de cartilage de l'auricule controlatéral ou du septum nasal";"ADC"
"CAMA022";"Réparation de perte de substance partielle de l'auricule par lambeau local cutané ou chondrocutané";"ADC"
"CAMA005";"Réparation de perte de substance partielle de l'auricule par autogreffe de cartilage costal";"ADC"
"CAMA008";"Plastie unilatérale d'oreille décollée";"ADC"
"CAMA013";"Plastie bilatérale d'oreille décollée";"ADC"
"CAMA004";"Reconstruction totale de l'auricule par autogreffe de cartilage costal";"ADC"
"CAEA001";"Transposition du lobule de l'auricule";"ADC"
"CAMA002";"Reconstruction du tragus par lambeau cutané et autogreffe de peau";"ADC"
"CAMA012";"Reconstruction du tragus par autogreffe chondrocutanée de conque controlatérale et autogreffe de peau";"ADC"
"CAMA003";"Reconstruction du sillon rétroauriculaire par lambeau cutané d'avancement et autogreffe de peau";"ADC"
"CAMA014";"Reconstruction du sillon rétroauriculaire par lambeau de fascia temporal ou occipital, et autogreffe de peau";"ADC"
"CAMA006";"Reconstruction de l'auricule par lambeau pédiculé de fascia temporal, avec autogreffe chondrocutanée et autogreffe de peau";"ADC"
"CAMA001";"Reconstruction totale de l'auricule en un temps";"ADC"
"CAMA007";"Correction secondaire du résultat esthétique d'une reconstruction totale de l'auricule";"ADC"
"CALP001";"Pose d'une épithèse auriculaire";"ATM"
"CAMA020";"Reconstruction du méat acoustique externe par lambeau de fascia temporal et autogreffe de peau, sans temps de caisse";"ADC"
"CAMA010";"Reconstruction du méat acoustique externe par lambeau cutané et/ou autogreffe de peau, sans temps de caisse";"ADC"
"CAMA018";"Reconstruction du méat acoustique externe par lambeau cutané et/ou autogreffe de peau, avec myringoplastie";"ADC"
"CAMA016";"Reconstruction du méat acoustique externe par lambeau cutané et/ou autogreffe de peau, avec myringoplastie et ossiculoplastie, sans ouverture du labyrinthe";"ADC"
"CAMA015";"Reconstruction du méat acoustique externe par lambeau cutané et/ou autogreffe de peau, avec myringoplastie et ossiculoplastie, avec ouverture du labyrinthe, sans laser";"ADC"
"CAMA009";"Reconstruction du méat acoustique externe par lambeau cutané et/ou autogreffe de peau, avec myringoplastie et ossiculoplastie, avec ouverture du labyrinthe, avec laser";"ADC"
"CAMA011";"Plastie du pore acoustique externe cartilagineux [Méatoplastie]";"ADC"
"CALD001";"Pose d'un conformateur du méat acoustique externe";"ATM"
"CASA002";"Fermeture de l'oreille externe et de l'oreille moyenne avec suture du pore acoustique externe";"ADC"
"CBPD001";"Myringotomie unilatérale ou bilatérale";"ATM"
"CBLD003";"Pose unilatérale d'aérateur transtympanique";"ATM"
"CBLD001";"Pose bilatérale d'aérateur transtympanique";"ATM"
"CBGD001";"Ablation unilatérale ou bilatérale d'aérateur transtympanique en place sur le tympan, sous anesthésie générale";"ADC"
"CBMA008";"Myringoplastie sans décollement du lambeau tympanoméatal";"ADC"
"CBMA009";"Myringoplastie avec décollement du lambeau tympanoméatal, sans exploration mastoïdoatticale";"ADC"
"CBMA011";"Myringoplastie avec décollement du lambeau tympanoméatal et exploration mastoïdoatticale";"ADC"
"CBMA005";"Myringoplastie avec ossiculoplastie, sans exploration mastoïdoatticale";"ADC"
"CBMA007";"Myringoplastie avec ossiculoplastie et exploration mastoïdoatticale";"ADC"
"CBMD001";"Tympanoplastie en technique fermée, avec tympanotomie postérieure";"ADC"
"CBMD002";"Tympanoplastie secondaire en technique fermée";"ADC"
"CBMD003";"Tympanoplastie secondaire en technique fermée, avec ossiculoplastie";"ADC"
"CBMA002";"Tympanoplastie secondaire sur technique ouverte, sans reconstruction de cadre";"ADC"
"CBMA004";"Tympanoplastie secondaire sur technique ouverte, avec reconstruction de cadre";"ADC"
"CBFA004";"Exérèse de tympanosclérose sans ouverture du labyrinthe";"ADC"
