SAF_GRG_COD;DCT_ENT_SUP;DCT_ENT_CB2;DCT_ENT_LIB;DCT_GRG_LIB;TEC_COL
7;19;;LASER;SAISIE INTERNE REGIME GENERAL;0
7;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
7;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
7;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
7;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
7;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
7;2;;RENTES AT;SAISIE INTERNE : CANSSM;0
7;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
7;4;;RECYCLAGE IRIS;SAISIE INTERNE REGIME GENERAL;0
7;5;;SAISIE MANUELLE NORME D ECHANGE COMMUNE;SAISIE INTERNE REGIME GENERAL;0
7;68;;PAIEMENT DES FORFAITS MEDECIN REFERENT;SAISIE INTERNE : CANSSM;0
7;69;;Tarification à l'activité;SAISIE INTERNE : CANSSM;0
7;6;;COMPTABILITE ANNEXE (IDENTIFICATION DES FLUX DE PAIEMENT D ACOMPTE ET DE DE SOLDE DANS LE CADRE D UNE CAISSE PIVOT;SAISIE INTERNE REGIME GENERAL;0
7;7;;REGUL - PN;SAISIE INTERNE REGIME GENERAL;0
7;84;;PROGRES PE FI;SAISIE INTERNE REGIME GENERAL;0
7;85;;PROGRES PE DSN;SAISIE INTERNE REGIME GENERAL;0
7;86;;PROGRES PE EDI posté;SAISIE INTERNE REGIME GENERAL;0
7;87;;PROGRES PE EDI Machine-Machine;SAISIE INTERNE REGIME GENERAL;0
7;9;;REGUL-PN DE MASSE;SAISIE INTERNE REGIME GENERAL;0
8;14;;FLUX DE SEJOUR (FLSJ);SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
8;10;;SAISIE INTERNE SANS SPECIFICATION;SAISIE INTERNE REGIME GENERAL;0
8;12;;PROGRES PN;SAISIE INTERNE REGIME GENERAL;0
8;17;;SCANNER;SAISIE INTERNE REGIME GENERAL;0
8;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
8;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
8;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
8;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
8;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
8;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
8;4;;RECYCLAGE IRIS;SAISIE INTERNE REGIME GENERAL;0
8;5;;SAISIE MANUELLE NORME D ECHANGE COMMUNE;SAISIE INTERNE REGIME GENERAL;0
8;7;;REGUL - PN;SAISIE INTERNE REGIME GENERAL;0
8;96;;PARTICIPATION FORFAITAIRE;SAISIE INTERNE;0
8;98;;MAJORATION DU TICKET MODERATEUR HORS PARCOURS DE SOINS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
9;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
9;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
9;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
9;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
9;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;10;;SAISIE INTERNE SANS SPECIFICATION;SAISIE INTERNE REGIME GENERAL;0
10;11;;PPNA1;SAISIE INTERNE REGIME GENERAL;0
10;12;;PROGRES PN;SAISIE INTERNE REGIME GENERAL;0
10;13;;Progrès PE PAPIER -hors réforme IJ/AS;SAISIE INTERNE REGIME GENERAL;0
10;14;;FLUX DE SEJOUR (FLSJ);SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
10;15;;WINB2;SAISIE INTERNE REGIME GENERAL;0
10;17;;SCANNER;SAISIE INTERNE REGIME GENERAL;0
10;19;;LASER;SAISIE INTERNE REGIME GENERAL;0
10;1;;INVALIDITE;SAISIE INTERNE REGIME GENERAL;0
10;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
10;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
10;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
10;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
10;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
10;2;;RENTES AT;SAISIE INTERNE REGIME GENERAL;0
10;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;3;;CURES THERMALES (SAISIE INTERNE);SAISIE INTERNE REGIME GENERAL;0
10;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;4;;RECYCLAGE IRIS;SAISIE INTERNE REGIME GENERAL;0
10;5;;SAISIE MANUELLE NORME D ECHANGE COMMUNE;SAISIE INTERNE REGIME GENERAL;0
10;6;;COMPTABILITE ANNEXE (IDENTIFICATION DES FLUX DE PAIEMENT D ACOMPTE ET DE DE SOLDE DANS LE CADRE D UNE CAISSE PIVOT;SAISIE INTERNE REGIME GENERAL;0
10;84;;PROGRES PE FI;SAISIE INTERNE REGIME GENERAL;0
10;85;;PROGRES PE DSN;SAISIE INTERNE REGIME GENERAL;0
10;86;;PROGRES PE EDI posté;SAISIE INTERNE REGIME GENERAL;0
10;87;;PROGRES PE EDI Machine-Machine;SAISIE INTERNE REGIME GENERAL;0
10;96;;PARTICIPATION FORFAITAIRE;SAISIE INTERNE REGIME GENERAL;0
10;98;;MAJORATION DU TICKET MODERATEUR HORS PARCOURS DE SOINS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
10;7;;REGUL - PN;SAISIE INTERNE REGIME GENERAL;0
12;10;;SAISIE INTERNE SANS SPECIFICATION;SAISIE INTERNE REGIME GENERAL;0
12;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
12;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
12;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
12;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
12;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
12;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
12;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;10;;PAIEMENT MANUEL SPECIFIQUE;SAISIE INTERNE REGIME GENERAL;0
14;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
14;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
14;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
14;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
14;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
14;82;;LAD CENTRES DE SOINS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;27;;PRESTATIONS ESPECES;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;28;;RENTES AT;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;29;;INVALIDITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;50;;FEUILLE DE SOINS + PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;51;;AUXILIAIRES MEDICAUX;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;52;;LABORATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;53;;DENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;54;;TRANSPORTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;55;;APPAREILLAGE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;56;;COMPLEMENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;57;;REGULARISATIONS AUTRES QUE PAIEMENTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;58;;CLINIQUE PRIVEE SEJOURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;59;;VACCIN ANTI GRIPPE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;60;;SAISIE GROUPEE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;61;;CLINIQUE PRIVEE HONORAIRES;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;62;;PAIEMENTS MANUELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;63;;PAIEMENTS MANUELS CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;64;;PAIEMENTS MANUELS NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;65;;PAIEMENTS DE REGULARISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;66;;PAIEMENTS DE REGULARISATION CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;67;;PAIEMENTS DE REGULARISATION NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;68;;PAIEMENT DES FORFAITS MEDECIN REFERENT;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;69;;TARIFICATION A L'ACTIVITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;70;;SAISIE DES HONORAIRES HORS HOSPITALISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;71;;SAISIE DES FACTURES PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;72;;SAISIE DES FACTURES DE FOURNISSEURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;73;;RECYCLAGE DES FACTURES PO + CPL;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;74;;RECYCLAGE DES FACTURES CPL SEULE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;75;;PAIEMENT MANUEL DEROGATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;76;;PAIEMENT MANUEL DEROGATOIRE (SECRET MEDICAL);SAISIE INTERNE : MSA ET PARTENAIRES;0
15;77;;PAIEMENT MANUEL DEROGATOIRE (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
15;78;;PAIEMENT MANUEL PREVENTION;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;79;;PAIEMENT MANUEL PREVENTION (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
15;80;;RECOURS CONTRE TIERS;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;81;;LAD TRANSPORT;SAISIE INTERNE : MSA ET PARTENAIRES;0
15;82;;LAD CENTRES DE SOINS;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;82;;LAD CENTRES DE SOINS;SAISIE INTERNE : MSA ET PARTENAIRES;0
1;92;;ROCAD;ROCADE-CAPITAL DECES;0
7;92;;ROCAD;ROCADE-CAPITAL DECES;0
8;92;;ROCAD;ROCADE-CAPITAL DECES;0
10;92;;ROCAD;ROCADE-CAPITAL DECES;0
14;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
14;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;10;;PAIEMENT MANUEL SPECIFIQUE;SAISIE INTERNE REGIME GENERAL;0
15;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
15;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
15;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
15;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
15;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
15;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
15;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;10;;SAISIE INTERNE SANS SPECIFICATION;SAISIE INTERNE REGIME GENERAL;0
16;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
16;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
16;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
16;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
16;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
16;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
16;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
17;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
17;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
17;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
17;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
17;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;10;;SAISIE INTERNE SANS SPECIFICATION;SAISIE INTERNE REGIME GENERAL;0
90;11;;PPNA1;SAISIE INTERNE REGIME GENERAL;0
90;12;;PROGRES PN;SAISIE INTERNE REGIME GENERAL;0
90;13;;Progrès PE PAPIER -hors réforme IJ/AS;SAISIE INTERNE REGIME GENERAL;0
90;14;;FLUX DE SEJOUR (FLSJ);SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
90;15;;WINB2;SAISIE INTERNE REGIME GENERAL;0
90;17;;SCANNER;SAISIE INTERNE REGIME GENERAL;0
90;19;;LASER;SAISIE INTERNE REGIME GENERAL;0
90;1;;INVALIDITE;SAISIE INTERNE REGIME GENERAL;0
90;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
90;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
90;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
90;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
90;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
90;2;;RENTES AT;SAISIE INTERNE REGIME GENERAL;0
90;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;3;;CURES THERMALES (SAISIE INTERNE);SAISIE INTERNE REGIME GENERAL;0
90;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;4;;RECYCLAGE IRIS;SAISIE INTERNE REGIME GENERAL;0
90;5;;SAISIE MANUELLE NORME D ECHANGE COMMUNE;SAISIE INTERNE REGIME GENERAL;0
