SIN_SYN_PAT;SYN_PAT_LIB;TEC_COL
K579;Diverticulose de l'intestin  (siege non precise  sans perfor;0
K57X;Diverticulose de l'intestin;0
K580;Syndrome de l'intestin irritable  avec diarrhee;0
K589;Syndrome de l'intestin irritable  (sans diarrhee);0
K58X;Syndrome de l'intestin irritable;0
K590;Constipation;0
K591;Diarrhee fonctionnelle;0
K592;Intestin neurogene  non classe ailleurs;0
K593;Megacolon  non classe ailleurs;0
K594;Spasme de l'anus;0
K598;Autres troubles fonctionnels precises de l'intestin;0
K599;Trouble fonctionnel de l'intestin  sans precision;0
K59X;Autres troubles fonctionnels de l'intestin;0
K600;Fissure anale aigue;0
K601;Fissure anale chronique;0
K602;Fissure anale  sans precision;0
K603;Fistule anale;0
K604;Fistule rectale;0
K605;Fistule ano-rectale;0
K60X;Fissure et fistule des regions anale et rectale;0
K610;Abces anal;0
K611;Abces rectal;0
K612;Abces ano-rectal;0
K613;Abces ischio-rectal;0
K614;Abces intrasphincterien;0
K61X;Abces des regions anale et rectale;0
K620;Polype anal;0
K621;Polype rectal;0
K622;Prolapsus anal;0
K623;Prolapsus rectal;0
K624;Stenose de l'anus et du rectum;0
K625;Hemorragie de l'anus et du rectum;0
K626;Ulcere de l'anus et du rectum;0
K627;Rectite due a un irradiation;0
K628;Autres maladies precisees de l'anus et du rectum;0
K629;Maladie de l'anus et du rectum  sans precision;0
K62X;Autres maladies de l'anus et du rectum;0
K630;Abces de l'intestin;0
K631;Perforation de l'intestin (non traumatique);0
M708;Autres affections des tissus mous par sollicitation excessiv;0
M709;Affection des tissus mous par sollicitation excessive  sans;0
M70A;Coude : hygroma aigu droit;0
M70B;Coude : hygroma aigu gauche;0
M70C;Coude : hygroma chronique droit;0
M70D;Coude : hygroma chronique gauche;0
M70E;Genou : hygroma aigu droit;0
M70F;Genou : hygroma aigu gauche;0
M70G;Genou : hygroma chronique droit;0
M70H;Genou : hygroma chronique gauche;0
M70X;Affections des tissus mous par sollicitation excessive de l';0
M710;Abces des bourses sereuses;0
M711;Autres bursites infectieuses;0
M712;Kyste synovial poplite (Baker);0
M713;Autres kystes des bourses sereuses;0
M714;Depots calciques dans une bourse sereuse;0
M715;Autres bursites  non classees ailleurs;0
M718;Autres bursites precisees;0
M719;Bursite  sans precision;0
M71X;Autres bursites;0
M720;Fibromatose de l'aponevrose palmaire (Dupuytren);0
M721;Coussinet des phalanges;0
M722;Fibromatose de l'aponevrose plantaire;0
M723;Fasciite nodulaire;0
M724;Fibromatose pseudo-sarcomateuse;0
M725;Fasciite  non classee ailleurs;0
M728;Autres affections fibroblastiques;0
M729;Affection fibroblastique  sans precision;0
M72X;Affections fibroblastiques;0
M730;Bursite gonococcique (A54.4);0
M731;Bursite syphilitique (A52.7);0
M738;Autres affections des tissus mous au cours d'autres maladies;0
M73X;Affections des tissus mous au cours de maladies classees ail;0
M750;Capsulite retractile de l'epaule;0
M751;Syndrome de la coiffe des rotateurs;0
M752;Tendinite du biceps;0
M753;Tendinite calcifiante de l'epaule;0
M754;Syndrome d'empietement de l'epaule;0
M755;Bursite de l'epaule;0
M758;Autres lesions de l'epaule;0
M759;Lesion de l'epaule  sans precision;0
M75A;Epaule enraidie droite;0
M75B;Epaule enraidie gauche;0
M75C;Epaule douloureuse droite;0
M75D;Epaule douloureuse gauche;0
M75X;Lesions de l'epaule;0
M760;Tendinite de la region fessiere;0
M761;Tendinite du psoas;0
M762;Exostose de la crete iliaque;0
M763;Syndrome de la bandelette de Maissiat (ilio-tibiale);0
M764;Bursite du ligament lateral interne du genou (Pellegrini-Sti;0
M765;Tendinite rotulienne;0
M766;Tendinite du tendon d'Achille;0
M767;Tendinite peroniere;0
M768;Autres enthesopathies du membre inferieur  sauf le pied;0
M769;Enthesopathie du membre inferieur  sans precision;0
M76A;Genou : tendinite sous-quadricipitale ou rotulienne droite;0
M76B;Genou : tendinite sous-quadricipitale ou rotulienne gauche;0
M76C;Genou : tendinite de la patte d'oie droite;0
M76D;Genou : tendinite de la patte d'oie gauche;0
M76E;Cheville pied : tendinite achilléenne droite;0
M76F;Cheville pied : tendinite achilléenne gauche;0
M76G;Affections périarticulaires provoquées par certains gestes e;0
M76H;Affections professionnelles provoquées par le travail à haut;0
O339;Soins maternels pour disproportion  sans precision;0
O33X;Soins maternels pour disproportion foeto-pelvienne connue ou;0
O340;Soins maternels pour malformation congenitale de l'uterus;0
O341;Soins maternels pour tumeur du corps de l'uterus;0
O342;Soins maternels pour cicatrice uterine due a une interventio;0
O343;Soins maternels pour beance du col;0
O344;Soins maternels pour d'autres anomalies du col;0
O345;Soins maternels pour d'autres anomalies de l'uterus gravide;0
O346;Soins maternels pour anomalies du vagin;0
O347;Soins maternels pour anomalies de la vulve et du perinee;0
O348;Soins maternels pour d'autres anomalies des organes pelviens;0
O349;Soins maternels pour anomalie d'un organe pelvien  sans prec;0
O34X;Soins maternels pour anomalie connue ou presumee des organes;0
O350;Soins maternels pour malformation (presumee) du systeme nerv;0
O351;Soins maternels pour anomalie chromosomique (presumee) du fo;0
O352;Soins maternels pour maladie hereditaire (presumee) du foetu;0
O353;Soins maternels pour lesions foetales (presumees) resultant;0
O354;Soins maternels pour lesions foetales (presumees) dues a l'a;0
O355;Soins maternels pour lesions foetales (presumees) medicament;0
O356;Soins maternels pour lesions foetales (presumees) dues a une;0
O357;Soins maternels pour lesions foetales (presumees) dues a d'a;0
O358;Soins maternels pour d'autres anomalies et lesions foetales;0
O359;Soins maternels pour anomalie et lesion foetales (presumees);0
O35X;Soins maternels pour anomalie et lesion foetales  connues ou;0
O360;Soins maternels pour iso-immunisation anti-Rh;0
O361;Soins maternels pour une autre iso-immunisation;0
O362;Soins maternels pour anasarque foeto-placentaire;0
O363;Soins maternels pour signes d'hypoxie foetale;0
O364;Soins maternels pour mort intra-uterine du foetus;0
O365;Soins maternels pour croissance insuffisante du foetus;0
O366;Soins maternels pour croissance excessive du foetus;0
O367;Soins maternels pour grossesse abdominale avec foetus viable;0
O368;Soins maternels pour d'autres affections precisees du foetus;0
O369;Soins maternels pour affection du foetus  sans precision;0
O36X;Soins maternels pour d'autres affections connues ou presumee;0
O40X;Hydramnios;0
O410;Oligoamnios;0
O411;Infection du sac amniotique et des membranes;0
O418;Autres anomalies precisees du liquide amniotique et des memb;0
O419;Anomalie du liquide amniotique et des membranes  sans precis;0
O41X;Autres anomalies du liquide amniotique et des membranes;0
O420;Rupture prematuree des membranes  avec debut du travail dans;0
O421;Rupture prematuree des membranes  avec debut du travail au-d;0
O422;Rupture prematuree des membranes  travail retarde par traite;0
O429;Rupture prematuree des membranes  sans precision;0
O42X;Rupture prematuree des membranes;0
O430;Syndromes de transfusion placentaire;0
O431;Malformation du placenta;0
O438;Autres anomalies du placenta;0
O439;Anomalie du placenta  sans precision;0
O43X;Anomalies du placenta;0
O440;Placenta praevia precise sans hemorragie;0
O441;Placenta praevia avec hemorragie;0
O44X;Placenta praevia;0
O450;Decollement premature du placenta avec anomalie de la coagul;0
O458;Autres decollements prematures du placenta;0
O459;Decollement premature du placenta  sans precision;0
O45X;Decollement premature du placenta (hematome retro-placentair;0
O460;Hemorragie precedant l'accouchement avec anomalie de la coag;0
O468;Autres hemorragies precedant l'accouchement;0
O469;Hemorragie precedant l'accouchement  sans precision;0
O46X;Hemorragie precedant l'accouchement  non classee ailleurs;0
O470;Faux travail avant 37 semaines entieres de gestation;0
O471;Faux travail a ou apres la 37eme semaine entiere de gestatio;0
Q523;Imperforation de l'hymen;0
Q524;Autres malformations congenitales du vagin;0
Q525;Fusion de la vulve;0
Q526;Malformation congenitale du clitoris;0
Q527;Autres malformations congenitales de la vulve;0
Q528;Autres malformations congenitales precisees des organes geni;0
Q529;Malformation congenitale des organes genitaux de la femme  s;0
Q52X;Autres malformations congenitales des organes genitaux de la;0
Q530;Testicule en situation anormale;0
Q531;Cryptorchidie unilaterale;0
Q532;Cryptorchidie bilaterale;0
Q539;Cryptorchidie  sans precision;0
Q53X;Cryptorchidie;0
Q540;Hypospadias balanique;0
Q541;Hypospadias penien;0
Q542;Hypospadias penoscrotal;0
Q543;Hypospadias perineal;0
Q544;Chordee congenitale;0
Q548;Autres hypospadias;0
Q549;Hypospadias  sans precision;0
Q54X;Hypospadias;0
Q550;Absence (congenitale) et aplasie du testicule;0
Q551;Hypoplasie du (des) testicule(s) et du scrotum;0
Q552;Autres malformations congenitales du (des) testicule(s) et d;0
Q553;Atresie du canal deferent;0
Q554;Autres malformations congenitales du canal deferent  de l'ep;0
Q555;Absence et aplasie congenitales du penis;0
Q556;Autres malformations congenitales du penis;0
Q558;Autres malformations congenitales precisees des organes geni;0
Q559;Malformation congenitale des organes genitaux de l'homme  sa;0
Q55X;Autres malformations congenitales des organes genitaux de l';0
Q560;Hermaphrodisme  non classe ailleurs;0
Q561;Pseudo-hermaphrodisme masculin  non classe ailleurs;0
Q562;Pseudo-hermaphrodisme feminin  non classe ailleurs;0
Q563;Pseudo-hermaphrodisme  sans precision;0
Q564;Sexe indetermine  sans precision;0
Q56X;Non-differenciation sexuelle et pseudo-hermaphrodisme;0
Q600;Agenesie renale  unilaterale;0
Q601;Agenesie renale  bilaterale;0
Q602;Agenesie renale  sans precision;0
Q603;Hypoplasie renale unilaterale;0
Q604;Hypoplasie renale bilaterale;0
Q605;Hypoplasie renale  sans precision;0
Q606;Syndrome de Potter;0
Q60X;Agenesie renale et autres defauts de developpement renal;0
Q610;Kyste (congenital unique) du rein;0
Q611;Rein polykystique  type infantile;0
Q612;Rein polykystique  type adulte;0
Q613;Rein polykystique  sans precision;0
Q614;Dysplasie renale;0
Q615;Kyste medullaire du rein;0
Q618;Autres maladies kystiques du rein;0
Q619;Maladie kystique du rein  sans precision;0
Q61X;Maladies kystiques du rein;0
Q620;Hydronephrose congenitale;0
Q621;Atresie et stenose congenitales de l'uretere;0
Q622;Mega-uretere congenital;0
Q623;Autres anomalies obstructives du bassinet et de l'uretere;0
Q624;Agenesie de l'uretere;0
Q625;Duplication de l'uretere;0
Q626;Malposition de l'uretere;0
Q627;Reflux vesico-uretero-renal congenital;0
Q628;Autres malformations congenitales de l'uretere;0
Q62X;Anomalies congenitales obstructives du bassinet et malformat;0
K632;Fistule de l'intestin;0
K633;Ulcere de l'intestin;0
K634;Enteroptose;0
K638;Autres maladies precisees de l'intestin;0
K639;Maladie de l'intestin  sans precision;0
K63X;Autres maladies de l'intestin;0
K650;Peritonite aigue;0
K658;Autres peritonites;0
K659;Peritonite  sans precision;0
K65X;Peritonite;0
K660;Adherences peritoneales;0
K661;Hemoperitoine;0
K668;Autres maladies precisees du peritoine;0
K669;Maladie du peritoine  sans precision;0
K66X;Autres maladies du peritoine;0
K670;Peritonite a Chlamydia (A74.8);0
K671;Peritonite gonococcique (A54.8);0
K672;Peritonite syphilitique (A52.7);0
K673;Peritonite tuberculeuse (A18.3);0
K678;Autres atteintes peritoneales au cours de maladies infectieu;0
K67X;Atteintes peritoneales au cours de maladies infectieuses cla;0
K700;Cirrhose alcoolique graisseuse du foie;0
K701;Hepatite alcoolique;0
K702;Fibrose et sclerose alcoolique du foie;0
K703;Cirrhose alcoolique (du foie);0
K704;Insuffisance hepatique alcoolique;0
K709;Maladie alcoolique du foie  sans precision;0
K70X;Maladie alcoolique du foie;0
K710;Maladie toxique du foie avec cholestase;0
K711;Maladie toxique du foie avec necrose hepatique;0
K712;Maladie toxique du foie avec hepatite aigue;0
K713;Maladie toxique du foie avec hepatite chronique persistante;0
K714;Maladie toxique du foie avec hepatite chronique lobulaire;0
K715;Maladie toxique du foie avec hepatite chronique active;0
K716;Maladie toxique du foie avec hepatite  non classee ailleurs;0
K717;Maladie toxique du foie avec fibrose et cirrhose du foie;0
K718;Maladie toxique du foie avec d'autres lesions du foie;0
K719;Maladie toxique du foie  sans precision;0
K71X;Maladie toxique du foie;0
K720;Insuffisance hepatique aigue et subaigue;0
K721;Insuffisance hepatique chronique;0
K729;Insuffisance hepatique  sans precision;0
K72X;Insuffisance hepatique  non classee ailleurs;0
K730;Hepatite chronique persistante  non classee ailleurs;0
K731;Hepatite chronique lobulaire  non classee ailleurs;0
K732;Hepatite chronique active  non classee ailleurs;0
K738;Autres hepatites chroniques  non classees ailleurs;0
K739;Hepatite chronique  sans precision;0
K73X;Hepatite chronique  non classee ailleurs;0
K740;Fibrose hepatique;0
K741;Sclerose hepatique;0
K742;Fibrose hepatique  avec sclerose hepatique;0
K743;Cirrhose biliaire primitive;0
K744;Cirrhose biliaire secondaire;0
K745;Cirrhose biliaire  sans precision;0
K746;Cirrhoses (du foie)  autres et sans precision;0
K74X;Fibrose et cirrhose du foie;0
K750;Abces du foie;0
K751;Phlebite de la veine porte;0
K752;Hepatite reactive non specifique;0
K753;Hepatite granulomateuse  non classee ailleurs;0
K758;Autres maladies inflammatoires precisees du foie;0
K759;Maladie inflammatoire du foie  sans precision;0
K75X;Autres maladies inflammatoires du foie;0
M76I;Affections professionnelles provoquées par le travail à haut;0
M76J;Affections professionnelles provoquées par le travail à haut;0
M76K;Intoxication professionnelle à l'hexane : Polynévrites;0
M76L;Maladies professionnelles provoquées par le cadmium et ses c;0
M76M;Maladies professionnelles provoquées par le cadmium et ses c;0
M76N;Maladies professionnelles provoquées par le cadmium et ses c;0
M76O;Maladies professionnelles provoquées par les isocyanates org;0
M76P;Maladies professionnelles provoquées par les isocyanates org;0
M76X;Enthesopathies du membre inferieur  sauf le pied;0
M770;Apophysite interne du coude;0
M771;Epicondylite;0
M772;Periarthrite du poignet;0
M773;Exostose calcaneenne;0
M774;Metatarsalgie;0
M775;Autres enthesopathies du pied;0
M778;Autres enthesopathies  non classees ailleurs;0
M779;Enthesopathie  sans precision;0
M77A;Coude : épitrochléite droite;0
M77B;Coude : épitrochléite gauche;0
M77C;Coude : épicondylite droite;0
M77D;Coude : épicondylite gauche;0
M77E;Poignet main doigts : tendinite droite;0
M77F;Poignet main doigts : tendinite gauche;0
M77X;Autres enthesopathies;0
M790;Rhumatisme  sans precision;0
M791;Myalgie;0
M792;Nevralgie et nevrite  sans precision;0
M793;Panniculite  sans precision;0
M794;Hypertrophie du coussinet graisseux (rotulien);0
M795;Corps etranger residuel dans un tissu mou;0
M796;Douleur au niveau d'un membre;0
M798;Autres affections precisees des tissus mous;0
M799;Affection des tissus mous  sans precision;0
M79X;Autres affections des tissus mous  non classees ailleurs;0
M800;Osteoporose post-menopausique avec fracture pathologique;0
M801;Osteoporose post-ovariectomie avec fracture pathologique;0
M802;Osteoporose d'inactivite avec fracture pathologique;0
M803;Osteoporose consecutive a une malabsorption post-chirurgical;0
M804;Osteoporose medicamenteuse avec fracture pathologique;0
M805;Osteoporose idiopathique avec fracture pathologique;0
M808;Autres osteoporoses avec fracture pathologique;0
M809;Osteoporose avec fracture pathologique  sans precision;0
M80X;Osteoporose avec fracture pathologique;0
M810;Osteoporose post-menopausique;0
M811;Osteoporose post-ovariectomie;0
M812;Osteoporose d'inactivite;0
M813;Osteoporose consecutive a une malabsorption post-chirurgical;0
M814;Osteoporose medicamenteuse;0
M815;Osteoporose idiopathique;0
M816;Osteoporose localisee (Lequesne);0
M818;Autres osteoporoses;0
M819;Osteoporose  sans precision;0
M81X;Osteoporose sans fracture pathologique;0
M820;Osteoporose au cours de myelomatose multiple (C90.0);0
M821;Osteoporose au cours de maladies endocriniennes (E00-E34);0
M828;Osteoporose au cours d'autres maladies classees ailleurs;0
M82X;Osteoporose au cours de maladies classees ailleurs;0
M830;Osteomalacie puerperale;0
M831;Osteomalacie senile;0
M832;Osteomalacie de l'adulte par malabsorption;0
M833;Osteomalacie de l'adulte due a la malnutrition;0
M834;Maladie osseuse due a l'aluminium;0
M835;Autres osteomalacies medicamenteuses de l'adulte;0
M838;Autres osteomalacies de l'adulte;0
O479;Faux travail  sans precision;0
O47X;Faux travail;0
O48X;Grossesse prolongee;0
O60X;Accouchement avant terme;0
O610;Echec du declenchement medical (du travail);0
O611;Echec du declenchement instrumental (du travail);0
O618;Autres echecs du declenchement du travail;0
O619;Echec du declenchement du travail  sans precision;0
O61X;Echec du declenchement du travail;0
O620;Contractions (uterines) initiales insuffisantes;0
O621;Inertie uterine secondaire;0
O622;Autres formes d'inertie uterine;0
O623;Travail trop rapide;0
O624;Contractions uterines hypertoniques  non coordonnees et prol;0
O628;Autres anomalies des forces en jeu au cours du travail;0
O629;Anomalie des forces en jeu au cours du travail  sans precisi;0
O62X;Anomalies de la contraction uterine et de la dilatation du c;0
O630;Prolongation de la premiere periode (dilatation);0
O631;Prolongation de la deuxieme periode (expulsion);0
O632;Accouchement retarde du deuxieme jumeau  triple  etc.;0
O639;Travail prolonge  sans precision;0
O63X;Travail prolonge;0
O640;Dystocie due a une rotation incomplete de la tete du foetus;0
O641;Dystocie due a une presentation du siege;0
O642;Dystocie due a une presentation de la face;0
O643;Dystocie due a une presentation du front;0
O644;Dystocie due a une presentation de l'epaule;0
O645;Dystocie due a une presentation complexe;0
O648;Dystocie due a d'autres positions et presentations anormales;0
O649;Dystocie due a une position et une presentation anormales  s;0
O64X;Dystocie due a une position et une presentation anormales du;0
O650;Dystocie due a une deformation pelvienne;0
O651;Dystocie due a un bassin generalement retreci;0
O652;Dystocie due a un retrecissement du detroit superieur;0
O653;Dystocie due a un retrecissement du detroit inferieur et de;0
O654;Dystocie due a une disproportion foeto-pelvienne  sans preci;0
O655;Dystocie due a une anomalie des organes pelviens de la mere;0
O658;Dystocie due a d'autres anomalies pelviennes de la mere;0
O659;Dystocie due a une anomalie pelvienne de la mere  sans preci;0
O65X;Dystocie due a une anomalie pelvienne de la mere;0
O660;Dystocie des epaules;0
O661;Dystocie gemellaire;0
O662;Dystocie due a un foetus anormalement gros;0
O663;Dystocie due a d'autres anomalies foetales;0
O664;Echec de l'epreuve de travail  sans precision;0
O665;Echec de l'application d'une ventouse et d'un forceps  sans;0
O668;Autres dystocies precisees;0
O669;Dystocie  sans precision;0
O66X;Autres dystocies;0
O670;Hemorragie pendant l'accouchement avec anomalie de la coagul;0
O678;Autres hemorragies pendant l'accouchement;0
O679;Hemorragie pendant l'accouchement  sans precision;0
O67X;Travail et accouchement compliques d'une hemorragie  non cla;0
O680;Travail et accouchement compliques d'une anomalie du rythme;0
O681;Travail et accouchement compliques de la presence de meconiu;0
O682;Travail et accouchement compliques d'une anomalie du rythme;0
O683;Travail et accouchement compliques de signes biochimiques de;0
O688;Travail et accouchement compliques d'autres signes de detres;0
O689;Travail et accouchement compliques d'une detresse foetale  s;0
O68X;Travail et accouchement compliques d'une detresse foetale;0
O690;Travail et accouchement compliques d'un prolapsus du cordon;0
O691;Travail et accouchement compliques d'une circulaire du cordo;0
O692;Travail et accouchement compliques d'une autre forme d'enche;0
O693;Travail et accouchement compliques d'une brievete du cordon;0
Q630;Rein surnumeraire;0
Q631;Rein lobule  soude et en fer a cheval;0
Q632;Rein ectopique;0
Q633;Rein hyperplasique et geant;0
Q638;Autres malformations congenitales precisees du rein;0
Q639;Malformation congenitale du rein  sans precision;0
Q63X;Autres malformations congenitales du rein;0
Q640;Epispadias;0
Q641;Exstrophie vesicale;0
Q642;Valvules uretrales posterieures congenitales;0
Q643;Autres formes d'atresie et de stenose (congenitales) de l'ur;0
Q644;Malformation de l'ouraque;0
Q645;Absence congenitale de la vessie et de l'uretre;0
Q646;Diverticule congenital de la vessie;0
Q647;Autres malformations congenitales de la vessie et de l'uretr;0
Q648;Autres malformations congenitales precisees de l'appareil ur;0
Q649;Malformation congenitale de l'appareil urinaire  sans precis;0
Q64X;Autres malformations congenitales de l'appareil urinaire;0
Q650;Luxation congenitale de la hanche  unilaterale;0
Q651;Luxation congenitale de la hanche  bilaterale;0
Q652;Luxation congenitale de la hanche  sans precision;0
Q653;Subluxation congenitale de la hanche  unilaterale;0
Q654;Subluxation congenitale de la hanche  bilaterale;0
Q655;Subluxation congenitale de la hanche  sans precision;0
Q656;Hanche instable (congenitale);0
Q658;Autres malformations congenitales de la hanche;0
Q659;Malformation congenitale de la hanche  sans precision;0
Q65X;Anomalies morphologiques congenitales de la hanche;0
Q660;Pied bot varus equin;0
Q661;Pied bot talus varus;0
Q662;Metatarsus varus;0
Q663;Autres anomalies morphologiques congenitales du pied en varu;0
Q664;Pied bot talus valgus;0
Q665;Pied plat congenital;0
Q666;Autres anomalies morphologiques congenitales du pied en valg;0
Q667;Pied creux;0
Q668;Autres anomalies morphologiques congenitales du pied;0
Q669;Anomalie morphologique congenitale du pied  sans precision;0
Q66X;Anomalies morphologiques congenitales du pied;0
Q670;Asymetrie faciale;0
Q671;Anomalie morphologique faciale par compression;0
Q672;Dolichocephalie;0
Q673;Plagiocephalie;0
Q674;Autres anomalies morphologiques congenitales du crane  de la;0
Q675;Anomalie morphologique congenitale du rachis;0
Q676;Thorax en entonnoir;0
Q677;Thorax en carene;0
Q678;Autres anomalies morphologiques congenitales du thorax;0
Q67X;Anomalies morphologiques congenitales de la tete  de la face;0
Q680;Anomalie morphologique congenitale des muscles sterno-cleido;0
Q681;Anomalie morphologique congenitale de la main;0
Q682;Anomalie morphologique congenitale du genou;0
Q683;Incurvation congenitale du femur;0
Q684;Incurvation congenitale du tibia et du perone;0
Q685;Incurvation congenitale des os longs du membre inferieur  sa;0
Q688;Autres anomalies morphologiques congenitales osteo-articulai;0
Q68X;Autres anomalies morphologiques congenitales osteo-articulai;0
Q690;Doigt(s) surnumeraire(s);0
Q691;Pouce(s) surnumeraire(s);0
Q692;Orteil(s) surnumeraire(s);0
Q699;Polydactylie  sans precision;0
Q69X;Polydactylie;0
Q700;Coalescence des doigts;0
Q701;Palmure des doigts;0
K760;Degenerescence graisseuse du foie  non classee ailleurs;0
K761;Congestion passive chronique du foie;0
K762;Necrose hemorragique centrale du foie;0
K763;Infarctus hepatique;0
K764;Peliose hepatique;0
K765;Maladie veino-occlusive du foie;0
K766;Hypertension portale;0
K767;Syndrome hepato-renal;0
K768;Autres maladies precisees du foie;0
K769;Maladie du foie  sans precision;0
K76X;Autres maladies du foie;0
K770;Atteintes hepatiques au cours de maladies infectieuses et pa;0
K778;Atteintes hepatiques au cours d'autres maladies classees ail;0
K77X;Atteintes hepatiques au cours de maladies classees ailleurs;0
K800;Calcul de la vesicule biliaire avec cholecystite aigue;0
K801;Calcul de la vesicule biliaire avec une autre forme de chole;0
K802;Calcul de la vesicule biliaire (sans cholecystite);0
K803;Calcul des canaux biliaires avec angiocholite;0
K804;Calcul des canaux biliaires avec cholecystite;0
K805;Calcul des canaux biliaires (sans angiocholite ni cholecysti;0
K808;Autres cholelithiases;0
K80X;Cholelithiase;0
K810;Cholecystite aigue;0
K811;Cholecystite chronique;0
K818;Autres cholecystites;0
K819;Cholecystite  sans precision;0
K81X;Cholecystite;0
K820;Occlusion de la vesicule biliaire;0
K821;Hydrocholecyste;0
K822;Perforation de la vesicule biliaire;0
K823;Fistule de la vesicule biliaire;0
K824;Cholesterolose de la vesicule biliaire;0
K828;Autres maladies precisees de la vesicule biliaire;0
K829;Maladie de la vesicule biliaire  sans precision;0
K82X;Autres maladies de la vesicule biliaire;0
K830;Angiocholite (cholangite);0
K831;Obstruction des voies biliaires;0
K832;Perforation des voies biliaires;0
K833;Fistule des voies biliaires;0
K834;Spasme du sphincter d'Oddi;0
K835;Kyste biliaire;0
K838;Autres maladies precisees des voies biliaires;0
K839;Maladie des voies biliaires  sans precision;0
K83X;Autres maladies des voies biliaires;0
K85X;Pancreatite aigue;0
K860;Pancreatite chronique alcoolique;0
K861;Autres pancreatites chroniques;0
K862;Kyste du pancreas;0
K863;Pseudokyste du pancreas;0
K868;Autres maladies precisees du pancreas;0
K869;Maladie du pancreas  sans precision;0
K86X;Autres maladies du pancreas;0
K870;Atteinte de la vesicule biliaire et des voies biliaires au c;0
K871;Atteinte du pancreas au cours de maladies classees ailleurs;0
K87X;Atteintes de la vesicule biliaire  des voies biliaires et du;0
K900;Maladie coeliaque;0
K901;Sprue tropicale;0
K902;Syndrome de l'anse borgne  non classe ailleurs;0
K903;Steatorrhee pancreatique;0
K904;Malabsorption due a une intolerance  non classee ailleurs;0
K908;Autres malabsorptions intestinales;0
K909;Malabsorption intestinale  sans precision;0
K90X;Malabsorption intestinale;0
K910;Vomissements consecutifs a une intervention gastro-intestina;0
M839;Osteomalacie de l'adulte  sans precision;0
M83X;Osteomalacie de l'adulte;0
M840;Fracture mal consolidee;0
M841;Fracture non consolidee (pseudarthrose);0
M842;Retard de consolidation d'une fracture;0
M843;Fracture par sollicitation excessive  non classee ailleurs;0
M844;Fracture pathologique  non classee ailleurs;0
M848;Autres anomalies de la continuite osseuse;0
M849;Anomalie de la continuite osseuse  sans precision;0
M84X;Anomalie de la continuite osseuse;0
M850;Dysplasie fibreuse (localisee);0
M851;Osteose fluoree;0
M852;Hyperostose du crane;0
M853;Osteite condensante;0
M854;Kyste solitaire des os;0
M855;Kyste anevrismal des os;0
M856;Autres kystes osseux;0
M858;Autres anomalies precisees de la densite et de la structure;0
M859;Anomalie de la densite et de la structure osseuses  sans pre;0
M85X;Autres anomalies de la densite et de la structure osseuses;0
M860;Osteomyelite hematogene aigue;0
M861;Autres osteomyelites aigues;0
M862;Osteomyelite subaigue;0
M863;Osteomyelite chronique multiple;0
M864;Osteomyelite chronique avec fistule de drainage;0
M865;Autres osteomyelites hematogenes chroniques;0
M866;Autres osteomyelites chroniques;0
M868;Autres osteomyelites;0
M869;Osteomyelite  sans precision;0
M86X;Osteomyelite;0
M870;Osteonecrose aseptique idiopathique;0
M871;Osteonecrose medicamenteuse;0
M872;Osteonecrose due a un traumatisme anterieur;0
M873;Autres osteonecroses secondaires;0
M878;Autres osteonecroses;0
M879;Osteonecrose  sans precision;0
M87X;Osteonecrose;0
M880;Maladie de Paget du crane;0
M888;Maladie de Paget d'autres os;0
M88X;Maladie osseuse de Paget (osteite deformante);0
M890;Algoneurodystrophie;0
M891;Arret epiphysaire;0
M892;Autres troubles de la croissance et du developpement osseux;0
M893;Hypertrophie osseuse;0
M894;Autres osteoarthropathies hypertrophiantes;0
M895;Osteolyse;0
M896;Osteopathie consecutive a une poliomyelite;0
M898;Autres maladies osseuses precisees;0
M899;Maladie osseuse  sans precision;0
M89X;Autres maladies osseuses;0
M900;Tuberculose osseuse (A18.0);0
M901;Periostite au cours d'autres maladies infectieuses classees;0
M902;Osteopathie au cours d'autres maladies infectieuses classees;0
M903;Osteonecrose de la maladie des caissons (T70.3);0
M904;Osteonecrose due a une hemoglobinopathie (D50-D64);0
M905;Osteonecrose au cours d'autres maladies classees ailleurs;0
M906;Osteite deformante au cours de maladies tumorales (C00-D48);0
M907;Fracture osseuse au cours de maladies tumorales (C00-D48);0
M908;Osteopathie au cours d'autres maladies classees ailleurs;0
M90X;Osteopathie au cours de maladies classees ailleurs;0
M910;Osteochondrite juvenile du bassin;0
M911;Osteochondrite juvenile de la tete du femur (Legg-Calve-Pert;0
M912;Coxa plana;0
M913;Pseudocoxalgie;0
O694;Travail et accouchement compliques par une insertion velamen;0
O695;Travail et accouchement compliques de lesions vasculaires du;0
O698;Travail et accouchement compliques d'autres anomalies du cor;0
O699;Travail et accouchement compliques d'une anomalie du cordon;0
O69X;Travail et accouchement compliques d'anomalies du cordon omb;0
O700;Dechirure obstetricale du perinee  du premier degre;0
O701;Dechirure obstetricale du perinee  du deuxieme degre;0
O702;Dechirure obstetricale du perinee  du troisieme degre;0
O703;Dechirure obstetricale du perinee  du quatrieme degre;0
O709;Dechirure obstetricale du perinee  sans precision;0
O70X;Dechirure obstetricale du perinee;0
O710;Rupture de l'uterus avant le debut du travail;0
O711;Rupture de l'uterus pendant le travail;0
O712;Inversion post-partum de l'uterus;0
O713;Dechirure obstetricale du col de l'uterus;0
O714;Dechirure obstetricale vaginale haute isolee;0
