GEN_NUM;Libellé Numéro Groupe Générique
609;OXCARBAZEPINE 600MG CPR PELLIC
610;RANITIDINE EQ 50MG/2ML SOL INJ AMP
612;TRIMETAZIDINE 35MG CPR PELL LIB MOD
613;AZITHROMYCINE EQ 40MG/ML PDR PR SUSP BUV
614;BETAHISTINE 24MG CPR - BETASERC
618;LANSOPRAZOLE 15MG CPR ORODISP
619;LANSOPRAZOLE 30MG CPR ORODISP
620;LANSOPRAZOLE 15MG GELU GASTRO-RES
621;LANSOPRAZOLE 30MG GELU GASTRO-RES
622;GRANISETRON EQ 1MG CPR PELLIC
623;NEBIVOLOL EQ 5MG CPR 4-SECAB
624;ONDANSETRON 4MG LYOT ORAL
625;PIPERACIL. EQ 2G+TAZOBACT. EQ 250MG PDR PERF
626;PIPERACIL. EQ 4G+TAZOBACT. EQ 500MG PDR PERF
627;RISPERIDONE 0,5MG CPR PELLIC
628;TIAPRIDE EQ 100MG/2ML SOL INJ
631;BISOPROLOL 2,5MG + HCTZ 6,25MG CPR PELLIC
632;BISOPROLOL 5MG + HCTZ 6,25MG CPR PELLIC
633;BISOPROLOL 10MG + HCTZ 6,25MG CPR PELLIC
638;DICLOFENAC DIETHYLAMINE EQ 1G/100G GEL
639;DOMPERIDONE 10MG LYOT ORAL
640;LOSARTAN 50MG + HCTZ 12,5MG CPR PELL
641;LOSARTAN 100MG + HCTZ 25MG CPR PELL
642;PANTOPRAZOLE 40MG CPR GASTRORES
643;RISPERIDONE 1MG/ML SOL BUV
644;LIDOCAINE 2% SOL INJ
646;VENLAFAXINE EQ 37,5MG GELU LIB PROL
647;VENLAFAXINE EQ 75MG GELU LIB PROL
648;DICLOFENAC DIETHYLAMINE EQ 1G/100G GEL FL PRESS
649;FLUVASTATINE SODIQUE EQ 20MG GELU
650;FLUVASTATINE SODIQUE EQ 40MG GELU
653;LEVODOPA 50MG + BENSERAZIDE CHL.EQ 12,5MG GELU
654;LEVODOPA 100MG + BENSERAZIDE CHL.EQ 25MG GELU
655;LEVODOPA 200MG + BENSERAZIDE CHL.EQ 50MG GELU
656;PAMIDRONATE DE SODIUM 60MG/10ML PDR+SOL P/SOL PERF
657;PAMIDRONATE DE SODIUM 90MG/10ML PDR+SOL P/SOL PERF
659;ANASTROZOLE 1MG CPR PELLIC
660;BENFLUOREX 150MG CPR ENROB
661;BRIMONIDINE 0,2% (2MG/ML) COLLY SOL
662;CALCIPOTRIOL MONOHYDRATE 0,05MG/G CR
663;CALCIPOTRIOL MONOHYDRATE 0,05MG/G POM
666;DONEPEZIL 5MG CPR PELLIC
667;DONEPEZIL 10MG CPR PELLIC
668;KETOCONAZOLE 2% GEL SACH DOS
669;KETOCONAZOLE 2% GEL RECIPIENT UNIDOS
671;VALACICLOVIR EQ 500MG CPR ENROB
672;VENLAFAXINE EQ 25MG CPR
674;VENLAFAXINE EQ 50MG CPR
676;ACIDE FUSIDIQUE 2% CR
677;DOXORUBICINE 2MG/ML LYOT INJ FL (FL10MG)
678;DOXORUBICINE 2MG/ML LYOT INJ FL (FL50MG)
679;LEVONORGESTREL 1,5MG CPR
680;LEVONORGESTREL0,1+ETHINYLESTRADIOL 0,02 CPR ENROB
682;PREDNISOLONE METASULFOBENZO SODIQ EQ 5MG CPR DISP
683;PREDNISOLONE METASULFOBENZO SODIQ EQ 20MG CPR DISP
684;TRANDOLAPRIL 0,5MG GELU
685;TRANDOLAPRIL 2MG GELU
686;TRANDOLAPRIL 4MG GELU
687;CLARITHROMYCINE 25MG/ML GLE PR SUSP BUV
688;CLARITHROMYCINE 50MG/ML GLE PR SUSP BUV
689;ROPINIROLE 0,25MG CPR PELLIC - REQUIP
690;ROPINIROLE 0,50MG CPR PELLIC - REQUIP
691;ROPINIROLE 1MG CPR PELLIC - REQUIP
692;ROPINIROLE 2MG CPR PELLIC - REQUIP
693;ROPINIROLE 5MG CPR PELLIC - REQUIP
694;BORAX 60MG+ACIDE BORIQUE 90MG SOL LAV OPHT UNIDOS
695;CABERGOLINE 0,5MG CPR
699;CILAZAPRIL MONOHYDRATE 0,5MG CPR PELLIC SECAB
700;CILAZAPRIL MONOHYDRATE 1MG CPR PELLIC SECAB
701;CILAZAPRIL MONOHYDRATE 2,5MG CPR PELLIC SECAB
702;EPIRUBICINE 10MG PDR PR SOL PERF (FL)
703;EPIRUBICINE 50MG PDR PR SOL PERF (FL)
704;GLICLAZIDE 30MG CPR LIB MODIF
705;INDAPAMIDE 1,5MG CPR PELLIC LIB PROL
706;LEVOFOLINATE DE CALCIUM EQ 25MG/2,5ML SOL INJ
707;NARATRIPTAN EQ 2,5MG CPR PELLIC
708;NIMESULIDE 100MG CPR
711;TRAMADOL 100MG CPR LIB PROL
712;TRAMADOL 150MG CPR LIB PROL
713;TRAMADOL 200MG CPR LIB PROL
715;BENAZEPRIL 10MG + HCTZ 12,5MG CPR PELL S
719;PANTOPRAZOLE 20MG CPR GASTRORES
720;SODIUM FUSIDATE 2% POM
721;TRAMADOL 50MG CPR LIB PROL
722;FENTANYL 12 MICROGRAMMES/HEURE DISP TRANS
723;FENTANYL 25 MICROGRAMMES/HEURE DISP TRANS
724;FENTANYL 50 MICROGRAMMES/HEURE DISP TRANS
725;FENTANYL 75 MICROGRAMMES/HEURE DISP TRANS
726;FENTANYL 100 MICROGRAMMES/HEURE DISP TRANS
727;BETAMETHASONE 2MG CPR DISP SECAB
728;CICLOPIROX 8% SOL FILM PR APPLIC LOC FL
729;DIACERHEINE 50MG GELU
730;FLUVASTATINE SODIQUE EQ 80MG CPR PELLIC LIB PROL
731;IBUPROFENE 20MG/ML S/SUCRE SUSP BUV - NUROFENPRO
732;IMIPENEM+CILASTATINE SODIQ.EQ 500MG/500MG PDR PERF
733;IMIPENEM+CILASTATINE SODIQ.EQ500/500 PDR PERF+SYST
734;PERIND.T-B.2MG-PERIND.ARG.2,5MG+INDAPAM.0,625MG CP
735;PERIND.T-B.4MG-PERIND.ARG.5MG+INDAPAM.1,25MG CPR
737;ZIDOVUDINE 100MG GELU
738;ZIDOVUDINE 250MG GELU
740;BETAMETHASONE 0,05% SOL BUV GTT
743;MACROGOL 4000 10G PDR PR SOL BUV SACH DOS
744;TERBINAFINE 1% CR
745;TROLAMINE 0,67% EMUL PR APPLIC CUTA
747;BETAINE CITRATE ANHYDRE 2G CPR EFFV
748;CARBOMERE 940 0,2% GEL OPHT UNIDOS
749;CARBOMERE 980 0,2% GEL OPHT
750;CEFEPIME DICHLOR.MONOHYDRATE EQ 0,5G PDR PR US PAR
751;CEFEPIME DICHLOR.MONOHYDRATE EQ 1G PDR PR US PAR
752;CEFEPIME DICHLOR.MONOHYDRATE EQ 2G PDR PR US PAR
753;DIMEGLUMINE 0,5MMOL/ML SOL INJ IV
754;DORZOLAMIDE EQ 20MG/ML COLLY SOL
756;LEVOFLOXACINE EQ 500MG CPR PELL SECAB
757;RISPERIDONE 3MG CPR ORODISP
758;RISPERIDONE 4MG CPR ORODISP
759;LETROZOLE 2,5MG CPR PELLIC
760;LEVONORGESTREL0,15+ETHIN 0,03 CPR ENROB-ADEPAL
761;MAGNESIUM 470MG+PYRIDOXINE 5MG CPR ENROB
762;MYCOPHENOLATE MOFETIL 250MG - GELU
764;LERCANIDIPINE 10MG CPR PELLIC SECAB
765;LERCANIDIPINE 20MG CPR PELLIC
770;SALBUTAMOL SULF.EQ 0,5MG/1ML INJ SC AMP-VENTOLINE
773;TOPIRAMATE 25MG GELU
776;LATANOPROST 0,005% COLLY
777;MONTELUKAST SODIQUE EQ 5MG CPR CROQ
778;ROPINIROLE 0,25MG CPR PELLIC - ADARTREL
779;ROPINIROLE 0,50MG CPR PELLIC - ADARTREL
780;ROPINIROLE 1MG CPR PELLIC - ADARTREL
781;ROPINIROLE 2MG CPR PELLIC - ADARTREL
782;AZITHROMYCINE EQ 600MG CPR PELLIC
783;CALCIPOTRIOL MONOHYDRATE 50MCG/ML SOL CUIR CHEVELU
784;CHLORHEXID.0,05ML/ML+CHLOROBUT.0,05G/ML SOL B.BCHE
790;FENOFIBRATE 145MG CPR PELLIC - LIPANTHYL
792;HEXAMIDINE 1MG/ML SOL PR APPLIC LOC
793;IBUPROFENE 400MG CPR PELLIC
794;LEVOCARNITINE 1G/10ML SOL BUV
795;LEVOCARNITINE 1G/5ML SOL INJ AMP
796;MONTELUKAST SODIQUE EQ 10MG CPR PELLIC
798;OLANZAPINE 5MG CPR ENROB
799;OLANZAPINE 7,5MG CPR ENROB
800;OLANZAPINE 10MG CPR ENROB
802;OLANZAPINE 5MG CPR ORODISP
803;OLANZAPINE 10MG CPR ORODISP
806;PRAMIPEXOLE EQ 0,18MG CPR
807;PRAMIPEXOLE EQ 0,7MG CPR
809;ZOLMITRIPTAN 2,5MG CPR PELLIC
810;DOXAZOSINE EQ 4MG CPR LIB PROL
811;FAMCICLOVIR 125MG CPR PELLIC
812;FAMCICLOVIR 500MG CPR PELLIC
813;IRBESARTAN 75MG CPR PELLIC
814;IRBESARTAN 150MG CPR PELLIC
815;IRBESARTAN 300MG CPR PELLIC
817;MYCOPHENOLATE MOFETIL 500MG CPR
819;ORNITHINE 5G PDR PR SOL BUV/ENTER SACH
821;RILUZOLE 50MG CPR PELLIC
822;RIVASTIGMINE EQ 1,5MG GELU
823;RIVASTIGMINE EQ 3MG GELU
824;RIVASTIGMINE EQ 4,5MG GELU
825;RIVASTIGMINE EQ 6MG GELU
828;CLOPIDOGREL HYDROGENOSULFATE/BESILATE EQ 75MG CPR
829;BLEOMYCINE EQ 15MG PDR PR SOL INJ
833;PRAMIPEXOLE EQ 0,35MG CPR
834;PRAMIPEXOLE EQ 0,088MG CPR
835;RIBAVIRINE 200MG GELU
836;SPIRONOLACTONE 25MG CPR PELLIC SECAB
838;TOBRAMYCINE 0,3% COLLY EN SOL
839;TOPIRAMATE 50MG GELU
840;AMOROLFINE EQ 5G/100ML VERN ONGL MED
841;DORZOLAMIDE eq 20MG/ML+TIMOLOL eq 5MG/ML
842;GLYCEROL 15%+VASELINE 8%+PARAFFINE LIQ.2% CR TB
843;KETOPROFENE 150MG CPR SECAB - BIPROFENID
846;LEVOFOLINATE DE CALCIUM EQ 50MG/5ML SOL INJ
847;LOSARTAN 100MG + HCTZ 12,5MG CPR PELL
849;TIAPRIDE eq 0,13790G/1ML SOL BUV GTT
850;VALSARTAN 40MG CPR PELLIC SECAB
851;VALSARTAN 80MG CPR PELLIC
852;VALSARTAN 160MG CPR PELLIC
853;VALSARTAN 80MG + HCTZ 12,5MG CPR PELLIC
854;VALSARTAN 160MG + HCTZ 12,5MG CPR PELLIC
855;VALSARTAN 160MG + HCTZ 25MG CPR PELLIC
856;CANDESARTAN CILEXETIL 4MG CPR SECAB
857;CANDESARTAN CILEXETIL 8MG CPR SECAB
858;CANDESARTAN CILEXETIL 16MG CPR SECAB
859;CANDESARTAN CILEXETIL 32MG CPR SECAB
860;CHLORHEXIDINE 0,05% SOL APPL LOC UNIDOS
861;FLUCONAZOLE 200MG/5ML PDR PR SUSP BUV - TRIFLUCAN
862;FLUOROMETHOLONE 0,1G/100ML COLLY
863;IMIPENEM+CILASTATINE EQ 250MG/250MG PDR PERF
867;PRAZEPAM 10MG CPR
868;PRAZEPAM 15MG/ML SOL BUV GTT
869;TRIMEBUTINE 74,4MG GLE PR SUSP BUV SACH
870;TRIMEBUTINE 4,8MG/ML GLE PR SUSP BUV FL
873;CLARITHROMYCINE 500MG CPR PELLIC LIB MODIF
877;IBANDRONATE  EQ 150MG CPR PEL
878;PANTOPRAZOLE EQ 40MG PDR INJ (IV)
882;REPAGLINIDE 0,5MG CPR
883;REPAGLINIDE 1MG CPR
884;REPAGLINIDE 2MG CPR
889;ACARBOSE 50MG CPR
890;ACARBOSE 100MG CPR SECAB
891;ACETYLCYSTEINE 200MG GLE PR SOL BUV
895;LAMIVUDINE 150MG CPR PELLIC
896;LAMIVUDINE 300MG CPR PELLIC
897;NEVIRAPINE ANHYDRE 200MG CPR
898;FLUTICASONE PROPIONATE 0,05% CR
899;METFORMINE 500MG+GLIBENCLAMIDE 2,5MG CPR P.
900;METFORMINE 500MG+GLIBENCLAMIDE 5MG CPR PELL
901;NEFOPAM EQ 20MG/2ML SOL INJ
903;RIZATRIPTAN EQ 5MG LYOT ORAL
904;RIZATRIPTAN EQ 10MG LYOT ORAL
905;LEVOTHYROXINE 25MCG CPR SECAB
906;LEVOTHYROXINE 50MCG CPR SECAB
907;LEVOTHYROXINE 75MCG CPR SECAB
908;LEVOTHYROXINE 100MCG CPR SECAB
909;LEVOTHYROXINE 125MCG CPR SECAB
910;LEVOTHYROXINE 150MCG CPR SECAB
911;LEVOTHYROXINE 175MCG CPR SECAB
912;LEVOTHYROXINE 200MCG CPR SECAB
913;DIOSMECTITE 3G PDR PR SUSP BUV SACH
914;OXOMEMAZINE 0,33MG/ML SIR
915;ZOLMITRIPTAN 2,5MG CPR ORODISP
916;ATORVASTATINE EQ 10MG CPR PELLIC
917;ATORVASTATINE EQ 20MG CPR PELLIC
918;ATORVASTATINE EQ 40MG CPR PELLIC
919;ATORVASTATINE EQ 80MG CPR PELLIC
920;CEFIXIME EQ100MG/5ML PDR PR SUSP BUV FL
922;CLOBETASOL 0,05% CR
925;EXEMESTANE 25MG CPR ENROB
926;MACROGOL 3350 5,9G PDR PR SOL BUV SACH
927;MANIDIPINE 10MG CPR
928;MANIDIPINE 20MG CPR
930;MEROPENEM EQ 1G PDR PR SOL INJ
931;MOXIFLOXACINE EQ 400MG CPR PELLIC
933;PHOLCODINE 131MG/100ML SANS SUCRE SIR
934;PHOLCODINE 131MG/100ML SIR
936;RISEDRONATE EQ 35MG CPR PEL
938;TELMISARTAN 40MG CPR
939;TELMISARTAN 80MG CPR
946;ADAPALENE 0,1% CR
947;ADAPALENE 0,1% GEL
949;CANDESARTAN CIL. 8MG + HCTZ 12,5MG CPR
950;CANDESARTAN CIL. 16MG + HCTZ 12,5MG CPR
952;OXOMEMAZINE 0,33MG/ML SANS SUCRE SOL BUV
953;RIBAVIRINE 200MG CPR PELLIC
954;RIBAVIRINE 400MG CPR PELLIC
957;ENTACAPONE 200MG CPR PELLIC
960;PRAMIPEXOLE EQ 0,18MG CP-MIRAPEXIN
961;PRAMIPEXOLE EQ 0,7MG CPR-MIRAPEXIN
962;RIVASTIGMINE EQ 2MG/ML SOL BUV
963;CICLETANINE 50MG GELU
964;DESMOPRESSINE 0,1MG CPR
965;DESMOPRESSINE 0,2MG CPR
966;ESOMEPRAZOLE 20MG CPR GAST-RES
967;ESOMEPRAZOLE 40MG CPR GAST-RES
971;RALOXIFENE 60MG CPR PELLIC - EVISTA
976;DORZOLAMIDE CHL.EQ20MG/ML+TIM.M EQ5MG/ML CY UNIDOS
977;IRBESARTAN 150MG+HYDROCHLOR.12,5MG CPR PELLIC
978;IRBESARTAN 300MG+HYDROCHLOR.12,5MG CPR PELLIC
979;IRBESARTAN 300MG+HYDROCHLOR.25MG CPR PELLIC
980;OFLOXACINE 1,5MG/0,5ML SOL AURIC UNIDOS
981;RABEPRAZOLE SODIQUE 10MG CPR GASTRO-RES
982;RABEPRAZOLE SODIQUE 20MG CPR GASTRO-RES
983;RISEDRONATE 5MG CPR PEL
984;RISEDRONATE 30MG CPR PEL
988;VALSARTAN 40MG GELU
989;VALSARTAN 80MG GELU
990;VALSARTAN 160MG GELU
991;MACROGOL 3350 13,125G PDR PR SOL BUV SACH
992;ATOVAQUONE 250MG+PROGUANIL CHL.100MG CPR PELLIC
996;MIZOLASTINE 10MG CPR LIB MODIF
997;MONTELUKAST SODIQUE EQ 4MG CPR CROQ
998;TIANEPTINE SODIQUE 12,5MG CPR ENROB
1004;HYDROXYZINE 100MG/2ML SOL INJ
1005;KETOPROFENE 100MG CPR SECAB LIB PROL - BIPROFENID
1006;LIDOCAINE 10MG SOL INJ
1007;METOCLOPRAMIDE 10MG/2ML SOL INJ AMP
1008;METOCLOPRAMIDE 20MG/1ML SOL INJ
1010;PETHIDINE 50MG/ML SOL INJ
1011;RISEDRONATE 75MG CPR PEL
1014;CARBOMERE 980 2MG/G GEL OPHT - CIVIGEL
1018;FUROSEMIDE 500MG CPR SECAB
1019;GLICLAZIDE 60MG CPR SECAB LIB MODIF
1021;LAMIVUDINE 150MG+ZIDOVUDINE 300MG CPR PELLIC
1022;LEVETIRACETAM 250MG CPR PELLIC
1023;LEVETIRACETAM 500MG CPR PELLIC
1024;LEVETIRACETAM 1000MG CPR PELLIC
1025;MILNACIPRAN 25MG GELU
1026;MILNACIPRAN 50MG GELU
1027;PHLOROGLUCINOL+TRIMETHYLPHLOR.40/0,04MG/4ML INJ A.
1028;ROPINIROLE 2MG CPR LIB PROL - REQUIP
1029;ROPINIROLE 4MG CPR LIB PROL - REQUIP
1030;ROPINIROLE 8MG CPR LIB PROL - REQUIP
1031;TETRABENAZINE 25MG CPR SECAB
1032;DESLORATADINE 5MG CPR PELLIC
1033;DESLORATADINE 0,5MG/ML SOL BUV
1034;DESOGESTREL 0,075MG CPR PELLIC
1035;GALANTAMINE LP 8MG GELU LIB PROL
1036;GALANTAMINE LP 16MG GELU LIB PROL
1037;GALANTAMINE LP 24MG GELU LIB PROL
1040;RIZATRIPTAN 5MG CPR
1041;RIZATRIPTAN 10MG CPR
1042;PERINDOPRIL ARG.2,5MG + INDAPAMIDE 0,625MG CPR
1043;PERINDOPRIL ARG.5MG + INDAPAMIDE 1,25MG CPR
1044;AMISULPRIDE 100MG/ML SOL BUV
1045;DOXAZOSINE 8MG CPR LIB PROL
1046;IMIPENEM+CILASTATINE 500/500 PDR IM+SOL
1048;LEVETIRACETAM 100MG/ML SOL BUV
1051;ACETYLLEUCINE 500MG CPR
1052;AMLODIPINE 5MG+ATORVASTATINE 10MG CPR
1053;AMLODIPINE 10MG+ATORVASTATINE 10MG CP
1054;DICLOFENAC 12,5MG CPR ENROB
1055;EBASTINE 10MG LYOT ORAL
1057;FLURBIPROFENE 100MG CPR PELLIC
1058;LEFLUNOMIDE 10MG CPR PELLIC
1059;LEFLUNOMIDE 20MG CPR PELLIC
1060;METHYLPHENIDATE 10MG CPR
1061;ZOFENOPRIL 30MG CPR PELLIC
1062;TAMSULOSINE 0,4MG CPR PELLIC LP
1063;MONTELUKAST 4MG GLE
1068;KETOTIFENE EQ 0,25MG/ML COLLY UNIDOS
1069;LATANOPROST+TIMOLOL MAL.EQ 50MCG/5MG/ML COLLY
1070;LEFLUNOMIDE 100MG CPR PELLIC
1071;RAMIPRIL 5MG + HYDROCHLOROTHIAZIDE 12,5MG CPR
1072;TRAMADOL CHL.37,5MG+PARACETAMOL 325MG CPR PELLIC
1073;TRAMADOL CHL.37,5MG+PARACETAMOL 325MG CPR EFFV
1074;DOMPERIDONE 20MG CPR PELLIC SECAB
1075;IRBESARTAN 150MG + HCTZ 12,5MG CPR
1076;IRBESARTAN 300MG + HCTZ 12,5MG CPR
1077;ACIDE URSODESOXYCHOLIQUE 250MG CPR PELLIC
1078;ACIDE ZOLEDRONIQUE 4MG/5ML SOL PERF
1083;OXCARBAZEPINE 60MG/ML SUSP BUV
1084;CICLOPIROX OLAMINE 1% CR
1087;ACIDE ZOLEDRONIQUE EQ  5MG SOL PR PERF
1088;AZELASTINE 0,05% COLLY
1089;CAPECITABINE 150MG CPR PELLIC
1090;CAPECITABINE 500MG CPR PELLIC
1092;CELECOXIB 100MG GELU
1093;CELECOXIB 200MG GELU
1094;DILTIAZEM 200MG GELU LP - MONOTILDIEM
1095;DILTIAZEM 300MG GELU LP - MONOTILDIEM
1096;ESCITALOPRAM 5MG CPR PELLIC
1097;ESCITALOPRAM 10MG CPR PELLIC SECAB
1098;ESCITALOPRAM 15MG CPR PELLIC SECAB
1099;ESCITALOPRAM 20MG CPR PELLIC SECAB
1100;IBANDRONATE 3MG SOL INJ
1107;ACIDE ZOLEDRONIQUE EQ 4MG/100ML SOL PERF
1108;BETAXOLOL 20MG CPR PELLIC SECAB
1110;IBANDRONATE EQ 6MG SOL PERF
1111;LIDOCAINE EQ10MG/ML+ADRENALINE SOL INJ
1112;LIDOCAINE EQ20MG/ML+ADRENALINE SOL INJ
1113;MEMANTINE 10MG CPR PELLIC
1114;MEMANTINE 20MG CPR PELLIC
1115;PERINDOPRIL 10MG EQ + INDAPAMIDE 2,5MG C.PELL
1116;LIDOCAINE 5MG/ML SOL INJ
1117;TELMISARTAN 40MG + HYDROCHLOROTHIAZIDE 12,5MG CPR
1118;TELMISARTAN 80MG + HYDROCHLOROTHIAZIDE 12,5MG CPR
1119;TELMISARTAN 80MG + HYDROCHLOROTHIAZIDE 25MG CPR
1120;ALGIN.SODIUM 0,5G+BICAR.SODIUM 0,267G BUV SACH
1121;EFAVIRENZ 600MG CPR PELLIC
1122;SERTRALINE EQ 25MG CPR PELLIC
1123;SERTRALINE EQ 50MG CPR PELLIC SECAB
1125;CARBIDOPA 10MG + LEVODOPA 100MG CPR
1126;CARBIDOPA 25MG + LEVODOPA 250MG CPR
1127;CLOXACILLINE EQ 500MG GELU
1128;DESOGESTREL 150Y+ETHINYL.30Y CP-VARNOLINE CONTINU
1131;NICOTINE EQ 2MG GOM MACH MEDIC S/SUC
1132;NICOTINE EQ 4MG GOM MACH MEDIC S/SUC
1133;DOMPERIDONE 20MG CPR ORODISP
1135;FLECAINIDE 50MG GELU LIB PROL
1136;FLECAINIDE 100MG GELU LIB PROL
1137;FLECAINIDE 150MG GELU LIB PROL
1138;FLECAINIDE 200MG GELU LIB PROL
1139;LEVONORGESTREL0,1+ETHIN 0,02 CPR ENROB-FEMOSIA
1140;MUPIROCINE 2% POM
1141;TROSPIUM 20MG CPR ENROB
1142;ACAMPROSATE CALCIQUE 333MG CPR ENROB GASTRO-RES
1143;IOPAMIDOL EQ 300MG SOL INJ
1144;IOPAMIDOL EQ 370MG SOL INJ
1145;LIDOCAINE 2,5% + PRILOCAINE 2,5% PANS ADH CUTA
1146;LORMETAZEPAM 1MG CPR SECAB
1147;LORMETAZEPAM 2MG CPR SECAB
1148;NICOTINE 7MG/24H DISP TRANS
1149;NICOTINE 14MG/24H DISP TRANS
1150;NICOTINE 21MG/24H DISP TRANS
1151;NICOTINE EQ 1,5MG PAST
1152;NICOTINE EQ 2MG GOM MACH XYLITOL-ACESULF
1153;NICOTINE EQ 4MG GOM MACH XYLITOL-ACESULF
1154;NICOTINE EQ 1,5MG CPR SUCER
1155;NICOTINE EQ 4MG CPR SUCER
1156;CARBIMAZOLE 5MG CPR
1157;CARBIMAZOLE 20MG CPR
1159;NICOTINE EQ 2MG CPR SUCER
1160;PRAMIPEXOLE EQ 0,26MG CPR LP
1161;PRAMIPEXOLE EQ 0,52MG CPR LP
1162;PRAMIPEXOLE EQ 1,05MG CPR LP
1163;PRAMIPEXOLE EQ 2,1MG CPR LP
1166;MOMETASONE EQ 50Y/DOS PULV NAS
1169;ESCITALOPRAM EQ 20MG/ML SOL BUV GTT
1172;LYMECYCLINE EQ 300MG GELU
1173;MEMANTINE 5MG/PRESSION SOL BUV
1176;OXYCODONE 5MG CPR PELLIC LIB PROL
1177;OXYCODONE 10MG CPR PELLIC LIB PROL
1178;OXYCODONE 15MG CPR PELLIC LIB PROL
1179;OXYCODONE 20MG CPR PELLIC LIB PROL
1180;OXYCODONE 30MG CPR PELLIC LIB PROL
1181;OXYCODONE 40MG CPR PELLIC LIB PROL
1182;OXYCODONE 60MG CPR PELLIC LIB PROL
1183;OXYCODONE 80MG CPR PELLIC LIB PROL
1185;HYDROXYZINE 25MG CPR PELLIC SECAB
1190;LEVONORGESTREL 750MCG CPR
1191;ALMOTRIPTAN EQ 12,5MG CPR PELLIC
1192;AMOXICILLINE 250MG GELU - CLAMOXYL
1196;LEVOD.50MG+CARBID.12,5MG+ENTACAP.200MG CPR PELL
1197;LEVOD.75MG+CARBID.18,75MG+ENTACAP.200MG CPR PELL
1198;LEVOD.100MG+CARBID.25MG+ENTACAP.200MG CPR PELL
1199;LEVOD.125MG+CARBID.31,25MG+ENTACAP.200MG CPR PELL
1200;LEVOD.150MG+CARBID.37,5MG+ENTACAP.200MG CPR PELL
1201;LEVOD.175MG+CARBID.43,75MG+ENTACAP.200MG CPR PELL
1202;LEVOD.200MG+CARBID.50MG+ENTACAP.200MG CPR PELL
1203;SEVELAMER 800MG CPR PELLIC
1204;CHOLECALCIFEROL 100 000 UI SOL BUV AMP
1205;ACEBUTOLOL EQ 500MG CPR PELLIC LP
1206;ACIDE GADOTERIQUE 0,5MMOL/ML SOL INJ
1207;ACIDE GADOTERIQUE 0,5MMOL/ML SOL INJ SRG PREREMPL
1208;PYRIDOSTIGMINE BROMURE 60MG CPR ENROB
1210;LOPRAZOLAM MONOHYDRATE EQ 1MG CPR SECAB
1211;QUETIAPINE EQ 50MG CPR LIB PROL
1214;QUETIAPINE EQ 300MG CPR LIB PROL
1215;QUETIAPINE EQ 400MG CPR LIB PROL
1224;RACECADOTRIL 100MG GELU
1228;EPLERENONE 25MG CPR PELLIC
1229;EPLERENONE 50MG CPR PELLIC
1230;VALGANCICLOVIR EQ 450MG CPR PELLIC
1231;ARIPIPRAZOLE 5MG CPR
1232;ARIPIPRAZOLE 10MG CPR
1233;ARIPIPRAZOLE 15MG CPR
1234;OMEGA-3 1000MG CAPS MOL
1235;PREGABALINE 25MG GELU
1236;PREGABALINE 50MG GELU
1237;PREGABALINE 75MG GELU
1238;PREGABALINE 100MG GELU
1239;PREGABALINE 150MG GELU
1240;PREGABALINE 200MG GELU
1241;PREGABALINE 300MG GELU
1242;RASAGILINE EQ 1MG CPR
