ATC5;Libelle ATC5
J05AB11;VALACICLOVIR
J05AB14;VALGANCICLOVIR
J05AE01;SAQUINAVIR
J05AE02;INDINAVIR
J05AE03;RITONAVIR
J05AE07;FOSAMPRENAVIR
J05AE08;ATAZANAVIR
J05AE09;TIPRANAVIR
J05AE10;DARUNAVIR
J05AE11;TELAPREVIR
J05AE12;BOCEPREVIR
J05AF01;ZIDOVUDINE
J05AF02;DIDANOSINE
J05AF04;STAVUDINE
J05AF05;LAMIVUDINE
J05AF06;ABACAVIR
J05AF07;TENOFOVIR DISOPROXIL
J05AF08;ADEFOVIR DIPIVOXIL
J05AF09;EMTRICITABINE
J05AF10;ENTECAVIR
J05AF11;TELBIVUDINE
J05AG01;NEVIRAPINE
J05AG03;EFAVIRENZ
J05AG04;ETRAVIRINE
J05AG05;RILPIVIRINE
J05AH01;ZANAMIVIR
J05AH02;OSELTAMIVIR
J05AR01;ZIDOVUDINE ET LAMIVUDINE
J05AR02;LAMIVUDINE ET ABACAVIR
J05AR03;TENOFOVIR DISOPROXIL ET EMTRICITABINE
J05AR04;ZIDOVUDINE, LAMIVUDINE ET ABACAVIR
J05AR06;EMTRICITABINE, TENOFOVIR DISOPROXIL ET EFAVIRENZ
J05AR08;EMTRICITABINE, TENOFOVIR DISOPROXIL ET RILPIVIRINE
J05AR09;EMTRICITABINE, TENOFOVIR DISOPROXIL, ELVITEGRAVIR ET COBICISTAT
J05AR10;LOPINAVIR ET RITONAVIR
J05AR13;LAMIVUDINE, ABACAVIR ET DOLUTEGRAVIR
J05AX05;INOSINE PRANOBEX
J05AX07;ENFUVIRTIDE
J05AX08;RALTEGRAVIR
J05AX09;MARAVIROC
J05AX12;DOLUTEGRAVIR
J06BB01;IMMUNOGLOBULINE ANTI-D (rh)
J06BB02;IMMUNOGLOBULINE ANTITETANIQUE
J07AG01;HAEMOPHILUS INFLUENZAE B, ANTIGENE PURIFIE CONJUGUE
J07AH07;MENINGOCOQUE C, ANTIGENES POLYSACCHARIDIQUES CONJUGUES
J07AH09;MENINGOCOQUE B, VACCIN MULTICOMPOSANTS
J07AL01;PNEUMOCOCCUS, ANTIGENE POLYSACCHARIDIQUE PURIFIE
J07AL02;PNEUMOCOCCUS, ANTIGENE POLYSACCHARIDIQUE PURIFIE CONJUGUE
J07AM01;ANATOXINE TETANIQUE
J07AN01;TUBERCULOSE, BACTERIE VIVANTE ATTENUEE
J07BB01;GRIPPE, VIRUS ENTIER INACTIVE
J07BB02;GRIPPE, VIRUS FRACTIONNE INACTIVE OU ANTIGENE PURIFIE
J07BC01;HEPATITE B, ANTIGENE PURIFIE
J07BC02;HEPATITE A, VIRUS ENTIER INACTIVE
J07BD01;ROUGEOLE, VIRUS VIVANT ATTENUE
J07BD52;ROUGEOLE EN ASSOCIATION AVEC OREILLONS ET RUBEOLE, VIRUS VIVANTS ATTENUES
J07BF02;POLIOMYELITE, VIRUS VIVANT TRIVALENT ATTENUE ORAL
J07BJ01;RUBEOLE, VIRUS VIVANT ATTENUE
J07BK01;VARICELLE, VIRUS VIVANT ATTENUE
J07BK02;VIRUS VARICELLE-ZONA VIVANT, ATTENUE
J07BM01;PAPILLOMAVIRUS (TYPES HUMAINS 6, 11, 16, 18)
J07BM02;PAPILLOMAVIRUS (TYPES HUMAINS 16, 18)
J07CA01;DIPHTERIE-POLYOMIELITE-TETANOS
J07CA02;DIPHTERIE-COQUELUCHE-POLIOMYELITE-TETANOS
J07CA06;DIPHTERIE-HAEMOPHILUS INFLUENZAE B-COQUELUCHE-POLIOMYELITE-TETANOS
J07CA09;DIPHTERIE-HAEMOPHILUS INFLUENZAE B-COQUELUCHE-POLIOMYELITE-TETANOS-HEPATITE B
J07X;AUTRES VACCINS
L01AA01;CYCLOPHOSPHAMIDE
L01AA02;CHLORAMBUCIL
L01AA03;MELPHALAN
L01AB01;BUSULFAN
L01AX02;PIPOBROMAN
L01AX04;DACARBAZINE
L01BA01;METHOTREXATE
L01BB02;MERCAPTOPURINE
L01BB04;CLADRIBINE
L01BB05;FLUDARABINE
L01BC01;CYTARABINE
L01BC02;FLUOROURACILE
L01BC06;CAPECITABINE
L01CA01;VINBLASTINE
L01CA02;VINCRISTINE
L01CA04;VINORELBINE
L01CB01;ETOPOSIDE
L01DB01;DOXORUBICINE
L01DB06;IDARUBICINE
L01DB08;PIRARUBICINE
L01DC01;BLEOMYCINE
L01DC03;MITOMYCINE
L01XB01;PROCARBAZINE
L01XD03;METHYLE AMINOLEVULINATE
L01XE01;IMATINIB
L01XE02;GEFITINIB
L01XE03;ERLOTINIB
L01XE04;SUNITINIB
L01XE05;SORAFENIB
L01XE06;DASATINIB
L01XE07;LAPATINIB
L01XE08;NILOTINIB
L01XE10;EVEROLIMUS
L01XE11;PAZOPANIB
L01XE12;VANDETANIB
L01XE13;AFATINIB
L01XE14;BOSUTINIB
L01XE15;VEMURAFENIB
L01XE16;CRIZOTINIB
L01XE17;AXITINIB
L01XE18;RUXOLITINIB
L01XE21;REGORAFENIB
L01XE23;DABRAFENIB
L01XE24;PONATINIB
L01XE25;TRAMETINIB
L01XE28;CERITINIB
L01XE31;NINTEDANIB
L01XX02;ASPARAGINASE
L01XX03;ALTRETAMINE
L01XX05;HYDROXYCARBAMIDE
L01XX09;MILTEFOSINE
L01XX11;ESTRAMUSTINE
L01XX17;TOPOTECAN
L01XX25;BEXAROTENE
L01XX35;ANAGRELIDE
L01XX43;VISMODEGIB
L02AA01;DIETHYLSTILBESTROL
L02AA04;FOSFESTROL
L02AB01;MEGESTROL
L02AB02;MEDROXYPROGESTERONE
L02AE01;BUSERELINE
L02AE02;LEUPRORELINE
L02AE03;GOSERELINE
L02AE04;TRIPTORELINE
L02BA01;TAMOXIFENE
L02BA02;TOREMIFENE
L02BA03;FULVESTRANT
L02BB01;FLUTAMIDE
L02BB02;NILUTAMIDE
L02BB03;BICALUTAMIDE
L02BB04;ENZALUTAMIDE
L02BG03;ANASTROZOLE
L02BG04;LETROZOLE
L02BG06;EXEMESTANE
L02BX02;DEGARELIX
L02BX03;ABIRATERONE
L03AA02;FILGRASTIM
L03AA10;LENOGRASTIM
L03AA13;PEGFILGRASTIM
L03AB04;INTERFERON ALFA-2A
L03AB05;INTERFERON ALFA-2B
L03AB07;INTERFERON BETA-1A
L03AB08;INTERFERON BETA-1B
L03AB10;PEGINTERFERON ALFA-2B
L03AB11;PEGINTERFERON ALFA-2A
L03AB13;PEGINTERFERON BETA-1A
L03AX03;VACCIN BCG
L03AX13;GLATIRAMERE ACETATE
L04AA06;MYCOPHENOLIQUE ACIDE
L04AA10;SIROLIMUS
L04AA13;LEFLUNOMIDE
L04AA18;EVEROLIMUS
L04AA24;ABATACEPT
L04AA27;FINGOLIMOD
L04AA31;TERIFLUNOMIDE
L04AA32;APRELIMAST
L04AB01;ETANERCEPT
L04AB04;ADALIMUMAB
L04AB05;CERTOLIZUMAB PEGOL
L04AB06;GOLIMUMAB
L04AC03;ANAKINRA
L04AC05;USTEKINUMAB
L04AC07;TOCILIZUMAB
L04AC08;CANAKINUMAB
L04AC10;SECUKINUMAB
L04AC13;IXEKIZUMAB
L04AD01;CICLOSPORINE
L04AD02;TACROLIMUS
L04AX01;AZATHIOPRINE
L04AX03;METHOTREXATE
L04AX05;PIRFENIDONE
M01AA01;PHENYLBUTAZONE
M01AB01;INDOMETACINE
M01AB02;SULINDAC
M01AB05;DICLOFENAC
M01AB08;ETODOLAC
M01AB16;ACECLOFENAC
M01AB55;DICLOFENAC EN ASSOCIATION
M01AC01;PIROXICAM
M01AC02;TENOXICAM
M01AC06;MELOXICAM
M01AE01;IBUPROFENE
M01AE02;NAPROXENE
M01AE03;KETOPROFENE
M01AE04;FENOPROFENE
M01AE09;FLURBIPROFENE
M01AE11;TIAPROFENIQUE ACIDE
M01AE16;ALMINOPROFENE
M01AG01;MEFENAMIQUE ACIDE
M01AH01;CELECOXIB
M01AH05;ETORICOXIB
M01AX01;NABUMETONE
M01AX02;NIFLUMIQUE ACIDE
M01AX05;GLUCOSAMINE
M01AX17;NIMESULIDE
M01AX21;DIACEREINE
M01AX22;MORNIFLUMATE
M01AX25;CHONDROITINE SULFATE
M01AX26;FRACTIONS INSAPONIFIABLES D'HUILE DE SOJA ET D'AVOCAT
M01CB05;AUROTIOPROL
M01CC;TIOPRONINE
M01CC01;PENICILLAMINE
M02AA01;PHENYLBUTAZONE
M02AA07;PIROXICAM
M02AA10;KETOPROFENE
M02AA13;IBUPROFENE
M02AA15;DICLOFENAC
M02AA17;NIFLUMIQUE ACIDE
M02AC;PREPARATIONS AVEC DES DERIVES DE L'ACIDE SALICYLIQUE
M02AX10;DIVERS (RHUMATO TOPIQUE)
M03BA03;METHOCARBAMOL
M03BX01;BACLOFENE
M03BX05;THIOCOLCHICOSIDE
M03BX07;TETRAZEPAM
M03C;MYORELAXANTS A ACTION DIRECTE
M03CA01;DANTROLENE
M04AA01;ALLOPURINOL
M04AA03;FEBUXOSTAT
M04AB01;PROBENECIDE
M04AC01;COLCHICINE
M05BA01;ETIDRONIQUE ACIDE
M05BA02;CLODRONIQUE ACIDE
M05BA03;PAMIDRONIQUE ACIDE
M05BA04;ALENDRONIQUE ACIDE
M05BA05;TILUDRONIQUE ACIDE
M05BA06;IBANDRONIQUE ACIDE
M05BA07;RISEDRONIQUE ACIDE
M05BA08;ZOLEDRONIQUE ACIDE
M05BB03;ALENDRONIQUE ACIDE ET COLECALCIFEROL
M05BB04;RISEDRONIQUE ACIDE, CALCIUM ET COLECALCIFEROL, EN SEQUENTIEL
M05BX03;STRONTIUM RANELATE
M05BX04;DENOSUMAB
M09;AUTRES MEDICAMENTS DESORDRES MUSCULO-SQUELETTIQUES
M09AA;QUININE ET DERIVES
M09AA72;QUININE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
M09AB;ENZYMES
M09AX01;HYALURONIQUE ACIDE
N01BA02;PROCAINE
N01BB02;LIDOCAINE
N01BB52;LIDOCAINE EN ASSOCIATION
N02AA;ALCALOIDES NATURELS DE L'OPIUM
N02AA01;MORPHINE
N02AA03;HYDROMORPHONE
N02AA05;OXYCODONE
N02AA08;DIHYDROCODEINE
N02AA59;CODEINE EN ASSOCIATION
N02AB02;PETHIDINE
N02AB03;FENTANYL
N02AC54;DEXTROPROPOXYPHENE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES
N02AE01;BUPRENORPHINE
N02AX02;TRAMADOL
N02AX52;TRAMADOL EN ASSOCIATION
N02BA01;ACETYLSALICYLIQUE ACIDE
N02BA51;ACETYLSALICYLIQUE ACIDE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES
N02BA71;ACETYLSALICYLIQUE ACIDE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
N02BE01;PARACETAMOL
N02BE51;PARACETAMOL EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES
N02BE71;PARACETAMOL EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
N02BG04;FLOCTAFENINE
N02BG06;NEFOPAM
N02CA01;DIHYDROERGOTAMINE
N02CA04;METHYSERGIDE
N02CA07;LISURIDE
N02CA52;ERGOTAMINE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES
N02CC01;SUMATRIPTAN
N02CC02;NARATRIPTAN
N02CC03;ZOLMITRIPTAN
N02CC04;RIZATRIPTAN
N02CC05;ALMOTRIPTAN
N02CC06;ELETRIPTAN
N02CC07;FROVATRIPTAN
N02CX01;PIZOTIFENE
N02CX06;OXETORONE
N03AA02;PHENOBARBITAL
N03AA03;PRIMIDONE
N03AB02;PHENYTOINE
N03AD01;ETHOSUXIMIDE
N03AE01;CLONAZEPAM
N03AF01;CARBAMAZEPINE
N03AF02;OXCARBAZEPINE
N03AF03;RUFINAMIDE
N03AF04;ESLICARBAZEPINE
N03AG01;VALPROIQUE ACIDE
N03AG02;VALPROMIDE
N03AG04;VIGABATRIN
N03AG06;TIAGABINE
N03AX09;LAMOTRIGINE
N03AX11;TOPIRAMATE
N03AX12;GABAPENTINE
N03AX14;LEVETIRACETAM
N03AX15;ZONISAMIDE
N03AX16;PREGABALINE
N03AX17;STIRIPENTOL
N03AX18;LACOSAMIDE
N03AX21;RETIGABINE
N03AX22;PERAMPANEL
N04AA01;TRIHEXYPHENIDYL
N04AA02;BIPERIDENE
N04AA12;TROPATEPINE
N04BA02;LEVODOPA ET INHIBITEUR DE LA DECARBOXYLASE
N04BA03;LEVODOPA, INHIBITEUR DE LA DECARBOXYLASE ET INHIBITEUR DE LA COMT
N04BB01;AMANTADINE
N04BC01;BROMOCRIPTINE
N04BC04;ROPINIROLE
N04BC05;PRAMIPEXOLE
N04BC07;APOMORPHINE
N04BC08;PIRIBEDIL
N04BC09;ROTIGOTINE
N04BD01;SELEGILINE
N04BD02;RASAGILINE
N04BX01;TOLCAPONE
N04BX02;ENTACAPONE
N05AA;CARPIPRAMINE
N05AA01;CHLORPROMAZINE
N05AA02;LEVOMEPROMAZINE
N05AA06;CYAMEMAZINE
N05AB02;FLUPHENAZINE
N05AC01;PERICIAZINE
N05AC04;PIPOTIAZINE
N05AD01;HALOPERIDOL
N05AD05;PIPAMPERONE
N05AF01;FLUPENTIXOL
N05AF05;ZUCLOPENTHIXOL
N05AG02;PIMOZIDE
N05AG03;PENFLURIDOL
N05AH01;LOXAPINE
N05AH02;CLOZAPINE
N05AH03;OLANZAPINE
N05AH04;QUETIAPINE
N05AL01;SULPIRIDE
N05AL03;TIAPRIDE
N05AL05;AMISULPRIDE
N05AN01;LITHIUM
N05AX08;RISPERIDONE
N05AX12;ARIPIPRAZOLE
N05AX13;PALIPERIDONE
N05BA01;DIAZEPAM
N05BA04;OXAZEPAM
N05BA05;CLORAZEPATE POTASSIQUE
N05BA06;LORAZEPAM
N05BA08;BROMAZEPAM
N05BA09;CLOBAZAM
N05BA11;PRAZEPAM
N05BA12;ALPRAZOLAM
N05BA16;NORDAZEPAM
N05BA18;ETHYLE LOFLAZEPATE
N05BA21;CLOTIAZEPAM
N05BB01;HYDROXYZINE
N05BB02;CAPTODIAME
N05BC01;MEPROBAMATE
N05BC51;MEPROBAMATE EN ASSOCIATION
N05BE01;BUSPIRONE
N05BX03;ETIFOXINE
N05C;HYPNOTIQUES ET SEDATIFS (PHYTOTHERAPIE)
N05CB02;BARBITURIQUES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES
N05CD02;NITRAZEPAM
N05CD03;FLUNITRAZEPAM
N05CD04;ESTAZOLAM
N05CD06;LORMETAZEPAM
N05CD07;TEMAZEPAM
N05CD08;MIDAZOLAM
N05CD11;LOPRAZOLAM
N05CF01;ZOPICLONE
N05CF02;ZOLPIDEM
N05CM;AUTRES HYPNOTIQUES ET SEDATIFS
N05CM09;VALERIANE
N05CM11;BROMURES
N05CM16;NIAPRAZINE
N05CX;CLORAZEPATE DIPOTASSIQUE + ACEPROMAZINE
N06AA02;IMIPRAMINE
N06AA04;CLOMIPRAMINE
N06AA06;TRIMIPRAMINE
N06AA09;AMITRIPTYLINE
N06AA12;DOXEPINE
N06AA16;DOSULEPINE
N06AA17;AMOXAPINE
N06AA21;MAPROTILINE
N06AB03;FLUOXETINE
N06AB04;CITALOPRAM
N06AB05;PAROXETINE
N06AB06;SERTRALINE
N06AB08;FLUVOXAMINE
N06AB10;ESCITALOPRAM
N06AF05;IPRONIAZIDE
N06AG02;MOCLOBEMIDE
N06AX01;OXITRIPTAN
N06AX03;MIANSERINE
N06AX11;MIRTAZAPINE
N06AX14;TIANEPTINE
N06AX16;VENLAFAXINE
N06AX17;MILNACIPRAN
N06AX21;DULOXETINE
N06AX22;AGOMELATINE
N06AX26;VORTIOXETINE
N06BA04;METHYLPHENIDATE
N06BA07;MODAFINIL
N06BC01;CAFEINE
N06BX03;PIRACETAM
N06BX17;ADRAFINIL
N06DA02;DONEPEZIL
N06DA03;RIVASTIGMINE
N06DA04;GALANTAMINE
N06DX01;MEMANTINE
N06DX02;GINKGO BILOBA
N07AA01;NEOSTIGMINE
N07AA02;PYRIDOSTIGMINE
N07AA30;AMBENONIUM
N07BA01;NICOTINE
N07BA03;VARENICLINE
N07BB01;DISULFIRAM
N07BB03;ACAMPROSATE
N07BB04;NALTREXONE
N07BB05;NALMEFENE
N07BC01;BUPRENORPHINE
N07BC02;METHADONE
N07BC51;BUPRENORPHINE EN ASSOCIATION
N07CA01;BETAHISTINE
N07CA03;FLUNARIZINE
N07CA04;ACETYLLEUCINE
N07XX02;RILUZOLE
N07XX05;AMIFAMPRIDINE
N07XX06;TETRABENAZINE
N07XX07;FAMPRIDINE
N07XX08;TAFAMIDIS
N07XX09;DIMETHYL FUMARATE
P01AA05;TILBROQUINOL
P01AB01;METRONIDAZOLE
P01AB02;TINIDAZOLE
P01AB07;SECNIDAZOLE
P01AX06;ATOVAQUONE
P01BA01;CHLOROQUINE
P01BA02;HYDROXYCHLOROQUINE (SULFATE)
P01BB01;PROGUANIL
P01BB51;PROGUANIL EN ASSOCIATION
P01BC;QUININE, QUINIDINE, CINCHONINE, CINCHONIDINE
P01BC01;QUININE
P01BC02;MEFLOQUINE
P01BD01;PYRIMETHAMINE
P01BF01;ARTEMETHER ET LUMEFANTRINE
P01BF05;ARTENIMOL ET PIPERAQUINE
P01CB01;ANTIMONIATE DE MEGLUMINE
P01CX01;PENTAMIDINE ISETHIONATE
P02BA01;PRAZIQUANTEL
P02CA03;ALBENDAZOLE
P02CA05;FLUBENDAZOLE
P02CC01;PYRANTEL
P02CF01;IVERMECTINE
P02DA01;NICLOSAMIDE
P03AC04;PERMETHRINE
P03AX01;BENZOATE DE BENZYLE
R01A;SODIUM THIOPHENECARBOXYLATE
R01AA05;OXYMETAZOLINE
R01AB05;EPHEDRINE
R01AB08;TUAMINOHEPTANE
R01AC01;CROMOGLICIQUE ACIDE
R01AC03;AZELASTINE
R01AC05;SPAGLUMIQUE ACIDE
R01AD01;BECLOMETASONE
R01AD04;FLUNISOLIDE
R01AD05;BUDESONIDE
R01AD07;TIXOCORTOL
R01AD08;FLUTICASONE
R01AD09;MOMETASONE
R01AD11;TRIAMCINOLONE
R01AD12;FLUTICASONE FUROATE
R01AD52;PREDNISOLONE EN ASSOCIATION
R01AD53;DEXAMETHASONE EN ASSOCIATION
R01AD57;TIXOCORTOL EN ASSOCIATION
R01AX03;IPRATROPIUM BROMURE
R01AX05;RITIOMETAN
R01AX06;MUPIROCINE
R01AX10;DIVERS PREPARATIONS NASALES
R01AX30;AUTRES PREPRARATIONS NASALES ASSOCIATIONS
R01B;DECONGESTIONNANT A USAGE SYSTEMIQUE
R01BA02;PSEUDOEPHEDRINE
R01BA52;PSEUDOEPHEDRINE EN ASSOCIATION
R01BA53;PHENYLEPHRINE EN ASSOCIATION
R02AA;ANTISEPTIQUES ORL
R02AA05;CHLORHEXIDINE
R02AA20;DIVERS ORL
R02AB04;BACITRACINE
R03AC02;SALBUTAMOL
R03AC03;TERBUTALINE
R03AC04;FENOTEROL
R03AC08;PIRBUTEROL
R03AC12;SALMETEROL
R03AC13;FORMOTEROL
R03AC18;INDACATEROL
R03AC19;OLODATEROL
R03AK06;SALMETEROL ET FLUTICASONE
R03AK07;FORMOTEROL ET BUDESONIDE
R03AK08;FORMOTEROL ET BECLOMETASONE
R03AK10;VILANTEROL ET FLUTICASONE FUROATE
R03AK11;FORMOTEROL ET FLUTICASONE
R03AL01;FENOTEROL ET BROMURE D'IPRATROPIUM
R03AL02;SALBUTAMOL ET BROMURE D'IPRATROPIUM
R03AL04;INDACATEROL ET BROMURE DE GLYCOPYRRONIUM
R03BA01;BECLOMETASONE
R03BA02;BUDESONIDE
R03BA05;FLUTICASONE
R03BA07;MOMETASONE
R03BA08;CICLESONIDE
R03BB01;IPRATROPIUM BROMURE
R03BB02;OXITROPIUM BROMURE
R03BB04;TIOTROPIUM BROMURE
R03BB06;GLYCOPYRRONIUM BROMURE
R03BB07;UMECLIDINIUM BROMURE
R03BC01;CROMOGLICIQUE ACIDE
R03CC02;SALBUTAMOL
R03CC03;TERBUTALINE
R03CC12;BAMBUTEROL
R03DA04;THEOPHYLLINE
R03DA08;BAMIFYLLINE
R03DC03;MONTELUKAST
R03DX03;FENSPIRIDE
R03DX05;OMALIZUMAB
R05C;EXPECTORANTS SAUF ASSOCIATION AUX ANTITUSSIFS
R05CA10;ASSOCIATIONS EXPECTORANTES
R05CB01;ACETYLCYSTEINE
R05CB02;BROMHEXINE
R05CB03;CARBOCISTEINE
R05CB06;AMBROXOL
R05CB13;DORNASE ALFA
R05CB15;ERDOSTEINE
R05DA01;ETHYLMORPHINE
R05DA04;CODEINE
R05DA08;PHOLCODINE
R05DA09;DEXTROMETHORPHANE
R05DA20;ASSOCIATIONS ANTITUSSIVES
R05DB;HELICIDINE
R05DB09;OXELADINE
R05DB20;ASSOCIATIONS AUTRES ANTITUSSIFS
R05FA02;DERIVE DE L'OPIUM ET EXPECTORANTS
R05FB02;ANTITUSSIFS ET EXPECTORANTS
R05X;AUTRES MEDICAMENTS DU RHUME
R05X00;AMYLASE FONGIQUE (ALPHA AMYLASE)
R06AA08;CARBINOXAMINE
R06AB01;BROMPHENIRAMINE
R06AB02;DEXCHLORPHENIRAMINE
R06AB52;DEXCHLORPHENIRAMINE EN ASSOCIATION
R06AD01;ALIMEMAZINE
R06AD02;PROMETHAZINE
R06AD07;MEQUITAZINE
R06AD08;OXOMEMAZINE
R06AE05;MECLOZINE
R06AE06;OXATOMIDE
R06AE07;CETIRIZINE
R06AE09;LEVOCETIRIZINE
R06AX13;LORATADINE
R06AX17;KETOTIFENE
R06AX22;EBASTINE
R06AX23;PIMETHIXENE
R06AX25;MIZOLASTINE
R06AX26;FEXOFENADINE
R06AX27;DESLORATADINE
R06AX28;RUPATADINE
R06AX29;BILASTINE
R07AX;AUTRES MEDICAMENTS DU SYSTEME RESPIRATOIRE
R07AX02;IVACAFTOR
S01;MEDICAMENTS OPHTALMOLOGIQUES
S01AA;BACITRACINE
S01AA01;CHLORAMPHENICOL
S01AA12;TOBRAMYCINE
S01AA13;FUSIDIQUE ACIDE
S01AA16;RIFAMYCINE
S01AA22;MICRONOMICINE
S01AA26;AZITHROMYCINE
S01AA30;ASSOCIATIONS DE DIFFERENTS ANTIBIOTIQUES EN OPHTALMOLOGIE
S01AB04;SULFACETAMIDE
S01AD01;IDOXURIDINE
S01AD02;TRIFLURIDINE
S01AD03;ACICLOVIR
S01AD09;GANCICLOVIR
S01AE01;OFLOXACINE
S01AE02;NORFLOXACINE
S01AE03;CIPROFLOXACINE
S01AX;AUTRES ANTIINFECTIEUX
S01AX07;SODIUM BORATE
S01AX16;PICLOXYDINE
S01BA01;DEXAMETHASONE
S01BA07;FLUOROMETHOLONE
S01BA13;RIMEXOLONE
S01BC01;INDOMETACINE
S01BC03;DICLOFENAC
S01BC04;FLURBIPROFENE
S01BC05;KETOROLAC
S01BC08;SALICYLIQUE ACIDE
S01BC11;BROMFENAC SODIUM SESQUIHYDRATE
S01CA01;DEXAMETHASONE ET ANTIINFECTIEUX
S01CA03;HYDROCORTISONE ET ANTIINFECTIEUX
S01CC;ANTIINFLAMMATOIRES NON STEROIDIENS ET ANTIINFECTIEUX EN ASSOCIATION
S01EA03;APRACLONIDINE
S01EA05;BRIMONIDINE
S01EB01;PILOCARPINE
S01EB51;PILOCARPINE EN ASSOCIATION
S01EC01;ACETAZOLAMIDE
S01EC03;DORZOLAMIDE
S01EC04;BRINZOLAMIDE
S01EC54;BRINZOLAMIDE EN ASSOCIATION
S01ED01;TIMOLOL
S01ED02;BETAXOLOL
S01ED03;LEVOBUNOLOL
S01ED04;METIPRANOLOL
S01ED05;CARTEOLOL
S01ED51;TIMOLOL EN ASSOCIATION
S01EE01;LATANOPROST
S01EE03;BIMATOPROST
S01EE04;TRAVOPROST
S01FA;HYOSCYAMINE
S01FA01;ATROPINE
S01FA04;CYCLOPENTOLATE
S01FA05;HOMATROPINE
S01FA06;TROPICAMIDE
S01FB01;PHENYLEPHRINE
S01GA51;NAPHAZOLINE EN ASSOCIATION
S01GA55;PHENYLEPHRINE EN ASSOCIATION
S01GX01;CROMOGLICIQUE ACIDE
S01GX02;LEVOCABASTINE
S01GX03;SPAGLUMIQUE ACIDE
S01GX04;NEDOCROMIL
S01GX05;LODOXAMIDE
S01GX07;AZELASTINE
S01GX08;KETOTIFENE
S01GX09;OLOPATADINE
S01GX10;EPINASTINE
S01HA02;OXYBUPROCAINE
S01HA03;TETRACAINE
S01KA02;HYPROMELLOSE
S01LA01;VERTEPORFIN
S01LA03;PEGAPTANIB
S01LA04;RANIBIZUMAB
S01LA05;AFLIBERCEPT
S01XA;AUTRES MEDICAMENTS OPHTALMOLOGIQUES
S01XA02;RETINOL
S01XA08;ACETYLCYSTEINE
S01XA10;INOSINE
S01XA20;LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS
S02AA12;RIFAMYCINE
S02AA15;CIPROFLOXACINE
S02AA16;OFLOXACINE
S02BA06;DEXAMETHASONE
S02CA05;FLUOCINOLONE ET ANTIINFECTIEUX
S02CA06;DEXAMETHASONE ET ANTIINFECTIEUX
S02CA07;FLUDROCORTISONE ET ANTIINFECTIEUX
S02DA30;ASSOCIATIONS (ANALGESIQUES ET ANESTHESIQUES)
S02DC;AUTRES MEDICAMENTS OTOLOGIE
V01AA02;POLLEN D'HERBE
V01AA07;INSECTES
V03AB;ANTIDOTES = DMSA (SUCCIMER)
V03AB03;EDETATES
V03AB14;PROTAMINE
V03AC01;DEFEROXAMINE
V03AC03;DEFERASIROX
V03AE01;SULFONATE DE POLYSTYRENE
V03AE02;SEVELAMER
V03AE03;LANTHANUM CARBONATE
V03AE05;OXYHYDROXYDE SUCRO-FERRIQUE
V03AF03;CALCIUM FOLINATE
V03AF04;CALCIUM LEVOFOLINATE
V03AX;AUTRES PRODUITS THERAPEUTIQUES
V04CD04;CORTICOLIBERINE
V04CF01;TUBERCULINE
V04CM01;GONADORELINE
V04CX;AUTRES MEDICAMENTS POUR DIAGNOSTIC
V06DB;ASSOCIATIONS DE LIPIDES, HYDRATES DE CARBONE, PROTEINES, VITAMINES
V07AB;SOLVANTS ET DILUANTS, SOLUTIONS D'IRRIGATION INCLUSES
V08AA01;DIATRIZOIQUE ACIDE
V08AA05;IOXITALAMIQUE ACIDE
V08AB02;IOHEXOL
V08AB03;IOXAGLIQUE ACIDE
V08AB04;IOPAMIDOL
V08AB05;IOPROMIDE
V08AB07;IOVERSOL
V08AB08;IOPENTOL
V08AB09;IODIXANOL
V08AB10;IOMEPROL
V08AB11;IOBITRIDOL
V08AD01;ESTERS ETHYLIQUES D'ACIDES GRAS IODES
V08BA01;SULFATE DE BARIUM AVEC AGENTS DE MISE EN SUSPENSION
V08BA02;SULFATE DE BARIUM SANS AGENTS DE MISE EN SUSPENSION
V08CA01;GADOPENTETIQUE ACIDE
V08CA02;GADOTERIQUE ACIDE
V08CA03;GADODIAMIDE
V08CA04;GADOTERIDOL
V08CA08;GADOBENIQUE ACIDE
V08CA09;GADOBUTROL
V08DA05;SOUFRE HEXAFLUORURE
