RBC_COD_ACT;RBC_LIB_ACT;TEC_COL
SEJ;AIDE FINANCIERE INDIVIDUELLE HOSPITALISATION;0
SES;SUITE A EXAMEN DE SANTE;0
SF  F;ACTES DE SAGE-FEMME FERIE;0
SF;ACTES DE SAGE-FEMME;0
SF  N;ACTES DE SAGE-FEMME NUIT;0
SFC;SUPPLEMENT FORFAIT CHIMIO-THERAPIE;0
SFI F;SOINS INFIRMIERS SAGE-FEMME FERIE;0
SFI N;SOINS INFIRMIERS SAGE-FEMME NUIT;0
SFI;SOINS INFIRMIERS SAGE-FEMME;0
SHO;SUPPLEMENT CHAMBRE PARTICULIERE;0
SIN;SUPPLEMENT INCUBATEURS;0
SMU;SMUR;0
SNG;SANG PLASMA ET DERIVES;0
SNM;SURV.MED.MATER.AU TITRE ASS;0
SNS;FRAIS DE SEANCE DE SOINS;0
SOD;SUPPLEMENT OFFICINE DOM;0
SOE;Complément optique enfant moins de 18 ans -CRPCEN-;0
SOL;ACTION SOCIALE (optique) -CRPCEN-;0
SOM;Complément réparation des montures -CRPCEN-;0
SOV;Complément optique (verres-lentilles) -CRPCEN-;0
SPA;Réparations prothèses dentaires STO. -CRPCEN-;0
SPB;SUPPLEMENT CHAMBRE PLOMBEE;0
SPL;INTERVENTION ET FORMATION GARDE MALADE ET FOURNITURES NON REMBOURSABLE;0
SPR;PROTHESE DENTAIRE/DENTISTE;0
SRA;SUPPLEMENT soins particulièrement coutêux (arrêté du 29/06/1978 );0
SRC;SUPPLEMENT SURVEILLANCE CONTINUE;0
LEN;LENTILLES OPTIQUES;0
PB;PRELEVEMENT SANG/DIREC.LABO.NON MED;0
PDA;PROTHESE DENTAIRE AMOVIBLE -CCAM-;0
PDI;ACTE DE PREVENTION -CNMSS-;0
PDO;PRETIUM DOLORIS (AVANCE);0
PER;IJ CONGE MATERNITE AU PERE;0
PEX;PRO.EXT.NON ORTHO;0
PFE;PROTHESE DENTAIRE FIXE ESTHETIQUE -CCAM-;0
PFH;PARTICIPATION FORFAITAIRE HORS TIERS PAYANT;0
PFM;PROTHESE DENTAIRE FIXE METALLIQUE -CCAM-;0
PFR;PRIME DE FIN DE REEDUCATION;0
PFT;PARTICIPATION FORFAITAIRE TIERS PAYANT;0
PH1;PHARMACIE VIGNETTE NOIRE (100%);0
PH4;PHARMACIE VIGNETTE BLEUE (35%);0
PH7;PHARMACIE VIGNETTE BLANCHE (65%);0
PH8;PHARMACIE FACTUREE EN SUS DU SEJOUR (GHS);0
PHA;FORFAIT PHARMACIE ACCOUCH.DOMICILE;0
PHH;PHARMACIE HOSPITALIERE;0
PHI;MEDICAMENT  AVEC AUTORISATION D'IMPORTATION;0
PHJ;FRAIS PHARMACEUTIQUES (MED.COUTEUX);0
PHM;PREPARATION HOSPITALIERE  MAGISTRALE;0
PHN;PHARMACIE NON REMBOURSABLE;0
PHP;PREPARATION HOSPITALIERE;0
PHQ;PHARMACIE HOSPITALIERE 35%;0
PHS;PHARMACIE HOSPITALIERE 65%;0
PHU;MEDICAMENT  AVEC UNE AUTORISATION TEMPORAIRE D'UTILISATION;0
PI;PENSION D'INVALIDITE;0
PII;IMPLANT INERTE;0
PJ;FRAIS D'HEBERGEMENT ET DE SOINS;0
PJC;Ticket modér.de PJ p.e.c par Organisme Complémentaire;0
PME;IMPLANT MU PAR ELECTRICITE;0
PMH;PREPARATION MAGISTRALE HOMEOPATHIQUE;0
PMR;PREPARATION MAGISTRALE REMBOURSABLE;0
PMS;MAJORATION PROTOCOLE MEDICO-SUIVI;0
PO1;PRELEVEMENT D'ORGANE 1;0
PO2;PRELEVEMENT D'ORGANE 2;0
SSA;"ACTION SOCIALE ""AUDITIF"" -( initialement spécifique à la CRPCEN)";0
SSC;SUPPLEMENT surveillance continue provisoire (arrêté du 29/06/1978 );0
BP;ACTES DE BIOLOGIE PATHOLOGIE;0
BR;ACTE SPE BIOLOGIE;0
BR  N;ACTE SPE BIOLOGIE;0
BR  F;ACTE SPE BIOLOGIE;0
BR2;BUCCO DENT. CONSULTATION et RADIO 2 CLICHES;0
BR4;BUCCO DENT. CONSULTATION et RADIO 4 CLICHES;0
C   N;CONSULTATION;0
C   F;CONSULTATION;0
C;CONSULTATION;0
CA;CONSULTATION APPROFONDIE;0
CAM;RESERVE UNIQUEMENT A PROGRES POUR CCAM;0
CAR;CARENCE + ou - 3 MOIS;0
CBP;FORFAIT CONTRAT DE BONNES PRATIQUES;0
CCT;"ACTION SOCIALE "" CURE "" ALM CRPCEN";0
CDC;CAPITAL DECES;0
CDF;CENTRE DE SANTE DENTAIRE OPTANT - FORFAIT FINAL-;0
CDI;CENTRE DE SANTE DENTAIRE OPTANT -FORFAIT INITIAL-;0
CDS;CENTRE DE SANTE DENTAIRE OPTANT -FORFAIT SUIVI-;0
CID;CENTRE DE SANTE INFIRMIER OPTANT -FORFAIT DEBUT-;0
CIF;CENTRE DE SANTE INFIRMIER OPTANT -FORFAIT FIN-;0
CIJ;COMPLEMENT IJ > PLAFOND -CRPCEN-;0
CMD;CENTRE DE SANTE MEDICAL OPTANT -FORFAIT DEBUT-;0
CMF;CENTRE DE SANTE MEDICAL OPTANT -FORFAIT FIN-;0
CMT;CENTRE DE SANTE MEDICAL OPTANT -FORFAIT TACITE-;0
CNP F;CONSULTATION NEURO-PSYCHIATRE FERIE;0
CNP N;CONSULTATION NEURO-PSYCHIATRE NUIT;0
CNP;CONSULTATION NEURO-PSYCHIATRE;0
CNT;CONTROLE MEDICAL -CRPCEN-;0
COL;ALLOCATIONS VACANCES -CRPCEN-;0
COR;PODO-ORTHESES;0
CP1;FORFAIT CONTRAT DE BONNES PRATIQUES CP1;0
CP2;FORFAIT CONTRAT DE BONNES PRATIQUES CP2;0
CP3;FORFAIT CONTRAT DE BONNES PRATIQUES CP3;0
CPC;CHAMBRE PARTICULIERE POUR CONVENANCE PERSONNELLE;0
CPH;COPIE D'ORDONNANCE;0
CPL;FORFAIT CONTRAT DE BONNES PRATIQUES CPL;0
CPO;COORDINATION PRELEVEMENT D'ORGANES;0
CPU;CONTRAT PRATIQUE VERSEMENT UNIQUE;0
CRD;MAJORATION CONSULTATION REGULEE DIMANCHE ET FERIE;0
CRF;COTIS. AT EN READAP. FONCTIONNELLE;0
CRM;MAJORATION CONSULTATION REGULEE MILIEU DE NUIT;0
CRN;MAJORATION CONSULTATION REGULEE DE NUIT;0
CRP;COTIS. AT EN REEDUC. PROFESSION;0
V;VISITE;0
FJA;FORFAIT SORTIE;0
FJC;""" FJ ""pris en charge par un Organisme Complémentaire";0
FJL;FORFAIT REGIME LOCAL SEUL;0
FJM;FORFAIT JOURNALIER HOSPITALIER A LA CHARGE DE L'ASSURE;0
FJO;FORFAIT HOSP.TRANSPLANTATION;0
FJP;FORFAIT HOSPITALIER AJOUTE;0
FJR;FORFAIT SORTIE RO;0
FJS;HEBERGEMENT > 24H;0
FJX;FORFAIT HOSPITALIER REGIME GENERAL;0
FJY;FORFAIT HOSPITALIER ASSURE;0
FMC;FORFAIT MENSUEL DE COORDINATION;0
FMP;FORFAIT MENSUEL DE PARTICIPATION;0
FMS;FORFAIT MENSUEL SOINS;0
FMV;FORFAIT MEDICAMENT DE VILLE;0
FN;FONDS NATIONAL DE SOLIDARITE;0
FNN;FORFAIT NOUVEAU NE;0
FNO;FRAIS SEANCES DE SOINS SANS OXYGENE;0
FOB;OXYGENE EN BOUTEILLE;0
FOC;OXYGENE ET CONCENTRATEUR;0
FOL;FRAIS SEANCE AVEC OXYGENE LIQUIDE;0
FP;FORFAIT PANSEMENT;0
FP0;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP1;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP2;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP3;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP4;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP5;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP6;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP7;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP8;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FP9;FORFAIT DE PREVENTION/DEPISTAGE -DEXTER-;0
FPA;FORFAIT PERSONNES AGEES;0
FPE;FORFAIT PEDIATRIQUE;0
FPS;FORFAIT PROFESSIONNEL DE SANTE CENTRE DE SANTE;0
FRC;FORFAIT REPOS, CONVALESCENCE -CAVIMAC-;0
FRL;FORFAIT SORTIE RL;0
FS;FRAIS DE SOINS;0
FSE;FORFAIT DE SEANCE;0
NN1;SUPPLEMENT NEONATALOGIE 1;0
NN2;SUPPLEMENT NEONATALOGI E 2;0
NN3;SUPPLEMENT NEONATALOGI E 3;0
NNO;ALLOCATION NUIT NORMALE + 3 ou - MOIS;0
NOR;INDEMNITE JOURNALIERE NORMALE + 3 ou - MOIS;0
NUT;ALIMENTS DESTINES A DES FINS MED. SPEC.;0
OCC;TRAITEMENT DENTAIRE -CRPCEN-;0
SSD;"ACTION SOCIALE ""DENTAIRE"" -( initialement spécifique à la CRPCEN)";0
SSM;MAJORATION POUR SURVEILLANCE MALADE;0
SSO;"ACTION SOCIALE ""OPTIQUE"" -( initialement spécifique à la CRPCEN)";0
SSP;Action sociale -CRPCEN-;0
SSU;Complément prothèse audit.pour adulte (>18 ans) -CRPCEN-;0
STF;SUPPLEMENT SOINS INTENSIFS;0
STH;FORFAIT SURVEIL.MEDICALE THERMALE;0
TB;PRELEVEMENT SANG/TECHNICIEN DE LABO;0
TDF;TEST DE DIAGNOSTIC RAPIDE (FOURNISSEUR);0
TDR;TEST DE DIAGNOSTIC RAPIDE;0
TH1;FORFAIT THERMAL COMPLET;0
TH2;FORFAIT THERMAL AVEC KINESI;0
TH3;FORFAIT THERMAL 2 eme ORIENTATION;0
TH4;FORFAIT THERMAL 9 SEANCES KINE;0
THR;DEMI FORFAIT SURVEILLANCE MEDICALE;0
THS;SUPPLEMENT SP. 2e ORIENTATION;0
TMD;TICKET MODERATEUR DENTAIRE (cf P 970024);0
TO;ORTHODONTIE PAR DENTISTE;0
TOR;TRAITEMENT ORTHOPEDIE DENTO-FACIALE -CCAM-;0
TP;MAJORATION POUR TIERCE PERSONNE;0
TRA;TRANSPORT PERSONNE ACCOMPAGNANTE -CNMSS-;0
TRC;TRANSPORT DU CORPS;0
TRP;TRANS. REEDUCATION PROFESSIONNELLE;0
TSG;FRAIS TRANSPORT PRODUITS SANGUINS;0
TTH;FRAIS DE TRANSPORT EN CURE THERMALE;0
TXI;TAXIS;0
UPH;URGENCE PHARMACIE;0
V   F;VISITE FERIE;0
CS;CONSULTATION SPECIALISTE;0
CS  N;CONSULTATION SPECIALISTE;0
CS  F;CONSULTATION SPECIALISTE;0
CSC N;CONSULTATION SPECIFIQUE CARDIO;0
CSC F;CONSULTATION SPECIFIQUE CARDIO;0
CSC;CONSULTATION SPECIFIQUE CARDIO;0
CSI;FORFAIT CONTRAT DE SANTE PUBLIQUE INFIRMIER;0
OMJ;OUTIL MISE A JOUR CARTES VITALE;0
OP1;FORFAIT OPTIQUE -N°1UNIFOCAUX   (CMU);0
OP2;FORFAIT OPTIQUE -N°2UNIFOCAUX (CMU);0
OP3;FORFAIT OPTIQUE -N°3UNIFOCAUX (CMU);0
OP4;FORFAIT OPTIQUE -N°4 MULTIFOCAUX    (CMU);0
OP5;FORFAIT OPTIQUE -N°5 MULTIFOCAUX    (CMU);0
OP6;FORFAIT OPTIQUE -N°6 MULTIFOCAUX    (CMU);0
OPE;VERRES POUR ENFANT<18 ans CRPCEN (hors codage);0
OPM;FORFAIT MONTURE (CMU);0
OPR;REPARATION OPTIQUE;0
OPT;OPTIQUE;0
ORC;ACCESSOIRES CENTRE APPAREILLAGE;0
ORP;ORTHOPROTHESES;0
ORT;ORTHODONTIE / MEDECIN;0
P   N;ACTES ANATOMO-CYTO-PATHO NUIT;0
P;ACTES ANATOMO-CYTO-PATHO;0
P   F;ACTES ANATOMO-CYTO-PATHO FERIE;0
P01;PS1 COMPLEMENT TICKET MODERATEUR;0
P02;PS2 COMPLEMENT FRAIS TRANSPORT SEJ;0
P03;PS3 FRAIS OCCASIONNES LORS DE PRELEVEMENTS;0
P04;PS4.COMPL.FRAIS SEJOUR HOSPITALISATION;0
P05;PS5 PERTE DE SALAIRE ENFANT MALADE;0
P06;PS6 INDEMNITES.JOURNALIERES MATERNITE;0
P08;PS8 FRAIS FUNERAIRES;0
P09;PS9 INDEM.COMPL.REEDUCATION.PROF.;0
P10;PS10 COMPL.CURES THERMALES;0
P11;PS11 COMPL. TICKET MODERATEUR.;0
P12;PS12 ALLOCATION DECES;0
FSG F;FRAIS SAL.TRAV.ACC.GEMEL.OU DYSTOC FERIE;0
FSG N;FRAIS SAL.TRAV.ACC.GEMEL.OU DYSTOC NUIT;0
FSG;FRAIS SAL.TRAV.ACC.GEMEL.OU DYSTOC;0
FSM;FORFAIT SOINS MEDICAUX -CAVIMAC-;0
FSO N;FRAIS DE SALLE D'OPERATION NUIT;0
FSO;FRAIS DE SALLE D'OPERATION;0
FSO F;FRAIS DE SALLE D'OPERATION FERIE;0
V   N;VISITE NUIT;0
V   U;VISITE  URGENCE;0
VA;VISITE D'URGENCE (expérimentation);0
VA  U;SOINS D'URGENCE;0
VAG;VACCIN ANTIGRIPPE      -CRPCEN-;0
VCC;VACCIN  -CNMSS-;0
VEH;VEHICULE;0
VER;VERRES OPTIQUES;0
