CAT_CIM_COD;CAT_CIM_LIB;TEC_COL
E23;Hyposécrétion et autres anomalies de l'hypophyse;0
E50;Avitaminose A;0
D27;Tumeur bénigne de l'ovaire;0
D28;Tumeur bénigne des organes génitaux de la femme, autres et non précisés;0
D29;Tumeur bénigne des organes génitaux de l'homme;0
D32;Tumeur bénigne des méninges;0
D35;Tumeur bénigne des glandes endocrines, autres et non précisées;0
D42;Tumeur des méninges à évolution imprévisible ou inconnue;0
D56;Thalassémie;0
D62;Anémie posthémorragique aiguë;0
D66;Carence héréditaire en facteur VIII;0
D72;Autres anomalies des leucocytes;0
D74;Méthémoglobinémie;0
D75;Autres maladies du sang et des organes hématopoïétiques;0
D77;Autres maladies du sang et des organes hématopoïétiques au cours de maladies classées ailleurs;0
F45;Troubles somatoformes;0
F48;Autres troubles névrotiques;0
F54;Facteurs psychologiques et comportementaux associés à des maladies ou des troubles classés ailleurs;0
F64;Troubles de l'identité sexuelle;0
F98;Autres troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence;0
G02;Méningite au cours d'autres maladies infectieuses et parasitaires classées ailleurs;0
F02;Démence au cours d'autres maladies classées ailleurs;0
F12;Troubles mentaux et du comportement liés à l'utilisation de dérivés du cannabis;0
H00;Orgelet et chalazion;0
H19;Affections de la slérotique et de la cornée au cours de maladies classées ailleurs;0
H20;Iridocyclite;0
H34;Occlusions vasculaires rétiniennes;0
H35;Autres affections rétiniennes;0
H62;Affections de l'oreille externe au cours de maladies classées ailleurs;0
H66;Otite moyenne suppurée et sans précision;0
H72;Perforation du tympan;0
I02;Chorée rhumatismale;0
I07;Maladies rhumatismales de la valvule tricuspide;0
I09;Autres cardiopathies rhumatismales;0
G06;Abcès et granulome intracrâniens et intrarachidiens;0
G37;Autres affections démyélinisantes du système nerveux central;0
G73;Affections musculaires et neuro-musculaires au cours de maladies classées ailleurs;0
G93;Autres affections du cerveau;0
J32;Sinusite chronique;0
J40;Bronchite, (non précisée comme aiguë ou chronique);0
I36;Atteintes non rhumatismales de la valvule tricuspide;0
I45;Autres troubles de la conduction;0
I50;Insuffisance cardiaque;0
I63;Infarctus cérébral;0
I70;Athérosclérose;0
I74;Embolie et thrombose artérielles;0
I80;Phlébite et thrombophlébite;0
I84;Hémorroïdes;0
I97;Troubles de l'appareil circulatoire après un acte à visée diagnostique et thérapeutique, non classés ailleurs;0
I98;Autres troubles de l'appareil circulatoire au cours de maladies classées ailleurs;0
K92;Autres maladies du système digestif;0
L14;Dermatoses bulleuses au cours de maladies classées ailleurs;0
L54;Érythèmes au cours de maladies classées ailleurs;0
L70;Acné;0
L72;Kystes folliculaires de la peau et du tissu cellulaire sous-cutané;0
L98;Autres affections de la peau et du tissu cellulaire sous-cutané, non classées ailleurs;0
K31;Autres maladies de l'estomac et du duodénum;0
K43;Autres hernies de la paroi abdominale antérieure;0
K51;Recto-colite hémorragique [colite ulcéreuse];0
K73;Hépatite chronique, non classée ailleurs;0
M02;Arthropathies réactionnelles;0
M05;Polyarthrite rhumatoïde séropositive;0
M30;Périartérite noueuse et affections apparentées;0
M13;Autres arthrites;0
M18;Arthrose de la première articulation carpo-métacarpienne;0
M47;Spondylarthrose;0
M48;Autres spondylopathies;0
M96;Affections du système ostéo-articulaire et des muscles après un acte à visée diagnostique et thérapeutique, non classées ailleurs;0
N01;Syndrome néphritique d'évolution rapide;0
M88;Maladie osseuse de Paget [ostéite déformante];0
N98;Complications de la fécondation artificielle;0
O29;Complications d'une anesthésie au cours de la grossesse;0
O33;Soins maternels pour disproportion foeto-pelvienne connue ou présumée;0
O34;Soins maternels pour anomalie connue ou présumée des organes pelviens;0
O43;Anomalies du placenta;0
O67;Travail et accouchement compliqués d'une hémorragie, non classée ailleurs;0
N11;Néphrite tubulo-interstitielle chronique;0
N17;Insuffisance rénale aiguë;0
N19;Défaillance du rein, sans précision;0
N31;Dysfonctionnement neuromusculaire de la vessie;0
N41;Affections inflammatoires de la prostate;0
N48;Autres affections de la verge;0
N50;Autres affections des organes génitaux de l'homme;0
N75;Affection de la glande de Bartholin;0
N81;Prolapsus génital;0
N82;Fistules de l'appareil génital de la femme;0
N83;Affections non inflammatoires de l'ovaire, de la trompe de Fallope et du ligament large;0
N84;Polype de l'appareil génital de la femme;0
P78;Autres affections périnatales de l'appareil digestif;0
P80;Hypothermie du nouveau-né;0
Q04;Autres malformations congénitales de l'encéphale;0
Q05;Spina bifida;0
Q07;Autres malformations congénitales du système nerveux;0
O98;Maladies infectieuses et parasitaires de la mère classées ailleurs mais compliquant la grossesse, l'accouchement et la puerpéralité;0
P03;Foetus et nouveau-né affectés par d'autres complications du travail et de l'accouchement;0
P04;Foetus et nouveau-né affectés par des effets nocifs transmis par voie transplacentaire ou par le lait maternel;0
P14;Lésion du système nerveux périphérique due à un traumatisme obstétrical;0
A24;Morve et mélioïdose;0
A56;Autres infections à Chlamydia transmises par voie sexuelle;0
A58;Granulome inguinal;0
A70;Infection à Chlamydia psittaci;0
A86;Encéphalite virale, sans précision;0
A94;Fièvre virale transmise par des arthropodes, sans précision;0
B04;Monkeypox;0
R42;Étourdissements et éblouissements;0
R57;Choc, non classé ailleurs;0
R58;Hémorragie, non classée ailleurs;0
R73;Augmentation de la glycémie;0
R85;Résultats anormaux de prélèvements effectués sur l'appareil digestif et la cavité abdominale;0
Q52;Autres malformations congénitales des organes génitaux de la femme;0
Q68;Autres anomalies morphologiques congénitales ostéo-articulaires et des muscles;0
Q70;Syndactylie;0
Q75;Autres malformations congénitales des os du crâne et de la face;0
Q79;Malformations congénitales du système ostéo-articulaire et des muscles, non classées ailleurs;0
Q85;Phacomatoses, non classées ailleurs;0
Q89;Autres malformations congénitales, non classées ailleurs;0
S54;Lésion traumatique de nerfs au niveau de l'avant-bras;0
S61;Plaie ouverte du poignet et de la main;0
S67;Écrasement du poignet et de la main;0
S80;Lésion traumatique superficielle de la jambe;0
S82;Fracture de la jambe, y compris la cheville;0
S86;Lésion traumatique de muscles et de tendons au niveau de la jambe;0
S02;Fracture du crâne et des os de la face;0
S07;Écrasement de la tête;0
S11;Plaie ouverte du cou;0
S18;Amputation traumatique au niveau du cou;0
S28;Écrasement du thorax et amputation traumatique d'une partie du thorax;0
S29;Lésions traumatiques du thorax, autres et sans précision;0
S31;Plaie ouverte de l'abdomen, des lombes et du bassin;0
S38;Écrasement et amputation traumatique d'une partie de l'abdomen, des lombes et du bassin;0
Z58;Difficultés liées à l'environnement physique;0
Z92;Antécédents personnels de traitement médical;0
ZZZ;Non précisé;0
Z73;Difficultés liées à l'orientation de son mode de vie;0
T40;Intoxication par narcotiques et psychodysleptiques [hallucinogènes];0
X00;Exposition à un feu non maîtrisé, dans un bâtiment ou un ouvrage;0
X02;Exposition à un feu maîtrisé, dans un bâtiment ou un ouvrage;0
X24;Contact avec des centipodes et myriapodes venimeux (tropicaux);0
T87;Complications propres à une réimplantation et une amputation;0
T88;Autres complications de soins chirurgicaux et médicaux, non classées ailleurs;0
V69;Occupant d'un véhicule lourd blessé dans des accidents de transport, autres et sans précision;0
V71;Occupant d'un autobus blessé dans une collision avec un cycle;0
X32;Exposition à la lumière solaire;0
X36;Avalanche, glissement de terrain et autres mouvements telluriques;0
U82;Résistance aux antibiotiques bétalactamines [bétalactames];0
U85;Résistance aux médicaments antinéoplasiques;0
Y24;Décharge d'armes à feu, autres et sans précision, intention non déterminée;0
Y31;Lésion traumatique par un objet en mouvement (la victime étant tombée ou couchée devant l'objet ou entrée en collision avec celui-ci), intention non déterminée;0
Y34;Événement sans précision, intention non déterminée;0
V19;Cycliste blessé dans des accidents de transport, autres et sans précision;0
V86;Occupant d'un véhicule tout-terrain, blessé dans un accident de transport;0
V88;Accident en dehors de la circulation d'un type précisé, sans que soit connu le mode de transport de la victime;0
X48;Intoxication accidentelle par des pesticides et exposition à ces produits;0
X57;Privation, sans précision;0
X60;Auto-intoxication par des analgésiques, antipyrétiques et antirhumatismaux non opiacés et exposition à ces produits;0
Y57;Effets indésirables des substances médicamenteuses, autres et sans précision;0
V30;Occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un piéton ou un animal;0
W08;Chute d'un autre meuble;0
X65;Auto-intoxication par l'alcool et exposition à l'alcool;0
Y97;Facteurs liés à la pollution de l'environnement;0
Z02;Examen médical et prise de contact à des fins administratives;0
Z08;Examen de contrôle après traitement d'une tumeur maligne;0
Y59;Vaccins et substances biologiques, autres et sans précision;0
Y61;Corps étranger accidentellement laissé dans l'organisme au cours d'actes médicaux et chirurgicaux;0
X76;Lésion auto-infligée par exposition à la fumée, au feu et aux flammes;0
X81;Lésion auto-infligée en sautant ou en se couchant devant un objet en mouvement;0
Y77;Appareils utilisés en ophtalmologie, associés à des accidents;0
W33;Décharge de fusil, de carabine et d'arme de plus grande taille;0
W37;Explosion et éclatement de pneumatique ou de tuyau sous pression;0
X84;Lésion auto-infligée par un moyen non précisé;0
X87;Agression par des pesticides;0
Z21;Infection asymptomatique par le virus de l'immunodéficience humaine [VIH];0
Z31;Mesures procréatives;0
V54;Occupant d'une camionnette blessé dans une collision avec un véhicule lourd ou un autobus;0
W40;Explosion d'autres matériaux;0
X94;Agression par fusil, carabine et arme de plus grande taille;0
X98;Agression par la vapeur d'eau, des gaz et objets brûlants;0
W50;Coup, torsion, morsure ou écorchure infligés par un tiers;0
W57;Morsure ou piqûre non venimeuse d'insectes et autres arthropodes;0
Y83;Opération et autre acte chirurgical à l'origine de réactions anormales du patient ou de complications ultérieures, sans mention d'accident au cours de l'intervention;0
Y88;Actes médicaux et chirurgicaux considérés comme cause externe de séquelles;0
Z39;Soins et examens du post-partum;0
S92;Fracture du pied, sauf la cheville;0
S96;Lésion traumatique de muscles et de tendons au niveau de la cheville et du pied;0
W77;Danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances;0
T43;Intoxication par médicaments psychotropes, non classés ailleurs;0
T46;Intoxication par substances agissant essentiellement sur le système cardio-vasculaire;0
T05;Amputations traumatiques de plusieurs parties du corps;0
T56;Effet toxique des métaux;0
T17;Corps étranger dans les voies respiratoires;0
X18;Contact avec d'autres métaux chauffés;0
X19;Contact avec des sources de chaleur et des substances brûlantes, autres et sans précision;0
T71;Asphyxie;0
A38;Scarlatine;0
A41;Autres sepsis;0
A48;Autres maladies bactériennes, non classées ailleurs;0
A63;Autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs;0
A68;Fièvres récurrentes [borrélioses];0
A79;Autres rickettsioses;0
A92;Autres fièvres virales transmises par des moustiques;0
A95;Fièvre jaune;0
B02;Zona [herpes zoster];0
A18;Tuberculose d'autres organes;0
A20;Peste;0
C76;Tumeur maligne de sièges autres et mal définis;0
C77;Tumeur maligne des ganglions lymphatiques, secondaire et non précisée;0
C78;Tumeur maligne secondaire des organes respiratoires et digestifs;0
C83;Lymphome non folliculaire;0
P15;Autres traumatismes obstétricaux;0
P27;Maladies respiratoires chroniques survenant pendant la période périnatale;0
P36;Infection bactérienne du nouveau-né;0
P55;Maladie hémolytique du foetus et du nouveau-né;0
Q95;Réarrangements équilibrés et marqueurs structuraux, non classés ailleurs;0
R07;Douleur au niveau de la gorge et du thorax;0
R20;Troubles de la sensibilité cutanée;0
R22;Autres tuméfactions et masses localisées de la peau et du tissu cellulaire sous-cutané;0
R26;Anomalies de la démarche et de la motilité;0
R33;Rétention d'urine;0
R39;Autres symptômes et signes relatifs à l'appareil urinaire;0
R41;Autres symptômes et signes relatifs aux fonctions cognitives et à la conscience;0
R95;Syndrome de la mort subite du nourrisson;0
Q53;Cryptorchidie;0
Q62;Anomalies congénitales obstructives du bassinet et malformations congénitales de l'uretère;0
Q71;Raccourcissement (congénital) du membre supérieur;0
Q80;Ichtyose congénitale;0
Q82;Autres malformations congénitales de la peau;0
Q86;Syndromes congénitaux malformatifs dus à des causes exogènes connues, non classés ailleurs;0
Q90;Syndrome de Down;0
S55;Lésion traumatique de vaisseaux sanguins au niveau de l'avant-bras;0
S60;Lésion traumatique superficielle du poignet et de la main;0
S68;Amputation traumatique du poignet et de la main;0
S79;Lésions traumatiques de la hanche et de la cuisse, autres et sans précision;0
S84;Lésion traumatique des nerfs au niveau de la jambe;0
S04;Lésion traumatique des nerfs crâniens;0
S09;Lésions traumatiques de la tête, autres et sans précision;0
S10;Lésion traumatique superficielle du cou;0
S14;Lésion traumatique des nerfs et de la moelle épinière au niveau du cou;0
S27;Lésions traumatiques d'organes intrathoraciques, autres et non précisés;0
S36;Lésion traumatique d'organes intra-abdominaux;0
S44;Lésion traumatique de nerfs au niveau de l'épaule et du bras;0
S52;Fracture de l'avant-bras;0
Z51;Autres soins médicaux;0
Z52;Donneurs d'organes et de tissus;0
Z53;Sujets ayant recours aux services de santé pour des actes médicaux spécifiques, non effectués;0
Z56;Difficultés liées à l'emploi et au chômage;0
Z71;Sujets en contact avec les services de santé pour d'autres conseils et avis médicaux, non classés ailleurs;0
X04;Exposition à l'inflammation d'une substance très inflammable;0
X28;Contact avec d'autres plantes vénéneuses précisées;0
T81;Complications d'actes à visée diagnostique et thérapeutique, non classées ailleurs;0
Y18;Intoxication par des pesticides et exposition à ces produits, intention non déterminée;0
Y20;Pendaison, strangulation et suffocation, intention non déterminée;0
U04;Syndrome respiratoire aigu sévère [SRAS];0
U88;Agents résistant à de multiples antibiotiques;0
U89;Agents résistant à des antibiotiques autres et non précisés;0
V77;Occupant d'un autobus blessé dans une collision avec un objet fixe ou stationnaire;0
X39;Exposition à des forces de la nature, autres et sans précision;0
X40;Intoxication accidentelle par des analgésiques, antipyrétiques et antirhumatismaux, non opiacés et exposition à ces produits;0
Y25;Contact avec matériel explosif, intention non déterminée;0
Y27;Contact avec de la vapeur d'eau, des gaz et objets brûlants, intention non déterminée;0
Y29;Contact avec objet contondant, intention non déterminée;0
V06;Piéton blessé dans une collision avec un autre véhicule sans moteur;0
V10;Cycliste blessé dans une collision avec un piéton ou un animal;0
V12;Cycliste blessé dans une collision avec un véhicule à moteur à deux ou trois roues;0
V82;Occupant d'un tramway blessé dans un accident de transport;0
Y35;Intervention de la force publique;0
V22;Motocycliste blessé dans une collision avec un véhicule à moteur à deux ou trois roues;0
V85;Occupant d'un véhicule spécial de construction blessé dans un accident de transport;0
V87;Accident de la circulation d'un type précisé, sans que soit connu le mode de transport de la victime;0
Y42;Effets indésirables des hormones et leurs substituts synthétiques et antagonistes, non classés ailleurs;0
Y46;Effets indésirables des anti-épileptiques et antiparkinsoniens;0
X61;Auto-intoxication par des anti-épileptiques, sédatifs, hypnotiques, antiparkinsoniens et psychotropes et exposition à ces produits, non classés ailleurs;0
Y55;Effets indésirables des substances agissant essentiellement sur les muscles lisses et striés et l'appareil respiratoire;0
W09;Chute du haut d'agrès équipant un terrain de jeux;0
Y98;Facteurs liés au mode de vie;0
Z09;Examen de contrôle après traitement d'affections autres que les tumeurs malignes;0
Z10;Examen général de routine d'une sous-population définie;0
Z11;Examen spécial de dépistage de maladies infectieuses et parasitaires;0
X73;Lésion auto-infligée par décharge de fusil, de carabine et d'arme de plus grande taille;0
Y63;Erreur de dosage au cours d'actes médicaux et chirurgicaux;0
V44;Occupant d'une automobile blessé dans une collision avec un véhicule lourd ou un autobus;0
X82;Lésion auto-infligée par collision d'un véhicule à moteur;0
Y58;Effets indésirables des vaccins bactériens;0
W36;Explosion et éclatement d'une bouteille de gaz;0
X90;Agression par un produit chimique ou nocif, sans précision;0
Z27;Nécessité d'une vaccination associée contre plusieurs maladies infectieuses;0
Z29;Nécessité d'autres mesures prophylactiques;0
Z33;Grossesse constatée fortuitement;0
W38;Explosion et éclatement d'autres appareils précisés sous pression;0
W39;Projections de feu d'artifice;0
W49;Exposition à des forces mécaniques, autres et sans précision;0
X91;Agression par pendaison, strangulation et suffocation;0
Y47;Effets indésirables des sédatifs, hypnotiques et tranquillisants;0
V58;Occupant d'une camionnette blessé dans un accident de transport, sans collision;0
W51;Collision entre deux personnes;0
W53;Morsure de rat;0
Y03;Agression en provoquant une collision de véhicule à moteur;0
Y84;Autres actes médicaux à l'origine de réactions anormales du patient ou de complications ultérieures, sans mention d'accident au cours de l'intervention;0
Y91;Preuves du rôle de l'alcool confirmé par le degré d'intoxication;0
W59;Morsure ou écrasement par d'autres reptiles;0
Y12;Intoxication par des narcotiques et psychodysleptiques [hallucinogènes] et exposition à ces produits, non classés ailleurs, intention non déterminée;0
Z40;Opération prophylactique;0
Z42;Soins de contrôle comprenant une opération plastique;0
S89;Lésions traumatiques de la jambe, autres et sans précision;0
W76;Autre pendaison et strangulation accidentelles;0
Y15;Intoxication par l'alcool et exposition à l'alcool, intention non déterminée;0
T44;Intoxication par médicaments agissant essentiellement sur le système nerveux autonome;0
T45;Intoxication par substances essentiellement systémiques et hématologiques, non classées ailleurs;0
T08;Fracture du rachis, niveau non précisé;0
T10;Fracture du membre supérieur, niveau non précisé;0
X10;Contact avec des boissons, aliments, graisses comestibles et huiles de cuisson brûlants;0
T68;Hypothermie;0
T78;Effets indésirables, non classés ailleurs;0
T79;Certaines complications précoces des traumatismes, non classées ailleurs;0
T34;Gelure avec nécrose des tissus;0
A22;Charbon;0
A25;Fièvres causées par morsure de rat;0
A27;Leptospirose;0
A44;Bartonellose;0
A59;Trichomonase;0
A67;Pinta [caraté];0
A69;Autres infections à spirochètes;0
A80;Poliomyélite aiguë;0
A84;Encéphalite virale transmise par des tiques;0
A90;Dengue [dengue classique];0
A99;Fièvre hémorragique virale, sans précision;0
B16;Hépatite aiguë B;0
B19;Hépatite virale, sans précision;0
B35;Dermatophytose;0
B44;Aspergillose;0
C86;Autres types précisés de lymphomes à cellules T/NK;0
C93;Leucémie monocytaire;0
D00;Carcinome in situ de la cavité buccale, de l'oesophage et de l'estomac;0
D01;Carcinome in situ des organes digestifs, autres et non précisés;0
B46;Zygomycose;0
B54;Paludisme, sans précision;0
B77;Ascaridiase;0
C01;Tumeur maligne de la base de la langue;0
C03;Tumeur maligne de la gencive;0
R65;Syndrome de réponse inflammatoire systémique;0
R77;Autres anomalies des protéines plasmatiques;0
R91;Résultats anormaux d'imagerie diagnostique du poumon;0
D06;Carcinome in situ du col de l'utérus;0
D17;Tumeur lipomateuse bénigne;0
B59;Pneumocystose;0
B70;Diphyllobothriase et sparganose;0
B72;Dracunculose;0
B73;Onchocercose;0
B76;Ankylostomiase;0
B79;Infection à Trichuris trichiuria;0
B85;Pédiculose et phtiriase;0
B90;Séquelles de tuberculose;0
C10;Tumeur maligne de l'oropharynx;0
C33;Tumeur maligne de la trachée;0
C53;Tumeur maligne du col de l'utérus;0
C67;Tumeur maligne de la vessie;0
C70;Tumeur maligne des méninges;0
C72;Tumeur maligne de la moelle épinière, des nerfs crâniens et d'autres parties du système nerveux central;0
D82;Déficit immunitaire associé à d'autres anomalies majeures;0
E02;Hypothyroïdie par carence inapparente en iode;0
E13;Autres diabètes sucrés précisés;0
E15;Coma hypoglycémique non diabétique;0
E26;Hyperaldostéronisme;0
E31;Dysfonctionnement pluriglandulaire;0
E41;Marasme nutritionnel;0
E42;Kwashiorkor avec marasme;0
E43;Malnutrition protéino-énergétique grave, sans précision;0
E44;Malnutrition protéino-énergétique légère ou modérée;0
E53;Autres avitaminoses du groupe B;0
E55;Carence en vitamine D;0
E60;Carence alimentaire en zinc;0
E65;Adiposité localisée;0
E66;Obésité;0
E71;Anomalies du métabolisme des acides aminés à chaîne ramifiée et du métabolisme des acides gras;0
D26;Autres tumeurs bénignes de l'utérus;0
D33;Tumeur bénigne de l'encéphale et d'autres parties du système nerveux central;0
D51;Anémie par carence en vitamine B12;0
D73;Maladie de la rate;0
F22;Troubles délirants persistants;0
F23;Troubles psychotiques aigus et transitoires;0
F39;Trouble de l'humeur [affectif], sans précision;0
F44;Troubles dissociatifs [de conversion];0
F51;Troubles du sommeil non organiques;0
F53;Troubles mentaux et du comportement associés à la puerpéralité, non classés ailleurs;0
F59;Syndromes comportementaux non précisés associés à des perturbations physiologiques et à des facteurs physiques;0
F82;Trouble spécifique du développement moteur;0
F83;Troubles spécifiques mixtes du développement;0
F89;Trouble du développement psychologique, sans précision;0
F93;Troubles émotionnels apparaissant spécifiquement dans l'enfance;0
E74;Autres anomalies du métabolisme des hydrates de carbone;0
E75;Anomalies du métabolisme des sphingolipides et autres anomalies du stockage des lipides;0
E84;Fibrose kystique;0
F07;Troubles de la personnalité et du comportement dus à une affection, une lésion et un dysfonctionnement cérébraux;0
G98;Autres affections du système nerveux, non classées ailleurs;0
H03;Affections de la paupière au cours de maladies classées ailleurs;0
H27;Autres affections du cristallin;0
H33;Décollement et déchirure de la rétine;0
H43;Affections du corps vitré;0
H49;Strabisme paralytique;0
H54;Déficience visuelle incluant la cécité (binoculaire ou monoculaire);0
H74;Autres affections de l'oreille moyenne et de l'apophyse mastoïde;0
H75;Autres affections de l'oreille moyenne et de l'apophyse mastoïde au cours de maladies classées ailleurs;0
H82;Syndromes vertigineux au cours de maladies classées ailleurs;0
H93;Autres affections de l'oreille, non classées ailleurs;0
I08;Maladies de plusieurs valvules (rhumatismales);0
G14;Syndrome postpoliomyélite;0
G23;Autres maladies dégénératives des noyaux gris centraux;0
G40;Épilepsie;0
G44;Autres syndromes d'algies céphaliques;0
G46;Syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires (I60-I67);0
G50;Affections du nerf trijumeau;0
G70;Myasthénie et autres affections neuro-musculaires;0
G90;Affections du système nerveux autonome;0
G96;Autres affections du système nerveux central;0
J17;Pneumopathie au cours de maladies classées ailleurs;0
J21;Bronchiolite aiguë;0
J31;Rhinite, rhinopharyngite et pharyngite chroniques;0
J60;Pneumoconiose des mineurs de charbon;0
J61;Pneumoconiose due à l'amiante et à d'autres fibres minérales;0
J66;Affections des voies aériennes dues à des poussières organiques précisées;0
J84;Autres affections pulmonaires interstitielles;0
J98;Autres troubles respiratoires;0
K08;Autres affections des dents et du parodonte;0
I27;Autres affections cardiopulmonaires;0
I32;Péricardite au cours de maladies classées ailleurs;0
I38;Endocardite, valvule non précisée;0
I43;Myocardiopathie au cours de maladies classées ailleurs;0
I46;Arrêt cardiaque;0
I65;Occlusion et sténose des artères précérébrales, n'entraînant pas un infarctus cérébral;0
I79;Atteintes des artères, artérioles et capillaires au cours de maladies classées ailleurs;0
I85;Varices oesophagiennes;0
I86;Varices d'autres localisations;0
I88;Lymphadénite non spécifique;0
J11;Grippe, virus non identifié;0
J15;Pneumopathies bactériennes, non classées ailleurs;0
L00;Syndrome d'épidermolyse staphylococcique du nourrisson;0
L20;Dermite atopique;0
L21;Dermite séborrhéique;0
L24;Dermite irritante de contact;0
L25;Dermite de contact, sans précision;0
L26;Dermite exfoliatrice;0
L27;Dermite due à des substances prises par voie interne;0
L28;Lichen simplex chronique et prurigo;0
L40;Psoriasis;0
L52;Érythème noueux;0
L63;Pelade;0
L67;Anomalie de la pigmentation et de la gaine capillaires;0
L93;Lupus érythémateux;0
M00;Arthrites à bactéries pyogènes;0
K29;Gastrite et duodénite;0
K37;Appendicite, sans précision;0
K61;Abcès des régions anale et rectale;0
K62;Autres maladies de l'anus et du rectum;0
K74;Fibrose et cirrhose du foie;0
K75;Autres maladies inflammatoires du foie;0
K80;Cholélithiase;0
M03;Arthropathies post-infectieuses et réactionnelles au cours de maladies classées ailleurs;0
M40;Cyphose et lordose;0
M63;Atteintes musculaires au cours de maladies classées ailleurs;0
M65;Synovite et ténosynovite;0
A02;Autres salmonelloses;0
A04;Autres infections intestinales bactériennes;0
A05;Autres intoxications bactériennes d'origine alimentaire, non classées ailleurs;0
A16;Tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique;0
C73;Tumeur maligne de la thyroïde;0
C74;Tumeur maligne de la surrénale;0
M66;Déchirure spontanée de la synoviale et du tendon;0
M45;Spondylarthrite ankylosante;0
M46;Autres spondylopathies inflammatoires;0
M49;Spondylopathies au cours de maladies classées ailleurs;0
M53;Autres dorsopathies, non classées ailleurs;0
M94;Autres affections du cartilage;0
N88;Autres affections non inflammatoires du col de l'utérus;0
N90;Autres affections non inflammatoires de la vulve et du périnée;0
O00;Grossesse extra-utérine;0
O61;Échec du déclenchement du travail;0
N07;Néphropathie héréditaire, non classée ailleurs;0
N13;Uropathie obstructive et par reflux;0
N37;Affections de l'urètre au cours de maladies classées ailleurs;0
N44;Torsion du testicule;0
N46;Stérilité, chez l'homme;0
N64;Autres affections du sein;0
N72;Affections inflammatoires du col de l'utérus;0
N77;Ulcération et inflammation vulvo-vaginales au cours de maladies classées ailleurs;0
N80;Endométriose;0
N85;Autres affections non inflammatoires de l'utérus, sauf le col;0
P92;Problèmes alimentaires du nouveau-né;0
P94;Anomalies du tonus musculaire du nouveau-né;0
Q06;Autres malformations congénitales de la moelle épinière;0
Q14;Malformations congénitales de la chambre postérieure de l'oeil;0
Q18;Autres malformations congénitales de la face et du cou;0
Q30;Malformations congénitales du nez;0
Q35;Fente palatine;0
Q36;Fente labiale;0
H17;Cicatrices et opacités cornéennes;0
H47;Autres affections du nerf [II] et des voies optiques;0
H48;Affections du nerf [II] et des voies optiques au cours de maladies classées ailleurs;0
H51;Autres anomalies des mouvements binoculaires;0
H59;Affections de l'oeil et de ses annexes après un acte à visée diagnostique et thérapeutique, non classées ailleurs;0
H68;Salpingite et obstruction de la trompe d'Eustache;0
H95;Affections de l'oreille et de l'apophyse mastoïde après un acte à visée diagnostique et thérapeutique, non classées ailleurs;0
G20;Maladie de Parkinson;0
G47;Troubles du sommeil;0
G53;Affections des nerfs crâniens au cours de maladies classées ailleurs;0
G63;Polynévrite au cours de maladies classées ailleurs;0
G64;Autres affections du système nerveux périphérique;0
G80;Paralysie cérébrale;0
G91;Hydrocéphalie;0
G97;Affections du système nerveux après un acte à visée diagnostique et thérapeutique, non classées ailleurs;0
J22;Infection aiguë des voies respiratoires inférieures, sans précision;0
J42;Bronchite chronique, sans précision;0
J63;Pneumoconiose due à d'autres poussières inorganiques;0
J65;Pneumoconiose associée à la tuberculose;0
J68;Affections respiratoires dues à l'inhalation d'agents chimiques, d'émanations, de fumées et de gaz;0
J82;Éosinophilie pulmonaire, non classée ailleurs;0
J92;Plaque pleurale;0
K07;Anomalies dento-faciales [y compris les malocclusions];0
I15;Hypertension secondaire;0
I24;Autres cardiopathies ischémiques aiguës;0
I37;Atteintes de la valvule pulmonaire (non rhumatismale);0
I47;Tachycardie paroxystique;0
I48;Fibrillation et flutter auriculaires;0
I52;Autres cardiopathies au cours de maladies classées ailleurs;0
I60;Hémorragie sous-arachnoïdienne;0
I72;Autres anévrismes et dissections;0
I78;Maladies des capillaires;0
I83;Varices des membres inférieurs;0
I95;Hypotension;0
J10;Grippe, à autre virus grippal identifié;0
L13;Autres dermatoses bulleuses;0
L50;Urticaire;0
L56;Autres modifications aiguës de la peau dues aux rayons ultraviolets;0
L87;Anomalies de l'élimination transépidermique;0
L90;Affections atrophiques de la peau;0
K27;Ulcère digestif, de siège non précisé;0
K36;Autres formes d'appendicite;0
K63;Autres maladies de l'intestin;0
K72;Insuffisance hépatique, non classée ailleurs;0
K77;Atteintes hépatiques au cours de maladies classées ailleurs;0
K87;Atteintes de la vésicule biliaire, des voies biliaires et du pancréas au cours de maladies classées ailleurs;0
K90;Malabsorption intestinale;0
K91;Atteintes de l'appareil digestif après un acte à visée diagnostique et thérapeutique, non classées ailleurs;0
M06;Autres polyarthrites rhumatoïdes;0
M07;Arthropathies psoriasiques et entéropathiques;0
M08;Polyarthrites juvéniles;0
M24;Autres lésions articulaires spécifiques;0
M25;Autres affections articulaires, non classées ailleurs;0
M17;Gonarthrose [arthrose du genou];0
M19;Autres arthroses;0
M43;Autres dorsopathies avec déformation;0
M73;Affections des tissus mous au cours de maladies classées ailleurs;0
M76;Enthésopathies du membre inférieur, sauf le pied;0
