CAM_PRS_IDE_COD;CAM_PRS_IDE_LIB
DGPA014;Désobstruction d'une prothèse de l'aorte thoracique, par thoracotomie
DGFA002;Thromboendartériectomie de l'aorte thoracique horizontale et des troncs supraaortiques, par thoracotomie avec CEC
DGCA031;Pontage entre l'aorte thoracique ascendante et l'aorte thoracique descendante, par thoracotomie sans CEC
DGCA028;Pontage entre l'aorte thoracique ascendante et l'aorte thoracique descendante, par thoracotomie avec CEC
DGCA015;Pontage entre l'aorte thoracique ascendante et l'aorte abdominale sans exclusion de l'aorte thoracique descendante, par thoracotomie et par laparotomie sans CEC
DGCA027;Pontage entre l'aorte thoracique ascendante et l'aorte abdominale sans exclusion de l'aorte thoracique descendante, par thoracotomie et par laparotomie avec CEC
DGCA008;Pontage entre l'aorte thoracique ascendante et l'aorte abdominale avec exclusion de l'aorte thoracique descendante, par thoracotomie et par laparotomie sans CEC
DGCA023;Pontage entre l'aorte thoracique descendante ou l'aorte juxtadiaphragmatique et l'aorte abdominale infrarénale, par thoraco-phréno-laparotomie sans CEC
DGCA003;Pontage rétropéritonéal entre l'aorte thoracique descendante et les artères fémorales, par abord direct
DGCA013;Pontages multiples entre l'aorte et les troncs supraaortiques, par thoracotomie sans CEC
DGCA011;Pontages multiples entre l'aorte et les troncs supraaortiques, par thoracotomie avec CEC
DGAA006;Angioplastie d'élargissement de l'aorte thoracique horizontale sans réimplantation des troncs supraaortiques, par thoracotomie avec CEC
DGAA003;Angioplastie d'élargissement de l'aorte thoracique horizontale avec réimplantation des troncs supraaortiques, par thoracotomie avec CEC
DGFA019;Résection-anastomose de l'aorte thoracique descendante ou de l'aorte juxtadiaphragmatique, par thoracotomie sans dérivation vasculaire ni CEC
DGFA014;Résection-anastomose de l'aorte thoracique descendante ou de l'aorte juxtadiaphragmatique, par thoracotomie avec dérivation vasculaire
DGFA017;Résection-anastomose de l'aorte thoracique descendante ou de l'aorte juxtadiaphragmatique, par thoracotomie avec CEC
DGKA025;Remplacement de l'aorte thoracique ascendante sans remplacement de la valve aortique, sans réimplantation des artères coronaires, par thoracotomie avec CEC
DGKA003;Remplacement de l'aorte thoracique ascendante sans remplacement de la valve aortique, avec réimplantation des artères coronaires, par thoracotomie avec CEC
DGKA011;Remplacement de l'aorte thoracique ascendante avec remplacement de la valve aortique, sans réimplantation des artères coronaires, par thoracotomie avec CEC
DGKA015;Remplacement de l'aorte thoracique ascendante avec remplacement de la valve aortique, avec réimplantation des artères coronaires, par thoracotomie avec CEC
DGKA001;Remplacement de l'aorte thoracique ascendante et de l'aorte horizontale sans remplacement de la valve aortique, sans réimplantation des artères coronaires, par thoracotomie avec CEC
DGKA026;Remplacement de l'aorte thoracique ascendante et de l'aorte horizontale sans remplacement de la valve aortique, avec réimplantation des artères coronaires, par thoracotomie avec CEC
DGKA018;Remplacement de l'aorte thoracique ascendante et de l'aorte horizontale avec remplacement de la valve aortique, sans réimplantation des artères coronaires, par thoracotomie avec CEC
DGKA014;Remplacement de l'aorte thoracique ascendante et de l'aorte horizontale avec remplacement de la valve aortique, avec réimplantation des artères coronaires, par thoracotomie avec CEC
DGKA005;Remplacement de l'aorte thoracique horizontale, par thoracotomie avec CEC
DGKA002;Remplacement de l'isthme de l'aorte, par thoracotomie sans dérivation vasculaire ni CEC
DGKA019;Remplacement de l'isthme de l'aorte, par thoracotomie avec dérivation vasculaire
DGKA023;Remplacement de l'isthme de l'aorte, par thoracotomie avec CEC
DGKA009;Remplacement de l'aorte thoracique descendante, par thoracotomie sans CEC
DGKA007;Remplacement de l'aorte thoracique descendante, par thoracotomie avec CEC
DGKA013;Remplacement de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie sans dérivation vasculaire ni CEC
DGKA016;Remplacement de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie avec dérivation vasculaire
DGKA010;Remplacement de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie avec CEC
DGKA006;Remplacement de l'aorte thoracique descendante et de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie sans dérivation vasculaire ni CEC
DGKA020;Remplacement de l'aorte thoracique descendante et de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie avec dérivation vasculaire
DGKA008;Remplacement de l'aorte thoracique descendante et de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie avec CEC
DGKA012;Remplacement de l'ensemble de l'aorte thoracique, par thoraco-phréno-laparotomie avec CEC
DGKA028;Remplacement de l'aorte thoracique ascendante pour rupture d'anévrisme, par thoracotomie avec CEC
DGKA027;Remplacement de l'aorte thoracique descendante pour rupture d'anévrisme, par thoracotomie avec CEC
DGKA029;Remplacement de l'aorte juxtadiaphragmatique pour rupture d'anévrisme, par thoraco-phréno-laparotomie avec CEC
DFAF002;Dilatation intraluminale d'une branche de l'artère pulmonaire sans pose d'endoprothèse, par voie veineuse transcutanée
DFAF003;Dilatation intraluminale d'une branche de l'artère pulmonaire avec pose d'endoprothèse, par voie veineuse transcutanée
DFAF004;Dilatation intraluminale de plusieurs branches de l'artère pulmonaire sans pose d'endoprothèse, par voie veineuse transcutanée
DFAF001;Dilatation intraluminale de plusieurs branches de l'artère pulmonaire avec pose d'endoprothèse, par voie veineuse transcutanée
DFNF001;Fibrinolyse in situ de l'artère pulmonaire, par voie veineuse transcutanée
DFNF002;Thrombolyse mécanique ou thromboaspiration de l'artère pulmonaire, par voie veineuse transcutanée
DFFA002;Embolectomie de l'artère pulmonaire, par thoracotomie sans CEC
DFFA001;Embolectomie de l'artère pulmonaire, par thoracotomie avec CEC
DFFA003;Thromboendartériectomie du tronc et/ou des branches de l'artère pulmonaire, par thoracotomie avec CEC
DFSF001;Oblitération d'anévrisme sacculaire de l'artère pulmonaire, par voie veineuse transcutanée
ECCA006;Suture de plaie du tronc artériel brachiocéphalique, par thoracotomie
ECAF003;Dilatation intraluminale du tronc artériel brachiocéphalique ou de l'artère carotide commune intrathoracique sans pose d'endoprothèse, par voie artérielle transcutanée
ECAF004;Dilatation intraluminale du tronc artériel brachiocéphalique ou de l'artère carotide commune intrathoracique avec pose d'endoprothèse, par voie artérielle transcutanée
ECLF004;Pose d'endoprothèse couverte dans le tronc artériel brachiocéphalique ou l'artère carotide commune intrathoracique, par voie artérielle transcutanée
ECPF004;Recanalisation de l'artère subclavière en amont de l'ostium de l'artère vertébrale sans pose d'endoprothèse, par voie artérielle transcutanée
ECPF005;Recanalisation de l'artère subclavière en amont de l'ostium de l'artère vertébrale avec pose d'endoprothèse, par voie artérielle transcutanée
ECFA001;Thromboendartériectomie du tronc artériel brachiocéphalique, par thoracotomie
DGCA032;Pontage entre l'aorte et le tronc artériel brachiocéphalique, par thoracotomie
ECKA001;Remplacement du tronc artériel brachiocéphalique, par thoracotomie
ECSA002;Ligature du tronc artériel brachiocéphalique, par thoracotomie
EBCA009;Suture de plaie de l'artère carotide commune, par cervicotomie
EBCA003;Suture de plaie de l'artère carotide commune, par cervicotomie et par thoracotomie
EBAF004;Dilatation intraluminale de l'artère carotide commune cervicale sans pose d'endoprothèse, par voie artérielle transcutanée
EBAF010;Dilatation intraluminale de l'artère carotide commune cervicale avec pose d'endoprothèse, par voie artérielle transcutanée
EBFA005;Thrombectomie de l'artère carotide commune, par cervicotomie
EBFA003;Thromboendartériectomie de l'artère carotide commune, par cervicotomie
EBFA010;Thromboendartériectomie de l'artère carotide commune, par cervicotomie et par thoracotomie
EBCA015;Pontage aortocarotidien, par cervicotomie et par thoracotomie
EBCA004;Pontage croisé intercarotidien, par cervicotomie
EBCA008;Pontage homolatéral carotidosubclavier ou carotidoaxillaire, par cervicotomie
EBCA001;Pontage croisé carotidosubclavier ou carotidoaxillaire, par cervicotomie
EBCA017;Pontage entre l'artère carotide commune et l'artère carotide interne homolatérale, par cervicotomie
EBEA005;Réimplantation de l'artère carotide commune dans l'artère subclavière, par cervicotomie
EBEA003;Réimplantation de l'artère subclavière dans l'artère carotide commune, par cervicotomie
EBKA001;Remplacement de l'artère carotide commune, par cervicotomie
EBKA003;Remplacement de l'artère carotide commune, par cervicotomie et par thoracotomie
EBFA021;Résection-anastomose de l'artère carotide commune, par cervicotomie
EBFA020;Résection-anastomose de l'artère carotide commune, par cervicotomie et par thoracotomie
EBSA005;Occlusion progressive de l'artère carotide commune ou de l'artère carotide interne par pose de clamp, par cervicotomie
EBSA003;Ligature de l'artère carotide commune, par cervicotomie
EBAF009;Dilatation intraluminale de la bifurcation carotidienne sans pose d'endoprothèse, par voie artérielle transcutanée
EBAF011;Dilatation intraluminale de la bifurcation carotidienne avec pose d'endoprothèse, par voie artérielle transcutanée
EBAA002;Angioplastie d'élargissement de la bifurcation carotidienne sans thromboendartériectomie, par cervicotomie
EBFA012;Thromboendartériectomie de la bifurcation carotidienne sans angioplastie d'élargissement, par cervicotomie sans dérivation vasculaire
EBFA006;Thromboendartériectomie de la bifurcation carotidienne sans angioplastie d'élargissement, par cervicotomie avec dérivation vasculaire
EBFA016;Thromboendartériectomie de la bifurcation carotidienne avec angioplastie d'élargissement, par cervicotomie sans dérivation vasculaire
EBFA002;Thromboendartériectomie de la bifurcation carotidienne avec angioplastie d'élargissement, par cervicotomie avec dérivation vasculaire
EBFA008;Thromboendartériectomie de la bifurcation carotidienne par retournement, par cervicotomie sans dérivation vasculaire
EBFA015;Thromboendartériectomie de la bifurcation carotidienne par retournement, par cervicotomie avec dérivation vasculaire
EBFA001;Exérèse d'une tumeur du glomus [corpuscule] carotidien avec conservation de l'axe carotidien, par cervicotomie
EBFA011;Exérèse d'une tumeur du glomus [corpuscule] carotidien avec reconstruction de l'axe carotidien, par cervicotomie
EBKA004;Remplacement de la bifurcation carotidienne ou de l'artère carotide interne extracrânienne, par cervicotomie
EBCA007;Suture de plaie de l'artère carotide interne extracrânienne, par cervicotomie
EBCA006;Suture de plaie de l'artère carotide externe, par cervicotomie
EBAF003;Dilatation intraluminale de l'artère carotide interne extracrânienne sans pose d'endoprothèse, par voie artérielle transcutanée
EBAF001;Dilatation intraluminale de l'artère carotide interne extracrânienne avec pose d'endoprothèse, par voie artérielle transcutanée
EBAF005;Dilatation intraluminale de l'artère carotide externe sans pose d'endoprothèse, par voie artérielle transcutanée
EBAF006;Dilatation intraluminale de l'artère carotide externe avec pose d'endoprothèse, par voie artérielle transcutanée
EBCA010;Pontage artériel extra-intracrânien sans autogreffe, par craniotomie et par cervicotomie
EBCA011;Pontage artériel extra-intracrânien avec autogreffe, par craniotomie et par cervicotomie
EBCA002;Pontage de l'artère carotide externe, par cervicotomie
EBCA013;Pontage carotidohuméral ou subclaviohuméral, par abord direct
EBFA019;Résection-anastomose de l'artère carotide interne, par cervicotomie
EBFA014;Résection de l'artère carotide interne avec réimplantation dans l'artère carotide commune, par cervicotomie
EBNE002;Coagulation unilatérale de l'artère sphénopalatine, par endoscopie nasale
EBNE001;Coagulation bilatérale de l'artère sphénopalatine, par endoscopie nasale
EBSF003;Embolisation sélective ou hypersélective unilatérale ou bilatérale de branche de l'artère carotide externe, par voie artérielle transcutanée
EBSF004;Embolisation suprasélective unilatérale ou bilatérale de branche de l'artère carotide externe, par voie artérielle transcutanée
EBSA006;Ligature de l'artère carotide interne, par cervicotomie
EBSA010;Ligature du tronc ou de branche de l'artère carotide externe, par cervicotomie
EBSA001;Ligature de l'artère sphénopalatine ou de l'artère maxillaire, par abord transnasal ou transantral
EBSA008;Ligature unilatérale de l'artère ethmoïdale antérieure et/ou de l'artère ethmoïdale postérieure
EBSA004;Ligature bilatérale de l'artère ethmoïdale antérieure et/ou de l'artère ethmoïdale postérieure
EBSA009;Ligature de l'artère sphénopalatine et de l'artère ethmoïdale
EBFA009;Thromboendartériectomie de l'artère carotide externe, par cervicotomie
EBKA002;Remplacement de l'artère carotide interne, par cervicotomie
EBCA016;Suture de plaie de l'artère vertébrale proximale, par cervicotomie
EBAF013;Dilatation intraluminale de l'artère vertébrale extracrânienne sans pose d'endoprothèse, par voie artérielle transcutanée
EBAF014;Dilatation intraluminale de l'artère vertébrale extracrânienne avec pose d'endoprothèse, par voie artérielle transcutanée
EAAF903;Dilatation intraluminale de l'artère vertébrale intracrânienne ou de l'artère basilaire sans pose d'endoprothèse, par voie artérielle transcutanée
EAAF902;Dilatation intraluminale de l'artère vertébrale intracrânienne ou de l'artère basilaire avec pose d'endoprothèse, par voie artérielle transcutanée
EBCA014;Pontage carotidovertébral proximal ou subclaviovertébral proximal, par cervicotomie
EBCA005;Pontage carotidovertébral distal ou subclaviovertébral distal, par cervicotomie
EBEA002;Réimplantation de l'artère vertébrale proximale dans l'artère subclavière ou dans l'artère carotide commune, par cervicotomie
EBEA004;Réimplantation de l'artère vertébrale distale dans l'artère carotide interne ou dans l'artère carotide externe, par cervicotomie
EBSA007;Ligature de l'artère vertébrale proximale, par cervicotomie
EBSA002;Ligature de l'artère vertébrale distale, par cervicotomie
EBFA018;Résection-anastomose ou remplacement de l'artère vertébrale proximale, par cervicotomie
EBFA017;Thromboendartériectomie de l'artère vertébrale proximale, par cervicotomie
EBPA003;Décompression de l'artère vertébrale intratransversaire, par cervicotomie
EACF002;Inversion du flux d'un anévrisme artériel intracrânien en dehors d'une période aigüe hémorragique, par voie artérielle transcutanée
EACF001;Inversion du flux d'un anévrisme artériel intracrânien en période aigüe hémorragique, par voie artérielle transcutanée
EAAF004;Dilatation intraluminale du tronc de l'artère carotide interne intracrânienne sans pose d'endoprothèse, par voie artérielle transcutanée
EAAF002;Dilatation intraluminale du tronc de l'artère carotide interne intracrânienne avec pose d'endoprothèse, par voie artérielle transcutanée
EAAF901;Dilatation intraluminale de branche de l'artère carotide interne sans pose d'endoprothèse, par voie artérielle transcutanée
EAAF900;Dilatation intraluminale de branche de l'artère carotide interne avec pose d'endoprothèse, par voie artérielle transcutanée
EANF002;Fibrinolyse in situ suprasélective d'artère intracrânienne, par voie artérielle transcutanée
EAJF341;Évacuation de thrombus d'artère intracrânienne par voie artérielle transcutanée
EAFA001;Embolectomie ou thromboendartériectomie de vaisseau intracrânien, par craniotomie
EASF014;Embolisation sélective ou hypersélective unilatérale ou bilatérale de branche de l'artère carotide interne, par voie artérielle transcutanée
EASF004;Embolisation suprasélective unilatérale ou bilatérale de branche de l'artère carotide interne, par voie artérielle transcutanée
EASF011;Oblitération d'un anévrisme sacculaire artériel intracrânien en dehors d'une période aigüe hémorragique, par voie artérielle transcutanée
EASF010;Oblitération d'un anévrisme sacculaire artériel intracrânien en période aigüe hémorragique, par voie artérielle transcutanée
EASF001;Oblitération de plusieurs anévrismes sacculaires artériels intracrâniens en dehors d'une période aigüe hémorragique, par voie artérielle transcutanée
EASF013;Oblitération de plusieurs anévrismes sacculaires artériels intracrâniens en période aigüe hémorragique, par voie artérielle transcutanée
EASF008;Oblitération intraluminale d'une artère intracrânienne porteuse d'un anévrisme en dehors d'une période aigüe hémorragique, par voie artérielle transcutanée
EASF007;Oblitération intraluminale d'une artère intracrânienne porteuse d'un anévrisme en période aigüe hémorragique, par voie artérielle transcutanée
EACA007;Exclusion d'un anévrisme artériel supratentoriel d'un diamètre inférieur ou égal à 20 mm, par craniotomie
EACA004;Exclusion d'un anévrisme artériel vertébrobasilaire d'un diamètre inférieur ou égal à 20 mm, par craniotomie
EACA003;Exclusion d'un anévrisme artériel intracrânien d'un diamètre supérieur à 20 mm, par craniotomie
EACA002;Exclusion d'anévrismes artériels intracrâniens multiples, par craniotomie unique
EABA001;Enrobage d'un anévrisme artériel intracrânien, par craniotomie
ECCA004;Suture de plaie d'une artère du membre supérieur, par abord direct
ECCA010;Suture de plaie de l'artère subclavière, par cervicotomie
ECCA005;Suture de plaie d'une artère, sur un rayon de la main
ECCA001;Suture de plaies de 2 artères, sur un rayon de la main
ECAF002;Dilatation intraluminale d'une artère du membre supérieur sans pose d'endoprothèse, par voie artérielle transcutanée
ECAF001;Dilatation intraluminale d'une artère du membre supérieur avec pose d'endoprothèse, par voie artérielle transcutanée
ECLF003;Pose d'endoprothèse couverte dans une artère du membre supérieur, par voie artérielle transcutanée
ECNF002;Fibrinolyse in situ sélective ou hypersélective d'une artère ou d'un pontage artériel du membre supérieur, par voie artérielle transcutanée
ECNF001;Fibrinolyse in situ suprasélective d'une artère ou d'un pontage artériel du membre supérieur, par voie artérielle transcutanée
ECPF003;Recanalisation d'une artère du membre supérieur sans pose d'endoprothèse, par voie artérielle transcutanée
ECPF002;Recanalisation d'une artère du membre supérieur avec pose d'endoprothèse, par voie artérielle transcutanée
ECPF001;Recanalisation d'une artère du membre supérieur avec pose d'endoprothèse couverte, par voie artérielle transcutanée
ECJF001;Thromboaspiration d'artère ou de pontage artériel du membre supérieur, par voie artérielle transcutanée
ECFA002;Thrombectomie d'une artère du membre supérieur, par abord direct
ECFA004;Thromboendartériectomie de l'artère subclavière, par cervicotomie
ECFA003;Thromboendartériectomie de l'artère subclavière, par thoracotomie
ECCA007;Pontage homolatéral subclavioaxillaire, par abord direct
ECCA009;Pontage croisé intersubclavier, interaxillaire ou intersubclavioaxillaire, par cervicotomie
ECCA003;Pontage d'une artère du membre supérieur, par abord direct
ECCA002;Pontage d'une artère de la main, par abord direct
ECFA005;Résection-anastomose d'artère du membre supérieur, par abord direct
ECFA006;Résection-anastomose de l'artère subclavière, par cervicotomie
ECMA001;Reconstruction de l'artère et/ou de la veine subclavière avec résection de côte, par abord direct
ECKA002;Remplacement de l'artère subclavière, par cervicotomie
ECSF008;Embolisation sélective ou hypersélective d'une artère du membre supérieur, par voie artérielle transcutanée
ECSF002;Embolisation suprasélective d'une artère du membre supérieur, par voie artérielle transcutanée
ECNH001;Sclérose d'une tumeur ou d'une malformation vasculaire du membre supérieur, par injection transcutanée intralésionnelle d'agent pharmacologique avec guidage radiologique
ECSF003;Oblitération d'un anévrisme sacculaire artériel du membre supérieur, par voie artérielle transcutanée
ECSF001;Oblitération de plusieurs anévrismes sacculaires artériels du membre supérieur, par voie artérielle transcutanée
ECSA003;Ligature d'une artère du membre supérieur, par abord direct
ECSA001;Ligature de l'artère subclavière, par cervicotomie
ECLF005;Injection intraartérielle in situ sélective ou hypersélective d'agent pharmacologique anticancéreux au membre supérieur, par voie artérielle transcutanée
ECLF006;Injection intraartérielle in situ suprasélective d'agent pharmacologique anticancéreux au membre supérieur, par voie artérielle transcutanée
EBNF001;Fibrinolyse in situ sélective ou hypersélective d'une artère extracrânienne à destination cervicocéphalique, par voie artérielle transcutanée
EBNF002;Fibrinolyse in situ suprasélective d'une artère extracrânienne à destination cervicocéphalique, par voie artérielle transcutanée
EBFA013;Thrombectomie d'un pontage ou d'une thromboendartériectomie d'artère à destination cervicocéphalique, par cervicotomie
EBFA004;Thrombectomie d'un pontage ou d'une thromboendartériectomie des troncs supraaortiques, par thoracotomie
EBLF002;Injection intraartérielle cervicocéphalique in situ sélective ou hypersélective d'agent pharmacologique anticancéreux, par voie artérielle transcutanée
EBLF003;Injection intraartérielle cervicocéphalique in situ suprasélective d'agent pharmacologique anticancéreux, par voie artérielle transcutanée
EBLA001;Pose d'un cathéter dans une artère cervicocéphalique pour chimiothérapie, par cervicotomie
EBSA012;Hémostase secondaire à un acte sur les vaisseaux cervicocéphaliques, par cervicotomie
DGCA001;Suture de plaie de l'aorte abdominale, d'une artère iliaque commune et/ou d'une artère iliaque externe, par laparotomie
DGAF008;Dilatation intraluminale de l'aorte abdominale sans pose d'endoprothèse, par voie artérielle transcutanée
DGAF005;Dilatation intraluminale de l'aorte abdominale avec pose d'endoprothèse, par voie artérielle transcutanée
EDAF002;Dilatation intraluminale de l'artère iliaque commune et/ou de l'artère iliaque externe sans pose d'endoprothèse, par voie artérielle transcutanée
EDAF003;Dilatation intraluminale de l'artère iliaque commune et/ou de l'artère iliaque externe avec pose d'endoprothèse, par voie artérielle transcutanée
DGPF001;Désobstruction de la bifurcation aortique, par voie artérielle transcutanée
DGPF002;Recanalisation de la bifurcation aortique avec pose d'endoprothèse, par voie artérielle transcutanée bilatérale
EDPF008;Recanalisation de l'artère iliaque commune et/ou de l'artère iliaque externe sans pose d'endoprothèse, par voie artérielle transcutanée
EDPF009;Recanalisation de l'artère iliaque commune et/ou de l'artère iliaque externe avec pose d'endoprothèse, par voie artérielle transcutanée
EDPF006;Recanalisation de l'artère iliaque commune et/ou de l'artère iliaque externe avec pose d'endoprothèse couverte, par voie artérielle transcutanée
DGFA010;Thrombectomie de l'aorte abdominale, de l'artère iliaque commune et/ou de l'artère iliaque externe, par laparotomie
DGFA004;Thrombectomie de l'aorte abdominale, de l'artère iliaque commune et/ou de l'artère iliaque externe, par abord inguinofémoral bilatéral
DGFA005;Thrombectomie d'un pontage ou d'une thromboendartériectomie de l'aorte abdominale ou de ses branches, par laparotomie
DGFA012;Thrombectomie d'un pontage ou d'une thromboendartériectomie de l'aorte abdominale ou de ses branches, par abord inguinofémoral
DGFA011;Thromboendartériectomie du tronc et de branche viscérale de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie sans CEC
DGFA001;Thromboendartériectomie du tronc de l'aorte abdominale, par laparotomie
DGFA009;Thromboendartériectomie aorto-iliaque unilatérale, par laparotomie
DGFA003;Thromboendartériectomie aortobisiliaque, par laparotomie
DGFA007;Thromboendartériectomie aorto-ilio-fémorale unilatérale, par laparotomie
DGFA008;Thromboendartériectomie aorto-ilio-fémorale bilatérale, par laparotomie
EDFA006;Thromboendartériectomie iliaque, par laparotomie
EDFA003;Thromboendartériectomie iliofémorale, par laparotomie
EDFA007;Thromboendartériectomie iliofémorale, par abord inguinofémoral
DGCA012;Pontage aortoaortique infrarénal par laparotomie, avec clampage suprarénal
DGCA007;Pontage aortoaortique infrarénal par laparotomie, avec clampage infrarénal
DGCA005;Pontage aortohépatique, par laparotomie
DGCA016;Pontage antérograde aortomésentérique supérieur, par laparotomie
DGCA014;Pontage rétrograde aortomésentérique ou iliomésentérique supérieur, par laparotomie
DGCA018;Pontage aortorénal antérograde unilatéral, par laparotomie ou par lombotomie
DGCA024;Pontage aortorénal rétrograde unilatéral, par laparotomie ou par lombotomie
DGCA021;Pontage aortobirénal, par laparotomie
DGCA019;Pontage aortofémoral unilatéral, par laparotomie avec clampage suprarénal
DGCA009;Pontage aortofémoral unilatéral, par laparotomie avec clampage infrarénal
DGCA026;Pontage bifurqué aortobisiliaque, par laparotomie avec clampage suprarénal
DGCA022;Pontage bifurqué aortobisiliaque, par laparotomie avec clampage infrarénal
DGCA010;Pontage bifurqué aortobifémoral, par laparotomie avec clampage suprarénal
DGCA004;Pontage bifurqué aortobifémoral, par laparotomie avec clampage infrarénal
DGCA030;Pontage bifurqué aortobifémoral itératif [redux] sans ablation de prothèse, par laparotomie
DGCA020;Pontage bifurqué aorto-ilio-fémoral, par laparotomie avec clampage suprarénal
DGCA029;Pontage bifurqué aorto-ilio-fémoral, par laparotomie avec clampage infrarénal
EDCA003;Pontage artériel croisé ilio-iliaque, iliofémoral ou fémorofémoral, par abord direct
DGPA017;Mise à plat d'un anévrisme aortique infrarénal non rompu avec remplacement prothétique aortoaortique infrarénal, par laparotomie avec clampage suprarénal
DGPA005;Mise à plat d'un anévrisme aortique infrarénal non rompu avec remplacement prothétique aortoaortique infrarénal, par laparotomie avec clampage infrarénal
DGPA008;Mise à plat d'un anévrisme aortique infrarénal ou aortobisiliaque non rompu avec remplacement prothétique aortobisiliaque, par laparotomie avec clampage suprarénal
DGPA012;Mise à plat d'un anévrisme aortique infrarénal ou aortobisiliaque non rompu avec remplacement prothétique aortobisiliaque, par laparotomie avec clampage infrarénal
DGPA013;Mise à plat d'un anévrisme aortique infrarénal ou aortobisiliaque non rompu avec remplacement prothétique aortobifémoral, par laparotomie avec clampage suprarénal
DGPA010;Mise à plat d'un anévrisme aortique infrarénal ou aortobisiliaque non rompu avec remplacement prothétique aortobifémoral, par laparotomie avec clampage infrarénal
DGPA018;Mise à plat d'un anévrisme aortique infrarénal ou aortobisiliaque rompu avec remplacement prothétique, par laparotomie
DGPA001;Mise à plat d'un anévrisme aorto-ilio-fémoral avec remplacement prothétique bifurqué aorto-ilio-fémoral, par laparotomie avec clampage suprarénal
DGPA016;Mise à plat d'un anévrisme aorto-ilio-fémoral avec remplacement prothétique bifurqué aorto-ilio-fémoral, par laparotomie avec clampage infrarénal
EDPA005;Mise à plat d'un anévrisme iliaque avec remplacement prothétique aorto-iliaque ou aortofémoral unilatéral, par laparotomie
EDPA001;Mise à plat d'un anévrisme iliaque avec remplacement prothétique ilio-iliaque ou iliofémoral unilatéral, par laparotomie
DGFA015;Résection-anastomose de l'aorte abdominale ou de l'artère iliaque commune, par laparotomie
DGKA004;Remplacement de l'aorte abdominale ou de l'artère iliaque commune, par laparotomie
DGGA003;Ablation de prothèse de l'aorte abdominale avec pontage aortobisiliaque ou aortobifémoral, par laparotomie
DGGA002;Ablation de prothèse de l'aorte abdominale avec pontage axillobifémoral, par abord direct
DGLF012;Pose d'endoprothèse fenêtrée ou multibranche dans l'aorte abdominale pour anévrisme complexe, par voie artérielle transcutanée
DGLF005;Pose d'endoprothèse couverte rectiligne dans l'aorte abdominale infrarénale, par voie artérielle transcutanée
DGLF002;Pose d'endoprothèse couverte aorto-uniiliaque, par voie artérielle transcutanée
DGLF001;Pose d'endoprothèse couverte bifurquée aortobisiliaque, par voie artérielle transcutanée
EDLF005;Pose d'endoprothèse couverte dans l'artère iliaque commune et/ou l'artère iliaque externe, par voie artérielle transcutanée
EDLF004;Pose d'endoprothèse couverte dans l'artère iliaque commune et/ou l'artère iliaque externe avec embolisation de l'artère iliaque interne, par voie artérielle transcutanée
DGSA004;Fermeture de fistule aortodigestive ou iliodigestive avec pontage aortoaortique abdominal, par laparotomie
DGSA001;Fermeture de fistule aortodigestive ou iliodigestive avec pontage non anatomique de l'aorte abdominale, par abord direct
DGSA002;Fermeture de fistule artérioveineuse aortocave, iliocave ou ilio-iliaque avec pontage artériel, par laparotomie
DGSA005;Hémostase secondaire à un acte sur l'aorte abdominale ou ses branches, par laparotomie
DGFA006;Prélèvement de greffe artérielle aorto-iliaque par laparotomie, sur un sujet en état de mort encéphalique
EDCC015;Suture de plaie d'artère digestive, par colioscopie
EDCA001;Suture de plaie d'artère digestive, par laparotomie
EDAF008;Dilatation intraluminale d'une artère digestive sans pose d'endoprothèse, par voie artérielle transcutanée
EDAF005;Dilatation intraluminale d'une artère digestive avec pose d'endoprothèse, par voie artérielle transcutanée
EDNF003;Fibrinolyse in situ d'une artère digestive, par voie artérielle transcutanée
EDPF003;Recanalisation d'une artère digestive sans pose d'endoprothèse, par voie artérielle transcutanée
EDPF004;Recanalisation d'une artère digestive avec pose d'endoprothèse, par voie artérielle transcutanée
EDJF002;Thromboaspiration d'artère digestive, par voie artérielle transcutanée
EDFA002;Thrombectomie d'artère digestive, par laparotomie
EDFA005;Thromboendartériectomie de l'artère mésentérique supérieure et/ou du tronc coliaque ou de ses branches, par thoraco-phréno-laparotomie
EDKA003;Remplacement d'une artère digestive, par laparotomie
EDEA005;Réimplantation d'une artère digestive dans l'aorte, par laparotomie
EDLF006;Pose d'endoprothèse couverte dans une artère digestive, par voie artérielle transcutanée
EDLF008;Pose d'endoprothèse couverte dans plusieurs artères digestives, par voie artérielle transcutanée
EDSF009;Oblitération suprasélective d'un anévrisme sacculaire d'une artère digestive, par voie artérielle transcutanée
EDSF001;Oblitération suprasélective de plusieurs anévrismes sacculaires d'artère digestive, par voie artérielle transcutanée
EDSF005;Embolisation sélective ou hypersélective d'une artère digestive, par voie artérielle transcutanée
EDSF012;Embolisation sélective et/ou hypersélective de plusieurs artères digestives, par voie artérielle transcutanée
EDSF006;Embolisation suprasélective d'une artère digestive, par voie artérielle transcutanée
EDSF015;Embolisation suprasélective de plusieurs artères digestives, par voie artérielle transcutanée
EDSA001;Ligature d'une artère digestive, par laparotomie
