UCD_UCD_COD;UCD_PCD_COD;UCD_SVT_COD;UCD_INS_TOP;UCD_LAB_NOM;UCD_DOC_DTE;UCD_DOC_LIB;UCD_DER_MAJ;UCD_DSN_LIB;UCD_CND_LIB;UCD_OBS_LIB
0000009350931;0;0;0;ACTAVIS FRANCE;21DEC2016:00:00:00;JO;22DEC2016:00:00:00;GEMCITABINE ACTAVIS 40 MG/ML;solution a diluer pour perfusion en flacon de 5 ml;
0000009351451;0;0;0;TEVA SANTE;29JAN2014:00:00:00;JO;30JAN2014:00:00:00;RIBAVIRINE TEVA PHARMA BV 200 MG;comprime pellicule;
0000009351586;0;0;0;ACCORD HEALTHCARE FRANCE SAS;28NOV2018:00:00:00;JO;29NOV2018:00:00:00;TEMOZOLOMIDE ACC 100 MG;Gelu;
0000009351600;0;0;0;ACCORD HEALTHCARE FRANCE SAS;28NOV2018:00:00:00;JO;29NOV2018:00:00:00;TEMOZOLOMIDE ACC 180 MG;Gelu;
0000009351646;0;0;0;ACCORD HEALTHCARE FRANCE SAS;28NOV2018:00:00:00;JO;29NOV2018:00:00:00;TEMOZOLOMIDE ACC 5 MG;Gelu;
0000009351712;0;0;0;MYLAN SAS;21DEC2016:00:00:00;JO;26DEC2016:00:00:00;GEMCITABINE MYLAN 40 MG/ML;Flacon de 50 ml, solution a diluer pour perfusion;
0000009351793;0;0;0;JANSSEN-CILAG;19DEC2017:00:00:00;JO;28DEC2017:00:00:00;STELARA 90 MG;solution injectable, 1 ml en seringue preremplie;Voir JO du 03/10/17 pour indication therapeutique remboursable : extension d indication.
0000009351824;0;0;0;HOSPIRA FRANCE;28FEB2012:00:00:00;JO;28FEB2012:00:00:00;DOCETAXEL HOSPIRA 10 MG/ML;Solution a diluer pour perfusion en flacon de 2 ml;
0000009352410;0;0;0;ABB VIE;14DEC2018:00:00:00;JO;17DEC2018:00:00:00;NORVIR 100 MG;Comprime pellicule;
0000009352516;0;0;0;SHIRE FRANCE;20MAR2018:00:00:00;JO;23MAR2018:00:00:00;KIOVIG 100 MG/ML;Solution pour perfusion en flacon de 300 ml;
0000009352597;0;0;0;MEDAC;14DEC2018:00:00:00;JO;17DEC2018:00:00:00;TEMOMEDAC 20 MG;Gelu;
0000009352692;0;0;0;TEVA SANTE;21DEC2016:00:00:00;JO;26DEC2016:00:00:00;GEMCITABINE TEVA 40 MG/ML;1 Flacon de 5 ml, solution a diluer pour perfusion;
0000009352887;0;0;0;SANDOZ;28FEB2012:00:00:00;JO;28FEB2012:00:00:00;DOCETAXEL EBEWE 10 MG/ML;Flacon de 2 ml, solution a diluer pour perfusion;
0000009353065;0;0;0;FRESENIUS KABI FRANCE;13NOV2018:00:00:00;JO;19NOV2018:00:00:00;FLUCONAZOLE KABI 2 MG/ML;Flacon de 200 ml, solution pour perfusion;
0000009353728;0;0;0;ACCORD HEALTHCARE LTD;07DEC2010:00:00:00;JO;08DEC2010:00:00:00;DOXORUBICINE INTAS 2 MG/ML;Solution injectable pour perfusion en flacon de 25 ml;
0000009353734;0;0;0;ACCORD HEALTHCARE LTD;07DEC2010:00:00:00;JO;08DEC2010:00:00:00;DOXORUBICINE INTAS 2 MG/ML;Solution injectable pour perfusion en flacon de 5 ml;
0000009353970;0;0;0;MUNDIPHARMA SAS;18JAN2018:00:00:00;JO;23JAN2018:00:00:00;LEVACT 2,5 MG/ML;INJ FL26ML;
0000009353987;0;0;0;MUNDIPHARMA SAS;18JAN2018:00:00:00;JO;23JAN2018:00:00:00;LEVACT 2,5 MG/ML;INJ FL60ML;
0000009354053;0;0;0;MYLAN SAS;14DEC2018:00:00:00;JO;17DEC2018:00:00:00;TEMOZOLOMIDE MYLAN 100 MG;Gelu;
0000009354076;0;0;0;MYLAN SAS;14DEC2018:00:00:00;JO;17DEC2018:00:00:00;TEMOZOLOMIDE MYLAN 140 MG;Gelu;
0000009354082;0;0;0;MYLAN SAS;14DEC2018:00:00:00;JO;17DEC2018:00:00:00;TEMOZOLOMIDE MYLAN 180 MG;Gelu;
0000009382196;0;0;0;CELGENE;24JUL2012:00:00:00;JO;24JUL2012:00:00:00;POMALIDOMIDE CELGENE;1 mg, gelule;
0000009382351;0;0;0;SHIRE;12FEB2019:00:00:00;JO;18FEB2019:00:00:00;CINRYZE 500 UI;INJ FL+FL;Voir JO du 12/02/2019 pour indications therapeutiques remboursables
0000009382405;0;0;0;CELGENE;24JUL2012:00:00:00;JO;24JUL2012:00:00:00;POMALIDOMIDE CELGENE;2 mg, gelule;
0000009382730;0;0;0;JANSSEN-CILAG;05DEC2018:00:00:00;JO;05DEC2018:00:00:00;EDURANT 25 MG;comprime pellicule;
0000009382807;0;0;0;CELGENE;24JUL2012:00:00:00;JO;24JUL2012:00:00:00;POMALIDOMIDE CELGENE;3 mg, gelule;
0000009383511;0;0;0;SHIRE FRANCE;14NOV2017:00:00:00;JO;20NOV2017:00:00:00;ADVATE 250 UI;poudre et solvant pour solution injectable, flacon en verre de 250 UI;
0000009384373;0;0;0;ASTELLAS PHARMA;29JUL2014:00:00:00;JO;05AUG2014:00:00:00;DIFICLIR 200 MG;comprimes pellicule;
0000009384491;0;0;0;ACCORD HEALTHCARE FRANCE SAS;26JUL2013:00:00:00;JO;26JUL2013:00:00:00;DOCETAXEL ACCORD 20 MG/ML;Flacon de 1 ml/20 mg, solution a diluer pour perfusion;
0000009385013;0;0;0;PFIZER;02MAR2016:00:00:00;JO;02MAR2016:00:00:00;REVATIO 10 MG/ML;poudre pour suspension buvable;
0000009385929;0;0;0;VERTEX PHARMACEUTICALS;26DEC2013:00:00:00;JO;26DEC2013:00:00:00;KALYDECO 150 MG;COMPRIME PELLICULE;
0000009386573;0;0;0;MYLAN SAS;16MAR2018:00:00:00;JO;19MAR2018:00:00:00;LAMIVUDINE MYLAN 150 MG;comprimes pellicules secables;
0000009386946;0;0;0;PFIZER PFE FRANCE;13NOV2018:00:00:00;JO;19NOV2018:00:00:00;ZYVOXID 2 MG/ML;300 ML EN POCHE (FREEFLEX), SOLUTION POUR PERFUSION;
0000009387101;0;0;0;FRESENIUS KABI FRANCE;08MAR2013:00:00:00;JO;08MAR2013:00:00:00;DOCETAXEL KABI 80 MG/4 ML;solution a diluer pour perfusion;
0000009387495;0;0;0;SANDOZ;13DEC2012:00:00:00;JO;14DEC2012:00:00:00;DOCETAXEL SERVIPHARM 10 MG/ML;solution a diluer pour perfusion en flacon de 2 ml;
0000009387609;0;0;0;LUCANE PHARMA;11JUN2014:00:00:00;JO;17JUN2014:00:00:00;PHEBURANE 483 MG/G;granules;
0000009388891;0;0;0;FRESENIUS KABI FRANCE;19JUN2013:00:00:00;JO;20JUN2013:00:00:00;DOCETAXEL KABI 20 MG/1 ML;solution a diluer pour perfusion;
0000009389749;0;0;0;NOVO NORDISK PHARMACEUTIQUE SA;14DEC2018:00:00:00;JO;17DEC2018:00:00:00;NOVOSEVEN 2MG;INJ FL+SRG;Voir JO du 31/10/2018 pour indications therapeutiques remboursables
0000009390184;0;0;0;PFIZER;04MAY2017:00:00:00;JO;09MAY2017:00:00:00;BENEFIX 3000 UI,;Poudre et solvant pour solution injectable;
0000009390267;0;0;0;BRISTOL MYERS SQUIBB;14DEC2017:00:00:00;JO;15DEC2017:00:00:00;ORENCIA 125 MG;solution injectable en seringue preremplie;Voir JO du 15/05/2014 pour indication therapeutique remboursable
0000009390907;0;0;0;PFIZER;26NOV2013:00:00:00;JO;26NOV2013:00:00:00;DOCETAXEL PFIZER 10 MG/ML;solution a diluer pour perfusion en flacon de 20 ml;
0000009391048;0;0;0;PFIZER;01MAR2018:00:00:00;JO;05MAR2018:00:00:00;ENBREL 10 MG;poudre et solvant pour solution injectable pour usage pediatrique;
0000009391083;0;0;0;MSD FRANCE;11JUN2014:00:00:00;JO;16JUN2014:00:00:00;ISENTRESS 25 MG;comprime a croquer;
0000009391344;0;0;0;TAKEDA FRANCE;04SEP2014:00:00:00;JO;08SEP2014:00:00:00;ADCETRIS 50 MG;poudre pour solution pour perfusion en flacon;
0000009391410;0;0;0;MYLAN SAS;16JAN2018:00:00:00;JO;22JAN2018:00:00:00;NEVIRAPINE MYLAN 200 MG;comprime;
0000009392071;0;0;0;FRESENIUS KABI FRANCE;26JUL2013:00:00:00;JO;29JUL2013:00:00:00;GEMCITABINE KABI 40 MG/ML,;solution a diluer pour perfusion en flacon de 50 ml;
0000009392510;0;0;0;FRESENIUS KABI FRANCE;12AUG2016:00:00:00;JO;16AUG2016:00:00:00;CARBOPLATINE KABI 10 MG/ML;EN FLACON DE 15 ML, SOLUTION A DILUER POUR PERFUSION;
0000009392556;0;0;0;FRESENIUS KABI FRANCE;12AUG2016:00:00:00;JO;16AUG2016:00:00:00;CARBOPLATINE KABI 10 MG/ML;EN FLACON DE 60 ML, SOLUTION A DILUER POUR PERFUSION;
0000009393461;0;0;0;JANSSEN-CILAG;10MAY2018:00:00:00;JO;17MAY2018:00:00:00;PREZISTA 100 MG/ML;suspension buvable en flacon de 200 ml;
0000009393515;0;0;0;PFIZER LIMITED;11SEP2015:00:00:00;CNAMTS;20MAY2016:00:00:00;BOSULIF 500 MG;comprime pellicule;
0000009393573;0;0;0;GILEAD SCIENCES;13DEC2016:00:00:00;JO;19DEC2016:00:00:00;VIREAD 33 MG/G;granules;
0000009394905;0;0;0;CSL BEHRING SA;31JAN2017:00:00:00;JO;06FEB2017:00:00:00;CONFIDEX 1 000 UI;poudre et solvant pour solution injectable;
0000009394992;0;0;0;SANOFI AVENTIS FRANCE;30OCT2015:00:00:00;JO;02NOV2015:00:00:00;ZALTRAP 25 MG/ML;solution a diluer pour perfusion en flacon de 4 ml;Le JO du 05/12/2013 publie l'arrete d'inscription de ZALTRAP 25 mg/ml sur la liste TAA.
0000009395000;0;0;0;SANOFI AVENTIS FRANCE;30OCT2015:00:00:00;JO;02NOV2015:00:00:00;ZALTRAP 25 MG/ML;solution a diluer pour perfusion en flacon de 8 ml;Le JO du 05/12/2013 publie l'arrete d'inscription de ZALTRAP 25 mg/ml sur la liste TAA.
0000009395106;0;0;0;ROCHE;13DEC2013:00:00:00;JO;16DEC2013:00:00:00;PERJETA 420 MG;solution a diluer pour perfusion;
0000009395112;0;0;0;CSL BEHRING GMBH;20FEB2018:00:00:00;JO;27FEB2018:00:00:00;PRIVIGEN 100 MG/ML;solution pour perfusion en flacon de 400 ml;
0000009395603;0;0;0;BAYER SANTE;11SEP2015:00:00:00;CNAMTS;20MAY2016:00:00:00;STIVARGA 40 MG;comprime pellicule;
0000009395678;0;0;0;CSL BEHRING SA;13APR2018:00:00:00;JO;17APR2018:00:00:00;VONCENTO 1000 UI/2400 UI;INJ FL+F;Voir JO du 28/11/14 et 13/04/2018 pour indications therapeutiques remboursables
0000009395684;0;0;0;CSL BEHRING SA;13APR2018:00:00:00;JO;17APR2018:00:00:00;VONCENTO 250 UI/600 UI;INJ FL+FL;Voir JO du 28/11/14 et du 13/04/2018 pour indications therapeutiques remboursables
0000009395750;0;0;0;ARIAD PHARMACEUTICALS;16MAY2017:00:00:00;CNAMTS;06JUN2017:00:00:00;ICLUSIG 15 MG;comprime;
0000009395767;0;0;0;ARIAD PHARMACEUTICALS;16MAY2017:00:00:00;JO;06JUN2017:00:00:00;ICLUSIG 45 MG;comprime;
0000009395796;0;0;0;CELGENE;29NOV2016:00:00:00;JO;29NOV2016:00:00:00;IMNOVID 1 MG;gelule;
0000009396011;0;0;0;BIO MARIN EUROPE LTD;02MAR2016:00:00:00;JO;08MAR2016:00:00:00;VIMIZIM 1 MG/ML;Solution a diluer pour perfusion;
0000009396235;0;0;0;ORPHAN EUROPE;05JUL2018:00:00:00;CNAMTS;14SEP2018:00:00:00;CYSTADROPS 0,55 %;collyre en solution;
0000009396494;0;0;0;ROCHE;11SEP2015:00:00:00;CNAMTS;20MAY2016:00:00:00;ERIVEDGE 150 MG;gelules;
0000009397157;0;0;0;NOVO NORDISK PHARMACEUTIQUE SA;30MAR2017:00:00:00;JO;04APR2017:00:00:00;NOVOEIGHT 2 000 UI;poudre et solvant pour solution injectable;
0000009397217;0;0;0;SANTEN SAS;12JUN2015:00:00:00;CNAMTS;15JUN2015:00:00:00;IKERVIS 1 MG/ML;collyre en emulsion;
0000009397252;0;0;0;B. BRAUN MEDICAL SAS;06JAN2016:00:00:00;JO;08JAN2016:00:00:00;AMIKACINE B BRAUN 5 MG/ML;solution pour perfusion en flacon de 100 ml;
0000009397772;0;0;0;JANSSEN;06MAY2015:00:00:00;JO;06MAY2015:00:00:00;SIMEPREVIR 150 MG;gelule;
0000009398412;0;0;0;LUCANE PHARMA;18FEB2014:00:00:00;JO;04MAR2014:00:00:00;CHOLBAM 250 MG;gelule;
0000009398866;0;0;0;VIIV HEALTHCARE SAS;18DEC2018:00:00:00;JO;19DEC2018:00:00:00;TIVICAY 50 MG;comprime pellicule;Voir JO du 28/11/2014 pour indication therapeutique remboursable et JO du 09/02/2018 : extension d'indication
0000009399216;0;0;0;SANTHERA PHARMACEUTICALS GMBH;19FEB2014:00:00:00;JO;04MAR2014:00:00:00;RAXONE 150 MG;comprime pellicule;
0000009399280;0;0;0;BAYER HEALTHCARE SAS;02APR2015:00:00:00;CNAMTS;10APR2015:00:00:00;RIOCIGUAT 1 MG;comprimes pellicules;
0000009399647;0;0;0;BAYER HEALTHCARE SAS;02APR2015:00:00:00;CNAMTS;10APR2015:00:00:00;RIOCIGUAT 1,5 MG;comprimes pellicules;
0000009399883;0;0;0;ACTELION PHARMACEUTICALS FRANC;28NOV2018:00:00:00;CNAMTS;07DEC2018:00:00:00;VELETRI 1,5 MG;poudre et solvant pour solution pour perfusion;
0000009400391;0;0;0;ROSEMONT PHARMACEUTICALS LTD;26JUL2016:00:00:00;CNAMTS;12SEP2016:00:00:00;LIKOZAM 1 MG/ML;suspension buvable;
0000009400540;0;0;0;MSD FRANCE;26OCT2018:00:00:00;JO;29OCT2018:00:00:00;ADEMPAS 0,5 MG;CPR;
0000009400617;0;0;0;MSD FRANCE;14DEC2018:00:00:00;JO;17DEC2018:00:00:00;NOXAFIL 100 MG;comprime gastro-resistant;
0000009401344;0;0;0;ASTRAZENECA;29AUG2014:00:00:00;JO;29AUG2014:00:00:00;OLAPARIB 50 MG;gelules;
0000009401350;0;0;0;ACCORD HEALTHCARE LIMITED;25NOV2016:00:00:00;JO;28NOV2016:00:00:00;PACLITAXEL AHCL 6 MG/ML;solution a diluer pour perfusion en flacon de 100 ml;
0000009402036;0;0;0;HRA PHARMA;24MAY2016:00:00:00;CNAMTS;20JUN2016:00:00:00;KETOCONAZOLE HRA PHARMA 200 MG;comprime;
0000009402125;0;0;0;GILEAD SCIENCES;08JUL2014:00:00:00;JO;11JUL2014:00:00:00;IDELALISIB 100 MG;comprime pellicule;
0000009402131;0;0;0;GILEAD SCIENCES;08JUL2014:00:00:00;JO;11JUL2014:00:00:00;IDELALISIB 150 MG;comprime pellicule;
0000009402243;0;0;0;PIERRE FABRE DERMATOLOGIE;28JUL2014:00:00:00;CNAMTS;29AUG2014:00:00:00;HEMANGIOL  3,75 MG/ML;solution buvable;
0000009402763;0;0;0;PTC THERAPEUTICS LIMITED;09JAN2015:00:00:00;CNAMTS;12JAN2015:00:00:00;TRANSLARNA 125 MG;Granules pour suspension buvable;
0000009402823;0;0;0;ABBOTT PRODUCTS SAS;18SEP2014:00:00:00;CNAMTS;29SEP2014:00:00:00;CREON 5000 U;granules gastroresistants;
0000009403082;0;0;0;CEVIDRA;19AUG2014:00:00:00;JO;25AUG2014:00:00:00;REFERO 550 MG;Comprime pellicule;
0000009403107;0;0;0;MSD FRANCE;20JUL2016:00:00:00;JO;21JUL2016:00:00:00;ISENTRESS 100 MG,;GRANULES POUR SUSPENSION BUVABLE EN SACHET;Voir JO du 20 juillet 2016 pour indications therapeutiques remboursables.
0000009403484;0;0;0;GILEAD SCIENCES;22OCT2014:00:00:00;CNAMTS;10NOV2014:00:00:00;ZYDELIG 150 MG;comprimes pellicules;
0000009403490;0;0;0;JANSSEN-CILAG;24NOV2014:00:00:00;CNAMTS;02DEC2014:00:00:00;IMBRUVICA 140 MG;gelule;
0000009403509;0;0;0;MEDIPHA SANTE;23FEB2016:00:00:00;JO;26FEB2016:00:00:00;IRINOTECAN SEACROSS 20 MG/ML;solution a diluer pour perfusion, flacon (verre type I) de 15 ml;
0000009403515;0;0;0;MEDIPHA SANTE;23FEB2016:00:00:00;JO;26FEB2016:00:00:00;IRINOTECAN SEACROSS 20 MG/ML;solution a diluer pour perfusion, flacon (verre type I) de 25 ml;
0000009403521;0;0;0;FRESENIUS KABI FRANCE;31MAY2018:00:00:00;JO;01JUN2018:00:00:00;BUSULFAN FRESENIUS KABI 6 MG/ML;solution a diluer pour perfusion;Voir JO du 30/03/2016 pour indications therapeutiques remboursables
0000009403627;0;0;0;BIOTEST PHARMA GMBH;28FEB2018:00:00:00;JO;07MAR2018:00:00:00;TECTASIM 50 MG/ML;solution pour perfusion en flacon de 100 ml;
0000009403633;0;0;0;BIOTEST PHARMA GMBH;28FEB2018:00:00:00;JO;07MAR2018:00:00:00;TECTASIM 50 MG/ML;solution pour perfusion en flacon de 20 ml;
0000009403656;0;0;0;BIOTEST PHARMA GMBH;28FEB2018:00:00:00;JO;07MAR2018:00:00:00;TECTASIM 50 MG/ML;solution pour perfusion en flacon de 200 ml;
0000009403662;0;0;0;BIOTEST PHARMA GMBH;28FEB2018:00:00:00;JO;07MAR2018:00:00:00;TECTASIM 50 MG/ML;solution pour perfusion en flacon de 50 ml;
0000009403691;0;0;0;ROCHE;26DEC2018:00:00:00;JO;02JAN2019:00:00:00;MABTHERA 1 400 MG/11,7 ML;solution pour injection sous-cutanee;
0000009403946;0;0;0;NOVARTIS PHARMA SAS;21OCT2014:00:00:00;JO;22OCT2014:00:00:00;CERITINIB 150 MG;gelule;
0000009404331;0;0;0;SANDOZ;14DEC2018:00:00:00;JO;17DEC2018:00:00:00;EFAVIRENZ SANDOZ 600 MG;comprime pellicule secable;
0000009404377;0;0;0;ROCHE;06DEC2016:00:00:00;JO;12DEC2016:00:00:00;ROACTEMRA 162 MG/0,9 ML;Solution injectable en seringue preremplie;
0000009404615;0;0;0;LUCANE PHARMA;25MAR2015:00:00:00;JO;30MAR2015:00:00:00;GRANUPAS 4 G;granules gastro-resistants;
0000009404621;0;0;0;ASK PHARMACEUTICALS GMBH;21APR2015:00:00:00;CNAMTS;24APR2015:00:00:00;KOLBAM 250 MG;gelule;
0000009404638;0;0;0;ASK PHARMACEUTICALS GMBH;21APR2015:00:00:00;CNAMTS;24APR2015:00:00:00;KOLBAM 50 MG;gelule;
0000009404905;0;0;0;CRINEX;03FEB2018:00:00:00;CNAMTS;16APR2018:00:00:00;UVESTEROL VITAMINE A.D.E.C;SOLUTION BUVABLE;Voir JO du 03/02/2017 pour indication therapeutique remboursable dans le cadre de la RTU
0000009404957;0;0;0;GILEAD SCIENCES;06MAY2015:00:00:00;JO;06MAY2015:00:00:00;LEDIPASVIR/SOFOSBUVIR GILEAD 90 MG/400 MG;comprime pellicule;
0000009405023;0;0;0;NOVEX PHARMA;16SEP2015:00:00:00;JO;17SEP2015:00:00:00;REVESTIVE 5 MG;poudre et solvant pour solution injectable;Voir JO du 16/09/2015 pour indications therapeutiques remboursables
0000009405081;0;0;0;GILEAD SCIENCES;10NOV2018:00:00:00;JO;12NOV2018:00:00:00;HARVONI 90 MG/400 MG;CPR;Voir JO du 01/04/2017 et du 11/07/2018 pour indications therapeutiques remboursables
0000009405164;0;0;0;BOEHRINGER INGELHEIM FRANCE;24MAY2016:00:00:00;CNAMTS;20JUN2016:00:00:00;NINTEDANIB 100 MG;capsule molle;
0000009405566;0;0;0;GENZYME SAS;09NOV2016:00:00:00;JO;14NOV2016:00:00:00;CERDELGA 84 MG;gelule;
0000009405678;0;0;0;CELGENE S.A.S;20FEB2018:00:00:00;JO;26FEB2018:00:00:00;REVLIMID 2,5 MG;gelule;Voir JO du 19/10/17 pour indications therapeutiques remboursables : extensions d indication.
0000009405684;0;0;0;ASTRAZENECA;02APR2015:00:00:00;CNAMTS;10APR2015:00:00:00;LYNPARZA 50 MG;gelule;
0000009405744;0;0;0;ABBVIE;31JAN2017:00:00:00;JO;06FEB2017:00:00:00;EXVIERA 250 MG;comprime pellicule;Voir JO du 27/01/2017 pour indications therapeutiques remboursables: extensions d'indications
0000009406206;0;0;0;ECKERT & ZIEGLER RADIOPHARMA G;10SEP2015:00:00:00;JO;14SEP2015:00:00:00;YTTRIGA;solution de precurseur radiopharmaceutique en flacon de 10 ml;
0000009406212;0;0;0;ECKERT & ZIEGLER RADIOPHARMA G;10SEP2015:00:00:00;JO;14SEP2015:00:00:00;YTTRIGA;solution de precurseur radiopharmaceutique en flacon de 3 ml;
0000009406413;0;0;0;BIOPROJET PHARMA;23FEB2016:00:00:00;JO;26FEB2016:00:00:00;RIBAVOX 200 MG;comprime pellicule;
0000009406614;0;0;0;BOEHRINGER INGELHEIM;21APR2015:00:00:00;CNAMTS;24APR2015:00:00:00;OFEV 100 MG;capsule molle;
0000009406979;0;0;0;HRA PHARMA;02APR2015:00:00:00;CNAMTS;10APR2015:00:00:00;KETOCONAZOLE HRA 200 MG;comprime;
0000009407312;0;0;0;ASTRA ZENECA;06OCT2015:00:00:00;JO;09OCT2015:00:00:00;AZD9291 40 MG;comprime pellicule;
0000009407387;0;0;0;SHIRE FRANCE;18JAN2019:00:00:00;JO;22JAN2019:00:00:00;HYQVIA 100 MG/ML;PERF F+F200ML;Voir JO du 01/12/2016, du 13/04/2018, 03/07/2018 et du 18/01/2019 pour indications therapeutiques remboursables
0000009407418;0;0;0;SHIRE FRANCE;18JAN2019:00:00:00;JO;22JAN2019:00:00:00;HYQVIA 100 MG/ML;PERF F+F50ML;Voir JO du 01/12/2016, du 13/04/2018, 03/07/2018 et du 18/01/2019 pour indications therapeutiques remboursables
0000009407453;0;0;0;SHIRE FRANCE;14NOV2017:00:00:00;JO;20NOV2017:00:00:00;RIXUBIS 500 UI INJ FL+FL5ML;poudre et solvant pour solution injectable, flacon (verre);Voir JO du 15/04/16 pour indications therapeutiques remboursables
0000009407648;0;0;0;MARTINDALE PHARMACEUTICALS LIM;14JUN2016:00:00:00;JO;01JUN2018:00:00:00;NOYADA 25 MG/5 ML;BUV FL 100ML;
0000009407677;0;0;0;PFIZER;05JUL2018:00:00:00;CNAMTS;19JUL2018:00:00:00;PALBOCICLIB 75 MG;gelule;
0000009407803;0;0;0;ALFA WASSERMANN PHARMA;12JUN2015:00:00:00;CNAMTS;15JUN2015:00:00:00;TIXTAR 550 MG;comprime pellicule;
0000009407826;0;0;0;VIIV HEALTHCARE SAS;15FEB2019:00:00:00;JO;18FEB2019:00:00:00;TRIUMEQ 50 MG/600 MG/300 MG;comprime pellicule;Voir JO du 30/06/15 pour indications therapeutiques remboursables
0000009408292;0;0;0;CELGENE;20FEB2018:00:00:00;JO;26FEB2018:00:00:00;REVLIMID 20 MG;gelule;Voir JO du 03/11/2017 pour indications therapeutiques remboursables
0000009408300;0;0;0;CELGENE;20FEB2018:00:00:00;JO;26FEB2018:00:00:00;REVLIMID 7,5 MG;gelule;Voir JO du 03/11/2017 pour indications therapeutiques remboursables
0000009408820;0;0;0;NOVARTIS PHARMA SAS;12JAN2016:00:00:00;JO;15JAN2016:00:00:00;LCZ696 100 MG;comprime pellicule;
0000009408837;0;0;0;NOVARTIS PHARMA SAS;12JAN2016:00:00:00;JO;15JAN2016:00:00:00;LCZ696 200 MG;comprime pellicule;
0000009408843;0;0;0;NOVARTIS PHARMA SAS;12JAN2016:00:00:00;JO;15JAN2016:00:00:00;LCZ696 50 MG;comprime pellicule;
0000009408866;0;0;0;EISAI EUROPE LIMITED;08APR2016:00:00:00;CNAMTS;24MAY2016:00:00:00;LENVIMA  10 MG;gelule;
0000009408872;0;0;0;EISAI EUROPE LIMITED;08APR2016:00:00:00;CNAMTS;24MAY2016:00:00:00;LENVIMA 4 MG;gelule;
0000009408961;0;0;0;JANSSEN-CILAG;13APR2017:00:00:00;JO;02OCT2018:00:00:00;SIRTURO 100 MG;comprime;Voir JO du 13/04/17 pour indications therapeutiques remboursables
0000009409535;0;0;0;MSD FRANCE;06DEC2017:00:00:00;JO;12DEC2017:00:00:00;KEYTRUDA 50 MG;poudre pour solution a diluer pour perfusion en flacon (verre) de 15 ml;Voir JO du 10/01/17, du 11/05/17 et du 06/12/2017 pour indications therapeutiques remboursables
0000009410455;0;0;0;OCTAPHARMA FRANCE;23FEB2017:00:00:00;JO;01MAR2017:00:00:00;NUWIQ 250 UI;Poudre et solvant pour solution injectable (B/1 flacon de poudre + seringue preremplie en verre de 2,5ml avec aiguille avec tampons alcoolises avec dispositif de transfert);Voir JO du 11/03/16 pour indications therapeutiques remboursables
0000009410610;0;0;0;NOVARTIS PHARMA SAS;20DEC2018:00:00:00;JO;20DEC2018:00:00:00;COSENTYX 150 MG;solution injectable en stylo prerempli;Voir JO du 08/07/2016 pour indications therapeutiques remboursables
0000009411041;0;0;0;ACCORD HEALTHCARE FRANCE SAS;27APR2016:00:00:00;JO;02MAY2016:00:00:00;MITOXANTRONE ACCORD 2 MG/ML;solution a diluer pour perfusion en flacon de 15 ml (contenant 10 ml);
0000009411058;0;0;0;ACCORD HEALTHCARE FRANCE SAS;27APR2016:00:00:00;JO;02MAY2016:00:00:00;MITOXANTRONE ACCORD 2 MG/ML;solution a diluer pour perfusion en flacon de 5 ml;
0000009411087;0;0;0;NOVARTIS PHARMA SAS;11SEP2015:00:00:00;JO;11SEP2015:00:00:00;PANOBINOSTAT 10 MG;gelule;
0000009411093;0;0;0;NOVARTIS PHARMA SAS;11SEP2015:00:00:00;JO;11SEP2015:00:00:00;PANOBINOSTAT 15 MG;gelule;
0000009411101;0;0;0;NOVARTIS PHARMA SAS;11SEP2015:00:00:00;JO;11SEP2015:00:00:00;PANOBINOSTAT 20 MG;gelule;
0000009411940;0;0;0;FRESENIUS KABI FRANCE;08AUG2018:00:00:00;JO;09AUG2018:00:00:00;LINEZOLIDE KABI 600 MG;comprime pellicule;
0000009412075;0;0;0;FRESENIUS KABI FRANCE;13NOV2018:00:00:00;JO;19NOV2018:00:00:00;LINEZOLIDE KABI 2 MG/ML;solution pour perfusion;
0000009412129;0;0;0;AMGEN SAS;05MAY2017:00:00:00;JO;09MAY2017:00:00:00;BLINCYTO 38,5 MICROGRAMMES;poudre pour solution a diluer et solution pour solution pour perfusion;Voir JO du 05/05/2017 pour indications therapeutiques remboursables
0000009412454;0;0;0;ROCHE SAS;04JAN2016:00:00:00;CNAMTS;21JAN2016:00:00:00;COTELLIC 20 MG;comprimes pellicules;
0000009412773;0;0;0;NOVARTIS PHARMA SAS;15NOV2018:00:00:00;CNAMTS;26NOV2018:00:00:00;ENTRESTO 24 MG/26 MG;comprimes pellicules;
0000009413241;0;0;0;PANPHARMA;13NOV2018:00:00:00;JO;19NOV2018:00:00:00;LINEZOLIDE PANPHARMA 2 MG/ML;solution pour perfusion en poche de 300 mL;
0000009413413;0;0;0;NOVARTIS EUROPHARM;08APR2016:00:00:00;CNAMTS;24MAY2016:00:00:00;FARYDAK 10 MG;gelule;
0000009413436;0;0;0;NOVARTIS EUROPHARM;08APR2016:00:00:00;CNAMTS;24MAY2016:00:00:00;FARYDAK 15 MG;gelule;
0000009413614;0;0;0;VERTEX PHARMACEUTICALS;11DEC2015:00:00:00;JO;14DEC2015:00:00:00;LUMACAFTOR/IVACAFTOR VERTEX 200 MG/125 MG;comprime pellicule;
0000009413850;0;0;0;GLAXOSMITHKLINE;22MAR2018:00:00:00;CNAMTS;24APR2018:00:00:00;NUCALA 100 MG;poudre pour solution injectable;
