CIM_COD;CIM_LIC;CIM_LIL;MVT_DTE;MVT_ORI;MVT_TYP;CIM_LIC_OLD;TEC_COL
F1820;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, PERSONNE ACTUELLEMENT ABSTINENTE;Syndrome de dépendance aux solvants volatils, personne actuellement abstinente;;;;;0
F18200;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, PERSONNE ACTUELLEMENT ABSTINENTE EN RÉMISSION RÉCENTE;Syndrome de dépendance aux solvants volatils, personne actuellement abstinente en rémission récente;;;;;0
F18201;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, PERSONNE ACTUELLEMENT ABSTINENTE EN RÉMISSION PARTIELL;Syndrome de dépendance aux solvants volatils, personne actuellement abstinente en rémission partielle;;;;;0
F18202;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, PERSONNE ACTUELLEMENT ABSTINENTE EN RÉMISSION COMPLÈTE;Syndrome de dépendance aux solvants volatils, personne actuellement abstinente en rémission complète;;;;;0
F1821;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, PERSONNE ACTUELLEMENT ABSTINENTE MAIS DANS UN ENVIRONN;Syndrome de dépendance aux solvants volatils, personne actuellement abstinente mais dans un environnement protégé;;;;;0
F1822;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, PERSONNE SUIVANT ACTUELLEMENT UN RÉGIME DE MAINTENANCE;Syndrome de dépendance aux solvants volatils, personne suivant actuellement un régime de maintenance ou de substitution sous surveillance médicale;;;;;0
F1823;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, PERSONNE ACTUELLEMENT ABSTINENTE, MAIS PRENANT DES MÉD;Syndrome de dépendance aux solvants volatils, personne actuellement abstinente, mais prenant des médicaments aversifs ou bloquants;;;;;0
F1824;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, UTILISATION ACTUELLE;Syndrome de dépendance aux solvants volatils, utilisation actuelle;;;;;0
F18240;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, UTILISATION ACTUELLE, SANS SYMPTÔME PHYSIQUE;Syndrome de dépendance aux solvants volatils, utilisation actuelle, sans symptôme physique;;;;;0
F18241;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, UTILISATION ACTUELLE, AVEC SYMPTÔMES PHYSIQUES;Syndrome de dépendance aux solvants volatils, utilisation actuelle, avec symptômes physiques;;;;;0
F1825;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, UTILISATION CONTINUE;Syndrome de dépendance aux solvants volatils, utilisation continue;;;;;0
F1826;SYNDROME DE DÉPENDANCE AUX SOLVANTS VOLATILS, UTILISATION ÉPISODIQUE;Syndrome de dépendance aux solvants volatils, utilisation épisodique;;;;;0
F183;Tbl. MENT. DUS A SOLVANTS VOLATILS : SYND. DE SEVRAGE;Troubles mentaux et du comportement liés à l'utilisation de solvants volatils : syndrome de sevrage;;;;;0
F1830;SYNDROME DE SEVRAGE DES SOLVANTS VOLATILS, SANS COMPLICATION;Syndrome de sevrage des solvants volatils, sans complication;;;;;0
F1831;SYNDROME DE SEVRAGE DES SOLVANTS VOLATILS, AVEC CONVULSIONS;Syndrome de sevrage des solvants volatils, avec convulsions;;;;;0
F184;Tbl. MENT. DUS A SOLVANTS VOLATILS : SYND. DE SEVR. + DELIRIUM;Troubles mentaux et du comportement liés à l'utilisation de solvants volatils : syndrome de sevrage avec delirium;;;;;0
F1840;SYNDROME DE SEVRAGE DES SOLVANTS VOLATILS AVEC DÉLIRIUM, SANS CONVULSION;Syndrome de sevrage des solvants volatils avec délirium, sans convulsion;;;;;0
F1841;SYNDROME DE SEVRAGE DES SOLVANTS VOLATILS AVEC DÉLIRIUM, AVEC CONVULSIONS;Syndrome de sevrage des solvants volatils avec délirium, avec convulsions;;;;;0
F185;Tbl. MENT. DUS A SOLVANTS VOLATILS : Tbl. PSYCHOT.;Troubles mentaux et du comportement liés à l'utilisation de solvants volatils : trouble psychotique;;;;;0
F1850;TROUBLE PSYCHOTIQUE D'ALLURE SCHIZOPHRÉNIQUE, DÛ AUX SOLVANTS VOLATILS;Trouble psychotique d'allure schizophrénique, dû aux solvants volatils;;;;;0
F1851;TROUBLE PSYCHOTIQUE AVEC IDÉES DÉLIRANTES AU PREMIER PLAN, DÛ AUX SOLVANTS VOLATILS;Trouble psychotique avec idées délirantes au premier plan, dû aux solvants volatils;;;;;0
F1852;TROUBLE PSYCHOTIQUE AVEC HALLUCINATIONS AU PREMIER PLAN, DÛ AUX SOLVANTS VOLATILS;Trouble psychotique avec hallucinations au premier plan, dû aux solvants volatils;;;;;0
F1853;TROUBLE PSYCHOTIQUE AVEC SYMPTÔMES POLYMORPHES AU PREMIER PLAN, DÛ AUX SOLVANTS VOLATILS;Trouble psychotique avec symptômes polymorphes au premier plan, dû aux solvants volatils;;;;;0
F1854;TROUBLE PSYCHOTIQUE AVEC SYMPTÔMES DÉPRESSIFS AU PREMIER PLAN, DÛ AUX SOLVANTS VOLATILS;Trouble psychotique avec symptômes dépressifs au premier plan, dû aux solvants volatils;;;;;0
F1855;TROUBLE PSYCHOTIQUE AVEC SYMPTÔMES MANIAQUES AU PREMIER PLAN, DÛ AUX SOLVANTS VOLATILS;Trouble psychotique avec symptômes maniaques au premier plan, dû aux solvants volatils;;;;;0
F1856;TROUBLE PSYCHOTIQUE MIXTE, DÛ AUX SOLVANTS VOLATILS;Trouble psychotique mixte, dû aux solvants volatils;;;;;0
F186;Tbl. MENT. DUS A SOLVANTS VOLATILS : SYND. AMNESIQUE;Troubles mentaux et du comportement liés à l'utilisation de solvants volatils : syndrome amnésique;;;;;0
F187;Tbl. MENT. DUS A SOLVANTS VOLATILS : Tbl. RESIDUEL OU PSYCHOT.;Troubles mentaux et du comportement liés à l'utilisation de solvants volatils : trouble résiduel ou psychotique de survenue tardive;;;;;0
F1870;FLASHBACKS, DUS AUX SOLVANTS VOLATILS;Flashbacks, dus aux solvants volatils;;;;;0
F1871;TROUBLE DE LA PERSONNALITÉ OU DU COMPORTEMENT, RÉSIDUEL OU DE SURVENUE TARDIVE, DÛ AUX SOLVANTS VOLA;Trouble de la personnalité ou du comportement, résiduel ou de survenue tardive, dû aux solvants volatils;;;;;0
F1872;TROUBLE THYMIQUE RÉSIDUEL OU DE SURVENUE TARDIVE, DÛ AUX SOLVANTS VOLATILS;Trouble thymique résiduel ou de survenue tardive, dû aux solvants volatils;;;;;0
F1873;DÉMENCE, DUE AUX SOLVANTS VOLATILS;Démence, due aux solvants volatils;;;;;0
F1874;AUTRE DÉFICIT COGNITIF PERSISTANT OU DE SURVENUE TARDIVE, DÛ AUX SOLVANTS VOLATILS;Autre déficit cognitif persistant ou de survenue tardive, dû aux solvants volatils;;;;;0
F1875;TROUBLE PSYCHOTIQUE À DÉBUT TARDIF, DÛ AUX SOLVANTS VOLATILS;Trouble psychotique à début tardif, dû aux solvants volatils;;;;;0
F188;Tbl. MENT. NCA, DUS A SOLVANTS VOLATILS;Autres troubles mentaux et du comportement liés à l'utilisation de solvants volatils;;;;;0
F189;Tbl. MENT. SAI, DUS A SOLVANTS VOLATILS;Troubles mentaux et du comportement liés à l'utilisation de solvants volatils, sans précision;;;;;0
K627;RECTITE DUE A UN IRRAD.;Rectite due à un irradiation;;;;;0
K628;MAL. PREC. DE L'ANUS ET DU RECTUM, NCA;Autres maladies précisées de l'anus et du rectum;;;;;0
K629;MAL. DE L'ANUS ET DU RECTUM, SAI;Maladie de l'anus et du rectum, sans précision;;;;;0
K63;MAL. DE L'INTESTIN, NCA;Autres maladies de l'intestin;;;;;0
K630;ABCES DE L'INTESTIN;Abcès de l'intestin;;;;;0
K631;PERFO. DE L'INTESTIN;Perforation de l'intestin (non traumatique);;;;;0
K632;FISTULE DE L'INTESTIN;Fistule de l'intestin;;;;;0
K633;ULCERE DE L'INTESTIN;Ulcère de l'intestin;;;;;0
K634;ENTEROPTOSE;Entéroptose;;;;;0
K635;POLYPE COLON;Polype du côlon;;;;;0
K635+0;POLYPOSE (COLIQUE) HYPERPLASIQUE;Polypose (colique) hyperplasique;01JAN2009:00:00:00;ATIH;Subdivision de libellé;;0
K635+8;POLYPE DU COLON, AUTRE ET NON PRECISE;Polype du côlon, autre et non précisé;01JAN2009:00:00:00;ATIH;Subdivision de libellé;;0
K638;MAL. PREC. DE L'INTESTIN, NCA;Autres maladies précisées de l'intestin;;;;;0
K639;MAL. DE L'INTESTIN, SAI;Maladie de l'intestin, sans précision;;;;;0
K64;HÉMORROÏDES ET THROMBOSE VEINEUSE PÉRIANALE;Hémorroïdes et thrombose veineuse périanale;01JAN2014:00:00:00;OMS;Création catégorie;;0
K640;HÉMORROÏDES DU PREMIER DEGRÉ;Hémorroïdes du premier degré;01JAN2014:00:00:00;OMS;Création sous-catégorie;;0
K641;HÉMORROÏDES DU DEUXIÈME DEGRÉ;Hémorroïdes du deuxième degré;01JAN2014:00:00:00;OMS;Création sous-catégorie;;0
K642;HÉMORROÏDES DU TROISIÈME DEGRÉ;Hémorroïdes du troisième degré;01JAN2014:00:00:00;OMS;Création sous-catégorie;;0
K643;HÉMORROÏDES DU QUATRIÈME DEGRÉ;Hémorroïdes du quatrième degré;01JAN2014:00:00:00;OMS;Création sous-catégorie;;0
K644;CICATRICES HÉMORROÏDAIRES CUTANÉES RÉSIDUELLES;Cicatrices hémorroïdaires cutanées résiduelles;01JAN2014:00:00:00;OMS;Création sous-catégorie;;0
K645;THROMBOSE VEINEUSE PÉRIANALE;Thrombose veineuse périanale;01JAN2014:00:00:00;OMS;Création sous-catégorie;;0
K648;AUTRES HÉMORROÏDES PRÉCISÉES;Autres hémorroïdes précisées;01JAN2014:00:00:00;OMS;Création sous-catégorie;;0
K649;HÉMORROÏDES, SANS PRÉCISION;Hémorroïdes, sans précision;01JAN2014:00:00:00;OMS;Création sous-catégorie;;0
K65;PERITONITE;Péritonite;;;;;0
K650;PERITONITE AIG.;Péritonite aiguë;;;;;0
K658;PERITONITES, NCA;Autres péritonites;;;;;0
K659;PERITONITE, SAI;Péritonite, sans précision;;;;;0
K66;MAL. DU PERITOINE, NCA;Autres maladies du péritoine;;;;;0
K660;ADHERENCES PERIT.;Adhérences péritonéales;;;;;0
K661;HEMOPERITOINE;Hémopéritoine;;;;;0
K668;MAL. PREC. DU PERITOINE, NCA;Autres maladies précisées du péritoine;;;;;0
K669;MAL. DU PERITOINE, SAI;Maladie du péritoine, sans précision;;;;;0
K67;ATTEINTES PERIT. AVEC MAL. INFECT. CL. AILL.;Atteintes péritonéales au cours de maladies infectieuses classées ailleurs;;;;;0
K670;PERITONITE A CHLAMYDIA;Péritonite à Chlamydia (A74.8);;;;;0
K671;PERITONITE GONO.;Péritonite gonococcique (A54.8);;;;;0
K672;PERITONITE SYPHILITIQUE;Péritonite syphilitique (A52.7);;;;;0
K673;PERITONITE TUBERC.;Péritonite tuberculeuse (A18.3);;;;;0
K678;ATTEINTES PERIT. NCA, AVEC MAL. INFECT. CL. AILL.;Autres atteintes péritonéales au cours de maladies infectieuses classées ailleurs;;;;;0
K70;MAL. ALCOOLIQUE DU FOIE;Maladie alcoolique du foie;;;;;0
K700;CIRRHOSE ALCOOLIQUE GRAISSEUSE DU FOIE;Cirrhose alcoolique graisseuse du foie;;;;;0
K701;HEPATITE ALCOOLIQUE;Hépatite alcoolique;;;;;0
K702;FIBROSE ET SCLEROSE ALCOOLIQUE DU FOIE;Fibrose et sclérose alcoolique du foie;;;;;0
K703;CIRRHOSE ALCOOLIQUE;Cirrhose alcoolique (du foie);;;;;0
K704;INSUF. HEPATIQUE ALCOOLIQUE;Insuffisance hépatique alcoolique;;;;;0
K709;MAL. ALCOOLIQUE DU FOIE, SAI;Maladie alcoolique du foie, sans précision;;;;;0
K71;MAL. TOXIQUE DU FOIE;Maladie toxique du foie;;;;;0
K710;MAL. TOXIQUE DU FOIE AVEC CHOLESTASE;Maladie toxique du foie avec cholestase;;;;;0
K711;MAL. TOXIQUE DU FOIE AVEC NECROSE HEPATIQUE;Maladie toxique du foie avec nécrose hépatique;;;;;0
K712;MAL. TOXIQUE DU FOIE AVEC HEPATITE AIG.;Maladie toxique du foie avec hépatite aiguë;;;;;0
K713;MAL. TOXIQUE DU FOIE AVEC HEPATITE CHRON. PERSISTANTE;Maladie toxique du foie avec hépatite chronique persistante;;;;;0
K714;MAL. TOXIQUE DU FOIE AVEC HEPATITE CHRON. LOBULAIRE;Maladie toxique du foie avec hépatite chronique lobulaire;;;;;0
K715;MAL. TOXIQUE DU FOIE AVEC HEPATITE CHRON. ACTIVE;Maladie toxique du foie avec hépatite chronique active;;;;;0
K716;MAL. TOXIQUE DU FOIE AVEC HEPATITE, NCA;Maladie toxique du foie avec hépatite, non classée ailleurs;;;;;0
K717;MAL. TOXIQUE DU FOIE AVEC FIBROSE ET CIRRHOSE DU FOIE;Maladie toxique du foie avec fibrose et cirrhose du foie;;;;;0
K718;MAL. TOXIQUE DU FOIE AVEC D'AUTRES LES. DU FOIE;Maladie toxique du foie avec d'autres lésions du foie;;;;;0
K719;MAL. TOXIQUE DU FOIE, SAI;Maladie toxique du foie, sans précision;;;;;0
K72;INSUF. HEPATIQUE, NCA;Insuffisance hépatique, non classée ailleurs;;;;;0
K720;INSUF. HEPATIQUE AIG. ET SUBAIG.;Insuffisance hépatique aiguë et subaiguë;;;;;0
K721;INSUF. HEPATIQUE CHRON.;Insuffisance hépatique chronique;;;;;0
K729;INSUF. HEPATIQUE, SAI;Insuffisance hépatique, sans précision;;;;;0
K73;HEPATITE CHRON., NCA;Hépatite chronique, non classée ailleurs;;;;;0
K730;HEPATITE CHRON. NCA, PERSISTANTE;Hépatite chronique persistante, non classée ailleurs;;;;;0
K731;HEPATITE CHRON. NCA, LOBULAIRE;Hépatite chronique lobulaire, non classée ailleurs;;;;;0
K732;HEPATITE CHRON. NCA, ACTIVE;Hépatite chronique active, non classée ailleurs;;;;;0
K738;HEPATITES CHRON., NCA;Autres hépatites chroniques, non classées ailleurs;;;;;0
K739;HEPATITE CHRON., SAI;Hépatite chronique, sans précision;;;;;0
K74;FIBROSE ET CIRRHOSE DU FOIE;Fibrose et cirrhose du foie;;;;;0
K740;FIBROSE HEPATIQUE;Fibrose hépatique;;;;;0
K741;SCLEROSE HEPATIQUE;Sclérose hépatique;;;;;0
K742;FIBROSE HEPATIQUE, AVEC SCLEROSE HEPATIQUE;Fibrose hépatique, avec sclérose hépatique;;;;;0
K743;CIRRHOSE BIL. PRIMITIVE;Cirrhose biliaire primitive;;;;;0
K744;CIRRHOSE BIL. IIre.;Cirrhose biliaire secondaire;;;;;0
K745;CIRRHOSE BIL., SAI;Cirrhose biliaire, sans précision;;;;;0
K746;CIRRHOSES, NCA OU SAI;Cirrhoses (du foie), autres et sans précision;;;;;0
K75;MAL. INFL. DU FOIE, NCA;Autres maladies inflammatoires du foie;;;;;0
K750;ABCES DU FOIE;Abcès du foie;;;;;0
K751;PHLEBITE DE LA VEINE PORTE;Phlébite de la veine porte;;;;;0
K752;HEPATITE REACTIVE NON SPECIFIQUE;Hépatite réactive non spécifique;;;;;0
K753;HEPATITE GRANULOMATEUSE, NCA;Hépatite granulomateuse, non classée ailleurs;;;;;0
K754;HEPATITE AUTO-IMMUNE;Hépatite auto-immune;;;;;0
K758;MAL. INFL. PREC. DU FOIE, NCA;Autres maladies inflammatoires précisées du foie;;;;;0
K759;MAL. INFL. DU FOIE, SAI;Maladie inflammatoire du foie, sans précision;;;;;0
K76;MAL. DU FOIE, NCA;Autres maladies du foie;;;;;0
K760;DEGEN. GRAISSEUSE DU FOIE, NCA;Dégénérescence graisseuse du foie, non classée ailleurs;;;;;0
K761;CONGESTION PASSIVE CHRON. DU FOIE;Congestion passive chronique du foie;;;;;0
K762;NECROSE HEMORR. CENTRALE DU FOIE;Nécrose hémorragique centrale du foie;;;;;0
K763;INFARCTUS HEPATIQUE;Infarctus hépatique;;;;;0
K764;PELIOSE HEPATIQUE;Péliose hépatique;;;;;0
K765;MAL. VEINO-OCCLUSIVE DU FOIE;Maladie veino-occlusive du foie;;;;;0
K766;HYPERTENSION PORTALE;Hypertension portale;;;;;0
K767;SYND. HEPATO-RENAL;Syndrome hépato-rénal;;;;;0
K768;MAL. PREC. DU FOIE, NCA;Autres maladies précisées du foie;;;;;0
K769;MAL. DU FOIE, SAI;Maladie du foie, sans précision;;;;;0
K77;ATTEINTES HEPATIQUES AVEC MAL. CL. AILL.;Atteintes hépatiques au cours de maladies classées ailleurs;;;;;0
K770;ATTEINTES HEPATIQUES AVEC MAL. INFECT. ET PARASIT. CL. AILL.;Atteintes hépatiques au cours de maladies infectieuses et parasitaires classées ailleurs;;;;;0
K778;ATTEINTES HEPATIQUES AVEC AUTRES MAL. CL. AILL.;Atteintes hépatiques au cours d'autres maladies classées ailleurs;;;;;0
K80;CHOLELITHIASE;Cholélithiase;;;;;0
K800;CALCUL DE LA VESICULE BIL. AVEC CHOLECYSTITE AIG.;Calcul de la vésicule biliaire avec cholécystite aiguë;;;;;0
K801;CALCUL DE LA VESICULE BIL. AVEC UNE AUTRE FORME DE CHOLECYSTITE;Calcul de la vésicule biliaire avec une autre forme de cholécystite;;;;;0
K802;CALCUL DE LA VESICULE BIL., SAI;Calcul de la vésicule biliaire (sans cholécystite);;;;;0
K803;CALCUL DES CANAUX BIL. AVEC ANGIOCHOLITE;Calcul des canaux biliaires avec angiocholite;;;;;0
K804;CALCUL DES CANAUX BIL. AVEC CHOLECYSTITE;Calcul des canaux biliaires avec cholécystite;;;;;0
K805;CALCUL DES CANAUX BIL. SAI;Calcul des canaux biliaires (sans angiocholite ni cholécystite);;;;;0
K808;CHOLELITHIASES, NCA;Autres cholélithiases;;;;;0
K81;CHOLECYSTITE;Cholécystite;;;;;0
K810;CHOLECYSTITE AIG.;Cholécystite aiguë;;;;;0
K811;CHOLECYSTITE CHRON.;Cholécystite chronique;;;;;0
K818;CHOLECYSTITES, NCA;Autres cholécystites;;;;;0
K819;CHOLECYSTITE, SAI;Cholécystite, sans précision;;;;;0
K82;MAL. DE LA VESICULE BIL., NCA;Autres maladies de la vésicule biliaire;;;;;0
K820;OCCLUSION DE LA VESICULE BIL.;Occlusion de la vésicule biliaire;;;;;0
K821;HYDROCHOLECYSTE;Hydrocholécyste;;;;;0
K822;PERFO. DE LA VESICULE BIL.;Perforation de la vésicule biliaire;;;;;0
K823;FISTULE DE LA VESICULE BIL.;Fistule de la vésicule biliaire;;;;;0
K824;CHOLESTEROLOSE DE LA VESICULE BIL.;Cholestérolose de la vésicule biliaire;;;;;0
K828;MAL. PREC. DE LA VESICULE BIL., NCA;Autres maladies précisées de la vésicule biliaire;;;;;0
K829;MAL. DE LA VESICULE BIL., SAI;Maladie de la vésicule biliaire, sans précision;;;;;0
K83;MAL. DES VOIES BIL., NCA;Autres maladies des voies biliaires;;;;;0
K830;ANGIOCHOLITE;Angiocholite [cholangite];;;;;0
K831;OBSTRU. DES VOIES BIL.;Obstruction des voies biliaires;;;;;0
K832;PERFO. DES VOIES BIL.;Perforation des voies biliaires;;;;;0
K833;FISTULE DES VOIES BIL.;Fistule des voies biliaires;;;;;0
K834;SPASME DU SPHINCTER D'ODDI;Spasme du sphincter d'Oddi;;;;;0
K835;KYSTE BIL.;Kyste biliaire;;;;;0
K838;MAL. PREC. DES VOIES BIL., NCA;Autres maladies précisées des voies biliaires;;;;;0
K839;MAL. DES VOIES BIL., SAI;Maladie des voies biliaires, sans précision;;;;;0
K85;PANCREATITE AIG.;Pancréatite aiguë;;;;;0
K850;PANCREATITE AIG. IDIOP.;Pancréatite aiguë idiopathique;;;;;0
K851;PANCREATITE AIG. BIL.;Pancréatite aiguë d'origine biliaire;;;;;0
K852;PANCREATITE AIG. ALCOOLIQUE;Pancréatite aiguë d'origine alcoolique;;;;;0
K853;PANCREATITE AIG. MEDIC.;Pancréatite aiguë médicamenteuse;;;;;0
K858;PANCREATITES AIG., NCA;Autres pancréatites aiguës;;;;;0
K859;PANCREATITE AIG., SAI;Pancréatite aiguë, sans précision;;;;;0
K86;MAL. DU PANCREAS, NCA;Autres maladies du pancréas;;;;;0
K860;PANCREATITE CHRON. ALCOOLIQUE;Pancréatite chronique alcoolique;;;;;0
K861;PANCREATITES CHRON., NCA;Autres pancréatites chroniques;;;;;0
K861+0;PANCREATITE CHRONIQUE HEREDITAIRE;Pancréatite chronique héréditaire;01JAN2009:00:00:00;ATIH;Subdivision de libellé;;0
K861+8;PANCREATITES CHRONIQUES, AUTRES ET NON PRECISEES;Pancréatites chroniques, autres et non précisées;01JAN2009:00:00:00;ATIH;Subdivision de libellé;;0
K862;KYSTE DU PANCREAS;Kyste du pancréas;;;;;0
K863;PSEUDOKYSTE DU PANCREAS;Pseudokyste du pancréas;;;;;0
K868;MAL. PREC. DU PANCREAS, NCA;Autres maladies précisées du pancréas;;;;;0
K869;MAL. DU PANCREAS, SAI;Maladie du pancréas, sans précision;;;;;0
K87;ATTEINTES VESIC. BIL., VOIES BIL. ET PANCREAS AVEC MAL. CL. AILL.;Atteintes de la vésicule biliaire, des voies biliaires et du pancréas au cours de maladies classées ailleurs;;;;;0
K870;ATTEINTE DE LA VESICULE BIL. ET DES VOIES BIL. AVEC MAL. CL. AILL.;Atteinte de la vésicule biliaire et des voies biliaires au cours de maladies classées ailleurs;;;;;0
K8700;CHOLANGITE A CYTOMEGALOVIRUS;Cholangite à cytomégalovirus (B25.8);;;;;0
K8708;ATTEINTE VESICULE BIL., VOIES BIL. AVEC AUTRES MAL. CL. AILL.;Atteintes de la vésicule biliaire et des voies biliaires au cours d'autres maladies classées ailleurs;;;;;0
K871;ATTEINTE DU PANCREAS AVEC MAL. CL. AILL.;Atteinte du pancréas au cours de maladies classées ailleurs;;;;;0
K90;MALABS. INTEST.;Malabsorption intestinale;;;;;0
K900;MAL. COELIAQUE;Maladie coeliaque;;;;;0
K901;SPRUE TROPICALE;Sprue tropicale;;;;;0
K902;SYND. DE L'ANSE BORGNE, NCA;Syndrome de l'anse borgne, non classé ailleurs;;;;;0
K903;STEATORRHEE PANCREATIQUE;Stéatorrhée pancréatique;;;;;0
K904;MALABS. DUE A UNE INTOLERANCE, NCA;Malabsorption due à une intolérance, non classée ailleurs;;;;;0
K908;MALABS. INTEST., NCA;Autres malabsorptions intestinales;;;;;0
K909;MALABS. INTEST., SAI;Malabsorption intestinale, sans précision;;;;;0
K91;ATTEINTES DE L'APP. DIG. NCA, APRES UN ACTE;Atteintes de l'appareil digestif après un acte à visée diagnostique et thérapeutique, non classées ailleurs;;;;;0
K910;VOMISSEMENTS CONSEC. A UNE Itv. GASTRO-INTEST.;Vomissements consécutifs à une intervention gastro-intestinale;;;;;0
K911;SYND. CONSEC. A UNE Itv. GASTRIQUE;Syndromes consécutifs à une intervention gastrique;;;;;0
K912;MALABS. POST-CHIR., NCA;Malabsorption post-chirurgicale, non classée ailleurs;;;;;0
K913;OCCLUSION INTEST. POST-OP., NCA;Occlusion intestinale post-opératoire, non classée ailleurs;;;;;0
K914;MAUVAIS RESULT. Fct. D'UNE COLOSTOMIE ET D'UNE ENTEROSTOMIE;Mauvais résultats fonctionnels d'une colostomie et d'une entérostomie;;;;;0
K915;SYND. POST-CHOLECYSTECTOMIE;Syndrome post-cholécystectomie;;;;;0
K918;ATTEINTES DE L'APP. DIG. NCA, APRES UN ACTE;Autres atteintes de l'appareil digestif après un acte à visée diagnostique et thérapeutique, non classées ailleurs;;;;;0
K919;ATTEINTE DE L'APP. DIG. SAI, APRES UN ACTE;Atteinte de l'appareil digestif après un acte à visée diagnostique et thérapeutique, sans précision;;;;;0
K92;MAL. DU SYST. DIG., NCA;Autres maladies du système digestif;;;;;0
K920;HEMATEMESE;Hématémèse;;;;;0
K921;MELAENA;Mélæna;;;;;0
K922;HEMORR. GASTRO-INTEST., SAI;Hémorragie gastro-intestinale, sans précision;;;;;0
K928;MAL. PREC. DU SYST. DIG., NCA;Autres maladies précisées du système digestif;;;;;0
K929;MAL. DU SYST. DIG., SAI;Maladie du système digestif, sans précision;;;;;0
K93;ATTEINTES D'AUTRES ORG. DE L'APP. DIG. AVEC MAL. CL. AILL.;Atteintes d'autres organes de l'appareil digestif au cours de maladies classées ailleurs;;;;;0
K930;ATTEINTES TUBERC. DE L'INTESTIN, DU PERITOINE ET DES Ggl. MESENT.;Atteintes tuberculeuses de l'intestin, du péritoine et des ganglions mésentériques (A18.3);;;;;0
K931;MEGACOLON AVEC LA MAL. DE CHAGAS;Mégacôlon au cours de la maladie de Chagas (B57.3);;;;;0
K938;ATTEINTES D'AUTRES ORG. DIG. PREC. AVEC MAL. CL. AILL.;Atteintes d'autres organes digestifs précisés au cours de maladies classées ailleurs;;;;;0
K9380;ATTEINTES DE LA CAVITE BUCCALE AVEC MAL. CL. AILL.;Atteintes de la cavité buccale au cours de maladies classées ailleurs;;;;;0
K9381;ATTEINTES DE L'ESTOMAC AVEC MAL. CL. AILL.;Atteintes de l'estomac au cours de maladies classées ailleurs;;;;;0
K9382;ATTEINTES DE L'INTESTIN AVEC MAL. CL. AILL.;Atteintes de l'intestin au cours de maladies classées ailleurs;;;;;0
K93820;COLITE A CYTOMEGALOVIRUS;Colite à cytomégalovirus (B25.8);;;;;0
J393;REAC. ANAPHYL. DES VOIES RESP. SUP., LOC. SAI;Réaction anaphylactique des voies respiratoires supérieures, localisation non précisée;;;;;0
J398;MAL. DES VOIES RESP. SUP. PREC., NCA;Autres maladies des voies respiratoires supérieures précisées;;;;;0
J399;MAL. DES VOIES RESP. SUP., SAI;Maladie des voies respiratoires supérieures, sans précision;;;;;0
J40;BRONCHITE, SAI;Bronchite, (non précisée comme aiguë ou chronique);;;;;0
J41;BRONCHITE CHRON. SIMPLE ET MUCOPURULENTE;Bronchite chronique simple et mucopurulente;;;;;0
J410;BRONCHITE CHRON. SIMPLE;Bronchite chronique simple;;;;;0
J411;BRONCHITE CHRON. MUCOPURULENTE;Bronchite chronique mucopurulente;;;;;0
J418;BRONCHITE CHRON. SIMPLE ET MUCOPURULENTE;Bronchite chronique simple et mucopurulente;;;;;0
J42;BRONCHITE CHRON., SAI;Bronchite chronique, sans précision;;;;;0
J43;EMPHYSEME;Emphysème;;;;;0
J430;SYND. DE MACLEOD;Syndrome de MacLeod;;;;;0
J431;EMPHYSEME PANLOBULAIRE;Emphysème panlobulaire;;;;;0
J432;EMPHYSEME CENTRO-LOBULAIRE;Emphysème centro-lobulaire;;;;;0
J438;EMPHYSEMES, NCA;Autres emphysèmes (pulmonaires);;;;;0
J439;EMPHYSEME, SAI;Emphysème (pulmonaire), sans précision;;;;;0
J44;MAL. PULM. OBSTRU. CHRON., NCA;Autres maladies pulmonaires obstructives chroniques;;;;;0
J440;MAL. PULM. OBSTRU. CHRON. AVEC INFECT. AIG. DES VOIES RESP. INF.;Maladie pulmonaire obstructive chronique avec infection aiguë des voies respiratoires inférieures;;;;;0
J441;MAL. PULM. OBSTRU. CHRON. AVEC EPISODES AIG., SAI;Maladie pulmonaire obstructive chronique avec épisodes aigus, sans précision;;;;;0
J448;MAL. PULM. OBSTRU. CHRON. PREC., NCA;Autres maladies pulmonaires obstructives chroniques précisées;;;;;0
J449;MAL. PULM. OBSTRU. CHRON., SAI;Maladie pulmonaire obstructive chronique, sans précision;;;;;0
J45;ASTHME;Asthme;;;;;0
J450;ASTHME A PREDOMINANCE ALLERGIQUE;Asthme à prédominance allergique;;;;;0
J451;ASTHME NON ALLERGIQUE;Asthme non allergique;;;;;0
J458;ASTHME ASSOCIE;Asthme associé;;;;;0
J459;ASTHME, SAI;Asthme, sans précision;;;;;0
J46;ETAT DE MAL ASTHMATIQUE;État de mal asthmatique;;;;;0
