ACTE;LIB_ACTE
1033;DIAGNOSTIC D'UNE INFECTION A C. DIFFICILE LE DIAGNOSTIC D'UNE INFECTION A C. DIFFICILE S'INSCRIT DA
1054;CICLOSPORINE A (SANDIMMUN) (SANG)
1101;MYELOGRAMME(MEDULLOGR) ADENOGRAMME OU SPLENOGRAMME
1102;ETUDE COMPLEMENTAIRE DE CYTOCHIMIE (MOELLE OU SANG)
1103;PHENOTYPAGE DES CELLULES ANORMALES (MOELLE OU SANG)
1104;HEMOGRAMME Y COMPRIS PLAQUETTES (NFS , NFP)
1105;DIAGNOSTIC  HEMOPATHIE MALIGNE (MOELLE OU SANG)
1106;SUIVI HEMOPATHIE MALIGNE CONNUE (MOELLE OU SANG)
1107;ETUDE ISOLEE DES PLAQUETTES (THROMBOCYTES). NUMERATION DES PLAQUETTES : EN CAS D'ANOMALIE L'EXAMEN
1109;RETICULOCYTES (RC) : NUMERATION
1110;CORPS DE HEINZ : RECHERCHE
1111;DREPANOCYTES : RECHERCHE
1112;RESISTANCE GLOBULAIRE OSMOTIQUE
1113;ELECTROPHORESE DE L'HEMOGLOBINE (GEL POLYACRYLAMIDE)
1114;ELECTROPHORESE DE L'HEMOGLOBINE (CITRATE AGAR)
1115;TEST SOLUBILITE DE L'HEMOGLOBINE (ITANO , FALCIFORMATION)
1118;HEMOGLOBINE F : DOSAGE
1119;RECH. HEMOGLOBINURIE NOCTURNE PAROXYSTIQUE
1120;RECH. ANOMALIE DE L'HEMOGLOBINE (3 TECHNIQUES MIN.)
1122;LYMPHOCYTES HELPERS/SUPPRESSEURS (CD4, CD8, CD3 ...)
1123;PROTOPORPHYRINES ZINC (PPZ)
1124;VITESSE DE SEDIMENTATION (VS)
1125;HEMATOZOAIRES : RECHERCHE SUR FROTTIS ET EN GOUTTE EPAISSE
1126;RECHERCHE ET IDENTIFICATION DES AUTRES PARASITES SANGUICOLES OU TISSULAIRES. POUR LA RECHERCHE DE P
1127;TEMPS DE CEPHALINE + ACTIVATEUR (TCA) QUEL QUE SOIT    LE NOMBRE DE REACTIFS UTILISES. RENDRE LE RES
1128;EXPLORATION DE BASE DE L'HEMOSTASE COMPRENANT    NUMERATION DES PLAQUETTES, MESURE DU TEMPS DE QUICK
1131;RAI : IDENTIFICATION
1132;CALCITONINE
1133;ALBUMINE (ALBUMINURIE) : DOSAGE LA PRISE EN CHARGE DE CET EXAMEN PAR L'ASSURANCE MALADIE EST LIMITE
1134;ANDROSTENEDIONE
1135;17-OH-PROGESTERONE
1136;TESTOSTERONE (FEMME ET ENFANT)
1137;C-PEPTIDE DANS LE SANG
1138;OSTEOCALCINE
1139;DOSAGE DE LA 25-(OH)-VITAMINE D (D2 +  D3)  LA PRISE    EN  CHARGE DE CET ACTE EST  LIMITEE AUX SITU
1140;GROUPAGE SANGUIN ABO-RH (D) (GS)
1141;RECHERCHE D'ANTICORPS IRREGULIERS (RAI) VIS-A-VIS DES  ANTIGENES DE GROUPES SANGUINS ERYTHROCYTAIRES
1145;PHENOTYPES RH (C, C, E, E)  ET KELL (K)
1146;AG ERYTHROC. (CW, KIDD, DUFFY, S, S ...) CHAQUE AG
1149;RAI : TITRAGE D'UN ANTICORPS IDENTIFIE
1150;RAI : DOSAGE PONDERAL D'UN ANTICORPS
637;UR. : PORPHYRINES : RECHERCHE
665;ANTIDEPRESSEURS : DOSAGE SPECIFIQUE DANS UN AUTRE LIQUIDE BIOLOGIQUE QUE LE SANG
990;UR. : ACIDES AMINES LIBRES CARACTERISATION PAR CHROMATOGRAPHIE
1151;AC IMMUNS DU SYSTEME ABO : DEPISTAGE ET TITRAGE
1152;EPREUVE DIRECTE COMPATIBILITE POUR CHAQUE UNITE SANG
1153;TEST DIRECT DE COOMBS (ANTIGLOBULINE POLYVALENTE)
1154;TEST DIRECT DE COOMBS (ANTIGLOBULINE SPECIFIQUE)
1155;EPREUVE D'ELUTION D'ANTICORPS A PARTIR DE GR
1156;EPREUVE D'ABSORPTION D'ANTICORPS SUR GR
1180;GROUPAGES TISSULAIRES : PHENOTYPE HLA  CLASSE I DANS LE CADRE DES MALADIES  AUTO-IMMUNES NECESSITAN
1181;GROUPAGES TISSULAIRES : PHENOTYPE HLA CLASSE II
1183;IMMUNCOMPLEXES CIRCULANTS (ICC, CIC) (SANG)
1200;DOSAGE DES IGE TOTALES SERIQUES  EXCLUSIVEMENT, A L'EXCEPTION DES  TECHNIQUES UTILISANT DES SUPPORT
1201;RECHERCHE D'IGE SPECIFIQUES SANS IDENTIFICATION   INDIVIDUELLE : RECHERCHE DE PNEUMALLERGENES
1202;RECHERCHE D'IGE SPECIFIQUES SANS  IDENTIFICATION   INDIVIDUELLE : RECHERCHE  DE TROPHALLERGENES
1203;TEST UNITAIRE VIS-A-VIS D'ALLERGENES  MULTIPLES SEPARES DANS UN MEME REACTIF  OU SUR UN MEME SUPPOR
1204;PNEUMALLERGENES : IDENTIFICATION AVEC  DOSAGE   QUANTITATIF DES IGE SPECIFIQUES  VIS-A-VIS   D'ALLE
1205;TROPHALLERGENES : IDENTIFICATION AVEC  DOSAGE   QUANTITATIF DES IGE SPECIFIQUES  VIS-A-VIS   D'ALLE
1206;TRIIODOTHYRONINE LIBRE (T3 LIBRE OU FT3) (SANG)
1207;THYROXINE LIBRE (T4 LIBRE OU FT4) (SANG)
1208;T.S.H. EXAMEN DE DIAGNOSTIC D'UNE DYSTHYROIDIE DE    PREMIERE  INTENTION OU EXAMEN DE SUIVI THERAPEU
1209;T3 LIBRE + T4 LIBRE (SANG)
1210;T.S.H. + T3 LIBRE (SANG)
1211;T.S.H. + T4 LIBRE. EXAMEN DE DIAGNOSTIC D'UNE   DYSTHYROIDIE DE  DEUXIEME INTENTION OU EXAMEN DE
1212;T.S.H. + T3 LIBRE + T4 LIBRE. EXAMEN DE DIAGNOSTIC   D'UNE  DYSTHYROIDIE DE DEUXIEME INTENTION OU EX
1213;FERRITINE COTATION NON CUMULABLE AVEC CELLE DE L'ACTE   1822 EN CAS DE SUSPICION DE CARENCE MARTIALE
1241;MYCOBACTERIES : ISOLEMENT RAPIDE A PARTIR CRACHATS,TUBAGES,UR,LIQ..
1242;MYCOBACTERIES : ISOLEMENT RAPIDE A PARTIR ORGANE, SANG
1246;MYCOPLASMOSES RESPIRATOIRES : SERODIAGNOSTIC : IGG PAR EIA
1247;MYCOPLASMOSES RESPIRATOIRES : SERODIAGNOSTIC : IGM PAR EIA
1248;FIEVRE Q (COXIELLA BURNETTI) : SERODIAGNOSTIC : TITRAGE AVEC UN ANTIGENE DE PHASE II (IFI)
1249;FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET
1250;WESTERN  BLOT OU IMMUNO BLOT IG G                    LE BIOLOGISTE  REALISE  SYSTEMATIQUEMENT L'EXAM
1251;WESTERN BLOT OU IMMUNO BLOT IG M  LA PRISE EN CHARGE EST LIMITEE A LA RECHERCHE CHEZ  L'ENFANT D'UN
1252;MALADIE DES GRIFFES DU CHAT (BARTONELLOSES-INFECTIONS A BARTONELLA HENSELAE ET BARTONELLA QUINTANA)
1253;ARBOVIROSES (AUTRES QUE LES INFECTIONS PAR LES VIRUS DE LA DENGUE OU DU CHIKUNGUNYA) RECHERCHE DE
1254;INFECTION PAR LE VIRUS DU CHIKUNGUNYA RECHERCHE DES IGM ET DES IGG PAR EIA A REALISER UNIQUEMENT E
1255;INFECTION PAR LES VIRUS DE LA DENGUE - RECHERCHE DES IGG ET DES IGM PAR EIA A REALISER UNIQUEMENT
1256;TEST TREPONEMIQUE (TT) : RECHERCHE DES IG  TOTAUX PAR  EIA LA PRISE EN CHARGE DE CET ACTE EST LIMITE
1257;EN CAS D'ACTE 1256 POSITIF, TEST NON TREPONEMIQUE   (TNT) AVEC TITRAGE  (VDRL, RPR, ..) SI LE TEST 1
1258;EN CAS DE SUSPICION DE SEROCONVERSION,  NOUVEAU TNT
1259;EN CAS DE SUIVI THERAPEUTIQUE, TNT AVEC  TITRAGE :  EXAMEN PRECEDENT + EXAMEN ITERATIF LA PRISE EN C
1301;BORRELIOSE (LYME) : SERODIAGNOSTIC DE  DEPISTAGE DES ANTICORPS TOTAUX OU IGG  ET/OU IGM (IFI OU EIA
1302;BORRELIOSE (LYME) : SERODIAGNOSTIC DE CONTROLE (WB OU RIPA OU IMMUNO-TRANSFERT)
1305;BRUCELLOSES : SERODIAGNOSTIC (WRIGHT,  ROSE BENGALE)
1307;SEROLOGIE DE CHLAMYDIA TRACHOMATIS (IGG CHEZ L'ADULTE OU IGM CHEZ LE NOUVEAU NE OU LE NOURRISSON).
1308;INFECTIONS PULMONAIRES A CHLAMYDIA  PNEUMONIAE : SERODIAGNOSTIC
1309;INFECTIONS PULMONAIRES A CHLAMYDIA  PSITTACI : SERODIAGNOSTIC
1310;INFECTIONS A CAMPYLOBACTER :  SERODIAGNOSTIC
1311;INFECTIONS A HELICOBACTER PYLORI :  SERODIAGNOSTIC
1313;MYCOPLASMOSES RESPIRATOIRES :  SERODIAGNOSTIC AVEC ANTICORPS TOTAUX  PAR RFC OU AGG
1316;FIEVRE Q (COXIELLA BURNETTI) :  SERODIAGNOSTIC DE DEPISTAGE AVEC UN  ANTIGENE DE PHASE II (IFI)
1317;RICKETTSIOSES (RICKETTSIA CONORII,  RICKETTSIA TYPHI) : SERODIAGNOSTIC DE  DEPISTAGE (IFI)
1318;RICKETTSIOSES (RICKETTSIA CONORII,  RICKETTSIA TYPHI) : SERODIAGNOSTIC :  TITRAGE SUR AU MOINS 2 AN
1319;SALMONELLOSES : SD (TAB OU WIDAL ET FELIX)
1323;STREPTOCOCCIES : UNE ANTI-ENZYME  STREPTOCOCCIQUE
1324;STREPTOCOCCIES : ANTI-ENZYMES STREPTOCOCCIQUES (2 OU PLUSIEURS)
1326;SYPHILIS : SERODIAGNOSTIC DE DEPISTAGE
1327;SYPHILIS : SERODIAGNOSTIC : TITRAGES
1330;RECHERCHE DES IG M CHEZ L'ENFANT PAR EIA LA PRISE EN    CHARGE DE L'ACTE 1330 EST LIMITEE A LA  RECH
1331;MALADIE DES GRIFFES DU CHAT  (BARTONELLOSES-INFECTIONS A BARTONELLA  HENSELAE ET BARTONELLA QUINTAN
1332;TETANOS : SERODIAGNOSTIC PAR EIA
1333;TULAREMIE : SERODIAGNOSTIC PAR AGG
1334;YERSINIOSES : SERODIAGNOSTIC AVEC 1  SEUL ANTIGENE (AGG OU RFC)
1335;YERSINIOSES : SERODIAGNOSTIC AVEC TROIS  ANTIGENES ET PLUS (AGG OU RFC)
1336;LEGIONELLOSES : SERODIAGNOSTIC DE  DEPISTAGE
1337;LEGIONELLOSES : SERODIAGNOSTIC :  TITRAGE AVEC SIX ANTIGENES ET PLUS
1374;VITAMINE B 12
1376;CICLOSPORINE APRES CHROMATOGRAPHIE (SANDIMMUN) (SANG)
1377;DOSAGE D'UN AUTRE IMMUNOSUPPRESSEUR (TACROLIMUS,   SIROLIMUS, EVEROLIMUS...)
1385;IGA + IGG + IGM. L'EXAMEN 1385 PEUT ETRE EFFECTUE ET   COTE A L'INITIATIVE DU DIRECTEUR DE LABORATOI
1387;FOLATES SERIQUES OU ERYTHROCYTAIRES. UNE SEULE   COTATION PAR PATIENT.
1392;IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 1 PARAMETRE : DOSAGE
1393;IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 2 PARAMETRES : DOSAGE
1394;IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4, 3 PARAMETRES OU PLUS : DOSAGES
1414;TEST AU XYLOSE COMPRENANT UN MINIMUM DE DEUX DOSAGES SANGUINS. LE COMPTE RENDU DEVRA PRECISER L'EX
1415;DETERMINATION DE LA CLAIRANCE DE L'ALPHA 1 ANTITRYPSINE, PAR DETERMINATION DES CONCENTRATIONS SERI
1416;DOSAGE DE L'ALPHA 1 ANTITRYPSINE  FECALE. LE LABORATOIRE QUI EXECUTE L'ACTE DEVRA SYSTEMATIQUEMENT
1417;EXAMEN MICROSCOPIQUE DIRECT ET APRES COLORATION PERMETTANT D'IDENTIFIER LES DIFFERENTES CATEGORIES
1419;DETERMINATION ELECTROMETRIQUE DU PH.
1420;RECHERCHE D'ANTICORPS SPECIFIQUES ANTI-TOXOPLASMA  DANS LE CADRE DU DEPISTAGE, DU DIAGNOSTIC ET DE L
1421;DEUXIEME PRELEVEMENT POUR CONFIRMATION OU ETUDE DE LA  CINETIQUE DES IGG A REALISER DANS LES CAS SUI
1422;TOXOPLASMOSE CAS GENERAL : SUIVI : SD DE SURVEILLANCE  (2 ISOTYPES DIFFERENTS)
1423;TOXOPLASMOSE CAS GENERAL : SUIVI : SD DE CONTROLE (2  SERUMS EN PARALLELE)
1430;TOXOPLASMOSE GROSSESSE : DEPISTAGE : SD INITIAL (2  ISOTYPES DIFFERENTS)
1431;TOXOPLASMOSE GROSSESSE : DEPISTAGE : CONTROLE DU SD  INITIAL SUR AUTRE PREL.
1432;TOXOPLASMOSE GROSSESSE : SUIVI : SD DE SURVEILLANCE  (2 ISOTYPES DIFFERENTS)
1433;TOXOPLASMOSE GROSSESSE : SUIVI : SD DE CONTROLE (2  SERUMS EN PARALLELE)
1435;TOXOPLASMOSE GROSSESSE : INOCULATION SOURIS
1437;TOXOPLASMOSE NOUVEAU-NE : SD DE SURVEILLANCE PAR  PLUS. TECHN.
1451;MAI NSO:F. RHUMATOIDES GROUPE 1 : IG ANIMALES (WAALER-ROSE..)
1452;MAI NSO : F. RHUMATOIDES GROUPE 2 : IG HUMAINES (LATEX, ...)
1453;MAI NSO : AUTOAC ANTINUCLEAIRES (AAN) PAR IF SUR CELLULES HEP 2
1245;LEPTOSPIROSES : SERODIAGNOSTIC DE DEPISTAGE
1312;LEPTOSPIROSES : SERODIAGNOSTIC :  TITRAGE PAR MICRO-AGGLUTINATION-LYSE AU  MOINS 9 ANTIGENES
1260;RECHERCHE D'ANTICORPS ANTI-CMV RECHERCHE DES IGG ET    DES IGM : DANS LES CONTEXTES SUIVANTS :  A)SU
1261;TEST DE MESURE D'AVIDITE DES IGG CHEZ LA FEMME  ENCEINTE, POUR DATER  L'INFECTION, LORS D'UNE  SUSP
1427;TEST DE CONFIRMATION PAR IMMUNO-EMPREINTE. EN  PRESENCE DE RESULTATS EQUIVOQUES D'IGG   ANTI-TOXOPL
1428;TEST DE CONFIRMATION PAR UNE AUTRE  TECHNIQUE.  EN  PRESENCE DE RESULTATS EQUIVOQUES OU  POSITIFS D'
1438;CHEZ LA FEMME ENCEINTE TEST DE MESURE D'AVIDITE DES  IGG  ANTI-TOXOPLASMA POUR DATER L'INFECTION LOR
1439;LORS D'UNE SUSPICION DE TOXOPLASMOSE  CONGENITALE   (NOUVEAU-NE, ENFANT DE MOINS  DE UN AN) OU EN CA
1440;RECHERCHE D'ANTICORPS ANTI-STRONGYLOIDES STERCORALIS PAR 1 TECHNIQUE
1441;RECHERCHE DE MICROFILAIRES A L'ETAT FRAIS A PARTIR D'UN PRELEVEMENT SANGUIN OU D'UNE BIOPSIE CUTANEE
1454;MAI NSO : AC ANTI-ADN NATIF PAR IFI SUR SANG
1455;MAI NSO : AC ANTI-ADN NATIF PAR METH. MARQUEUR SUR SANG
1456;MAI NSO :  AC ANTIANTIGENES NUCLEAIRES SOLUBLES : DEPISTAGE
1457;MAI NSO :  AC ANTIANTIGENES NUCLEAIRES SOLUBLES : TITRAGE
1458;MAI NSO : AC ANTI-ADN DENATURE : TITRAGE
1459;MAI NSO : AC ANTIHISTONES : TITRAGE
1460;MAI NSO : AUTOAC ANTIPHOSPHOLIPIDES  (ANTICARDIOLIPINE, ...) : TITRAGE
1461;MAI NSO : AUTOAC ANTIMITOCHONDRIES DE TYPE 5 PAR IFI : TITRAGE
1462;MAI NSO : AUTOAC ANTICYTOPLASME DE PNN (ANCA) PAR IFI : TITRAGE
1463;MAI NSO : AUTOAC ANTICYTOPLASME DE PNN (ANCA) :T.MARQUEUR: SPECIFICITE
1465;HEPATOPATHIES : AUTOAC ANTITISSUS ET ANTINUCLEAIRES
1466;HEPATOPATHIES : AC ANTIMUSCLE LISSE : TITRAGE
1467;HEPATOPATHIES : AC ANTIMUSCLE LISSE : TYPAGE
1468;HEPATOPATHIES : AC ANTIACTINE : TITRAGE PAR T. MARQUEUR
1469;HEPATOPATHIES : AC ANTIMITOCHONDRIES : TITRAGE PAR IFI
1470;HEPATOPATHIES : AC ANTIMITOCHONDRIES : TITRAGE PAR T. MARQUEUR
1471;HEPATOPATHIES : AC ANTIMITOCHONDRIES : TYPAGE PAR IMMUNOBLOT
1472;HEPATOPATHIES : AC ANTIRETICULUM ENDOPLASMIQUE (LKM, ANTICYTOSOL)
1473;HEPATOPATHIES : AUTOAC ANTIMEMBRANE NUCLEAIRE : IDENT. CIBLES
1478;THROMBOPENIES : TEST DIRECT  MISE EN EVIDENCE IG ASSOC. AUX PLAQ. (DIXON, ...)
1479;THROMBOPENIES : AUTOAC ANTIPLAQ.  : IDENT. CIBLE IMMUNOCAPTURE MAIPA
1481;DIABETE INSULINODEPENDANT : TITRAGE DES  ANTICORPS ANTICELLULES D'ILOTS DE LANGERHANS DU PANCREAS P
1482;DIABETE INSULINODEPENDANT : TITRAGE DES AUTOANTICORPS ANTI-INSULINE PAR IMMUNO-PRECIPITATION D'INSU
1483;THYROIDE  : AUTOAC ANTITHYROGLOBULINE PAR HEMAGGLUTINATION
1484;THYROIDE  : AUTOAC ANTITHYROGLOBULINE PAR METH    MARQUEUR
1485;THYROIDE : AUTOAC ANTIMICROSOMES THYROIDIENS PAR  HEMAGGLUTINATION
1487;THYROIDE : AUTOAC ANTITHYROPEROXYDASE PAR METH   MARQUEUR
1488;THYROIDE : AUTOANTICORPS ANTIRECEPTEURS DE TSH. LA    RECHERCHE  D'AUTOANTICORPS ANTIRECEPTEURS DE L
1489;SURRENALES : AUTOAC ANTISURRENALE PAR IFI
1490;TRACTUS DIGESTIF : AUTOAC ANTICELLULES PARIETALES DE L'ESTOMAC PAR IFI
1491;TRACTUS DIGESTIF : AUTOAC ANTIFACTEUR INTRINSEQUE PAR METH MARQUEUR
1492;SYSTEME NERVEUX : AUTOAC ANTIRECEPTEURS DE L'ACETYLCHOLINE
1493;MAI : AUTOAC ANTIMEMBRANE BASALE D'EPITH. MALPIGHIEN
1494;MAI : AUTOAC ANTISUBSTANCE INTERCELL. D'EPITH. MALPIGHIEN PAR IFI
1495;MAI : AUTOAC CELLULES PRODUCTRICES DE STEROIDES PAR IFI
1496;MAI : AUTOAC ANTIMEMB. BASALE GLOMERUL. PAR IFI
1497;MAI : AUTOAC ANTIMEMB. BASALE GLOMERUL. PAR METH MARQUEUR
1498;MAI : AUTOAC SPECIF. D'AUTRES ORGANES PAR IFI
1500;RECHERCHE DES PIGMENTS BILIAIRES.
1501;DOSAGE D'ACIDES ORGANIQUES.
1502;DOSAGE D'AMMONIAQUE/DERIVES AMINES.
1504;MISE EN EVIDENCE D'UNE CONTAMINATION URINAIRE. CET ACTE COMPREND OBLIGATOIREMENT L'EXAMEN MICROSCO
1506;DOSAGE DE L'ELASTASE FECALE. CET ACTE EST INDIQUE DANS LE DIAGNOSTIC DES INSUFFISANCES PANCREATIQUE
1507;TEST A L'HYDROGENE EXPIRE : PRELEVEMENTS. RECUEIL D'AU MOINS 6 ECHANTILLONS D'AIR EXPIRE, AVANT ET
1508;TEST A L'HYDROGENE EXPIRE : MESURES. MESURE DE L'HYDROGENE EXPIRE DANS 6 ECHANTILLONS AU MOINS EN V
1510;AMYLASEMIE. POUR LES EXAMENS 1510 ET 1511, COTATION  MAXIMUM  DE DEUX DOSAGES SIMULTANES DANS DEUX M
1511;AMYLASE (AUTRE LIQUIDE BIOLOGIQUE). POUR LES EXAMENS 1510 ET 1511, COTATION MAXIMUM DE DEUX DOSAGES
1513;ALDOLASE (SANG)
1518;GLUCOSE-6-PHOSPHATE DESHYDROGENASE (G6PD) (SANG)
1519;LYSOZYME OU MURAMIDASE (URINE)
1520;CREATINE PHOSPHOKINASE (CPK)  LA COTATION DE L'ACTE 1520 N'EST  PAS  CUMULABLE AVEC CELLE DE LA TROP
1521;LACTATE DESHYDROGENASE (LDH) (AUTRE LIQUIDE BIOL QUE SANG)
1525;5'NUCLEOTIDASE (SANG)
1526;CREATINE PHOSPHOKINASE MB. LA COTATION DE L'ACTE 1526   N'EST PAS CUMULABLE AVEC CELLE DE LA TROPONI
1527;PYRUVATE KINASE (SANG)
1533;LYSOZYME OU MURAMIDASE (SANG)
1554;MAI NSO : AC ANTI-ADN NATIF PAR IFI SUR AUTRE LIQ BIOL QUE SANG
1555;MAI NSO : AC ANTI-ADN NATIF PAR METH. MARQUEUR SUR AUTRE LIQ BIOL QUE SANG
1571;RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION
1572;PROTEINOGRAMME 0570 ET TYPAGE 1571
1573;RECHERCHE DE CRYOGLOBULINES APRES SEPARATION EXTEMPORANEE DU SERUM A LA TEMPERATURE DE 37 C
1575;MYOGLOBINE (DOSAGE PAR METHODE IMMUNO-CHIMIQUE OU PAR AUTRE METHODE SPECIFIQUE) LE DOSAGE DE LA MY
1576;PROTEINES GLYQUEES (TYPE FRUCTOSAMINE OU AUTRE) : DOSAGE
1577;HBA1C : DOSAGE
1601;SANG : BILIRUBINE (BIL)
1602;SANG : APOLIPOPROTEINE B. L'ACTE EST INDIQUE DANS LES SITUATIONS SUIVANTES : - MALADIE GENETIQUES
1603;SANG : APOLIPOPROTEINE A1 L'ACTE EST INDIQUE DANS LES SITUATIONS SUIVANTES : - MALADIES GENETIQUES
1607;SANG : OSMOLARITE MESUREE
1608;POTASSIUM.
1609;SANG : IONOGRAMME (SODIUM + POTASSIUM +   EVENTUELLEMENT CHLORE)
1610;IONOGRAMME COMPLET. IL COMPORTE LA DETERMINATION     MINIMALE DU  POTASSIUM, DU SODIUM, DU CHLORE, D
1612;SANG : SATURATION EN OXYGENE (SAO2)
1613;LCR : PROTEINES TOTALES (PROTEINORACHIE)
1614;LCR : DOSAGE D'UNE PROTEINE
1615;LCR : DOSAGE DE DEUX PROTEINES OU PLUS
1616;LCR : RECHERCHE OU TYPAGE D'UNE DYSGLOBULINORACHIE MONOCLONALE OU  OLIGOCLONALE
1619;UR. : PROTEINURIE DE BENCE JONES:RECHERCHE ET IDENTIFICATION
1620;UR. : TYPAGE DE LA NATURE D'UNE  PROTEINURIE
1621;UR. : POTASSIUM ET SODIUM (IONOGRAMME, K + NA)
1622;EXAMEN PHYSIQUE COMPLET D'UNE SELLE, COMPORTANT AU MINIMUM LE POIDS MOYEN, LE POIDS SEC, UN EXAMEN
1624;DOSAGE DE L'AZOTE FECAL TOTAL. LE LABORATOIRE QUI EXECUTE L'ACTE DEVRA  SYSTEMATIQUEMENT ASSOCIER A
1626;IONOGRAMME FECAL (COMPORTANT AU MINIMUM LES DOSAGES DE CHLORE, DE SODIUM ET DE POTASSIUM AVEC CALCU
1627;OSMOLARITE FECALE MESUREE ET CALCUL DU TROU OSMOLAIRE. CET ACTE DOIT IMPERATIVEMENT ETRE PRATIQUE
1628;DETERMINATION DE L'ACTIVITE CHYMOTRYPSIQUE FECALE. DANS LE CAS D'UN TRAITEMENT PAR ENZYMOTHERAPIE,
1629;RECHERCHE DE SANG (HEMATIES ET/OU HEMOGLOBINE HUMAINE). TOUTE PRESCRIPTION EXPLICITE DE RECHERCHE
1630;FECALOGRAMME (OU COPROLOGIE  FONCTIONNELLE) : CETTE DETERMINATION  COMPREND AU MINIMUM LES EXAMENS
1632;CALCULS : ANALYSE  MORPHO-CONSTITUTIONNELLE DES CALCULS  PAR ANALYSE SEQUENTIELLE OPTIQUE ET  PHYS
1633;LIQUIDES DE SEROSITE : DOSAGE D'UNE  PROTEINE
1634;LIQUIDES DE SEROSITE : DOSAGE DE DEUX  PROTEINES OU PLUS
1635;EPREUVE DE LA SUEUR PAR METHODE PHYSICO-CHIMIQUE
1650;ANTIBIOTIQUE(AMINOSIDES,VANCOMYCINE,...) : UN DOSAGE (SANG)
1651;ANTIBIOTIQUE (AMINOSIDES,VANCOMYCINE,...):DEUX DOSAGES DU MEME (SANG)
1652;ISONIAZIDE (INH , RIMIFON) (SANG)
1653;ISONIAZIDE (INH,RIMIFON)ET SON METABOLITE (SANG)
1655;METHOTREXATE (SANG)
1657;ANTITUMORAUX (AUTRES QUE METHOTREXATE) (SANG)
1658;CAFEINE (EN PEDIATRIE)
1659;DOSAGE D'ANALGESIQUES OU DE STUPEFIANTS NON NOMMEMENT INSCRITS A LA NABM DANS LE SANG. CET EXAMEN
1660;ACIDE SALICYLIQUE : DOSAGE
1661;PARACETAMOL : DOSAGE
1662;PSYCHOTROPES NON NOMMEMENT INSCRITS A LA NABM  (SANG)
1663;ANTIDEPRESSEURS TRICYCLIQUES : RECHERCHE (SANG)
1665;ANTIDEPRESSEURS : DOSAGE SPECIFIQUE (SANG)
1666;ANTIDEPRESSEURS : RECHERCHE ET DOSAGE (SANG)
1667;BENZODIAZEPINES : RECHERCHE (SANG)
1668;DIAZEPAM (VALIUM, ...) ET SON METABOLITE
1669;CLONAZEPAM (RIVOTRIL)
1671;ANTIEPILEPTIQUE NON NOMMEMENT INSCRIT A LA NABM (SANG)
1672;BARBITURIQUES : RECHERCHE (SANG)
1674;BARBITURIQUES : RECHERCHE ET DOSAGE (SANG)
1677;QUINIDINE OU HYDROQUINIDINE (SERECOR, NATISEDINE, CARDIOQUINE, LONGACOR)
1678;ANTIARYTHMIQUES NON NOMMEMENT INSCRITS A LA NABM
1679;ALUMINIUM (AL) (SANG)
1680;OXYDE DE CARBONE DU SANG (CO)
1691;RECHERCHE DE L'ALLELE HLA-B*5701 PAR  UNE TECHNIQUE DE BIOLOGIE MOLECULAIRE. CET ACTE EST INDIQUE C
1701;INFECTION A ADENOVIRUS : SD PAR RFC
1704;INFECTION A ADENOVIRUS : SD PAR EIA
1709;FIEVRE JAUNE (CONTROLE D'IMMUNITE) PAR SERONEUTRALISATION LA PRISE EN CHARGE DE L'ACTE 1709 EST LI
1713;INFECTION A CMV RECENTE  SD : IGG + IGM PAR EIA
1714;INFECTION A CMV RECENTE  SD : IGG + IGM PAR IFI
1715;INFECTION A EBV ANCIENNE : SD : AC VCA IGG ET AC EBNA PAR IFI
1716;INFECTION A EBV ANCIENNE : SD : AC VCA IGG ET AC EBNA PAR EIA
1717;INFECTION A EBV RECENTE OU EVOLUTIVE : SD : AC VCA IGM OU AC EA IGM PAR IFI
1718;INFECTION A EBV RECENTE OU EVOLUTIVE : SD : AC VCA IGM OU AC EA PAR EIA
1719;INFECTION A EBV : SD : AC EA IGA OU AC VCA IGA
1729;GRIPPE A : SD PAR RFC
1730;GRIPPE A : SD PAR EIA
1731;GRIPPE A : SD PAR IHA
1732;GRIPPE B : SD PAR RFC
1733;GRIPPE B : SD PAR EIA
1734;GRIPPE B : SD PAR IHA
1736;CONTROLE D'UNE IMMUNITE ANCIENNE OU CONTROLE DE   VACCINATION  - IGG OU IG TOTALES ANTI-VHA
1740;STATUT SEROLOGIQUE ANTICORPS ANTI-DELTA IGG OU TOTAUX  CET EXAMEN NE PEUT ETRE PRESCRIT QUE POUR DE
1741;HEPATITE DELTA (VHD) : SD : AC IGM PAR EIA
1742;HEPATITE DELTA (VHD) : SD : AG DELTA PAR EIA
1743;HEPATITE E (VHE) : SD : AC ANTI-VHE PAR EIA
1744;RECHERCHE D'ANTICORPS ANTI-HSV RECHERCHE DES IGG LA PRISE EN CHARGE DE CET ACTE EST LIMITEE A : -L
