EPH_COD;EPH_LIB
A11D9;VITAMINE B1, AUTRES ASSOCIATIONS
A11E;COMPLEXE VITAMINIQUE B
A11E1;COMPLEXE VITAMINIQUE B NON ASSOCIE
A11E2;COMPLEXE VITAMINIQUE B AVEC VITAMINE C
A11E3;COMPLEXE VITAMINIQUE B AVEC D'AUTRES SUBSTANCES
A11F;VITAMINE B12 NON ASSOCIEE
A11G;VITAMINE C, ASSOCIATIONS AVEC MINERAUX INCLUSES
A11G1;VITAMINE C NON ASSOCIEE (SELS DE VITAMINE C INCLUS)
A11G2;VITAMINE C, ASSOCIATIONS
A11X;AUTRES VITAMINES
A11X1;NICOTINAMIDE, NON ASSOCIE
A11X2;VITAMINE B6 (PYRIDOXINE), NON ASSOCIEE
A11X3;VITAMINE E, NON ASSOCIEE
A11X9;TOUTES AUTRES VITAMINES, SEULES ET EN ASSOCIATION
A12;SUPPLEMENTATION MINERALE
A12A;CALCIUM
A12B;POTASSIUM
A12C;AUTRES SUPPLEMENTS MINERAUX
A12C1;MAGNESIUM
A12C2;AUTRE SUPPLEMENT MINERAL
A13;TONIQUES
A13A;TONIQUE
A13A1;PREPARATIONS CONTENANT DE LA PROCAINE
A13A2;AUTRES TONIQUES
A14;ANABOLISANTS SYSTEMIQUES
A14A;STEROIDES ANABOLISANTS SYSTEMIQUES
A14A1;STEROIDES ANABOLISANTS NON ASSOCIES SYSTEMIQUES
A14A2;STEROIDES ANABOLISANTS EN ASSOCIATION
A14B;AUTRES AGENTS ANABOLISANTS SYSTEMIQUES
A15;STIMULANTS DE L'APPETIT
A15A;STIMULANT DE L'APPETIT
A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
B;SANG ET ORGANES HEMATOPOIETIQUES
B01;AGENTS ANTITHROMBOTIQUES
B01A;ANTIVITAMINES K
B01B;HEPARINES
B01B1;HEPARINES NON FRACTIONNEES
B01B2;HEPARINES FRACTIONNEES
B01B3;HEPARINES POUR RINCAGE DE TUBULURES / CATHETERS
B01B9;AUTRES HEPARINES
B01C;INHIBITEURS DE L'AGREGATION PLAQUETTAIRE
B01C1;ANTI-AGREGANTS PLAQUETTAIRES INHIBITEURS DE LA CYCLO-OXYGENASE
B01C2;ANTI-AGREGANTS PLAQUETTAIRES ANTAGONISTES DES RECEPTEURS ADP
B01C3;ANTI-AGREGANTS PLAQUETTAIRES ANTAGONISTES DE GP IIB/IIIA
B01C4;ANTI-AGREGANTS PLAQUETTAIRES AUGMENTANT L'AMPC
B01C5;ANTI-AGREGANTS PLAQUETTAIRES EN ASSOCIATION
B01C9;AUTRES ANTI-AGREGANTS PLAQUETTAIRES
B01D;FIBRINOLYTIQUES
B01E;INHIBITEURS DIRECTS DE LA THROMBINE
B01F;INHIBITEURS DIRECTS DU FACTEUR XA
B01X;AUTRES MEDICAMENTS ANTITHROMBOTIQUES
B02;AUTRES MEDICAMENTS DE LA COAGULATION SANGUINE
B02A;ANTIFIBRINOLYTIQUES
B02A1;ANTIFIBRINOLYTIQUES SYNTHETIQUES
B02A2;PROTEINASE
B02A9;AUTRES ANTIFIBRINOLYTIQUES
B02B;ANTIDOTES DES ANTICOAGULANTS
B02B1;VITAMINE K
B02B2;SULFATE DE PROTAMINE
B02B9;AUTRES ANTIDOTES CONTRE ANTICOAGULANTS
B02C;INHIBITEURS DE LA PROTEINASE
B02C1;INHIBITEURS DE LA COAGULATION
B02C2;INHIBITEURS DU SYSTEME KALLICREINE-KININE
B02C3;INHIBITEURS DE LA FIBRINOLYSE
B02C9;AUTRES INHIBITEURS DE PROTEINASES
B02D;PRODUITS DE COAGULATION SANGUINE
B02D1;FACTEUR VIII, SUBSTITUTS INCLUS
B02D2;FACTEURS II, VII, IX ET X
B02D3;COMPLEXE ANTI-INHIBITEUR DE LA COAGULATION
B02D4;FACTEUR XIII
B02D5;FIBRINOGENE
B02D6;PLASMA FRAIS CONGELE ET PLASMA ANTIHEMOPHILIQUE
B02D7;FRACTION I DE COHN
B02D8;CONCENTRES DE PLAQUETTES
B02D9;AUTRES FRACTIONS SANGUINES
B02E;AGONISTES DE LA THROMBOPOIETINE
B02F;PREPARATIONS POUR REPARATION TISSULAIRE
B02G;HEMOSTATIQUES SYSTEMIQUES
B03;PREPARATIONS ANTI-ANEMIQUES
B03A;MEDICAMENTS HEMATINIQUES, FER ET TOUTES ASSOCIATIONS
B03A1;FER NON ASSOCIE
B03A2;FER EN ASSOCIATION AVEC D'AUTRES SUBSTANCES
B03B;EXTRAITS HEPATIQUES ET ASSOCIATIONS AVEC LA VITAMINE B12
B03C;ERYTHROPOIETINE ET SIMILAIRES
B03D;INHIBITEURS DE HIF-PH
B03X;AUTRES PRODUITS ANTI-ANEMIQUES, ACIDE FOLIQUE ET ACIDE FOLINIQUE INCLUS
B06;AUTRES MEDICAMENTS HEMATOLOGIQUES
B06B;HYALURONIDASE
B06D;MEDICAMENTS CONTRE L'ANGIOEDEME HEREDITAIRE
B06X;AUTRES PRODUITS HEMATOLOGIQUES
C;SYSTEME CARDIOVASCULAIRE
C01;MEDICAMENTS CARDIAQUES
C01A;GLUCOSIDES CARDIOTONIQUES ET ASSOCIATIONS
C01A1;GLUCOSIDES CARDIOTONIQUES NON ASSOCIES
C01A2;GLUCOSIDES CARDIOTONIQUES EN ASSOCIATION
C01B;ANTIARYTHMIQUES
C01C;STIMULANTS CARDIAQUES, GLUCOSIDES CARDIOTONIQUES EXCLUS
C01C1;STIMULANTS CARDIAQUES, MEDICAMENTS DOPAMINERGIQUES EXCLUS
C01C2;MEDICAMENTS CARDIOTONIQUES DOPAMINERGIQUES
C01D;THERAPEUTIQUE CORONARIENNE, ANTAGONISTES CALCIQUES ET DERIVES NITRES EXCLUS
C01E;DERIVES NITRES ET NITRATES
C01F;MEDICAMENTS INOTROPES POSITIFS
C01X;AUTRES MEDICAMENTS CARDIAQUES
C02;ANTIHYPERTENSEURS
C02A;ANTIHYPERTENSEURS (D'ORIGINE NON VEGETALE) NON ASSOCIES
C02A1;ANTIHYPERTENSEURS NON ASSOCIES D'ACTION CENTRALE
C02A2;ANTIHYPERTENSEURS NON ASSOCIES D'ACTION PERIPHERIQUE
C02A3;AUTRES ANTIHYPERTENSEURS NON ASSOCIES
C02B;ANTIHYPERTENSEURS (D'ORIGINE NON VEGETALE) ASSOCIATION AVEC DIURETIQUES
C02B1;ANTIHYPERTENSEURS D'ACTION CENTRALE + DIURETIQUES
C02B2;ANTIHYPERTENSEURS PERIPHERIQUES + DIURETIQUES
C02B3;AUTRES ANTIHYPERTENSEURS + DIURETIQUES
C02C;ALCALOIDES DU RAUWOLFIA ET AUTRES ANTIHYPERTENSEURS D'ORIGINE VEGETALE
C02D;ALCALOIDES DU RAUWOLFIA ET ANTIHYPERTENSEURS D'ORIGINE VEGETALE + DIURETIQUES
C03;DIURETIQUES
C03A;DIURETIQUE
C03A1;MEDICAMENTS EPARGNEURS POTASSIQUES NON ASSOCIES
C03A2;DIURETIQUES DE L'ANSE NON ASSOCIES
C03A3;THIAZIDIQUES ET APPARENTES NON ASSOCIES
C03A4;MEDICAMENTS EPARGNEURS POTASSIQUES EN ASSOCIATION AVEC DIURETIQUES DE L'ANSE
C03A5;EPARGNEURS POTASSIQUES EN ASSOCIATION AVEC THIAZIDIQUE ET,OU APPARENTE
C03A7;DIURETIQUES ANTAGONISTES DU RECEPTEUR A LA VASOPRESSINE
C03A9;AUTRES DIURETIQUES
C04;VASODILATATEURS CEREBRAUX ET PERIPHERIQUES
C04A;VASODIALTATEURS CEREBRAUX ET PERIPHERIQUES
C04A1;VASODILATATEURS CEREBRAUX ET PERIPHERIQUES, ANTAGONISTES DU CALCIUM EXCLUS
C04A2;ANTAGONISTES CALCIQUES AVEC ACTIVITE CEREBRALE
C05;PREPARATIONS ANTIVARICOSIQUES, ANTIHEMORROIDAIRES
C05A;TOPIQUES ANTIHEMORROIDAIRES
C05A1;TOPIQUES ANTIHEMORROIDAIRES AVEC CORTICOIDES
C05A2;TOPIQUES ANTIHEMORROIDAIRES SANS CORTICOIDES
C05B;THERAPEUTIQUE ANTIVARICOSIQUE, A USAGE TOPIQUE
C05C;THERAPEUTIQUE ANTIVARICOSIQUE, A USAGE SYSTEMIQUE
C06;AUTRES MEDICAMENTS CARDIOVASCULAIRES
C06B;MEDICAMENTS CONTRE L'HYPERTENSION ARTERIELLE PULMONAIRE (HTAP)
C06B1;MEDICAMENTS CONTRE L'HTAP ANTAGONISTES DES RECEPTEURS A L'ENDOTHELINE
C06B2;MEDICAMENTS CONTRE L'HTAP INHIBITEURS DE LA PDE5
C06B3;PROSTACYCLINE CONTRE L'HTAP
C06B9;AUTRES MEDICAMENTS CONTRE L'HTAP
C06X;AUTRES MEDICAMENTS CARDIOVASCULAIRES
C07;BETABLOQUANTS
C07A;BETABLOQUANTS NON ASSOCIES
C07B;BETABLOQUANTS EN ASSOCIATION
C07B1;BETA BLOQUANTS + ANTIHYPERTENSEURS ET,OU DIURETIQUES
C07B2;ASSOCIATIONS AVEC D'AUTRES SUBTANCES DU SYSTEME CARDIOVASCULAIRE
C07B3;ASSOCIATIONS AVEC D'AUTRES SUBSTANCES EXCEPTEES CELLES DU SYST. CARDIOVASCUL.
C08;ANTAGONISTES CALCIQUES
C08A;ANTAGONISTES CALCIQUES NON ASSOCIES
C08B;ANTAGONISTES CALCIQUES EN ASSSOCIATION
C08B1;ANTAGONISTES CALCIQUES EN ASSOCIATION AVEC ANTIHYPERTENSEUR ET,OU DIURETIQUE
C08B2;ASSOCIATIONS ANTAGONISTE CALCIQUE ET BETABLOQUANT
C08B3;ANTAGONISTES CALCIQUES EN ASSOCIATION AVEC MEDICAMENTS DU SYST.CARDIOVASCUL.
C08B4;ANTAGONISTES CALCIQUES EN ASSOCIATION AVEC TOUS AUTRES MEDICAMENTS
C09;MEDICAMENTS AGISSSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
C09A;INHIBITEURS DE L'ENZYME DE CONVERSION NON ASSOCIES
C09B;INHIBITEURS DE L'ENZYME DE CONVERSION EN ASSOCIATION
C09B1;ASSOCIATIONS IEC ET ANTIHYPERTENSEURS (C2) ET,OU DIURETIQUES (C3)
C09B2;ASSOCIATIONS IEC ET BETABLOQUANT
C09B3;ASSOCIATIONS IEC ET ANTAGONISTE CALCIQUE (C8)
C09B9;ASSOCIATIONS IEC ET TOUTE AUTRE SUBSTANCE ACTIVE
C09C;ANTAGONISTES DE L'ANGIOTENSINE II NON ASSOCIES
C09D;ANTAGONISTES DE L'ANGIOTENSINE II EN ASSOCIATION
C09D1;ANTAGONISTES ANGIOTENSINE II EN ASSOC. AVEC ANTIHYPERTENS ET/OU D�URET
C09D2;ANTAGONISTES ANGIOTENSINE II EN ASSOC. AVEC BETABLOQUANTS
C09D3;ANTAGONISTES ANGIOTENSINE II EN ASSOC. AVEC ANTAGONISTES CALCIQUES
C09D4;ANTAGONISTES ANGIOTENSINE II EN ASSOC. AVEC INHIBITEURS ENZYME DE CONSERSION
C09D9;ANTAGONISTES ANGIOTENSINE II EN ASSOC. AVEC AUTRES MEDICAMENTS
C09X;AUTRES MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
C10;REGULATEURS DU METABOLISME LIPIDIQUE ET MEDICAMENTS ANTI-ATHEROMATEUX
C10A;MEDICAMENTS REGULANT LE CHOLESTEROL ET LES TRIGLYCERIDES
C10A1;STATINES (INHIBITEURS DE LA HMG-COA REDUCTASE)
C10A2;FIBRATES
C10A3;RESINES ECHANGEUSES D'IONS
C10A4;INHIBITEURS DE PCSK9
C10A9;AUTRES REGULATEURS DU CHOLESTEROL ET DES TRIGLYCERIDES
C10B;MEDICAMENTS ANTI-ATHEROMATEUX D'ORIGINE NATURELLE
C10C;REGULATEURS LIPIDIQUES EN ASSOCIATION AVEC D'AUTRES REGULATEURS LIPIDIQUES
C11;ASSOCIATIONS EN THERAPEUTIQUE CARDIOVASCULAIRE
C11A;ASSOCIATIONS ..
C11A1;ASSOCIATIONS FIXES
C11A2;ASSOCIATIONS CONDITIONNEMENTS
D;MEDICAMENTS DERMATOLOGIQUES
D01;ANTIFONGIQUES, A USAGE DERMATOLOGIQUE
D01A;ANTIFONGIQUE, A USAGE DERMATOLOGIQUE
D01A1;ANTIFONGIQUES TOPIQUES A USAGE DERMATOLOGIQUE
D01A2;ANTIFONGIQUES SYSTEMIQUES A USAGE DERMATOLOGIQUE
D01A3;ANTIFONGIQUES TOPIQUES POUR LE CUIR CHEVELU
D02;EMOLLIENTS, PROTECTEURS
D02A;EMOLLIENT, PROTECTEUR
D03;AGENTS CICATRISANTS DES PLAIES
D03A;AGENT CICATRISANT DES PLAIES
L01H1;ANTICANCEREUX INHIBITEUR DE PROTEINE KINASE DIRIGE CONTRE BCR-ABL
L01H2;ANTICANCEREUX INHIBITEUR DE PROTEINE KINASE DIRIGE CONTRE EGFR
L01H3;ANTICANCEREUX INHIBITEUR DE PROTEINE KINASE DIRIGE CONTRE ALK
L01H4;ANTICANCEREUX INHIBITEUR DE PROTEINE KINASE DIRIGE CONTRE BRAF/MEK
L01H5;ANTICANCEREUX INHIBITEUR DE PROTEINE KINASE CDK (CYCLIN DEPENDENT KINASE)
L01H6;ANTICANCEREUX INHIBITEUR DE PROTEINE KINASE
L01H9;AUTRES ANTICANCEREUX INHIBITEURS DE PROTEINE KINASE
L01J;ANTICANCEREUX INHIBITEURS DU PROTEASOME
L01K;ANTICANCEREUX LIDOMIDE
L01L;ANTICANCEREUX INHIBITEURS DE PARP
L01X;AUTRES ANTINEOPLASIQUES
L01X1;PREPARATIONS ADJUVANTES POUR LE TRAITEMENT DES CANCERS
L01X2;HORS D'USAGE
L01X3;ANTINEOPLASIQUE INHIBITEUR HDAC
L01X4;HORS D'USAGE
L01X5;ANTICANCEREUX PAR CAR T-CELL THERAPIE
L01X6;ANTICANCEREUX INHIBITEURS DE LA VOIE HEDGEHOG
L01X8;ANTICANCEREUX POUR PHOTOTHERAPIE
L01X9;AUTRES ANTINEOPLASIQUES
L02;THERAPIE PAR HORMONE CYTOSTATIQUE
L02A;HORMONES CYTOSTATIQUES
L02A1;OESTROGENES CYTOSTATIQUES
L02A2;PROGESTATIFS CYTOSTATIQUES
L02A3;ANALOGUES CYTOSTATIQUES DU FACTEUR DE LIBERATION DES GONADOTROPHINES
L02A9;AUTRES HORMONES CYTOSTATIQUES
L02B;ANTIHORMONES CYTOSTATIQUES
L02B1;ANTIOESTROGENES CYTOSTATIQUES
L02B2;ANTIANDROGENES CYTOSTATIQUES
L02B3;INHIBITEURS DE L'AROMATASE CYTOSTATIQUES
L02B9;AUTRES ANTIHORMONES CYTOSTATIQUES
L03;IMMUNOSTIMULANTS
L03A;IMMUNOSTIMULANTS, INTERFERONS EXCLUS
L03A1;FACTEURS DE CROISSANCE
L03A9;TOUS AUTRES IMMUNOSTIMULANTS, INTERFERONS EXCLUS
L03B;INTERFERONS
L03B1;INTERFERONS, ALPHA
L03B2;INTERFERONS, BETA
L03B3;INTERFERONS, GAMMA
L03B9;INTERFERONS, NON SPECIFIQUES
L04;IMMUNOSUPPRESSEURS
L04B;MEDICAMENTS ANTI-TNF
L04C;INHIBITEUR DES INTERLEUKINES
L04X;AUTRES IMMUNOSUPPRESSEURS
M;SYSTEME MUSCULAIRE ET SQUELETTE
M01;ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX
M01A;ANTIRHUMATISMAUX NON STEROIDIENS
M01A1;ANTIRHUMATISMAUX NON STEROIDIENS NON ASSOCIES
M01A2;ANTIRHUMATISMAUX NON STEROIDIENS EN ASSOCIATION
M01A3;COXIBS NON ASSOCIES
M01B;ASSOCIATIONS DE CORTICOIDES ANTIRHUMATISMAUX
M01C;ANTIRHUMATISMAUX SPECIFIQUES
M02;ANTIRHUMATISMAUX TOPIQUES
M02A;ANTIRHUMATISMAL TOPIQUE ET ANALGESIQUES
M03;MYORELAXANTS
M03A;MYORELAXANTS A ACTION PERIPHERIQUE
M03B;MYORELAXANTS A ACTION CENTRALE
M04;MEDICAMENTS ANTIGOUTTEUX
M04A;ANTIGOUTTEUX
M05;AUTRES MEDICAMENTS DES DESORDRES MUSCULAIRES ET DU SQUELETTE
M05B;REGULATEURS DU CALCIUM OSSEUX
M05B3;DIPHOSPHONATES POUR L'OSTEOPOROSE ET LES TROUBLES ASSOCIES
M05B4;DIPHOSPHONATES POUR LES TROUBLES DU CALCIUM TUMEUR DEPENDANTS
M05B9;AUTRES REGULATEURS DU CALCIUM OSSEUX
M05X;AUTRE MEDICAMENT DES DESORDRES MUSCULAIRES ET DU SQUELETTE
N;SYSTEME NERVEUX
N01;ANESTHESIQUES
N01A;ANESTHESIQUES GENERAUX
N01A1;ANESTHESIQUES GENERAUX POUR INHALATION
N01A2;ANESTHESIQUES GENERAUX INJECTABLES
N01B;ANESTHESIQUES LOCAUX
N01B1;ANESTHESIQUES LOCAUX INJECTABLES A USAGE MEDICAL
N01B2;ANESTHESIQUES LOCAUX INJECTABLES A USAGE DENTAIRE
N01B3;ANESTHESIQUES LOCAUX A USAGE TOPIQUE (PEAU OU MUQUEUSES)
N01B9;ANESTHESIQUES LOCAUX AUTRES
N02;ANALGESIQUES
N02A;NARCOTIQUES
N02B;NON NARCOTIQUES ET ANTIPYRETIQUES
N02B1;NON NARCOTIQUE OU ANTIPYRETIQUE SUR PRESCRIPTION
N02B2;NON NARCOTIQUE OU ANTIPYRETIQUE HORS PRESCRIPTION
N02C;MEDICAMENTS ANTIMIGRAINEUX
N02C1;TRIPTANS ANTIMIGRAINEUX
N02C2;ANTIMIGRAINEUX ANTAGONISTE DE CGRP
N02C9;AUTRES ANTIMIGRAINEUX
N03;ANTIEPILEPTIQUES
N03A;ANTIEPILEPTIQUE
N04;ANTIPARKINSONIENS
N04A;ANTIPARKINSONIEN
N05;PSYCHOLEPTIQUES
N05A;ANTIPSYCHOTIQUES
N05A1;ANTIPSYCHOTIQUES ATYPIQUES
N05A9;ANTIPSYCHOTIQUES CONVENTIONNELS
N05B;HYPNOTIQUES, SEDATIFS
N05B1;NON BARBITURIQUES NON ASSOCIES
N05B2;NON BARBITURIQUES EN ASSOCIATION
N05B3;BARBITURIQUES NON ASSOCIES
N05B4;BARBITURIQUES EN ASSOCIATION
N05B5;HYPNOTIQUES, SEDATIFS EN PHYTOTHERAPIE
N05C;TRANQUILLISANTS
N06;PSYCHOANALEPTIQUES, MEDICAMENTS ANTI-OBESITE EXCLUS
N06A;ANTIDEPRESSEURS ET NORMOTHYMIQUES
N06A2;ANTIDEPRESSEURS EN PHYTOTHERAPIE
N06A3;NORMOTHYMIQUES
N06A4;ANTIDEPRESSEURS INHIBITEURS SELECTIFS DE LA RECAPTURE DE SEROTONINE (SSRI)
N06A5;ANTIDEPRESSEURS INHIBITEURS DE RECAPTURE DE SEROTONINE ET NORADRENALINE
N06A9;AUTRES ANTIDEPRESSEURS
N06B;PSYCHOSTIMULANTS
N06C;PSYCHOLEPTIQUES + PSYCHOANALEPTIQUES ASSOCIES
N06D;NOOTROPIQUES
N06E;NEUROTONIQUES ET AUTRES MEDICAMENTS DIVERS
N07;AUTRES MEDICAMENTS DU SNC
N07A;MEDICAMENTS CONTRE SCLEROSES MULTIPLES
N07B;MEDICAMENTS POUR L'ARRET DU TABAC
N07C;MEDICAMENTS ANTIVERTIGINEUX
N07D;MEDICAMENTS CONTRE LA MALADIE D'ALZHEIMER
N07D1;INHIBITEURS DE CHOLIESTERASES CONTRE LA MALADIE D'ALZHEIMER
N07D9;AUTRES MEDICAMENTS CONTRE LA MALADIE D'ALZHEIMER
N07E;MEDICAMENTS CONTRE LA DEPENDANCE ALCOOLIQUE
N07F;MEDICAMENTS CONTRE LA DEPENDANCE OPIOIDE
N07X;AUTRES MEDICAMENTS DU SNC
P;PARASITOLOGIE
P01;ANTIPROTOZOAIRES ET ANTHELMINTHIQUES
P01A;AMOEBICIDES
P01B;ANTHELMINTHIQUES, SCHISTOSOMICIDES EXCLUS
P01C;SCHISTOSOMICIDES
P01D;ANTIPALUDEENS
P01D1;ANTIPALUDEENS, UNE SEULE SUBSTANCE ACTIVE
P01D2;ANTIPALUDEENS, PLUSIEURS SUBSTANCES ACTIVES
P01G;AUTRES ANTIPARASITAIRES
P03;ANTIPARASITAIRES EXTERNES, INCLUANT SCABICIDES, INSECTICIDES
P03A;ANTIPARASITAIRES EXTERNES, SCABICIDES INCLUS
P03B;INSECTICIDES
R;SYSTEME RESPIRATOIRE
R01;PREPARATIONS NASALES
R01A;PREPARATIONS NASALES TOPIQUES
R01A1;CORTICOIDES SANS ANTIINFECTIEUX A USAGE NASAL
R01A3;CORTICOIDES AVEC ANTIINFECTIEUX A USAGE NASAL
R01A4;ANTIINFECTIEUX SANS CORTICOIDES A USAGE NASAL
R01A6;ANTIALLERGIQUES A USAGE NASAL
R01A7;DECONGESTIONNANTS A USAGE NASAL
R01A9;AUTRES PREPARATIONS NASALES TOPIQUES
R01B;PREPARATIONS NASALES SYSTEMIQUES
R02;MEDICAMENTS POUR LA GORGE
R02A;MEDICAMENT POUR LA GORGE
R03;ANTIASTHMATIQUES ET MEDICAMENTS DE LA BPCO
R03A;BETA 2 STIMULANTS
R03A2;BETA 2 STIMULANTS, SYSTEMIQUES
R03A3;BETA 2 STIMULANTS INHALES D'ACTION PROLONGEE
R03A4;BETA 2 STIMULANTS INHALES D'ACTION BREVE
R03B;XANTHINES
R03B1;XANTHINES, A INHALER
R03B2;XANTHINES, SYSTEMIQUES
R03C;ANTIINFLAMMATOIRES NON STEROIDIENS A USAGE RESPIRATOIRE
R03C1;ANTIINFLAMMATOIRES NON STEROIDIENS A USAGE RESPIRATOIRE, A INHALER
R03C2;ANTIINFLAMMATOIRES NON STEROIDIENS A USAGE RESPIRATOIRE, SYSTEMIQUES
R03D;CORTICOIDES
R03D1;CORTICOIDES, A INHALER
R03D2;CORTICOIDES, SYSTEMIQUES
R03E;BETA 2 STIMULANTS + AINS A USAGE RESPIRATOIRE
R03E1;BETA 2 STIMULANTS + AINS A USAGE RESPIRATOIRE, A INHALER
R03E2;BETA 2 STIMULANTS + AINS A USAGE RESPIRATOIRE SYSTEMIQUES
R03F;BETA 2 STIMULANTS + CORTICOIDES
R03F1;BETA 2 STIMULANTS + CORTICOIDES, A INHALER
R03F2;BETA 2 STIMULANTS + CORTICOIDES, SYSTEMIQUES
R03H;INHIBITEURS DE PDE4 CONTRE L'ASTHME / LA BPCO
R03H1;INHIBITEURS DE PDE4 INHALES CONTRE L'ASTHME OU LA BPCO
R03H2;INHIBITEURS SYSTEMIQUES DE PDE4 CONTRE L'ASTHME OU LA BPCO
R03I;APPAREILS POUR ASTHMATIQUES
R03J;ANTIASTHMATIQUES ANTAGONISTES DES LEUCOTRIENES
R03J1;ANTIASTHMATIQUES ANTAGONISTES DES LEUCOTRIENES, A INHALER
R03J2;ANTIASTHMATIQUES ANTAGONISTES DES LEUCOTRIENES, SYSTEMIQUES
R03K;ANTICHOLINERGIQUES NON ASSOCIES
R03K1;ANTICHOLINERGIQUES INHALES NON ASSOCIES D'ACTION RAPIDE
R03K2;ANTICHOLINERGIQUES INHALES NON ASSOCIES D'ACTION LONGUE
R03L;ANTICHOLINERGIQUES + BETA 2 AGONISTES
R03L1;ANTICHOLINERGIQUES INHALES D'ACTION RAPIDE + BETA 2 AGONISTES D'ACTION RAPIDE
R03L2;ANTICHOLINERGIQUES INHALES D'ACTION LONGUE + BETA 2 AGONISTES D'ACTION LONGUE
R03L3;ANTICHOLINERGIQUE INHALE + AGONISTE BETA D'ACTION LONGUE + CORTICOSTEROIDE
R03L8;ANTICHOLINERGIQUES + BETA 2 AGONISTES SYSTEMIQUES
R03L9;AUTRES ANTICHOLINERGIQUES + BETA 2 AGONISTES INHALES
R03M;ANTI-ASTHMATIQUE INHIBITEUR D'INTERLEUKINE
R03X;TOUS AUTRES ANTIASTHMATIQUES ET MEDICAMENTS DE LA BPCO
R03X1;TOUS AUTRES ANTIASTHMATIQUES ET MEDICAMENTS DE LA BPCO, A INHALER
R03X2;TOUS AUTRES ANTIASTHMATIQUES ET MEDICAMENTS DE LA BPCO, SYSTEMIQUES
R04;PRODUITS DE FRICTION THORACIQUE ET AUTRES PRODUITS A INHALER
R04A;PRODUIT DE FRICTION THORACIQUE ET AUTRE PRODUIT A INHALER
R05;MEDICAMENTS DU RHUME ET DE LA TOUX
R05A;MEDICAMENTS DU RHUME SANS ANTIINFECTIEUX
R05B;MEDICAMENTS DU RHUME ET DE LA TOUX AVEC ANTIINFECTIEUX
R05C;EXPECTORANTS
R05D;ANTITUSSIFS
R05D1;ANTITUSSIFS NON ASSOCIES
R05D2;ANTITUSSIFS EN ASSOCIATION
R05F;AUTRES MEDICAMENTS DU RHUME ET DE LA TOUX
R06;ANTIHISTAMINIQUES SYSTEMIQUES
R06A;ANTIHISTAMINIQUE SYSTEMIQUE
R07;AUTRES MEDICAMENTS DU SYSTEME RESPIRATOIRE
R07A;STIMULANTS RESPIRATOIRES
R07B;MEDICAMENTS CONTRE LA MUCOVISCIDOSE
R07B1;MEDICAMENTS DE LA MUCOVISCIDOSE MODULATEURS DU CFTR TRANSMEMBRANAIRE
R07C;SURFACTANTS PULMONAIRES
R07D;MEDICAMENTS CONTRE LA FIBROSE PULMONAIRE IDIOPATHIQUE
R07X;AUTRE MEDICAMENT DU SYSTEME RESPIRATOIRE
S;ORGANES DES SENS
S01;PRODUITS OPHTALMOLOGIQUES
S01A;ANTIINFECTIEUX OPHTALMIQUES
S01B;CORTICOIDES OPHTALMIQUES
S01C;ASSOCIATIONS ANTIINFLAMMATOIRE/ANTIINFECTIEUX OPHTALMIQUES
S01C1;ASSOCIATIONS DE CORTICOIDES ET D'ANTIINFECTIEUX OPHTALMIQUES
S01C2;ASSOCIATIONS D'ANTIINFLAMMATOIRES NON STEROIDIENS ET D'ANTIINFECTIEUX OPHTALM
S01C9;AUTRES ASSOCIATIONS D'ANTIINFLAMMATOIRES ET D'ANTIINFECTIEUX OPHTALMIQUES
S01D;ANTIVIRAUX OPHTALMIQUES
S01E;MYOTIQUES ET ANTIGLAUCOMATEUX
S01E1;MYOTIQUES ET ANTIGLAUCOMATEUX SYSTEMIQUES
S01E2;MYOTIQUES ET ANTIGLAUCOMATEUX A USAGE TOPIQUE
S01F;MYDRIATIQUES ET CYCLOPLEGIQUES
S01G;ANTI-ALLERGIQUES, DECONGESTIONNANTS, ANTISEPTIQUES OCULAIRES
S01G1;ANTI-ALLERGIQUES OCULAIRES, ANTIHISTAMINIQUES
S01G2;ANTI-ALLERGIQUES OCULAIRES, STALIBISANTS DES MASTOCYTES
S01G3;ANTI-ALLERGIQUES OCULAIRES, ACTION MULTIPLE
S01G5;DECONGESTIONNANTS OCULAIRES, SYMPATHOMIMETIQUES
S01G6;ANTISEPTIQUES OCULAIRES
S01G9;AUTRES PRODUITS OCULAIRES SIMILAIRES
S01H;ANESTHESIQUES LOCAUX OPHTALMIQUES
S01K;MEDICAMENTS CONTRE LA SECHERESSE OCULAIRE
S01K1;LARMES ARTIFICIELLES ET LUBRIFIANTS OCULAIRES
S01K9;AUTRES MEDICAMENTS CONTRE LA SECHERESSE OCULAIRE
S01L;PRODUITS DE CONTACTOLOGIE
S01M;TONIQUES OCULAIRES ET VITAMINES OCULAIRES
S01N;MEDICAMENTS POUR LA CATARACTE
S01N1;MEDICAMENTS POUR LA CATARACTE SYSTEMIQUES
S01N2;MEDICAMENTS POUR LA CATARACTE A USAGE TOPIQUE
S01P;PRODUITS ANTINEOVASCULARISATION OCULAIRE
S01R;ANTIINFLAMMATOIRES NON STEROIDIENS OPHTALMIQUES
