csarr_code;libelle;gestes_complementaires;modulateurs
MKM+166;Séance de développement des capacités du membre supérieur non dominant ou le plus apte;;EZ
MKR+003;"Séance de réentrainement de la fonction de préhension avec compensation de la pesanteur et rétro-information en environnement virtuel

À l'exclusion de : réentrainement sur console virtuelle de jeu
";;EZ
NKR+179;Séance de réentrainement sensitif et/ou moteur de la marche sur tapis roulant asservi avec orthèses robotisées d'assistance, rétro-information et allègement corporel;;EZ
NKR+074;"Séance de réentrainement à la marche avec dispositif d'allègement corporel

Avec ou sans : tapis roulant
";;EZ
NKR+103;Séance de réentrainement moteur de la marche sur plates-formes d'entrainement elliptiques avec allègement corporel;;EZ
NKR+117;"Séance individuelle de rééducation à la marche

Avec ou sans : utilisation et/ou adaptation des dispositifs de marche
";;"EZ;QM;TF;RW;HW;LJ"
NKR+085;"Séance collective de rééducation à la marche

Avec ou sans : utilisation et/ou adaptation des dispositifs de marche
";;"TF;RW;HW;LJ;QM"
NKR+006;"Séance individuelle de réadaptation à la marche

À l'exclusion de : 
•  séance individuelle de réadaptation à la marche sur parcours aménagé avec obstacles (NKR+174)
";;"EZ;QM;TF;RW;HW;LJ"
NKR+059;"Séance collective de réadaptation à la marche

À l'exclusion de : 
•  séance collective de réadaptation à la marche sur parcours aménagé avec obstacles (NKR+278)
";;"QM;TF;RW;HW;LJ"
NKR+174;Séance individuelle de réadaptation à la marche sur parcours aménagé avec obstacles;;"EZ;TF;RW;HW;LJ"
NKR+278;Séance collective de réadaptation à la marche sur parcours aménagé avec obstacles;;RW
NKR+012;Séance individuelle de réadaptation à la course;;"TF;RW;HW;LJ"
NKR+260;Séance collective de réadaptation à la course;;"TF;RW;HW;LJ"
PER+285;"Séance collective de gymnastique

À l'exclusion de : 
•  séance collective de gymnastique pour réadaptation respiratoire (GLR+139)
";;"TF;RW;HW;LJ"
PEQ+059;Séance de familiarisation en piscine pour contrôle de l'appréhension du milieu aquatique;;EZ
PER+118;Séance collective de gymnastique aquatique [aquagym];;"HW;LJ"
PER+112;Séance individuelle de réadaptation à la natation;;"EZ;HW;LJ"
PER+056;Séance collective de réadaptation à la natation;;"HW;LJ"
PCR+285;Séance de réadaptation à l'effort musculaire après rééducation de l'appareil locomoteur;;EZ
DKR+195;Séance individuelle de réentrainement à l'effort aérobie sans ergomètre;;"TF;RW;HW;LJ"
DKR+181;Séance collective de réentrainement à l'effort aérobie sans ergomètre;;"TF;RW;HW;LJ"
DKR+061;Séance individuelle de réentrainement à l'effort aérobie avec 1 ergomètre;;RW
DKR+200;Séance collective de réentrainement à l'effort aérobie avec 1 ergomètre;;RW
DKR+247;Séance individuelle de réentrainement à l'effort aérobie avec plusieurs ergomètres [Circuit training aérobie individuel];;RW
DKR+291;Séance collective de réentrainement à l'effort aérobie avec plusieurs ergomètres [Circuit training aérobie collectif];;RW
DKR+254;Séance individuelle de réentrainement à l'effort aérobie en piscine sans ergomètre;;"HW;LJ"
DKR+182;Séance collective de réentrainement à l'effort aérobie en piscine sans ergomètre;;"HW;LJ"
DKR+016;Séance individuelle de réentrainement à l'effort aérobie en piscine avec ergomètre [Circuit training aérobie individuel en piscine];;
DKR+194;Séance collective de réentrainement à l'effort aérobie en piscine avec ergomètre [Circuit training aérobie collectif en piscine];;
PCM+283;Séance individuelle de renforcement musculaire contre résistance sans matériel;;"QM;ZV"
PCM+262;Séance collective de renforcement musculaire contre résistance sans matériel;;QM
PCM+064;Séance individuelle de renforcement musculaire contre résistance avec matériel [Circuit training musculaire individuel];;"QM;ZV"
PCM+253;Séance collective de renforcement musculaire contre résistance avec matériel [Circuit training musculaire collectif];;QM
DKR+118;Séance individuelle de réentrainement à l'effort aérobie et de renforcement musculaire contre résistance [entrainement mixte individuel];;
DKR+013;Séance collective de réentrainement à l'effort aérobie et de renforcement musculaire contre résistance [entrainement mixte collectif];;
PCR+004;Séance individuelle de réentrainement à l'effort avec matériel de sport;;"TF;RW;HW;LJ"
PCR+272;Séance collective de réentrainement à l'effort avec matériel de sport;;"TF;RW;HW;LJ"
PZL+212;"Mise en place de dispositif générateur d'agent physique à visée thérapeutique

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;
PZL+208;"Séance d'application d'agent physique à visée thérapeutique

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;ZV
PZE+057;"Séance de massage

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;"ZV;QM"
PBR+256;"Séance de mobilisation articulaire passive

Codage : cet acte ne peut être codé que s'il est réalisé isolément


Avec ou sans : pose de contention souple
";;"ZV;QM"
PEB+196;"Séance de posture articulaire
Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;
ZFR+111;"Séance de rééducation pour état séquellaire ou stabilisé
Séance de rééducation à visée palliative
";;"EZ;ZV;QM"
PER+163;"Séance d'apprentissage individuel de l'optimisation énergétique des gestes quotidiens

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;"EZ;TF;RW;HW;LJ"
PER+233;"Séance d'apprentissage collectif de l'optimisation énergétique des gestes quotidiens

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;"EZ;TF;RW;HW;LJ"
PER+096;"Séance d'apprentissage des transferts

Codage : cet acte ne peut être codé que s'il est réalisé isolément


À l'exclusion de : 
•  séance d'apprentissage des transferts en situation d'activité physique et/ou sportive (PER+253)
•  Apprentissage du patient et/ou de son entourage à la réalisation d'un autosoin en dehors d'un programme d'éducation thérapeutique (ZZR+063)
";;
PER+253;"Séance d'apprentissage des transferts en situation d'activité physique et/ou sportive

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;
QZQ+255;Évaluation initiale qualitative et quantitative de l'état cutané et trophique en dehors de la tête et des mains;;"ZV;ME"
QZQ+104;Évaluation intermédiaire qualitative et quantitative de l'état cutané et trophique en dehors de la tête et des mains;;"ZV;ME"
QZQ+186;Évaluation finale qualitative et quantitative de l'état cutané et trophique en dehors de la tête et des mains;;
QAQ+198;Évaluation initiale qualitative et quantitative de l'état cutané et trophique de la tête et/ou de main;;"ZV;ME"
QAQ+093;Évaluation intermédiaire qualitative et quantitative de l'état cutané et trophique de la tête et/ou de main;;"ZV;ME"
QAQ+067;Évaluation finale qualitative et quantitative de l'état cutané et trophique de la tête et/ou de main;;
QAE+213;Séance de posture d'étirement et/ou de compression cutané de la tête ou du cou;;"EZ;ZV;ME;QM"
ZBE+110;Séance de posture d'étirement et/ou de compression cutané du tronc;;"EZ;ZV;ME;QM"
QCE+001;Séance de posture d'étirement et/ou de compression cutané du membre supérieur en dehors de la main ;;"EZ;ZV;ME;QM"
QCE+268;Séance de posture d'étirement et/ou de compression cutané de la main;;"EZ;ZV;ME;QM"
QDE+038;Séance de posture d'étirement et/ou de compression cutané d'un membre inférieur en dehors du pied;;"EZ;ZV;ME;QM"
QDE+094;Séance de posture d'étirement et/ou de compression cutané du pied;;"EZ;ZV;ME;QM"
QAR+001;Séance d'apprentissage à la réalisation de soins cosmétiques pour cicatrice du visage et/ou du cou;;
QZR+281;Séance d'apprentissage à la réalisation de soins cosmétiques pour cicatrice en dehors du visage et du cou;;
QZL+088;"Séance d'application de douche filiforme

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;
ZZQ+106;Évaluation pour fabrication ou fourniture de dispositif technique de compensation;;"ZV;XH"
ZZQ+062;Évaluation secondaire de l'utilisation de dispositif technique de compensation;;
ZZQ+044;"Évaluation pour fabrication ou fourniture d'orthèse

À l'exclusion de : 
•  évaluation pour fabrication ou fourniture d'orthèse de membre pour activité professionnelle ou sportive (ZDQ+041)
";;
ZDQ+041;Évaluation pour fabrication ou fourniture d'orthèse de membre pour activité professionnelle ou sportive;;
ZZQ+242;Évaluation secondaire de l'utilisation d'orthèse;;
ZEQ+203;"Évaluation secondaire de l'adaptation d'orthèse de posture, de comblement ou de protection d'orteil [orthoplastie]

Avec ou sans : ajustage, adaptation, finition
";;
ZEQ+120;"Évaluation secondaire de l'adaptation d'orthèse de plante du pied [orthèse plantaire]

Avec ou sans : ajustage, adaptation, finition
";;
ZDQ+016;Évaluation pour fabrication ou fourniture de prothèse du membre supérieur;;
ZDQ+159;Évaluation pour fabrication ou fourniture de prothèse du membre supérieur pour activité professionnelle ou sportive;;
ZDQ+262;Évaluation préalable à la prescription de prothèse myoélectrique de membre supérieur;;
ZEQ+198;Évaluation pour fabrication ou fourniture de prothèse du membre inférieur;;
ZEQ+046;Évaluation pour fabrication de prothèse du membre inférieur pour activités professionnelles ou sportives;;
ZEQ+055;Évaluation préalable à la prescription de prothèse bionique de membre inférieur;;
PEQ+004;"Évaluation pour fourniture de fauteuil roulant ou de véhicule de substitution à la locomotion

À l'exclusion de : 
•  évaluation pour fourniture de fauteuil roulant pour activité professionnelle et/ou sportive (PEQ+223)
•  évaluation pour fourniture de fauteuil roulant électrique (PEQ+086)
";;"TF;XH"
PEQ+223;Évaluation pour fourniture de fauteuil roulant pour activité professionnelle et/ou sportive;;XH
PEQ+086;Évaluation pour fourniture de fauteuil roulant électrique;;"TF;XH"
PEQ+064;Évaluation de la capacité de maniement du fauteuil roulant;;"TF;RW;HW;LJ;XH"
PEM+132;"Essai et adaptation initiale de bloc commande pour fauteuil roulant à propulsion électrique
Adaptation du joy stick
";;
PEM+058;"Essai et adaptation initiale de bloc commande avec option de commande personnalisée pour fauteuil roulant à propulsion électrique

À l'exclusion de : 
•  essai et adaptation initiale de bloc commande déporté pour fauteuil roulant à propulsion électrique (PEM+286)
";;
PEM+286;Essai et adaptation initiale de bloc commande déporté pour fauteuil roulant à propulsion électrique;;
ZZQ+085;Évaluation des capacités sensitives et motrices pour la conduite d'un véhicule automobile sans adaptation personnalisée ;;
ZZQ+291;Évaluation des capacités sensitives et motrices pour la conduite d'un véhicule automobile avec adaptation personnalisée;;
ALQ+105;Évaluation des capacités cognitives pour la conduite d'un véhicule automobile;;
ZZM+291;Fabrication de dispositif technique de compensation;ZZM+117;
ZZM+216;"Fabrication de dispositif d'aide au maintien de la posture axiale en position assise ou allongée
Fabrication de dispositif d'aide au maintien de la posture axiale pour protection cutanée et/ou ostéoarticulaire
";;
ZDM+099;"Fabrication de dispositif d'aide au maintien de la posture des membres
Fabrication de dispositif d'aide au maintien de la posture des membres pour protection cutanée et/ou ostéoarticulaire
";;
PEM+226;Fabrication ou adaptation et mise en place d'accessoire personnalisé ou sur mesure pour fauteuil roulant ou véhicule de substitution à la locomotion;ZZM+117;
ZAM+045;Fabrication sur mesure d'une minerve monovalve;;
ZAM+081;Fabrication sur mesure d'une minerve plurivalves;;
ZBM+068;Fabrication sur mesure d'un corset monovalve de correction de déformation du tronc;;
ZBM+181;Fabrication sur mesure d'un corset plurivalves de correction de déformation du tronc;;
ZAM+290;Fabrication sur moulage de casque ou de protège tête;;
ZAM+209;Fabrication sur moulage en position assise ou allongée d'une minerve monovalve;;
ZAM+108;Fabrication sur moulage en position assise ou allongée d'une minerve plurivalves;;
ZAM+132;Fabrication sur moulage en position debout d'une minerve monovalve;;
ZAM+240;Fabrication sur moulage en position debout d'une minerve plurivalves;;
ZBM+146;Fabrication sur moulage d'un corset monovalve d'immobilisation du tronc;;
ZBM+096;Fabrication sur moulage d'un corset plurivalves d'immobilisation du tronc;;
ZBM+009;Fabrication sur moulage sur cadre de Cotrel d'un corset plurivalves d'immobilisation du tronc;;
ZBM+166;Réalisation sur moulage en position assise ou allongée d'un corset monovalve de correction de déformation du tronc;;
ZBM+129;Fabrication sur moulage en position assise ou allongée d'un corset plurivalves de correction de déformation du tronc;;
ZBM+183;Fabrication sur moulage en position debout d'un corset monovalve de correction de déformation du tronc;;
ZBM+153;Fabrication sur moulage en position debout d'un corset plurivalves de correction de déformation du tronc;;
ZBM+011;Fabrication sur moulage sur cadre de Cotrel d'un corset plurivalves de correction de déformation du tronc;;
ZDM+137;Fabrication sur mesure d'une orthèse statique d'1 segment de membre supérieur;ZZM+117;
ZDM+117;Fabrication sur mesure d'une orthèse statique de 2 segments de membre supérieur;ZZM+117;
ZDM+281;Fabrication sur mesure d'une orthèse statique de 3 segments de membre supérieur;ZZM+117;
ZDM+165;Fabrication sur mesure d'une orthèse statique d'un doigt;ZZM+117;
ZDM+286;Fabrication sur mesure d'une orthèse dynamique de 2 segments de membre supérieur avec un élément moteur;ZZM+117;
ZDM+119;Fabrication sur mesure d'une orthèse dynamique de 2 segments de membre supérieur avec plusieurs éléments moteurs;ZZM+117;
ZDM+062;Fabrication sur mesure d'une orthèse dynamique de 3 segments de membre supérieur avec un élément moteur;ZZM+117;
ZDM+087;Fabrication sur mesure d'une orthèse dynamique de 3 segments de membre supérieur avec plusieurs éléments moteurs;ZZM+117;
ZDM+078;Fabrication sur mesure d'une orthèse dynamique d'un doigt avec un élément moteur;ZZM+117;
ZDM+202;Fabrication sur mesure d'une orthèse dynamique d'un doigt avec 2 éléments moteurs;ZZM+117;
ZDM+166;Fabrication sur moulage d'une orthèse statique d'1 segment de membre supérieur;ZZM+117;
ZDM+290;Fabrication sur moulage d'une orthèse statique non articulée de 2 segments de membre supérieur;ZZM+117;
ZDM+144;Fabrication sur moulage d'une orthèse statique articulée de 2 segments de membre supérieur;ZZM+117;
ZDM+035;Fabrication sur moulage d'une orthèse statique non articulée de 3 segments de membre supérieur;ZZM+117;
ZDM+005;Fabrication sur moulage d'une orthèse statique articulée de 3 segments de membre supérieur;ZZM+117;
ZDM+134;Fabrication sur moulage d'une orthèse statique d'un doigt;ZZM+117;
ZDM+074;Fabrication sur moulage d'une orthèse dynamique non articulée de 2 segments de membre supérieur avec un élément moteur;ZZM+117;
ZDM+215;Fabrication sur moulage d'une orthèse dynamique non articulée de 2 segments de membre supérieur avec plusieurs éléments moteurs;ZZM+117;
ZDM+079;Fabrication sur moulage d'une orthèse dynamique articulée de 2 segments de membre supérieur avec un élément moteur;ZZM+117;
ZDM+225;Fabrication sur moulage d'une orthèse dynamique articulée de 2 segments de membre supérieur avec plusieurs éléments moteurs;ZZM+117;
ZDM+278;Fabrication sur moulage d'une orthèse dynamique non articulée de 3 segments de membre supérieur avec un élément moteur;ZZM+117;
ZDM+228;Fabrication sur moulage d'une orthèse dynamique non articulée de 3 segments de membre supérieur avec plusieurs éléments moteurs;ZZM+117;
ZDM+131;Fabrication sur moulage d'une orthèse dynamique articulée de 3 segments de membre supérieur avec un élément moteur;ZZM+117;
ZDM+049;Fabrication sur moulage d'une orthèse dynamique articulée de 3 segments de membre supérieur avec plusieurs éléments moteurs;ZZM+117;
ZDM+068;Fabrication sur moulage d'une orthèse dynamique d'un doigt avec 1 élément moteur;ZZM+117;
ZDM+020;Fabrication sur moulage d'une orthèse dynamique d'un doigt avec 2 éléments moteurs;ZZM+117;
ZEM+173;Fabrication sur mesure d'une orthèse d'1 segment de membre inférieur;ZZM+117;
ZEM+158;Fabrication sur mesure d'une orthèse de 2 segments de membre inférieur;ZZM+117;
ZEM+188;Fabrication sur mesure d'une orthèse de 3 segments de membre inférieur;ZZM+117;
ZEM+150;Fabrication sur moulage d'une orthèse d'1 segment de membre inférieur;ZZM+117;
ZEM+116;Fabrication sur moulage d'une orthèse non articulée de 2 segments de membre inférieur;ZZM+117;
ZEM+217;Fabrication sur moulage d'une orthèse articulée de 2 segments de membre inférieur;ZZM+117;
ZEM+098;Fabrication sur moulage d'une orthèse non articulée de 3 segments de membre inférieur;ZZM+117;
ZEM+079;Fabrication sur moulage d'une orthèse articulée de 3 segments de membre inférieur;ZZM+117;
ZEM+258;"Fabrication d'orthèse de la plante du pied [orthèse plantaire]

À l'exclusion de : 
•  fabrication d'orthèse thermoformée de la plante du pied (ZEM+089)
•  fabrication d'orthèse thermosoudée de la plante du pied (ZEM+129)
•  fabrication d'orthèse thermosoudée et thermoformée de la plante du pied (ZEM+047)
•  fabrication d'orthèse de comblement de la plante du pied (ZEM+008)
";ZZM+117;
ZEM+089;Fabrication d'orthèse thermoformée de la plante du pied [orthèse plantaire thermoformée];ZZM+117;
ZEM+129;Fabrication d'orthèse thermosoudée de la plante du pied [orthèse plantaire thermosoudée];ZZM+117;
ZEM+047;Fabrication d'orthèse thermosoudée et thermoformée de la plante du pied [orthèse plantaire thermoformée et thermosoudée];ZZM+117;
ZEM+008;Fabrication d'orthèse de comblement de la plante du pied [orthèse plantaire de comblement];ZZM+117;
ZEM+133;Fabrication d'une orthèse de posture, de comblement ou de protection d'orteil [Orthoplastie];ZZM+117;
ZAM+064;Fabrication sur mesure d'une orthèse de compression élastique de la tête;"ZZB+066;
ZZM+058;
ZZM+133;
ZZM+142";ME
ZBM+249;Fabrication sur mesure d'une orthèse de compression élastique [vêtement compressif] du tronc;"ZZB+066;
ZZM+058;
ZZM+133;
ZZM+142";ME
ZDM+178;Fabrication sur mesure d'une orthèse de compression élastique [vêtement compressif] du membre supérieur en dehors de la main;"ZZB+066;
ZZM+058;
ZZM+133;
ZZM+142";ME
ZDM+233;Fabrication sur mesure d'une orthèse de compression élastique [vêtement compressif] de la main;"ZZB+066;
ZZM+058;
ZZM+133;
ZZM+142";ME
ZEM+287;Fabrication sur mesure d'une orthèse de compression élastique [vêtement compressif] du membre inférieur en dehors du pied;"ZZB+066;
ZZM+058;
ZZM+133;
ZZM+142";ME
ZEM+211;Fabrication sur mesure d'une orthèse de compression élastique [vêtement compressif] du pied;"ZZB+066;
ZZM+058;
ZZM+133;
ZZM+142";ME
ZBM+212;Fabrication sur mesure d'une orthèse de compression élastique [vêtement compressif] du tronc et des membres;"ZZB+066;
ZZM+058;
ZZM+133;
ZZM+142";ME
ZAM+146;Fabrication sur prise d'empreinte d'une orthèse de compression rigide de la face;"ZZM+058;
ZZM+133;
ZZM+142";ME
ZAM+153;Fabrication sur prise d'empreinte d'une orthèse de compression rigide du cou;"ZZM+058;
ZZM+133;
ZZM+142";ME
ZAM+256;Fabrication sur prise d'empreinte d'une orthèse de compression rigide de la face et du cou;"ZZM+058;
ZZM+133;
ZZM+142";ME
ZBM+045;Fabrication sur prise d'empreinte d'une orthèse de compression rigide du tronc;"ZZM+058;
ZZM+133;
ZZM+142";ME
ZDM+033;Fabrication sur prise d'empreinte d'une orthèse de compression rigide du membre supérieur en dehors de la main;"ZZM+058;
ZZM+133;
ZZM+142";ME
ZDM+179;Fabrication sur prise d'empreinte d'une orthèse de compression rigide de la main;"ZZM+058;
ZZM+133;
ZZM+142";ME
ZEM+059;Fabrication sur prise d'empreinte d'une orthèse de compression rigide du membre inférieur en dehors du pied;"ZZM+058;
ZZM+133;
ZZM+142";ME
ZEM+111;Fabrication sur prise d'empreinte d'une orthèse de compression rigide du pied;"ZZM+058;
ZZM+133;
ZZM+142";ME
ZAM+221;Fabrication sur moulage d'une orthèse rigide de posture cutanée de la face [conformateur facial];"ZZM+058;
ZZM+133;
ZZM+142";ME
ZAM+071;Fabrication sur moulage d'une orthèse rigide de posture cutanée du cou [conformateur cervical];"ZZM+058;
ZZM+133;
ZZM+142";ME
ZAM+152;Fabrication sur moulage d'une orthèse rigide de posture cutanée de la face et du cou [conformateur cervicofacial];"ZZM+058;
ZZM+133;
ZZM+142";ME
ZAM+129;Fabrication d'une orthèse rigide de posture cutanée péribuccale [conformateur buccal];"ZZM+058;
ZZM+133;
ZZM+142";ME
ZBM+055;Fabrication d'une orthèse rigide de posture cutanée thoracique [conformateur thoracique];"ZZM+058;
ZZM+133;
ZZM+142";ME
PEM+049;Fabrication d'un appareil de maintien en position assise pour fauteuil roulant;;
PEM+155;Fabrication d'une coquille de verticalisation;;
PEM+040;Fabrication d'une coquille de maintien assis;;
ZDM+288;"Séance de préparation du moignon pour fabrication de l'emboîture de prothèse

À l'exclusion de : 
•  séance de préparation préalable à la rééducation, du moignon en phase de cicatrisation (ZDM+003)
•  séance de préparation préalable à la rééducation, du moignon cicatrisé (ZDM+013)
";;
ZDM+073;Fabrication d'une prothèse inerte ou d'une prothèse passive après désarticulation d'épaule;"ZDM+022;ZZM+117";
ZDM+011;Fabrication d'une prothèse active mécanique après désarticulation d'épaule;"ZDM+022;ZZM+117";
ZDM+231;Fabrication d'une prothèse active électrique après désarticulation d'épaule;"ZDM+022;ZZM+117";
ZDM+063;Fabrication d'une prothèse inerte ou d'une prothèse passive après amputation transhumérale ou désarticulation de coude;"ZDM+022;ZZM+117";
ZDM+164;Fabrication d'une prothèse active mécanique après amputation transhumérale ou désarticulation de coude;"ZDM+022;ZZM+117";
ZDM+230;Fabrication d'une prothèse active électrique après amputation transhumérale ou désarticulation de coude;"ZDM+022;ZZM+117";
ZDM+023;Fabrication d'une prothèse inerte ou d'une prothèse passive après amputation transradio-ulnaire ou désarticulation de poignet;"ZDM+022;ZZM+117";
ZDM+046;Fabrication d'une prothèse active mécanique après amputation transradio-ulnaire ou désarticulation de poignet;"ZDM+022;ZZM+117";
ZDM+066;Fabrication d'une prothèse active électrique après amputation transradio-ulnaire ou désarticulation de poignet;"ZDM+022;ZZM+117";
ZDM+096;Fabrication d'une prothèse active électrique après amputation partielle de main [main partielle];"ZDM+022;ZZM+117";
ZEM+241;Fabrication d'une prothèse pour désarticulation de hanche;"ZDM+022;ZZM+117";
ZEM+269;Fabrication d'une prothèse après amputation transfémorale ou désarticulation de genou;"ZDM+022;ZZM+117";
ZEM+143;Fabrication d'une prothèse après amputation transtibiale ou désarticulation de cheville;"ZDM+022;ZZM+117";
ZEM+012;Fabrication d'une prothèse après amputation partielle du pied;"ZDM+022;ZZM+117";
ZEM+218;Fabrication d'une prothèse bionique de membre inférieur;"ZDM+022;ZZM+117";
ZDM+139;"Fabrication d'un appareil d'immobilisation ou de posture du membre supérieur en plâtre ou en résine

À l'exclusion de : 
•  fabrication d'un appareil d'immobilisation ou de posture thoracobrachial en plâtre ou résine (ZBM+131)
";;
ZBM+131;Fabrication d'un appareil d'immobilisation ou de posture thoracobrachial en plâtre ou en résine;;
ZBM+209;"Fabrication d'un appareil d'immobilisation ou de posture du tronc en plâtre ou en résine

À l'exclusion de : 
•  fabrication d'un appareil d'immobilisation ou de posture thoracobrachial en plâtre ou résine (ZBM+131)
";;
ZEM+040;Fabrication d'un appareil d'immobilisation ou de posture du membre inférieur en plâtre ou en résine;;
ZZG+250;Ablation d'un appareil d'immobilisation ou de posture en plâtre ou en résine;;
ZZM+264;Transformation d'un appareil d'immobilisation ou de posture en plâtre ou en résine en appareil bivalve;;
ZZM+140;Fourniture sans adaptation de dispositif technique de compensation ou d'orthèse, de série;;
ZZM+013;Fourniture avec adaptation initiale de dispositif technique de compensation ou d'orthèse, de série;ZZM+117;
ZCM+158;Fourniture de corset coutil;;
PEM+143;"Fourniture de fauteuil roulant ou véhicule de substitution à la locomotion

Avec ou sans : 
•  fourniture d'accessoire de série pour fauteuil roulant ou véhicule de substitution à la locomotion
•  adaptation
";ZZM+117;
PEM+241;Fourniture d'accessoire de série pour fauteuil roulant ou véhicule de substitution à la locomotion;ZZM+117;
ZZM+051;"Adaptation secondaire de dispositif technique de compensation ou d'orthèse

Avec ou sans : réparation et/ou révision
";;
ZZM+193;"Adaptation secondaire de dispositif technique électronique de compensation

Avec ou sans : réparation et/ou révision
";;
ZZM+175;"Modification secondaire de dispositif technique de compensation ou d'orthèse

Avec ou sans : réparation et/ou révision
";;
ZZM+096;"Modification secondaire de dispositif technique électronique de compensation

Avec ou sans : réparation et/ou révision
";;
ZZM+080;Réparation et/ou révision de dispositif technique de compensation ou d'orthèse;;
ZDM+075;Adaptation secondaire de l'emboîture pour évolution morphologique du moignon de membre supérieur;;
ZDM+108;Fabrication secondaire d'emboîture pour prothèse externe de membre supérieur;"ZDM+022;ZZM+117";
ZDK+032;"Changement de pièce de prothèse de membre supérieur

À l'exclusion de : 
•  fabrication secondaire d'emboîture pour prothèse externe de membre supérieur (ZDM+108)
";;
ZDM+232;Adaptation secondaire de prothèse de membre supérieur au cours de la réadaptation;;
ZEM+168;Adaptation secondaire de l'emboîture pour évolution morphologique du moignon de membre inférieur;;
ZEM+013;Fabrication secondaire d'emboîture pour prothèse externe de membre inférieur;"ZDM+022;ZZM+117";
ZEK+221;"Changement de pièce de prothèse de membre inférieur

À l'exclusion de : 
•  fabrication secondaire d'emboîture pour prothèse externe de membre inférieur (ZEM+013)
";;
ZEM+128;Adaptation secondaire des alignements de prothèse de membre inférieur au cours de la réadaptation;;
PEM+264;Adaptation secondaire de fauteuil roulant ou de véhicule de substitution à la locomotion;;
PEM+112;Réglage secondaire de fauteuil roulant ou de véhicule de substitution à la locomotion;;
PEM+025;Réparation mécanique de fauteuil roulant ou de véhicule de substitution à la locomotion;;
PEM+114;Réparation électronique de fauteuil roulant ou de véhicule de substitution à la locomotion;;
ZZR+053;"Séance d'apprentissage et entrainement à l'utilisation de dispositif technique de compensation

À l'exclusion de : 
•  apprentissage et entrainement à l'utilisation de dispositif technique de compensation informatique ou électronique (ZZR+038)
";;
ZZR+038;Séance d'apprentissage et entrainement à l'utilisation de dispositif technique de compensation informatique ou électronique;;
MKR+226;Séance de réapprentissage de la préhension avec orthèse;;
NKR+189;Séance de réapprentissage de la marche avec orthèse;;
ZDM+003;Séance de préparation préalable à la rééducation, du moignon en phase de cicatrisation;;EZ
ZDM+013;Séance de préparation préalable à la rééducation, du moignon cicatrisé;;EZ
ZDR+067;"Séance d'apprentissage du chaussage d'une prothèse de membre

Codage : cet acte ne peut être codé que s'il est réalisé isolément et pour un seul patient
";;
MKR+074;Séance d'apprentissage de la préhension avec prothèse;;EZ
NKR+266;Séance de réapprentissage de la marche avec prothèse;;"EZ;TF;RW;HW;LJ"
PCR+143;Séance de rééducation musculaire individuelle pour utilisation de fauteuil roulant manuel;;EZ
PCR+125;Séance de rééducation musculaire collective pour utilisation de fauteuil roulant manuel;;
PER+132;Séance d'apprentissage à l'utilisation d'un fauteuil roulant ou d'un véhicule de substitution à la locomotion sur parcours aménagé prédéfini [parcours fauteuil roulant];;"EZ;TF;RW;HW;LJ"
PER+103;Séance d'apprentissage de l'utilisation d'un fauteuil roulant ou d'un véhicule de substitution à la locomotion en établissement;;
PER+043;Séance d'apprentissage à l'utilisation d'un fauteuil roulant électrique;;"EZ;TF;RW;HW;LJ"
PER+113;Séance individuelle de perfectionnement et/ou d'entrainement à l'utilisation d'un fauteuil roulant ou d'un véhicule de substitution à la locomotion sur parcours aménagé [parcours fauteuil roulant];;"TF;RW;HW;LJ"
PER+207;Séance collective de perfectionnement et/ou d'entrainement à l'utilisation d'un fauteuil roulant ou d'un véhicule de substitution à la locomotion sur parcours aménagé [parcours fauteuil roulant];;"TF;RW;HW;LJ"
ZZC+255;"Diagnostic éducatif initial sans établissement de programme personnalisé d'éducation thérapeutique

Avec ou sans : entretien avec l'entourage du patient
";;
ZZC+028;"Diagnostic éducatif initial avec établissement d'un programme personnalisé d'éducation thérapeutique

Avec ou sans : entretien avec l'entourage du patient
";;
ZZQ+027;"Évaluation intermédiaire des compétences acquises au cours d'un programme personnalisé d'éducation thérapeutique

Avec ou sans : entretien avec l'entourage du patient
";;
ZZQ+261;"Évaluation finale des compétences acquises au cours d'un programme personnalisé d'éducation thérapeutique

Avec ou sans : entretien avec l'entourage du patient
";;
ZZR+227;"Séance individuelle d'éducation thérapeutique

Avec ou sans : participation de l'entourage du patient
";;
ZZR+238;"Séance collective d'éducation thérapeutique en atelier

Avec ou sans : participation de l'entourage du patient
";;
ZZQ+192;"Évaluation initiale pour éducation, en dehors d'un programme d'éducation thérapeutique

Avec ou sans : entretien avec l'entourage du patient
";;
ZZQ+243;"Évaluation intermédiaire pour éducation, en dehors d'un programme d'éducation thérapeutique

Avec ou sans : entretien avec l'entourage du patient
";;
ZZQ+112;"Évaluation finale pour éducation, en dehors d'un programme d'éducation thérapeutique

Avec ou sans : entretien avec l'entourage du patient
";;
ZZR+018;Information et initiation individuelle préalable à l'apprentissage d'un autosoin, en dehors d'un programme d'éducation thérapeutique;;
