NAF_NAF_COD;NAF_COD_LIB;TEC_COL
853H;Aide par le travail, ateliers protégés;0
853J;Aide à domicile;0
853K;Autres formes d'action sociale;0
900A;Collecte et traitement des eaux usées;0
900B;Enlèvement et traitement des ordures ménagères;0
900E;Traitement des autres déchets;0
900G;Autres travaux d'assainissement et de voirie;0
911A;Organisations patronales et consulaires;0
911C;Organisations professionnelles;0
912Z;Syndicats de salariés;0
913A;Organisations religieuses;0
913C;Organisations politiques;0
913E;Organisations associatives n.c.a.;0
921A;Production de films pour la télévision;0
921B;Production de films institutionnels et publicitaires;0
921C;Production de films pour le cinéma;0
921D;Prestations techniques pour le cinéma et la télévision;0
921F;Distribution de films cinématographiques;0
921G;Édition et distribution vidéo;0
921J;Projection de films cinématographiques;0
922A;Activités de radio;0
922B;Production de programmes de télévision;0
922D;Edition de chaînes généralistes;0
922E;Edition de chaînes thématiques;0
922F;Distribution de bouquets de programmes de radio et de télévision;0
923A;Activités artistiques;0
923B;Services annexes aux spectacles;0
923D;Gestion de salles de spectacle;0
923F;Manèges forains et parcs d'attractions;0
923K;Activités diverses du spectacle;0
924Z;Agences de presse;0
925A;Gestion des bibliothèques;0
925C;Gestion du patrimoine culturel;0
925E;Gestion du patrimoine naturel;0
926A;Gestion d'installations sportives;0
926C;Autres activités sportives;0
927A;Jeux de hasard et d'argent;0
927C;Autres activités récréatives;0
930A;Blanchisserie - teinturerie de gros;0
930B;Blanchisserie - teinturerie de détail;0
930D;Coiffure;0
930E;Soins de beauté;0
930G;Soins aux défunts;0
930H;Pompes funèbres;0
930K;Activités thermales et de thalassothérapie;0
930L;Autres soins corporels;0
930N;Autres services personnels;0
950Z;Activités des ménages en tant qu'employeur de personnel domestique;0
960Z;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;0
970Z;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;0
990Z;Activités extra-territoriales;0
0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;0
0112Z;Culture du riz;0
0113Z;Culture de légumes, de melons, de racines et de tubercules;0
0114Z;Culture de la canne à sucre;0
0115Z;Culture du tabac;0
0116Z;Culture de plantes à fibres;0
0119Z;Autres cultures non permanentes;0
0121Z;Culture de la vigne;0
0122Z;Culture de fruits tropicaux et subtropicaux;0
0123Z;Culture d'agrumes;0
0124Z;Culture de fruits à pépins et à noyau;0
0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0
0126Z;Culture de fruits oléagineux;0
0127Z;Culture de plantes à boissons;0
0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0
0129Z;Autres cultures permanentes;0
0130Z;Activités des pépinières;0
0141Z;Élevage de vaches laitières;0
0142Z;Élevage d'autres bovins et de buffles;0
0143Z;Élevage de chevaux et d'autres équidés;0
0144Z;Élevage de chameaux et d'autres camélidés;0
0145Z;Élevage d'ovins et de caprins;0
0146Z;Élevage de porcins;0
0147Z;Élevage de volailles;0
0149Z;Élevage d'autres animaux;0
0150Z;Culture et élevage associés;0
0161Z;Activités de soutien aux cultures;0
0162Z;Activités de soutien à la production animale;0
0163Z;Traitement primaire des récoltes;0
0164Z;Traitement des semences;0
0170Z;Chasse, piégeage et services annexes;0
0210Z;Sylviculture et autres activités forestières;0
0220Z;Exploitation forestière;0
0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;0
0240Z;Services de soutien à l'exploitation forestière;0
0311Z;Pêche en mer;0
0312Z;Pêche en eau douce;0
0321Z;Aquaculture en mer;0
0322Z;Aquaculture en eau douce;0
0510Z;Extraction de houille;0
0520Z;Extraction de lignite;0
0610Z;Extraction de pétrole brut;0
0620Z;Extraction de gaz naturel;0
0710Z;Extraction de minerais de fer;0
0721Z;Extraction de minerais d'uranium et de thorium;0
212C;Fabrication d'emballages en papier;0
212E;Fabrication d'articles en papier à usage sanitaire ou domestique;0
212G;Fabrication d'articles de papeterie;0
212J;Fabrication de papiers peints;0
212L;Fabrication d'autres articles en papier ou en carton;0
221A;Edition de livres;0
221C;Édition de journaux;0
221E;Édition de revues et périodiques;0
221G;Édition d'enregistrements sonores;0
221J;Autres activités d'édition;0
222A;Imprimerie de journaux;0
222C;Autre imprimerie (labeur);0
222E;Reliure;0
222G;Activités de pré-presse;0
222J;Activités graphiques auxiliaires;0
223A;Reproduction d'enregistrements sonores;0
223C;Reproduction d'enregistrements vidéo;0
223E;Reproduction d'enregistrements informatiques;0
231Z;Cokéfaction;0
232Z;Raffinage de pétrole;0
233Z;Elaboration et transformation de matières nucléaires;0
241A;Fabrication de gaz industriels;0
241C;Fabrication de colorants et de pigments;0
241E;Fabrication d'autres produits chimiques inorganiques de base;0
241G;Fabrication d'autres produits chimiques organiques de base;0
241J;Fabrication de produits azotés et d'engrais;0
241L;Fabrication de matières plastiques de base;0
241N;Fabrication de caoutchouc synthétique;0
242Z;Fabrication de produits agrochimiques;0
243Z;Fabrication de peintures et vernis;0
244A;Fabrication de produits pharmaceutiques de base;0
244C;Fabrication de médicaments;0
011A;Culture de céréales , cultures industrielles;0
011C;Culture de légumes , maraîchage;0
011D;Horticulture , pépinières;0
011F;Culture fruitière;0
011G;Viticulture;0
012A;Élevage de bovins;0
012C;Élevage d'ovins, caprins et équidés;0
012E;Élevage de porcins;0
012G;Élevage de volailles;0
012J;Élevage d'autres animaux;0
013Z;Culture et élevage associés;0
014A;Services aux cultures productives;0
014B;Réalisation et entretien de plantations ornementales;0
014D;Services annexes à l'élevage;0
015Z;Chasse;0
020A;Sylviculture;0
020B;Exploitation forestière;0
020D;Services forestiers;0
050A;Pêche;0
050C;Pisciculture, aquaculture;0
101Z;Extraction et agglomération de la houille;0
102Z;Extraction et agglomération du lignite;0
103Z;Extraction et agglomération de la tourbe;0
111Z;Extraction d'hydrocarbures;0
112Z;Services annexes à l'extraction d'hydrocarbures;0
120Z;Extraction de minerais d'uranium;0
131Z;Extraction de minerais de fer;0
132Z;Extraction de minerais de métaux non ferreux;0
141A;Extraction de pierres ornementales et de construction;0
141C;Extraction de calcaire industriel, de gypse et de craie;0
141E;Extraction d'ardoise;0
142A;Production de sables et de granulats;0
142C;Extraction d'argiles et de kaolin;0
143Z;Extraction de minéraux pour l'industrie chimique et d'engrais naturels;0
144Z;Production de sel;0
145Z;Activités extractives n.c.a.;0
151A;Production de viandes de boucherie;0
151C;Production de viandes de volailles;0
151E;Préparation industrielle de produits à base de viandes;0
151F;Charcuterie;0
152Z;Industrie du poisson;0
153A;Transformation et conservation de pommes de terre;0
153C;Préparation de jus de fruits et légumes;0
153E;Transformation et conservation de légumes;0
153F;Transformation et conservation de fruits;0
154A;Fabrication d'huiles et graisses brutes;0
154C;Fabrication d'huiles et graisses raffinées;0
154E;Fabrication de margarine;0
155A;Fabrication de lait liquide et de produits frais;0
155B;Fabrication de beurre;0
155C;Fabrication de fromages;0
155D;Fabrication d'autres produits laitiers;0
155F;Fabrication de glaces et sorbets;0
156A;Meunerie;0
156B;Autres activités de travail des grains;0
156D;Fabrication de produits amylacés;0
157A;Fabrication d'aliments pour animaux de ferme;0
157C;Fabrication d'aliments pour animaux de compagnie;0
158A;Fabrication industrielle de pain et de pâtisserie fraîche;0
158B;Cuisson de produits de boulangerie;0
158C;Boulangerie et boulangerie-pâtisserie;0
158D;Pâtisserie;0
158F;Biscotterie, biscuiterie, pâtisserie de conservation;0
158H;Fabrication de sucre;0
158K;Chocolaterie, confiserie;0
158M;Fabrication de pâtes alimentaires;0
158P;Transformation du thé et du café;0
158R;Fabrication de condiments et assaisonnements;0
158T;Fabrication d'aliments adaptés à l'enfant et diététiques;0
158V;Industries alimentaires n.c.a.;0
159A;Production d'eaux de vie naturelles;0
159B;Fabrication de spiritueux;0
159D;Production d'alcool éthylique de fermentation;0
159F;Champagnisation;0
159G;Vinification;0
159J;Cidrerie;0
159L;Production d'autres boissons fermentées;0
159N;Brasserie;0
159Q;Malterie;0
159S;Industrie des eaux de table;0
159T;Production de boissons rafraîchissantes;0
160Z;Industrie du tabac;0
171A;Filature de l'industrie cotonnière;0
171C;Filature de l'industrie lainière - cycle cardé;0
171E;Préparation de la laine;0
171F;Filature de l'industrie lainière - cycle peigné;0
171H;Préparation et filature du lin;0
171K;Moulinage et texturation de la soie et des textiles artificiels ou synthétiques;0
171M;Fabrication de fils à coudre;0
171P;Préparation et filature d'autres fibres;0
172A;Tissage de l'industrie cotonnière;0
172C;Tissage de l'industrie lainière - cycle cardé;0
172E;Tissage de l'industrie lainière - cycle peigné;0
172G;Tissage de soieries;0
172J;Tissage d'autres textiles;0
173Z;Ennoblissement textile;0
174A;Fabrication de linge de maison et d'articles d'ameublement;0
174B;Fabrication de petits articles textiles de literie;0
174C;Fabrication d'autres articles confectionnés en textile;0
175A;Fabrication de tapis et moquettes;0
175C;Ficellerie, corderie, fabrication de filets;0
175E;Fabrication de non-tissés;0
175G;Industries textiles n.c.a.;0
176Z;Fabrication d'étoffes à mailles;0
177A;Fabrication de bas et chaussettes;0
177C;Fabrication de pull-overs et articles similaires;0
181Z;Fabrication de vêtements en cuir;0
182A;Fabrication de vêtements de travail;0
182C;Fabrication de vêtements sur mesure;0
182D;Fabrication de vêtements de dessus pour hommes et garçonnets;0
182E;Fabrication de vêtements de dessus pour femmes et fillettes;0
182G;Fabrication de vêtements de dessous;0
182J;Fabrication d'autres vêtements et accessoires;0
183Z;Industrie des fourrures;0
191Z;Apprêt et tannage des cuirs;0
192Z;Fabrication d'articles de voyage et de maroquinerie;0
193Z;Fabrication de chaussures;0
201A;Sciage et rabotage du bois;0
201B;Imprégnation du bois;0
202Z;Fabrication de panneaux de bois;0
203Z;Fabrication de charpentes et de menuiseries;0
204Z;Fabrication d'emballages en bois;0
205A;Fabrication d'objets divers en bois;0
205C;Fabrication d'objets en liège, vannerie ou sparterie;0
211A;Fabrication de pâte à papier;0
211C;Fabrication de papier et de carton;0
212A;Fabrication de carton ondulé;0
212B;Fabrication de cartonnages;0
244D;Fabrication d'autres produits pharmaceutiques;0
245A;Fabrication de savons, détergents et produits d'entretien;0
245C;Fabrication de parfums et de produits pour la toilette;0
246A;Fabrication de produits explosifs;0
246C;Fabrication de colles et gélatines;0
246E;Fabrication d'huiles essentielles;0
246G;Fabrication de produits chimiques pour la photographie;0
246J;Fabrication de supports de données;0
246L;Fabrication de produits chimiques à usage industriel;0
247Z;Fabrication de fibres artificielles ou synthétiques;0
251A;Fabrication de pneumatiques;0
251C;Rechapage de pneumatiques;0
251E;Fabrication d'autres articles en caoutchouc;0
252A;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;0
252C;Fabrication d'emballages en matières plastiques;0
252E;Fabrication d'éléments en matières plastiques pour la construction;0
252G;Fabrication d'articles divers en matières plastiques;0
252H;Fabrication de pièces techniques en matières plastiques;0
261A;Fabrication de verre plat;0
261C;Façonnage et transformation du verre plat;0
261E;Fabrication de verre creux;0
261G;Fabrication de fibres de verre;0
261J;Fabrication et façonnage d'autres articles techniques en verre;0
261K;Fabrication d'isolateurs en verre;0
262A;Fabrication d'articles céramiques à usage domestique ou ornemental;0
262C;Fabrication d'appareils sanitaires en céramique;0
262E;Fabrication d'isolateurs et pièces isolantes en céramique;0
262G;Fabrication d'autres produits céramiques à usage technique;0
262J;Fabrication d'autres produits céramiques;0
262L;Fabrication de produits céramiques réfractaires;0
263Z;Fabrication de carreaux en céramique;0
264A;Fabrication de briques;0
264B;Fabrication de tuiles;0
264C;Fabrication de produits divers en terre cuite;0
265A;Fabrication de ciment;0
265C;Fabrication de chaux;0
265E;Fabrication de plâtre;0
266A;Fabrication d'éléments en béton pour la construction;0
266C;Fabrication d'éléments en plâtre pour la construction;0
266E;Fabrication de béton prêt à l'emploi;0
266G;Fabrication de mortiers et bétons secs;0
266J;Fabrication d'ouvrages en fibre-ciment;0
266L;Fabrication d'autres ouvrages en béton ou en plâtre;0
267Z;Taille, façonnage et finissage de pierres ornementales et de construction;0
268A;Fabrication de produits abrasifs;0
268C;Fabrication de produits minéraux non métalliques n.c.a.;0
271Y;Sidérurgie;0
272A;Fabrication de tubes en fonte;0
272C;Fabrication de tubes en acier;0
273A;Étirage à froid;0
273C;Laminage à froid de feuillards;0
273E;Profilage à froid par formage ou pliage;0
273G;Tréfilage à froid;0
274A;Production de métaux précieux;0
274C;Production d'aluminium;0
274D;Première transformation de l'aluminium;0
274F;Production de plomb, de zinc ou d'étain;0
274G;Première transformation du plomb, du zinc ou de l'étain;0
274J;Production de cuivre;0
274K;Première transformation du cuivre;0
274M;Métallurgie des autres métaux non ferreux;0
275A;Fonderie de fonte;0
275C;Fonderie d'acier;0
275E;Fonderie de métaux légers;0
275G;Fonderie d'autres métaux non ferreux;0
281A;Fabrication de constructions métalliques;0
281C;Fabrication de menuiseries et fermetures métalliques;0
282C;Fabrication de réservoirs, citernes et conteneurs métalliques;0
282D;Fabrication de radiateurs et de chaudières pour le chauffage central;0
283A;Fabrication de générateurs de vapeur;0
283B;Chaudronnerie nucléaire;0
283C;Chaudronnerie-tuyauterie;0
284A;Forge, estampage, matriçage;0
284B;Découpage, emboutissage;0
284C;Métallurgie des poudres;0
285A;Traitement et revêtement des métaux;0
285C;Décolletage;0
285D;Mécanique générale;0
286A;Fabrication de coutellerie;0
286C;Fabrication d'outillage à main;0
286D;Fabrication d'outillage mécanique;0
286F;Fabrication de serrures et de ferrures;0
287A;Fabrication de fûts et emballages métalliques similaires;0
287C;Fabrication d'emballages métalliques légers;0
287E;Fabrication d'articles en fils métalliques;0
287G;Visserie et boulonnerie;0
287H;Fabrication de ressorts;0
287J;Fabrication de chaînes;0
287L;Fabrication d'articles métalliques ménagers;0
287N;Fabrication de petits articles métalliques;0
287Q;Fabrication d'articles métalliques divers;0
291A;Fabrication de moteurs et turbines;0
291B;Fabrication de pompes;0
291D;Fabrication de transmissions hydrauliques et pneumatiques;0
291E;Fabrication de compresseurs;0
291F;Fabrication d'articles de robinetterie;0
291H;Fabrication de roulements;0
291J;Fabrication d'organes mécaniques de transmission;0
292A;Fabrication de fours et brûleurs;0
292C;Fabrication d'ascenseurs, monte-charges et escaliers mécaniques;0
292D;Fabrication d'équipements de levage et de manutention;0
292F;Fabrication d'équipements aérauliques et frigorifiques industriels;0
292H;Fabrication d'équipements d'emballage et de conditionnement;0
292J;Fabrication d'appareils de pesage;0
292L;Fabrication de matériels pour les industries chimiques;0
292M;Fabrication d'autres machines d'usage général;0
293A;Fabrication de tracteurs agricoles;0
293C;Réparation de matériel agricole;0
293D;Fabrication de matériel agricole;0
294A;Fabrication de machines-outils à métaux;0
294B;Fabrication de machines-outils à bois;0
294C;Fabrication de machines-outils portatives à moteur incorporé;0
294D;Fabrication de matériel de soudage;0
294E;Fabrication d'autres-machines outils;0
295A;Fabrication de machines pour la métallurgie;0
295B;Fabrication de matériels de mine pour l'extraction;0
295D;Fabrication de matériels de travaux publics;0
295E;Fabrication de machines pour l'industrie agroalimentaire;0
295G;Fabrication de machines pour les industries textiles;0
295J;Fabrication de machines pour les industries du papier et du carton;0
295L;Fabrication de machines d'imprimerie;0
295M;Fabrication de machines pour le travail du caoutchouc ou des plastiques;0
295N;Fabrication de moules et modèles;0
295Q;Fabrication de machines d'assemblage automatique;0
295R;Fabrication de machines spécialisées diverses;0
296A;Fabrication d'armement;0
296B;Fabrication d'armes de chasse, de tir et de défense;0
297A;Fabrication d'appareils électroménagers;0
297C;Fabrication d'appareils ménagers non électriques;0
300A;Fabrication de machines de bureau;0
300C;Fabrication d'ordinateurs et d'autres équipements informatiques;0
311A;Fabrication de moteurs, génératrices et transformateurs électriques de petite et moyenne puissance;0
311B;Fabrication de moteurs, génératrices et transformateurs électriques de grande puissance;0
311C;Réparation de matériels électriques;0
312A;Fabrication de matériel de distribution et de commande électrique pour basse tension;0
312B;Fabrication de matériel de distribution et de commande électrique pour haute tension;0
313Z;Fabrication de fils et câbles isolés;0
314Z;Fabrication d'accumulateurs et de piles électriques;0
315A;Fabrication de lampes;0
315B;Fabrication d'appareils électriques autonomes de sécurité;0
315C;Fabrication d'appareils d'éclairage;0
316A;Fabrication de matériels électriques pour moteurs et véhicules;0
316C;Fabrication de matériel électromagnétique industriel;0
316D;Fabrication de matériels électriques n.c.a.;0
321A;Fabrication de composants passifs et de condensateurs;0
321C;Fabrication de composants électroniques actifs;0
321D;Assemblage de cartes électroniques pour compte de tiers;0
322A;Fabrication d'équipements d'émission et de transmission hertzienne;0
322B;Fabrication d'appareils de téléphonie;0
323Z;Fabrication d'appareils de réception, enregistrement ou reproduction du son et de l'image;0
331A;Fabrication de matériel d'imagerie médicale et de radiologie;0
331B;Fabrication d'appareils médico-chirurgicaux;0
332A;Fabrication d'équipements d'aide à la navigation;0
332B;Fabrication d'instruments scientifiques et techniques;0
333Z;Fabrication d'équipements de contrôle des processus industriels;0
334A;Fabrication de lunettes;0
334B;Fabrication d'instruments d'optique et de matériel photographique;0
335Z;Horlogerie;0
341Z;Construction de véhicules automobiles;0
342A;Fabrication de carrosseries automobiles;0
342B;Fabrication de caravanes et véhicules de loisirs;0
343Z;Fabrication d'équipements automobiles;0
351A;Construction de bâtiments de guerre;0
351B;Construction de navires civils;0
351C;Réparation navale;0
351E;Construction de bateaux de plaisance;0
352Z;Construction de matériel ferroviaire roulant;0
353A;Construction de moteurs pour aéronefs;0
353B;Construction de cellules d'aéronefs;0
353C;Construction de lanceurs et engins spatiaux;0
354A;Fabrication de motocycles;0
354C;Fabrication de bicyclettes;0
354E;Fabrication de véhicules pour invalides;0
355Z;Fabrication de matériels de transport n.c.a.;0
361A;Fabrication de sièges;0
361C;Fabrication de meubles de bureau et de magasin;0
361E;Fabrication de meubles de cuisine;0
361G;Fabrication de meubles meublant;0
361H;Fabrication de meubles de jardin et d'extérieur;0
361J;Fabrication de meubles n.c.a.;0
361K;Industries connexes de l'ameublement;0
361M;Fabrication de matelas;0
362A;Fabrication de monnaies;0
362C;Bijouterie, joaillerie, orfèvrerie;0
363Z;Fabrication d'instruments de musique;0
364Z;Fabrication d'articles de sport;0
365Z;Fabrication de jeux et jouets;0
366A;Bijouterie fantaisie;0
366C;Industrie de la brosserie;0
366E;Autres activités manufacturières n.c.a.;0
371Z;Récupération de matières métalliques recyclables;0
372Z;Récupération de matières non métalliques recyclables;0
401A;Production d'électricité;0
401C;Transport d'électricité;0
401E;Distribution et commerce d'électricité;0
402A;Production de gaz manufacturé;0
402C;Distribution de combustibles gazeux;0
403Z;Production et distribution de chaleur;0
410Z;Captage, traitement et distribution d'eau;0
451A;Terrassements divers, démolition;0
451B;Terrassements en grande masse;0
451D;Forages et sondages;0
452A;Construction de maisons individuelles;0
452B;Construction de bâtiments divers;0
452C;Construction d'ouvrages d'art;0
452D;Travaux souterrains;0
452E;Réalisation de réseaux;0
452F;Construction de lignes électriques et de télécommunication;0
452J;Travaux de couverture par éléments;0
452K;Travaux d'étanchéification;0
452L;Travaux de charpente;0
452N;Construction de voies ferrées;0
452P;Construction de chaussées routières et de sols sportifs;0
452R;Travaux maritimes et fluviaux;0
452T;Levage, montage;0
452U;Autres travaux spécialisés de construction;0
452V;Travaux de maçonnerie générale;0
453A;Travaux d'installation électrique;0
453C;Travaux d'isolation;0
453E;Installation d'eau et de gaz;0
453F;Installation d'équipements thermiques et de climatisation;0
453H;Autres travaux d'installation;0
454A;Plâtrerie;0
454C;Menuiserie bois et matières plastiques;0
454D;Menuiserie métallique , serrurerie;0
454F;Revêtement des sols et des murs;0
454H;Miroiterie de bâtiment, vitrerie;0
454J;Peinture;0
454L;Agencement de lieux de vente;0
454M;Travaux de finition n.c.a.;0
455Z;Location avec opérateur de matériel de construction;0
501Z;Commerce de véhicules automobiles;0
502Z;Entretien et réparation de véhicules automobiles;0
503A;Commerce de gros d'équipements automobiles;0
503B;Commerce de détail d'équipements automobiles;0
504Z;Commerce et réparation de motocycles;0
505Z;Commerce de détail de carburants;0
511A;Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et demi-produits;0
511C;Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;0
511E;Intermédiaires du commerce en bois et matériaux de construction;0
511G;Intermédiaires du commerce en machines, équipements industriels, navires et avions;0
511J;Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;0
511L;Intermédiaires du commerce en textiles, habillement, chaussures et articles en cuir;0
511N;Intermédiaires du commerce en produits alimentaires;0
511P;Centrales d'achats alimentaires;0
511R;Autres intermédiaires spécialisés du commerce;0
511T;Intermédiaires non spécialisés du commerce;0
511U;Centrales d'achats non alimentaires;0
512A;Commerce de gros de céréales et aliments pour le bétail;0
512C;Commerce de gros de fleurs et plantes;0
512E;Commerce de gros d'animaux vivants;0
512G;Commerce de gros de cuirs et peaux;0
512J;Commerce de gros de tabac non manufacturé;0
513A;Commerce de gros de fruits et légumes;0
513C;Commerce de gros de viandes de boucherie;0
513D;Commerce de gros de produits à base de viande;0
513E;Commerce de gros de volailles et gibiers;0
513G;Commerce de gros de produits laitiers, ½ufs, huiles;0
513J;Commerce de gros de boissons;0
513L;Commerce de gros de tabac;0
513N;Commerce de gros  de sucre, chocolat et confiserie;0
513Q;Commerce de gros de café, thé, cacao et épices;0
513S;Commerce de gros de poissons, crustacés et mollusques;0
513T;Commerces de gros alimentaires spécialisés divers;0
513V;Commerce de gros de produits surgelés;0
513W;Commerce de gros alimentaire non spécialisé;0
514A;Commerce de gros de textiles;0
514C;Commerce de gros d'habillement;0
514D;Commerce de gros de la chaussure;0
514F;Commerce de gros d'appareils électroménagers et de radios et télévisions;0
514H;Commerce de gros de vaisselle et verrerie de ménage;0
514J;Commerce de gros de produits pour l'entretien et  l'aménagement de l'habitat;0
514L;Commerce de gros de parfumerie et de produits de beauté;0
514N;Commerce de gros de produits pharmaceutiques;0
514Q;Commerce de gros de papeterie;0
514R;Commerce de gros de jouets;0
514S;Autres commerces de gros de biens de consommation;0
515A;Commerce de gros de combustibles;0
515C;Commerce de gros de minerais et métaux;0
515E;Commerce de gros de bois et de produits dérivés;0
515F;Commerce de gros de matériaux de construction et d'appareils sanitaires;0
515H;Commerce de gros de quincaillerie;0
515J;Commerce de gros de fournitures pour plomberie et chauffage;0
515L;Commerce de gros de produits chimiques;0
515N;Commerce de gros d'autres produits intermédiaires;0
515Q;Commerce de gros de déchets et débris;0
518A;Commerce de gros de machines-outils;0
518C;Commerce de gros de machines pour l'extraction, la construction et le génie civil;0
518E;Commerce de gros de machines pour l'industrie textile et l'habillement;0
518G;Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de progiciels;0
518H;Commerce de gros d'autres machines et équipements de bureau;0
518J;Commerce de gros de composants et d'autres équipements électroniques;0
518L;Commerce de gros de matériel électrique;0
518M;Commerce de gros de fournitures et équipements industriels divers;0
518N;Commerce de gros de fournitures et équipements divers pour le commerce et les services;0
518P;Commerce de gros de matériel agricole;0
519A;Autres commerces de gros spécialisés;0
519B;Commerce de gros non spécialisé;0
521A;Commerce de détail de produits surgelés;0
521B;Commerce d'alimentation générale;0
521C;Supérettes;0
521D;Supermarchés;0
521E;Magasins populaires;0
521F;Hypermarchés;0
521H;Grands magasins;0
521J;Autres commerces de détail en magasin non spécialisé;0
522A;Commerce de détail de fruits et légumes;0
522C;Commerce de détail de viandes et produits à base de viande;0
522E;Commerce de détail de poissons, crustacés et mollusques;0
522G;Commerce de détail de pain, pâtisserie et confiserie;0
522J;Commerce de détail de boissons;0
522L;Commerce de détail de tabac;0
522N;Commerce de détail de produits laitiers;0
522P;Commerces de détail alimentaires spécialisés divers;0
523A;Commerce de détail de produits pharmaceutiques;0
523C;Commerce de détail d'articles médicaux et orthopédiques;0
523E;Commerce de détail de parfumerie et de produits de beauté;0
524A;Commerce de détail de textiles;0
524C;Commerce de détail d'habillement;0
524E;Commerce de détail de la chaussure;0
524F;Commerce de détail de maroquinerie et d'articles de voyage;0
524H;Commerce de détail de meubles;0
524J;Commerce de détail d'équipement du foyer;0
524L;Commerce de détail d'appareils électroménagers, de radio et de télévision;0
524N;Commerce de détail de quincaillerie;0
524P;Commerce de détail de bricolage;0
524R;Commerce de détail de livres, journaux et papeterie;0
524T;Commerce de détail d'optique et de photographie;0
524U;Commerce de détail de revêtements de sols et de murs;0
524V;Commerce de détail d'horlogerie et de bijouterie;0
524W;Commerce de détail d'articles de sport et de loisir;0
524X;Commerce de détail de fleurs;0
524Y;Commerce de détail de charbons et combustibles;0
524Z;Commerces de détail divers en magasin spécialisé;0
525Z;Commerce de détail de biens d'occasion;0
526A;Vente par correspondance sur catalogue général;0
526B;Vente par correspondance spécialisée;0
526D;Commerce de détail alimentaire sur éventaires et marchés;0
526E;Commerce de détail non alimentaire sur éventaires et marchés;0
526G;Vente à domicile;0
526H;Vente par automate;0
527A;Réparation de chaussures et d'articles en cuir;0
527C;Réparation de matériel électronique grand public;0
527D;Réparation d'appareils électroménagers;0
527F;Réparation de montres, horloges et bijoux;0
527H;Réparation d'articles personnels et domestiques n.c.a.;0
551A;Hôtels touristiques avec restaurant;0
551C;Hôtels touristiques sans restaurant;0
551E;Autres hôtels;0
552A;Auberges de jeunesse et refuges;0
552C;Exploitation de terrains de camping;0
552E;Autre hébergement touristique;0
552F;Hébergement collectif non touristique;0
553A;Restaurants de type traditionnel;0
553B;Restauration de type rapide;0
554A;Cafés tabacs;0
554B;Débits de boissons;0
554C;Discothèques;0
555A;Cantines et restaurants d'entreprises;0
555C;Restauration collective sous contrat;0
555D;Traiteurs, organisation de réceptions;0
601Z;Transports ferroviaires;0
602A;Transports urbains de voyageurs;0
602B;Transports routiers réguliers de voyageurs;0
602C;Téléphériques, remontées mécaniques;0
602E;Transport de voyageurs par taxis;0
602G;Autres transports routiers de voyageurs;0
602L;Transports routiers de marchandises de proximité;0
602M;Transports routiers de marchandises interurbains;0
602N;Déménagement;0
602P;Location de camions avec conducteur;0
603Z;Transports par conduites;0
611A;Transports maritimes;0
611B;Transports côtiers;0
612Z;Transports fluviaux;0
621Z;Transports aériens réguliers;0
622Z;Transports aériens non réguliers;0
623Z;Transports spatiaux;0
631A;Manutention portuaire;0
631B;Manutention non portuaire;0
631D;Entreposage frigorifique;0
631E;Entreposage non frigorifique;0
632A;Gestion d'infrastructures de transports terrestres;0
632C;Services portuaires, maritimes et fluviaux;0
632E;Services aéroportuaires;0
633Z;Agences de voyage;0
634A;Messagerie, fret express;0
634B;Affrètement;0
634C;Organisation des transports internationaux;0
641A;Postes nationales;0
641C;Autres activités de courrier;0
642C;Télécommunications (hors transmission audiovisuelle);0
642D;Transmission d'émissions de radio et de télévision;0
651A;Banque centrale;0
651C;Banques;0
651D;Banques mutualistes;0
651E;Caisses d'épargne;0
651F;Intermédiations monétaires n.c.a.;0
652A;Crédit bail;0
652C;Distribution de crédit;0
652E;Organismes de placement en valeurs mobilières;0
652F;Intermédiations financières diverses;0
660A;Assurance-vie et capitalisation;0
660C;Caisses de retraite;0
660E;Assurance dommages;0
660F;Réassurance;0
660G;Assurance relevant du code de la mutualité;0
671A;Administration de marchés financiers;0
671C;Gestion de portefeuilles;0
671E;Autres auxiliaires financiers;0
672Z;Auxiliaires d'assurance;0
701A;Promotion immobilière de logements;0
701B;Promotion immobilière de bureaux;0
701C;Promotion immobilière d'infrastructures;0
701D;Supports juridiques de programmes;0
701F;Marchands de biens immobiliers;0
702A;Location de logements;0
702B;Location de terrains;0
702C;Location d'autres biens immobiliers;0
703A;Agences immobilières;0
703C;Administration d'immeubles résidentiels;0
703D;Administration d'autres biens immobiliers;0
703E;Supports juridiques de gestion de patrimoine;0
711A;Location de courte durée de véhicules automobiles;0
711B;Location de longue durée de véhicules automobiles;0
712A;Location d'autres matériels de transport terrestre;0
712C;Location de matériels de transport par eau;0
712E;Location d'appareils de transport aérien;0
713A;Location de matériel agricole;0
