ETB_CAT_COD;ETB_CAT_LIB;ETB_CAT_RG1;ETB_CR1_LIB;ETB_CAT_RG2;ETB_CR2_LIB;ETB_CAT_RG3;ETB_CR3_LIB
132;CENTRE DE TRANSFUSION SANGUINE (C.T.S.);3401;TRANSFUSION SANGUINE;34;AUTRES ETABLISSEMENTS A CARACTERE SANITAIRE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
133;POSTE DE TRANSFUSION SANGUINE;3401;TRANSFUSION SANGUINE;34;AUTRES ETABLISSEMENTS A CARACTERE SANITAIRE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
134;CENTRE DE TRANSFUSION SANGUINE ET DE DESSICCATION DU PLASMA;3401;TRANSFUSION SANGUINE;34;AUTRES ETABLISSEMENTS A CARACTERE SANITAIRE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
135;MAISON DE READAPTATION FONCTIONNELLE;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
138;CENTRE DE D HEMODIALYSE PERIODIQUE;1203;DIALYSE AMBULATOIRE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
139;CENTRE DE D HEMODIALYSE ET D ENTRAINEMENT A L HEMODIALYSE;1203;DIALYSE AMBULATOIRE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
140;CENTRE D ENTRAINEMENT A L HEMODIALYSE;1203;DIALYSE AMBULATOIRE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
141;CENTRE DE DIALYSE;1203;DIALYSE AMBULATOIRE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
142;DISPENSAIRE ANTITUBERCULEUX;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
144;ETABLISSEMENT DE LUTTE CONTRE LA TUBERCULOSE;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
146;STRUCTURE D'ALTERNATIVE A LA DIALYSE;1203;DIALYSE AMBULATOIRE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
156;CENTRE MEDICO-PSYCHOLOGIQUE (DISPENSAIRE D HYGIENE MENTALE );1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
158;CENTRE DE REEDUCATION POUR ALCOOLIQUES;1113;ETABLISSEMENTS DE LUTTE CONTRE L ALCOOLISME ET LES TOXICOMANIES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
160;CENTRE DE TRAITEMENT POUR TOXICOMANES;1114;CENTRE CONVENTIONNE SOINS SPECIALISES POUR TOXICOMANES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
161;MAISON DE SANTE POUR MALADIES MENTALES;1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
162;CENTRE DE CURE AMBULATOIRE EN ALCOOLOGIE (CCAA);4604;AUTRES ETABLISSEMENTS D ACCUEIL;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
163;MAISON D ENFANTS A CARACTERE SANITAIRE NON SPECIALISEE TEMPORAIRE;1112;ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
165;APPARTEMENT DE COORDINATION THERAPEUTIQUE (ACT);4604;AUTRES ETABLISSEMENTS D ACCUEIL;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
173;POUPONNIERE A CARACTERE SANITAIRE;1112;ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
175;FOYER DE L ENFANCE;4501;ETABLISSEMENT DE L AIDE A L  ENFANCE;45;ETABLISSEMENTS ET SERVICES SOCIAUX CONCOURANT A LA PROTECTION DE L ENFANCE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
177;MAISON D ENFANTS A CARACTERE SOCIAL;4501;ETABLISSEMENT DE L AIDE A L  ENFANCE;45;ETABLISSEMENTS ET SERVICES SOCIAUX CONCOURANT A LA PROTECTION DE L ENFANCE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
178;CENTRE D'ACCUEIL ET D'ACCOMPAGNEMENT A LA REDUCTION DES RISQUES POUR USAGERS DE DROGUES (CAARUD);4604;AUTRES ETABLISSEMENTS D ACCUEIL;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
179;MAISON D ENFANTS A CARACTERE SANITAIRE NON SPECIALISEE PERMANENTE;1112;ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
180;LITS HALTE SOINS SANTE;4604;AUTRES ETABLISSEMENTS D ACCUEIL;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
182;SERVICE DE SOINS ET D EDUCATION SPECIALISEE A DOMICILE;4106;SERVICES A DOMICILE OU AMBULATOIRE POUR HANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
183;INSTITUT MEDICO-EDUCATIF (I.M.E.);4101;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
184;INSTITUT MEDICO-PEDAGOGIQUE (I.M.P.);4101;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
185;INSTITUT MEDICO-PROFESSIONNEL (I.M.P.R.O.);4101;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
186;INSTITUT THERAPEUTIQUE EDUCATIF ET PEDAGOGIQUE;4102;ETABLISSEMENTS EDUCATION SPECIALE POUR ENFANTS ATTEINTS DE TROUBLE DE LA CONDUITE ET DU COMPORTEMENT;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
188;ETABLISSEMENT POUR ENFANTS POLYHANDICAPES;4101;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
189;CENTRE MEDICO-PSYCHO-PEDAGOGIQUE (CMPP);4106;SERVICES A DOMICILE OU AMBULATOIRE POUR HANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
190;CENTRE D ACTION MEDICO-SOCIALE PRECOCE;4106;SERVICES A DOMICILE OU AMBULATOIRE POUR HANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
191;ETABLISSEMENT POUR INFIRMES MOTEUR CEREBRAUX;4103;ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
192;ETABLISSEMENT POUR DEFICIENTS MOTEUR;4103;ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
193;ETABLISSEMENT POUR INFIRMES MOTEUR ET MOTEUR CEREBRAUX;4103;ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
194;INSTITUT D EDUCATION SENSORIELLE POUR ENFANTS ATTEINTS DE DEFICIENCES VISUELLES;4104;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
195;INSTITUT D EDUCATION SENSORIELLE POUR ENFANTS ATTEINTS DE DEFICIENCES AUDITIVES;4104;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
