nomenclature,titre,variables_liees,nombre_lignes
IR_OPL_V,Nature d'opération de liquidation,Aucune variable liée,19
IR_OPR_V,Nature des Opérations de Récupération,Aucune variable liée,25
IR_ORG_V,organismes,"BEN_CMU_ORG, ORG_AFF_BEN, ORG_CLE_NEW, ORG_CLE_NUM",63206
IR_ORI_V,origine de la saisie ou de la mise à jour de la déclaration de médecin traitant,Aucune variable liée,5
IR_PAF_V,Participation forfaitaire,PRS_PPF_COD,16
IR_PAY_V,Pays,Aucune variable liée,2
IR_PCT_V,Périodes comptables,CPT_DEP_PER,128
IR_PEL_V,"""""""Indicateur """"""""Prescription en ligne""""""""""""""",Aucune variable liée,3
IR_PEN_V,type de pension,Aucune variable liée,5
IR_PHA_R,"Référentiel des médicaments (correspondance CIP13, ATC et libellés)","PHA_ACT_PRU, PHA_ACT_QSN, PHA_CPA_PCP, PHA_DEC_PRU, PHA_DEC_QSU, PHA_PRS_IDE",27941
IR_PMC_V,Type de part mutuelle complémentaire,DCT_MUT_CMP,0
IR_PNE_V,Prestation en Nature / Espèce et Autre,Aucune variable liée,5
IR_POS_V,Code Postal,Aucune variable liée,39559
IR_PPU_V,Secteur d'Activité (Prive / Public),PRS_PPU_SEC,3
IR_PRF_V,Type de Prestation Fournie (Dispositifs Médicaux),TIP_PUB_PRX,9
IR_PRO_V,Contexte Professionnel de Santé,Aucune variable liée,53
IR_PTF_R,Titre manquant,Aucune variable liée,67147
IR_PVR_R,Titre manquant,Aucune variable liée,1239
IR_QBA_V,Qualité de Bénéficiaire Affinée,BEN_QAF_COD,16
IR_QPE_V,Table des qualificatifs de parcours de soin (entrée),PRS_PDS_QTP,13
IR_QPS_V,Table des qualificatifs de parcours de soin (sortie),PRS_PDS_QCP,26
IR_RAN_V,Regroupement type anomalie,Aucune variable liée,6
IR_REF_V,Medecin référent,Aucune variable liée,4
IR_REG_V,Région ( anciens et nouveaux libellés ),Aucune variable liée,36
IR_REK_V,Indicateurs Référentiel EP Kiné,PRS_REF_KIN,3
IR_REN_V,type de Renouvellement,PRE_REN_COD,6
IR_RGM_ASU_C,Compatibilité Régime d'Affiliation _ Nature d'Assurance,Aucune variable liée,9118
IR_RGM_BEQ_C,Compatibilité Régime d'Affiliation _ Qualité de Bénéficiaire,Aucune variable liée,4822
IR_RGM_V,Petit Régime d'Affiliation,"RGM_COD, RGM_GRG_COD",1281
IR_RGP_V,type de regroupement de séjour dans le cadre du projet T2A SSR,Aucune variable liée,5
IR_RGT_V,Regroupement de prestations,Aucune variable liée,64
IR_RGU_V,Sens de la régularisation,DCT_RGU_SNS,5
IR_RNM_V,indicateur du RNIAM,Aucune variable liée,14
IR_RP1_V,Regroupement HPHE Détaillé Honoraires Spécialistes et Auxiliaires,Aucune variable liée,136
IR_RP2_V,Regroupement HPHE Détaillé Honoraires Auxiliaires,Aucune variable liée,28
IR_RP3_V,Regroupement Hono Presc Hospit Espece (HPHE),Aucune variable liée,8
IR_RRG_V,Regroupement de régimes,Aucune variable liée,3
IR_RSM_V,Table des codes ERSM,Aucune variable liée,26
IR_RVL_V,Nature de la revalorisation (IJ),IJR_RVL_NAT,9
IR_SAF_V,Type de Saisie Affinée ou Support d'Entrée,DCT_ENT_SUP,554
IR_SAI_V,Type de Saisie ou Système a l'Origine du Mouvement,DCT_MVT_SYS,10
IR_SAN_V,Centre de Santé,Aucune variable liée,15
IR_SAT_V,Motif de suppression de la rente AT,Aucune variable liée,11
IR_SEQ_V,Séquence de renouvellement,PHA_SEQ_RNV,100
IR_SEX_V,Sexe,BEN_SEX_COD,4
IR_SFJ_V,Type de supplément forfait,Aucune variable liée,16
IR_SGN_V,Signe du Mouvement,"ARO_REM_SGN, BSE_REM_SGN, CPL_REM_SGN",4
IR_SJE_V,Statut juridique d'établissement,"ETE_STJ_COD, ETP_STJ_COD",62
IR_SJP_V,Statut Juridique ou Mode d'exercice d'un PS,"PSE_STJ_COD, PSP_STJ_COD",10
IR_SL2_V,RGT Mutuelles affiliées,Aucune variable liée,4
IR_SLG_V,Regroupement SLM,Aucune variable liée,9
IR_SLM_V,Section Locale Mutualiste (SLM),"MUT_ORG, SLM_RTT_COD",65
IR_SNS_V,Sens du Mouvement,CPT_MVT_SNS,3
IR_SOP_V,Sortie / Présence,Aucune variable liée,3
IR_SPA_D,regroupement de spécialités médicales et nature d'activité,PFS_PRA_SPE,86
IR_SPD_V,Spécialité de Discipline,Aucune variable liée,36
IR_SPE_D,Spécialités médicales (Dénormalisée),Aucune variable liée,57
IR_SPE_V,Spécialités médicales,"PSE_SPE_COD, PSP_SPE_COD",57
IR_SPS_V,Regroupement de Spécialité pour les Statistiques Mensuelles,Aucune variable liée,5
IR_SPT_V,Regroupement de Spécialité pour TANDEM,Aucune variable liée,4
IR_SRG_V,Libellés regroupés SJP,Aucune variable liée,6
IR_STA_V,Regroupement de Prestation pour les Statistiques Mensuelles,Aucune variable liée,15
IR_STJ_MFT_C,Compatibilité MFT _ STJ,Aucune variable liée,1989
IR_SUB_V,Motif de Substitution Médicament,PHA_SUB_MTF,7
IR_SVI_V,Indicateur de suivi du n° RPPS,PSP_SVI_PPS,11
IR_TAA_V,Impact T2A publique sur le référentiel tables,ETE_IND_TAA,5
IR_TAE_V,Type d'activité établissement,Aucune variable liée,15
IR_TAJ_R,Titre manquant,Aucune variable liée,0
IR_TAN_V,Type d'Anomalie / Signalement / Rejet,PRS_ANO_COD,434
IR_TAU_V,Taux de Prise en Charge,"ARO_REM_TAU, ARO_THE_TAU, RGO_THE_TAU",27
IR_TCM_V,Type de Procédure de Paiement CMU,BEN_PAI_CMU,4
IR_TCP_V,Type de CIP délivré,Aucune variable liée,5
IR_TCR_V,Top certification du lot,DCT_LOT_TCR,8
IR_TCU_V,Type de codage UCD,Aucune variable liée,4
IR_TDM_V,Regroupement de Prestation pour TANDEM,Aucune variable liée,23
IR_TDU_V,Top déconditionnement,PHA_DEC_TOP,3
IR_TEK_REK_C,Compatibilité Top Entente Préalable Kiné Indicateur Référentiel Kiné,Aucune variable liée,2
IR_TEK_V,Top Entente Préalable Kiné,PRS_TOP_ENP,4
IR_TMT_V,Origine de la prescription,PRS_PRE_MTT,6
IR_TOC_V,Top option de coordination,PRS_CRD_OPT,6
IR_TOP_V,Indicateur tarif opposable,PRS_OPS_TRF,4
IR_TOR_V,Types d'organismes,Aucune variable liée,6
IR_TPR_V,Types de prestation Kiné,PRS_TYP_KIN,6
IR_TRG_V,Libellés regroupés TAU,Aucune variable liée,3
IR_TTX_V,Type de Taux,Aucune variable liée,6
IR_TUM_V,codes de regroupement de tumeurs pour les codes cim10 relevant de l'ald numéro 30,Aucune variable liée,26
IR_TYA_V,Type d'acte,Aucune variable liée,4
IR_TYE_V,Type d'établissement,ETE_TYP_COD,11
IR_TYO_V,Type d'Organisme,Aucune variable liée,5
IR_TYR_V,Type de Remboursement,"ARO_REM_TYP, PRS_REM_TYP",13
IR_TYT_V,Type de Transmetteur,FLX_EMT_TYP,25
IR_TYV_V,Type de Ventilation,Aucune variable liée,9
IR_UCD_V,Unité Commune de Dispensation,Aucune variable liée,1436
IR_URC_V,URCAM / ARH ( région ),Aucune variable liée,35
IR_VIT_V,indicateur de forçage Sesam Vitale,Aucune variable liée,19
IR_ZTP_V,Zone Tarif PS,Aucune variable liée,25
MDT_TYP_COD,Mode de traitement de l'établissement exécutant (OPEN DAMIR),Aucune variable liée,4
MS_ACT_V,code Acte,Aucune variable liée,702
MS_ASN_V,Nature d'assurance PMSI,Aucune variable liée,7
MS_ATV_V,Activité de l'acte,Aucune variable liée,7
MS_AUT_V,Type d'UM autorisé,Aucune variable liée,18
MS_CDM_V,Nomenclature CDAM (Actes Hospitaliers),Aucune variable liée,12687
MS_CIM_V,Codes Diagnostics (CIM10) pour le PMSI (limite à 20 000 lignes) ( MAJ à contrôler ),Aucune variable liée,19272
MS_CIV_V,Code Civilité,Aucune variable liée,5
MS_CSX_V,Controle du Sexe,Aucune variable liée,5
MS_DST_V,Destination,Aucune variable liée,8
MS_ENR_V,Type d'enregistrement,Aucune variable liée,9
MS_ENT_ENR_C,Compatibilité mode d Entrée du champ - type d Enregistrement,Aucune variable liée,7
MS_ENT_PRV_C,Compatibilité mode d Entree du champ -  Provenance,Aucune variable liée,16
MS_ENT_V,Mode d'entree du champ PMSI_MCO,Aucune variable liée,6
MS_FFT_V,Forfait Dialyse,Aucune variable liée,21
MS_FMT_V,Type de format RSF (Ancien / Nouveau),Aucune variable liée,4
MS_GM7_V,Groupe Homogene de Malade (GHM) V7,Aucune variable liée,651
MS_GM9_V,Groupe Homogene de Malade (GHM) V9,Aucune variable liée,838
MS_JTM_V,Justification de l'exonération du TM,Aucune variable liée,13
MS_LDD_V,Passage dans un lit dédié aux soins Palliatifs,Aucune variable liée,5
MS_NFS_V,Nature d'interruption ou de fin de séjour,Aucune variable liée,8
MS_OPE_V,Nature d'opération,Aucune variable liée,7
MS_PDP_V,Position du Diagnostic Principal,Aucune variable liée,103
MS_PEC_V,Code de prise en charge,Aucune variable liée,7
MS_PHA_V,Phase de l'acte CCAM,Aucune variable liée,6
MS_PPO_V,Type de Prestation de Prélèvement d'Organes,Aucune variable liée,5
MS_PRV_V,Provenance,Aucune variable liée,9
MS_REC_V,Nature opération de récupération,Aucune variable liée,17
MS_RES_V,Code géographique de résidence,Aucune variable liée,6088
MS_RT7_V,Resultat du groupage (version de groupage_CMD_GHM_Code retour) RT7,Aucune variable liée,86
MS_RT9_V,Resultat du groupage (version de groupage_CMD_GHM_Code retour) RT9,Aucune variable liée,102
MS_SEJ_V,Type de sejour,Aucune variable liée,4
MS_SOR_DST_C,Compatibilité mode de Sortie du champ - Destination,Aucune variable liée,16
MS_SOR_V,Mode de Sortie du Champ PMSI_MCO,Aucune variable liée,7
MS_TAA_V,Table des Types d'activités autorisées,Aucune variable liée,12
MS_TAL_V,Type d'autorisation de lit dédié fréquenté par le patient,Aucune variable liée,4
MS_TCH_V,Top ( oui / non ),Aucune variable liée,4
MS_TOP_V,Top Numérique ( oui / non ),Aucune variable liée,4
MS_VLP_V,Code Valorisation partielle,Aucune variable liée,6
NT_LPP,Liste des produits et prestations,Aucune variable liée,28850
NU_UCD_R,"Unité Commune de Dispensation, médicaments rares en hospitalier, (codes cip7)",Aucune variable liée,1812
ON_CLE_W,Clé de répartition  pour  remboursement,Aucune variable liée,315420
ON_SDV_W,invite BO soins de ville Fusion,Aucune variable liée,263
ORG_CLE_REG,Région de l'organisme de liquidation (OPEN DAMIR),Aucune variable liée,14
PRE_INS_REG,Région du professionnel de santé prescripteur (OPEN DAMIR),Aucune variable liée,14
PSE_ACT_CAT,Catégorie d'activité de l'exécutant (OPEN DAMIR),Aucune variable liée,11
PSE_ACT_SNDS,Nature d'activité du professionnel de santé exécutant (OPEN DAMIR),Aucune variable liée,14
PSE_SPE_SNDS,Spécialité médicale du professionnel de santé exécutant (OPEN DAMIR),Aucune variable liée,29
PSE_STJ_SNDS,Statut juridique du professonnel de santé exécutant (OPEN DAMIR),Aucune variable liée,4
PSP_ACT_CAT,Catégorie d'activité du prescripteur (OPEN DAMIR),Aucune variable liée,11
PSP_ACT_SNDS,Nature d'activité du professionnel de santé prescripteur (OPEN DAMIR),Aucune variable liée,14
PSP_SPE_SNDS,Spécialité médicale du professionnel de santé prescripteur (OPEN DAMIR),Aucune variable liée,27
PSP_STJ_SNDS,Statut juridique du professonnel de santé prescripteur (OPEN DAMIR),Aucune variable liée,4
PX_APP_V,applications,Aucune variable liée,13
PX_CAT_V,catégories télé-service,Aucune variable liée,18
PX_DRS_V,table d'association entre les Caisses et les DRSM,Aucune variable liée,133
PX_ETA_V,codes catégories télé-service par établissement,Aucune variable liée,358
PX_FCT_V,fonctionnalités,Aucune variable liée,344
PX_FSR_V,services associées aux fonctionnalités,Aucune variable liée,213
PX_SER_V,services pour restitution,Aucune variable liée,38
PX_SPE_V,codes catégories télé-service par spécialité,Aucune variable liée,74
PX_TRC_V,tranches de connexions,Aucune variable liée,9
R9_PAR_V,Paramétrage automatisation ARA,Aucune variable liée,91
R9_SPE_V,regroupements Spécialité pour automatisation ARA,Aucune variable liée,54
RM_CND_V,top conditionnement,Aucune variable liée,3
RM_CNV_V,top répertoire conventionnel,Aucune variable liée,6
RM_EXP_V,top exception,Aucune variable liée,3
RM_HTA_V,top HTA ( hypertension artérielle ),Aucune variable liée,3
RM_PAR_V,top des principes actifs retenus,Aucune variable liée,3
RM_RFM_V,top convention (Suivi de la réforme),Aucune variable liée,6
RM_RPM_V,top répertoire médicament,Aucune variable liée,4
RM_SRT_V,top sortie hospitalière,Aucune variable liée,3
RM_TAN_V,types d'anomalies des flux,Aucune variable liée,16
TAB_VAL_DEF,table de description des tables de valeur et de compatibilite ( cette table),Aucune variable liée,488
TOP_TIER_ACC,Titre manquant,Aucune variable liée,3
XC_ATE_V,Activité associée à l'acte médical,Aucune variable liée,5
XC_PHA_V,Phase de traitement de l'acte médical,Aucune variable liée,4
ZO_CAI_V,Caisse  ( projet RESID-EHPAD ),Aucune variable liée,1868
ZO_MMV_V,Motif de mouvement  RESID-EHPAD,Aucune variable liée,7
ZO_PRE_V,Prestation  RESID-EHPAD,Aucune variable liée,14
ZO_TMV_V,Type de mouvement  RESID-EHPAD,Aucune variable liée,4
openbio_ACTE,L_ACTE,Aucune variable liée,952
openbio_AGE_BEN,Tranches d'âge du bénéficiaire (OPEN_BIO),Aucune variable liée,5
openbio_GRP,L_GRP,Aucune variable liée,30
openlpp_AGE_BEN,Tranches d'âge du bénéficiaire (OPEN_LPP),Aucune variable liée,5
openlpp_CODE_LPP,L_CODE_LPP,Aucune variable liée,3004
openlpp_TITRE,L_TITRE,Aucune variable liée,6
openlpp_sc1,L_SC1,Aucune variable liée,24
openlpp_sc2,L_SC2,Aucune variable liée,91
openmedic_AGE_BEN,Tranches d'âge du bénéficiaire (OPEN_MEDIC),Aucune variable liée,4
openmedic_ATC1,Libellé ATC1,Aucune variable liée,15
openmedic_ATC2,Libellé ATC2,Aucune variable liée,88
openmedic_ATC3,Libellé ATC3,Aucune variable liée,250
openmedic_ATC4,Libellé ATC4,Aucune variable liée,844
openmedic_ATC5,Libellé ATC5,Aucune variable liée,1394
openmedic_GEN_NUM,Libellé Numéro Groupe Générique,Aucune variable liée,951
openmedic_TOP_GEN,Libellé Top Générique,Aucune variable liée,5
