table,var,format,description,nomenclature,creation,suppression,dates_manquantes
EB_TRS_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_TRS_F,TRS_TRP_HRA,number (4),Heure d'arrivée du transport,-,,,
EB_TRS_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_TRS_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
EB_TRS_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
EB_TRS_F,TRS_TRP_HRD,number (4),Heure de départ du transport,-,,,
EB_TRS_F,TRS_DTF_AME,string (6),Année et mois d'arrivée du transport (format AAAAMM),-,,,
EB_TRS_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
EB_TRS_F,TRS_DEP_CDP,string (5),Code postal du lieu de départ du transport,-,,,
EB_TRS_F,TRS_ARR_CDP,string (5),Code postal du lieu d'arrivée du transport,-,,,
EB_TRS_F,TRS_DTD_DTE,date (8),Date de départ du transport,-,,,
EB_UCD_F,UCD_ACH_PRU,"number (7,2)",Prix d'achat unitaire,-,,,
EB_UCD_F,UCD_FAC_PRU,"number (7,2)",Prix unitaire facturé,-,,,
EB_UCD_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,-,,,
EB_UCD_F,REM_TYP_AFF,number (8),type de remboursement affiné,-,,,
EB_UCD_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
EB_UCD_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
EB_UCD_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
EB_UCD_F,UCD_TTF_MNT,"number (7,2)",Montant total TTC facturé,-,,,
EB_UCD_F,DCT_ORD_NUM,number (9),numéro d'ordre du décompte dans l'organisme,-,,,
EB_UCD_F,UCD_UCD_COD,string (13),Code UCD de la pharmacie hospitalière,-,,,
EB_UCD_F,UCD_CAL_PRU,"number (7,2)",Prix unitaire calculé,-,,,
EB_UCD_F,UCD_TOP_UCD,number (1),Top UCD,-,,,
EB_UCD_F,UCD_ORD_NUM,number (4),Numéro d'Ordre de la Prestation Affinée UCD,-,,,
EB_UCD_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
EB_UCD_F,CLE_TEC_PRS,string (100),Clé technique Prestation,-,,,
EB_UCD_F,UCD_RCT_COU,"number (7,2)",Coût de reconstitution du médicament,-,,,
EB_UCD_F,UCD_ECT_MNT,"number (7,2)",Montant UCD total de l'écart indemnisable,-,,,
EB_UCD_F,UCD_ECU_MNT,"number (7,2)",Montant UCD unitaire de l'écart indemnisable,-,,,
EB_UCD_F,UCD_FRC_COE,"number (5,4)",Coefficient de fractionnement,-,,,
EB_UCD_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
EB_UCD_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
EB_UCD_F,UCD_DLV_NBR,number (5),Nombre d'unités délivrées,-,,,
EB_UCD_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
EB_UCD_F,UCD_MAR_MNT,"number (7,2)",Montant UCD TTC de la marge de rétrocession,-,,,
EB_UCD_F,UCD_LGN_NUM,number (4),Numéro de ligne UCD,-,,,
ER_ANO_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
ER_ANO_F,PRS_ANO_COD,string (10),Type d'anomalie ou code contrôle,IR_TAN_V,,,
ER_ANO_F,PRS_ANO_COM,string (50),Commentaire  rejet / signalement,-,,,
ER_ANO_F,PRS_ANO_DEF,string (50),Valeur de remplacement,-,,,
ER_ANO_F,PRS_ANO_DON,string (11),Code donnée impactée,-,,,
ER_ANO_F,PRS_ANO_ORI,string (50),Valeur d'origine,-,,,
ER_ANO_F,PRS_ENT_COD,string (10),Code entité,-,,,
ER_ANO_F,PRS_ENT_NUM,number (3),N° ordre entité / type remboursement,-,,,
ER_ANO_F,DCT_ORD_NUM,number (8),N° ordre décompte dans caisse                      1,-,,,
ER_ANO_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,IR_DTE_V,,,
ER_ANO_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
ER_ANO_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
ER_ANO_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
ER_ANO_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
ER_ANO_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
ER_ANO_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
ER_ANO_F,REM_TYP_AFF,number (8),Type de remboursement affiné                                 9,-,,,
ER_ARO_F,ARO_ASU_NAT,number (3),Nature d'assurance (autre que régime obligatoire),IR_ASU_V,2006,,
ER_ARO_F,ARO_CPL_COD,number (2),Complément d'acte (autre que régime obligatoire),IR_CPA_V,2006,,
ER_ARO_F,ARO_ENV_TYP,number (3),Type d'enveloppe (autre que régime obligatoire),IR_ENV_V,2006,,
ER_ARO_F,ARO_FJH_TYP,number (2),Type de prise en charge du forfait Journalier (autre que régime obligatoire),IR_FJH_V,2006,,
ER_ARO_F,ARO_FTA_COD,number (2),Code forçage du taux (hors parcours de soins) autre que régime obligatoire,IR_FOR_V,2006,,
ER_ARO_F,ARO_MIN_TAU,number (7),Taux modulé (hors parcours de Soins) du remboursement (autre que régime obligatoire),-,2006,,
ER_ARO_F,ARO_MOD_MNT,number (11),Montant de la majoration de la participation de l'assuré (autre que régime obligatoire),-,2006,,
ER_ARO_F,ARO_ORD_NUM,number (3),Numéro d'ordre du remboursement autre que régime obligatoire,-,2006,,
ER_ARO_F,ARO_PRS_NAT,number (5),Nature de la prestation (autre que régime obligatoire),IR_NAT_V,2006,,
ER_ARO_F,ARO_REM_BSE,number (11),Base de remboursement (autre que régime obligatoire),-,2006,,
ER_ARO_F,ARO_REM_MNT,number (11),Montant versé/remboursé (autre que régime obligatoire),-,2006,,
ER_ARO_F,ARO_REM_PRU,number (14),Prix unitaire de l'acte (autre que régime obligatoire),-,2006,,
ER_ARO_F,ARO_REM_SGN,number (2),Signe du remboursement (autre que régime obligatoire),IR_SGN_V,2006,,
ER_ARO_F,ARO_REM_TAU,number (7),Taux réel de remboursement (autre que régime obligatoire),IR_TAU_V,2006,,
ER_ARO_F,ARO_REM_TYP,number (3),Type de remboursement (autre que régime obligatoire),IR_TYR_V,2006,,
ER_ARO_F,ARO_THE_TAU,number (7),Taux théorique de remboursement (autre que régime obligatoire),-,2006,,
ER_ARO_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_ARO_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_ARO_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_ARO_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_ARO_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_ARO_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_ARO_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2013,,
ER_ARO_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_ARO_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,2006,,
ER_ARO_F,REM_TYP_AFF,number (1),Type de remboursement affiné,-,2006,,
ER_BIO_F,BIO_ACT_QSN,number (4),Quantite affinée signée de biologie,IR_BIO_R,2006,,
ER_BIO_F,BIO_ORD_NUM,number (4),Numéro d'ordre de l'acte affiné de biologie,-,2006,,
ER_BIO_F,BIO_PRS_IDE,number (5),Code acte affiné de biologie,-,2006,,
ER_BIO_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_BIO_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_BIO_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_BIO_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_BIO_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_BIO_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_BIO_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_BIO_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_BIO_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,2006,,
ER_BIO_F,REM_TYP_AFF,number (1),Type de remboursement affiné,-,2006,,
ER_BIO_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_BIO_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_BIO_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_BIO_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_BIO_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_BIO_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_BIO_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_BIO_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_BIO_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,2006,,
ER_BIO_F,REM_TYP_AFF,number (1),Type de remboursement affiné,-,2006,,
ER_CAM_F,CAM_ACT_COD,string (1),Code activité,-,2006,,
ER_CAM_F,CAM_ACT_PRU,number (11),Prix unitaire de la prestation affinée CCAM,-,2006,,
ER_CAM_F,CAM_ASS_COD,string (1),Code association,-,2006,,
ER_CAM_F,CAM_CAB_IND,string (1),Top supplément de charge en cabinet,-,2006,,
ER_CAM_F,CAM_DOC_EXT,string (1),Extension documentaire,-,2006,,
ER_CAM_F,CAM_GRI_TAR,string (3),,-,2009,,
ER_CAM_F,CAM_MI1_MNT,number (11),Montant Minoration due à association sur Modificateur1,-,2006,,
ER_CAM_F,CAM_MI2_MNT,number (11),Montant Minoration due à association sur Modificateur2,-,2006,,
ER_CAM_F,CAM_MI3_MNT,number (11),Montant Minoration due à association sur Modificateur3,-,2006,,
ER_CAM_F,CAM_MI4_MNT,number (11),Montant Minoration due à association sur Modificateur4,-,2006,,
ER_CAM_F,CAM_MM1_MNT,number (11),Montant Majoration Modificateur1,-,2006,,
ER_CAM_F,CAM_MM2_MNT,number (11),Montant Majoration Modificateur2,-,2006,,
ER_CAM_F,CAM_MM3_MNT,number (11),Montant Majoration Modificateur3,-,2006,,
ER_CAM_F,CAM_MM4_MNT,number (11),Montant Majoration Modificateur4,-,2006,,
ER_CAM_F,CAM_MOD_COD,string (4),Codes modificateurs,-,2006,,
ER_CAM_F,CAM_MOD_NEW,string (8),Codes modificateurs,-,2013,,
ER_CAM_F,CAM_MPU_MNT,number (11),Montant Minoration due à association sur PU de l' Acte,-,2006,,
ER_CAM_F,CAM_NRM_MNT,number (11),Montant Non Rmb du à annulation du tarif pr acte non rmb,-,2006,,
ER_CAM_F,CAM_ORD_NUM,number (3),Numéro d'ordre de la prestation affinée CCAM,-,2006,,
ER_CAM_F,CAM_PRS_IDE,string (13),Code de la prestation affinée CCAM,-,2006,,
ER_CAM_F,CAM_QUA_DEN,string (32),Localisation dentaire,-,2006,,
ER_CAM_F,CAM_RED_MNT,number (11),Montant Reduction Tarif due à paraticien non conventionné,IR_FOR_V,2006,,
ER_CAM_F,CAM_REM_BSE,number (11),Base de remboursement CCAM,-,2006,,
ER_CAM_F,CAM_REM_COD,number (1),Code remboursement exceptionnel,-,2006,,
ER_CAM_F,CAM_SUP_MNT,number (11),Montant Supplement de Charge en Cabinet,-,2006,,
ER_CAM_F,CAM_TRT_PHA,number (2),Phase de traitement,-,2006,,
ER_CAM_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_CAM_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_CAM_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_CAM_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_CAM_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_CAM_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_CAM_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_CAM_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_CAM_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,2006,,
ER_CAM_F,REM_TYP_AFF,number (1),Type de remboursement affiné,-,2006,,
ER_CPT_F,CPT_DEP_PER,string (6),Periode comptable,IR_PCT_V,,,
ER_CPT_F,CPT_EXC_RTC,number (5),Exercice de rattachement,-,,,
ER_CPT_F,CPT_MIR_NUM,string (2),N° compte MIRCOSS,-,,,
ER_CPT_F,CPT_MVT_MNT,"number (11,2)",Montant (signé) du mouvement comptable,-,,,
ER_CPT_F,CPT_MVT_SGN,number (2),Signe du mouvement comptable,-,,,
ER_CPT_F,CPT_MVT_SNS,string (1),Sens du Mouvement comptable,IR_SNS_V,,,
ER_CPT_F,CPT_ORD_NUM,number (3),N° ordre ventilation comptable,-,,,
ER_CPT_F,CPT_TRM_RGM,string (2),N° de compte régime,-,,,
ER_CPT_F,CPT_VEN_TYP,number (3),type de ventilation,-,,,
ER_CPT_F,GES_CPT_COD,string (5),Code gestion comptable mnemonique,IR_GES_V,,,
ER_CPT_F,GES_GRG_COD,number (3),Grand régime de gestion comptable,IR_GES_V,,,
ER_CPT_F,ORG_CLE_NEW,string (9),Code de l'organisme de liquidation,IR_ORG_V,,,
ER_CPT_F,DCT_ORD_NUM,number (8),N° ordre décompte dans caisse                      1,-,,,
ER_CPT_F,FLX_DIS_DTD,date (8),Date de mise à disposition des données,IR_DTE_V,,,
ER_CPT_F,FLX_EMT_NUM,number (4),numéro d'émetteur du flux,IR_NEM_T,,,
ER_CPT_F,FLX_EMT_ORD,number (4),numéro de séquence du flux,-,,,
ER_CPT_F,FLX_EMT_TYP,number (2),Type d'émetteur,IR_TYT_V,,,
ER_CPT_F,FLX_TRT_DTD,date (8),Date d'entrée des données dans le système d'information,IR_DTE_V,,,
ER_CPT_F,ORG_CLE_NUM,string (9),organisme de liquidation des prestations (avant fusion des caisses),IR_ORG_V,,,
ER_CPT_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,,,
ER_CPT_F,REM_TYP_AFF,number (8),type de remboursement affiné,-,,,
ER_DCT_F,DCT_ARC_DTE,date (20),Date liquidation,IR_DTE_V,2006,,
ER_DCT_F,DCT_ARR_DTE,date (20),Date arrivée du dossier,IR_DTE_V,2006,,
ER_DCT_F,DCT_CTL_COD,number (3),Code du contrôle,IR_CLC_V,2006,,
ER_DCT_F,DCT_CTL_TYP,string (1),Type de Controle,IR_CTL_V,2006,,
ER_DCT_F,DCT_ENT_SUP,number (3),Type de saisie affinée,IR_SAF_V,2006,,
ER_DCT_F,DCT_FOR_AMO,string (3),Indicateur de forçage part AMO,-,2013,,
ER_DCT_F,DCT_INT_VER,string (2),Type de Version interface Tiers,IR_INT_V,2006,,
ER_DCT_F,DCT_LOT_TCR,string (1),Type Certification du Lot,IR_TCR_V,2006,,
ER_DCT_F,DCT_MAN_DTD,date (20),Date de mandatement Initial,IR_DTE_V,2006,,
ER_DCT_F,DCT_MUT_CMP,string (1),Part Mutuelle Complementaire Dcpte,IR_PMC_V,2006,,
ER_DCT_F,DCT_MVT_SYS,number (2),Type de saisie,IR_SAI_V,2006,,
ER_DCT_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_DCT_F,DCT_REM_DTD,date (20),Date de remboursement / recyclage,IR_DTE_V,2006,,
ER_DCT_F,DCT_RGU_SNS,string (1),Sens de la Regul,IR_RGU_V,2006,,
ER_DCT_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_DCT_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_DCT_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_DCT_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_DCT_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_DCT_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_DCT_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_DCT_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_DCT_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_DCT_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_DCT_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_DCT_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_DCT_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_DCT_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_DCT_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_DTR_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_DTR_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,IR_DTE_V,2006,,
ER_DTR_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_V,2006,,
ER_DTR_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_DTR_F,FLX_EMT_TYP,number (3),Type d'émetteur,-,2006,,
ER_DTR_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_DTR_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_DTR_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_DTR_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,2006,,
ER_DTR_F,REM_TYP_AFF,number (1),Type de remboursement affiné,-,2006,,
ER_DTR_F,TRS_ACT_PRU,number (17),PU Prs Affinee Transport,-,2006,,
ER_DTR_F,TRS_ACT_QSN,number (6),Nb Km Factures/Forfaits/Supplements,-,2006,,
ER_DTR_F,TRS_ORD_NUM,number (4),N° Ordre Prs Aff Transport,-,2006,,
ER_DTR_F,TRS_PRS_IDE,number (13),Code Affine Transport,IR_DTR_V,2006,,
ER_DTR_F,TRS_TRS_MTF,number (4),Motif du Transport,IR_MTR_V,2006,,
ER_ETE_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_ETE_F,DDP_COD,number (4),Discipline de Prs ou DMT,IR_DDP_V,2006,,
ER_ETE_F,ETB_EXE_FIN,string (8),N° FINESS de l'Etablissement,-,2006,,
ER_ETE_F,ETE_CAT_COD,number (4),Catg Etb Exe,IR_CET_V,2006,,
ER_ETE_F,ETE_ETA_TRF,string (15),Numero d'etablissement de transfert,-,2006,,
ER_ETE_F,ETE_GHS_NUM,number (5),Numero GHS,IR_GHS_V,2006,,
ER_ETE_F,ETE_IND_TAA,number (2),Indicateur T2A,IR_TAA_V,2006,,
ER_ETE_F,ETE_MCO_COE,number (11),Coefficient (non signé) MCO,-,2006,,
ER_ETE_F,ETE_MCO_DDP,string (1),Code Discipline MCO,IR_MCO_V,2006,,
ER_ETE_F,ETE_NAT_FSJ,string (1),Nature de fin de séjour,IR_NFS_V,2006,,
ER_ETE_F,ETE_STJ_COD,number (3),Statut Juridique Etb Exe,IR_SJE_V,2006,,
ER_ETE_F,ETE_TYP_COD,number (3),Type d'établissement de rattachement de l'exécutant ou lieu d'exécution des soins,IR_TYE_V,2006,,
ER_ETE_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_ETE_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_ETE_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_ETE_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_ETE_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_ETE_F,MDT_COD,number (3),Mode de Traitement,IR_MDT_V,2006,,
ER_ETE_F,MFT_COD,number (3),Mode de Fixation des Tarifs,IR_MFT_V,2006,,
ER_ETE_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_ETE_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_ETE_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,2006,,
ER_ETE_F,PRS_PPU_SEC,number (2),Secteur d'activité (privé / public) de la prestation,-,2006,,
ER_ETE_F,REM_TYP_AFF,number (1),Type de remboursement affiné,-,2006,,
ER_INV_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_INV_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_INV_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_INV_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_INV_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_INV_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_INV_F,INV_ATR_DTD,date (20),Date d'attribution de la pension d'invalidité ,IR_DTE_V,2006,,
ER_INV_F,INV_PEN_CAT,number (3),Catégorie de la pension d'invalidité,IR_CIV_V,2006,,
ER_INV_F,INV_PEN_ETA,number (3),Etat de la pension d'invalidité,IR_EIN_V,2006,,
ER_INV_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_INV_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_INV_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,2006,,
ER_INV_F,REM_TYP_AFF,number (1),Type de remboursement affiné,-,2006,,
ER_LOT_F,DCT_ORD_NUM,number (9.0),Numéro d'ordre du décompte dans l'organisme,-,2008,,
ER_LOT_F,FLX_DIS_DTD,date (20.0),Date de mise à disposition des données,-,2008,,
ER_LOT_F,FLX_EMT_NUM,number (4.0),Numéro d'émetteur du flux,IR_NEM_T,2008,,
ER_LOT_F,FLX_EMT_ORD,number (4.0),Numéro de séquence du flux,-,2008,,
ER_LOT_F,FLX_EMT_TYP,number (3.0),Type d'émetteur,IR_TYT_V,2008,,
ER_LOT_F,FLX_TRT_DTD,date (20.0),Date d'entrée des données dans le système d'information,IR_DTE_V,2008,,
ER_LOT_F,LOT_ORD_NUM,number (3.0),N° Ordre Lot Prs Affinee Pharma,-,2008,,
ER_LOT_F,LOT_PHA_NUM,string (20.0),N° Lot,-,2008,,
ER_LOT_F,LOT_PHA_QSN,number (3.0),Quantité signée conditionnement appartenant au même lot,-,2008,,
ER_LOT_F,LOT_PHA_TOP,string (1.0),Top déconditionnement lot,-,2008,,
ER_LOT_F,LOT_SER_NUM,string (20.0),N° Série,-,2008,,
ER_LOT_F,ORG_CLE_NEW,string (9.0),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2008,,
ER_LOT_F,ORG_CLE_NUM,string (9.0),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2008,,
ER_LOT_F,PHA_ORD_NUM,number,Numéro d'ordre de la prestation affinée pharmacie,-,2008,,
ER_LOT_F,PRS_ORD_NUM,number (5.0),Numéro d'ordre de la prestation dans le décompte,-,2008,,
ER_LOT_F,REM_TYP_AFF,number (1.0),Type de remboursement affiné,-,2008,,
ER_PHA_F,DCT_ORD_NUM,number (9),Numéro d'ordre du décompte dans l'organisme,-,2006,,
ER_PHA_F,FLX_DIS_DTD,date (20),Date de mise à disposition des données,-,2006,,
ER_PHA_F,FLX_EMT_NUM,number (4),Numéro d'émetteur du flux,IR_NEM_T,2006,,
ER_PHA_F,FLX_EMT_ORD,number (4),Numéro de séquence du flux,-,2006,,
ER_PHA_F,FLX_EMT_TYP,number (3),Type d'émetteur,IR_TYT_V,2006,,
ER_PHA_F,FLX_TRT_DTD,date (20),Date d'entrée des données dans le système d'information,IR_DTE_V,2006,,
ER_PHA_F,ORG_CLE_NEW,string (9),Organisme de liquidation des prestations (après fusion),IR_ORG_V,2006,,
ER_PHA_F,ORG_CLE_NUM,string (9),Ancien organisme avant fusion (jusqu’au jour J de la fusion),IR_ORG_V,2006,,
ER_PHA_F,PHA_ACT_PRU,number (17),Prix unitaire de la prestation affinée de pharmacie,IR_PHA_R,2006,,
ER_PHA_F,PHA_ACT_QSN,number (4),Quantité affinée,IR_PHA_R,2006,,
ER_PHA_F,PHA_CPA_PCP,string (3),Condition particulière de prise en charge ,IR_PHA_R,2006,,
ER_PHA_F,PHA_DEC_PRU,number (11),Prix unitaire de l'unité déconditionnée délivrée ,IR_PHA_R,2006,,
ER_PHA_F,PHA_DEC_QSU,number (4),Quantité complète de déconditionnement signée,IR_PHA_R,2006,,
ER_PHA_F,PHA_DEC_TOP,number (1),Top déconditionnement,IR_TDU_V,2006,,
ER_PHA_F,PHA_IDE_CPL,number (7),Préfixe code affiné pharmacie,-,2006,,
ER_PHA_F,PHA_MOD_PRN,string (1),Mode de prescription,IR_MDP_V,2006,,
ER_PHA_F,PHA_ORD_NUM,number (4),Numéro d'ordre de la prestation affinée pharmacie,-,2006,,
ER_PHA_F,PHA_PRS_C13,number (14),Code prestation affinée pharmacie (code CIP 13 délivré),-,2006,,
ER_PHA_F,PHA_PRS_IDE,number (8),Code prestation affinée pharmacie (code CIP 7 du médicament délivré),IR_PHA_R,2006,,
ER_PHA_F,PHA_SEQ_RNV,number (3),Séquence de renouvellement,IR_SEQ_V,2006,,
ER_PHA_F,PHA_SUB_MTF,number (2),Motif de substitution du médicament,IR_SUB_V,2006,,
ER_PHA_F,PRS_ORD_NUM,number (5),Numéro d'ordre de la prestation dans le décompte,-,2006,,
ER_PHA_F,REM_TYP_AFF,number (1),Type de remboursement affiné,-,2006,,
